Key,French
loading_screen.ingame.new_game_load,Initialisation de la partie
loading_screen.ingame.gui_system,Initialisation de l'interface
loading_screen.ingame.map_cells,Création des zones de la carte
loading_screen.ingame.trade_manager,Initialisation du gestionnaire d'échange
loading_screen.ingame.local_map_controller,Chargement du gestionnaire de carte locale
loading_screen.ingame.province_controller,Chargement des données de province
loading_screen.ingame.global_map,Chargement de la carte externe
loading_screen.ingame.battle_injuty_lottery,Chargement des chances de blessures au combat
loading_screen.ingame.game_system_init,Initialisation des systèmes de jeu
loading_screen.ingame_unloading,Déchargement des ressources de jeu
loading_screen.caching_textures,Placement des textures dans le cache
loading_screen.game_vars,Chargement des variables
loading_screen.audio,Démarrage du système audio
loading_screen.animations,Chargement des animations
loading_screen.building_assets,Chargement des modèles de bâtiment
loading_screen.actor_assets,Chargement des modèles de personnage
loading_screen.traits,Chargement des traits de personnage
loading_screen.minds,Chargement des pensées
loading_screen.tantrums,Chargement des dépressions
loading_screen.activity,Chargement des activités
loading_screen.game_data,Chargement des données de jeu
loading_screen.building_constructions,Chargement des constructions de bâtiment
loading_screen.banners,Chargement des bannières
loading_screen.gui,Chargement de l'interface
loading_screen.hints,Chargement des astuces
loading_screen.rich_string,Loading Rich String
loading_screen.knowledge_localization,Loading Knowledge Localization
loading_screen.saves_and_maps,Chargement du monde et des sauvegardes
loading_screen.done,Chargement terminé
encyclopedia.help,AIDE
encyclopedia.category.battle,Combat
encyclopedia.category.economics,Économie
encyclopedia.category.characters,Personnages
encyclopedia.category.mechanics,Mécaniques
encyclopedia.category.hints,Astuces
encyclopedia.category.global_map,Carte
encyclopedia.search,Rechercher
action_task.skill_training_caption,Enseigne : {skill_name}
actor.relations.filter.location,Proche
actor.relations.filter.kings,Monarques
actor.relations.filter.friends,Ami·es
actor.relations.filter.enemies,Ennemi·es
actor.relations.filter.can_seduce,Sensible à la séduction
action_task.category.king,Monarque
action_task.category.social,Social
action_task.category.bishop,Évêque
action_task.sub_category.social,Communication
action_task.sub_category.intrigue,Intrigue
actor.action_task.begging,Implorer le pardon
actor.action_task.nominate_enemy,Déclarer comme ennemi·e
actor.action_task_hunt,Chasse au loup
actor.action_task_sick_visit,Rendre visite aux malades
actor.action_task.marriage,Épouser
actor.action_task.bribe,Pot-de-vin
actor.action_task.punish,Punir
actor.action_task.reward,Récompenser
actor.action_task.rumors,Répandre des rumeurs
actor.action_task.spent_time,Passer du temps ensemble
actor.action_task.invite,Inviter
actor.action_task.teach,Éduquer
actor.action_task.threat,Menacer
actor.action_task.trade,Négociation
actor.action_task.make_free,Libérer
actor.action_task.seduction,Séduire
actor.action_task.donate,Faire une offrande au monarque
actor.action_task.kill,Tuer
actor.action_task.poison,Empoisonner
actor.action_task.play_dice,Jouer aux dés
actor.action_task.depart,Exiler
actor.action_task.duel_call,Défier en duel
actor.action_task.duel_provocation,Provocation en duel
actor.action_task.free_lord_hire,Engager un seigneur ou une dame
actor.action_task.send_guest,Envoyer un·e émissaire
actor.action_task.king_tribute,Offrande
actor.action_task.confession,Se confesser
actor.action_task.kidnap,Enlever
actor.action_task.free_captive,Relâcher
actor.action_task.forced_sex,Contraindre à des rapports sexuels
actor.action_task.appoint_an_heir,Déclarer comme héritier·ère
actor.action_task.go_home,Congédier
actor.action_task.sex_with_dummy,Proposition
actor.action_task.new_heir,Désigner comme héritier·ère
actor.action_task.canonization,Bénir
actor.action_task.divorce,Divorce
actor.action_task.consolation,Consoler
actor.action_task.give_title_to_hired_free_lord,Accorder un titre
actor.action_task.give_title_to_soldier,Accorder un titre
actor.action_task.take_title,Révoquer un titre de noblesse
actor.action_task.join_captive,Relâcher et accepter
actor.action_task.new_king,Céder la couronne
actor.appoint_in_town,À {town_name}
actor.appoint_in_this_town,Dans cette cité
actor.appoint.our_lords,Nos seigneurs et dames
actor.appoint.other_lords,Autres seigneurs et dames
actor.action.training,ENTRAÎNEMENT
actor.action.conversation,NÉGOCIATIONS
actor.action.army.on_local_map,Sur la carte locale
actor.action.army.on_global_map,Sur la carte du monde
actor.action.army,ARMÉE
actor.action.executor,PERSONNAGE
actor.action.executor_replace,REMPLACER
actor.action.teacher,ENSEIGNANT
actor.action.chancellery_any,Pas de chancellerie dédiée
actor.action.punishment,CHÂTIMENT
actor.action.teach,APPRENDRE
actor.action.person,QUI ?
actor.action.different_actions,ASSIGNER
actor.action.trade,ÉCHANGER
actor.action_task.invite_guest,Inviter dans votre province
actor.status.on_global_map,Sur la carte du monde
actor.status.on_global_map_lost,A disparu
actor.status.in_army,"Dans une escouade, hors de la cité"
actor.status.in_travel,En déplacement
actor.status.in_object,À {object_name}
actor.adjective.addicted_to_drink,Penchant pour la boisson
actor.adjective.ambitious,Grandes ambitions
actor.adjective.angry,Soif de vengeance
actor.adjective.arrogant,Arrogance
actor.adjective.ascetic,Ascétisme
actor.adjective.bloodthirsty,Soif de sang
actor.adjective.contemptuous,Condescendance
actor.adjective.contradictory,Contradictoire
actor.adjective.emotional,Fortes émotions
actor.adjective.envious,Envie
actor.adjective.friendly,Alliée
actor.adjective.frivolous,Frivolité
actor.adjective.greedy,Cupide
actor.adjective.indifferent,Indifférence
actor.adjective.intemperate,Impulsivité
actor.adjective.jealous,Jalousie
actor.adjective.mean,Rancœur
actor.adjective.melancholy,Mélancolie
actor.adjective.sarcastic,Sarcasme
actor.adjective.subtle,Raffinement
actor.adjective.trusting,Influence
actor.adjective.weakpowered,Faiblesse
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Les attaques injustifiées contre la caste paysanne seront considérées comme des actes de <hint=hint_terror_peasants>terreur</hint></red>
actor.appoint.nominate_enemy.lord,<red>Les attaques injustifiées contre les nobles seront considérées comme des actes de <hint=hint_terror_lord>terreur</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Attaquer un invité, peu importe les circonstances, est considéré comme une infraction de la loi sacrée de l'hospitalité.</red>
 
 $ Relation entre {soul_uuid_performer_king} et {soul_uuid_target} <red>{relations_modify_target}
  
 </b>Remarque</b> : il vaut mieux proposer un <hint=hint_duel>duel</hint> pour résoudre les conflits."
actor.appoint.nominate_enemy.bishop,"<red>Attaquer un membre de la Famille de l'étreinte divine, peu importe les circonstances, est une raison suffisante pour que votre cité soit punie par l'<hint=hint_inquisitors>Inquisition</hint></red>."
actor.age,{age} ans
actor.age_short,{age} ans
actor.class.unarmed,Sans arme
actor.class.l_archer,Archer·ère léger·ère
actor.class.axeman,Fendeur·euse
actor.class.guard,Garde
actor.class.h_axeman,Fendeur·euse lourd·e
actor.class.faceless_axeman,Guerrier·ère de la Horde impie
actor.class.h_hammerhead,Guerrier·ère à masse d'armes lourde
actor.class.h_spearman,Lancier·ère lourd·e
actor.class.h_swordman,Épéiste lourd·e
actor.class.hammerhead,Guerrier·ère à masse d'armes
actor.class.l_spearman,Lancier·ère léger·ère
actor.class.outcast,Marginal·e
actor.class.spearman,Lancier·ère lourd·e
actor.class.swordman,Épéiste
actor.class.light_archer,Archer·ère sans armure niv. 3 à 5
actor.class.light_hammerhead,Guerrier·ère à masse d'armes sans armure niv. 3 à 5
actor.class.light_spearman,Lancier·ère sans armure niv. 3 à 5
actor.class.light_axeman,Fendeur·euse avec bouclier et sans armure niv. 3 à 5
actor.class.middle_archer,Archer·ère avec armure légère niv. 8 à 11
actor.class.middle_hammerhead,Guerrier·ère à masse d'armes avec armure légère et bouclier niv. 8 à 11
actor.class.middle_spearman,Lancier·ère avec armure légère et bouclier niv. 8 à 11
actor.class.heavy_axeman,Fendeur·euse avec armure lourde et bouclier niv. 13 à 17
actor.class.heavy_swordman,Épéiste avec armure lourde et bouclier niv. 13 à 17
actor.class.lord,Seigneur ou dame épéiste avec armure lourde et bouclier
actor.dignity.king,Monarque
actor.events,ÉVÉNEMENTS
actor.events_date,RENDEZ-VOUS GALANT
actor.knowledge,SAVOIR
actor.hint.battle_skill,Niveau de combativité
actor.hint.crimes.caption,Crimes
actor.hint.injury.caption,Blessures
actor.hint.injury.pain_level,Niveau de douleur : {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Seuil de douleur : </hint>{pain_threshold}
actor.hint.injury.risk_inflamation,* - Les risques d'infection persistent
actor.hint.sin.caption,Péchés
actor.hint.sin.piety_impact,Influence sur le moral : {piety_impact}
actor.impact_on_person,ASSIGNER
actor.inventory,INVENTAIRE
actor.log.today,Aujourd'hui
actor.log.days_before,Il y a {day} jours
actor.log.yesterday,Hier
actor.loyalty,Loyauté {loyalty} %
menu.battle_result.win,Victoire !
menu.battle_result.lose,Défaite
menu.battle_result.deployed,Troupes
menu.battle_result.died,Mort(s)
menu.battle_result.escaped,En fuite
menu.battle_result.captured,Capturé(s)
actor.menu.appoint.hunt,Chasse
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,IMPRESSIONS
actor.moral,MORAL
actor.motive.energy,Sommeil
actor.motive.food,Nourriture
actor.motive.rest,Repos
actor.motive.religion,Foi
actor.motive.sex,Sexe
actor.motive.care,Attention
actor.noun.adventurer,Goût pour l'aventure
actor.noun.depraved,Goût pour la débauche
actor.noun.fatalist,Fatalisme
actor.noun.flatterer,Goût pour la flatterie
actor.noun.genius,Génie
actor.noun.introvert,Introversion
actor.noun.moron,Idiotie
actor.noun.mystic,Mysticisme
actor.noun.narcissist,Narcissisme
actor.noun.rude,Malice
actor.noun.shameless,Déviance
actor.noun.skeptic,Scepticisme
actor.noun.workaholic,Addiction au travail
actor.opinion.choose_factions.province_hint,Sur la carte locale
actor.opinion.interest,Intérêt :
actor.opinion.interest.high,Élevé
actor.opinion.interest.low,Faible
actor.opinion.interest.middle,Moyen
actor.opinion.no_minds,Aucune impression
actor.opinion.opinion_of,Estime envers {name} :
actor.opinion.opinion_of_me,Estime de {name} envers moi :
actor.opinion.opinion_of_third_person,Estime de {name} envers {name_2} :
actor.opinion.special.deadly_enemy,Ennemi·e mortel·le
actor.opinion.special.enemy,Ennemi·e
actor.opinion.special.friend,Ami·e
actor.opinion.special.like,Bonne relation
actor.opinion.special.love,Intérêt romantique
actor.part_of_nature,TRAITS DE PERSONNALITÉ
actor.punish.execute,Exécuter
actor.punish.expel,Exiler
actor.punish.imprison,Emprisonner
actor.desire,DÉSIR
actor.skill.command,Commandement
actor.skill.education,Pédagogie
actor.skill.fight,Combat
actor.skill.knowledge,Intelligence
actor.skill.management,Gestion
actor.skill.manners,Manières
actor.skill.negotiation,Négociation
actor.skill.oratory,Persuasion
actor.skill.points_remain,{number} points d'expérience avant le niveau supérieur
actor.skills,COMPÉTENCES
actor.skills_training,ENTRAÎNEMENT
actor.skills.level,{level}
actor.skill_category.rhetoric,Rhétorique
actor.skill_category.economic,Économie
actor.skill_category.philosophy,Philosophie
actor.skill_category.warcraft,Art de la guerre
actor.stata.bandit,Bandit
actor.stata.thug,Coupe-jarret
actor.states,ÉTATS
actor.strata.animal,Animaux
actor.strata.slave,Prise d'otage
actor.traits,ÉTAT
building.hostel,Dortoir
building.library,Bibliothèque
building.armorsmith,Armurerie
building.barracks,Caserne
building.brewery,Brasserie
building.caption_with_level,{building_name} niveau {level}
building.castle,Grand-salle
building.chancellery,Chancellerie
building.church,Temple
building.altar,Idole
building.coal_burner,Four à charbon
building.coal_furnace,Four à charbon
building.coal_mine,Mine de charbon
building.description.burned,Ce bâtiment a été entièrement détruit par le feu. Il ne reste qu'à le démolir.
building.farm,Ferme
building.forge,Forge
building.hall_storage,Dépôt de la grand-salle
building.herbalist,Herboristerie
building.house,Chaumière
building.menu.appoint.church,SERMON
building.menu.appoint.training,ENTRAÎNEMENT
building.menu.appoint.gallows,CHÂTIMENT
building.menu.appoint.chancellery,CHANCELIER·ÈRE
building.menu.appoint.culture,CULTURE
building.menu.appoint.appoint_culture,Désigner
building.menu.castle.builders,MAIN-D'ŒUVRE DE CONSTRUCTION
building.menu.castle.servants,DOMESTIQUES
building.menu.gallows.terror,TERREUR
building.menu.gallows.executers,BOURREAUX
building.menu.in_stock,EN STOCK
building.menu.required_resources,REQUIS
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,HABITANTS·ES
building.menu.service.attendance,Présence
building.menu.service.inspection,POLITIQUES
building.menu.service.revenue,Recettes
building.menu.combat_training.number_of_places,ENTRAÎNEMENT SIMULTANÉ
building.menu.sold,VENDUS
building.menu.trader,COMMERÇANT·E
building.menu.special_button.auto_repair,Réparation automatique
building.menu.special_button.abort,Annuler
building.menu.special_button.destroy,Détruire
building.menu.special_button.relocate,Déplacer
building.menu.special_button.repair,Réparer
building.menu.special_button.upgrade,Améliorer
building.menu.special_button.upgrade_workplace,+1 emplacement de main-d'œuvre
building.menu.status.breakdown,Destruction
building.menu.status.need_charge,Champ épuisé
building.menu.status.burned_full,Bâtiment détruit par le feu.
building.menu.status.burned_partially,Bâtiment partiellement brûlé.
building.menu.status.burning,Bâtiment en proie aux flammes !
building.menu.status.church,Taux de fanatiques religieux dans la cité : {fanatics_percent} %
building.menu.status.construction,Construction en cours.
building.menu.status.construction_template,{status} ({progress} %) Terminée
building.menu.status.demolition,Démantèlement en cours
building.menu.status.extinguishing,Vos habitants combattent l'incendie !
building.menu.status.harvest.after_tomorrow,La récolte aura lieu dans deux jours.
building.menu.status.harvest.n_days,La récolte aura lieu dans {days} jours.
building.menu.status.harvest.today,La récolte a lieu aujourd'hui.
building.menu.status.harvest.tomorrow,La récolte aura lieu demain.
building.menu.status.no_tasks,Créez une commande dans le menu Production.
building.menu.status.fertilize,Fertilité : {number} %
building.menu.status.produce,Production : {resource} ({progress} %)
building.menu.status.raw_not_enough,Ressources insuffisantes à la construction.
building.menu.status.relocate,Relocalisation en cours.
building.menu.status.repair,Réparation en cours.
building.menu.status.upgrade,Amélioration en cours.
building.menu.status.work_time,Horaires de travail : {work_hour_begin} - {work_hour_end}
building.menu.status.works_fine,Fonctionne normalement
building.menu.status.pig_farm_need_to_charge,Approvisionner en rutabaga
building.menu.status.need_inspector,Assignez une dame ou un seigneur à la gestion.
building.menu.status.need_inspection,Aucune instruction reçue
building.menu.status.need_paper_charge,Approvisionner en papier
building.menu.tavern.allow_nectar,Autoriser le nectar
building.menu.temple.donation,Dons
building.menu.temple.priest,MINISTRE
building.menu.workplace.appoint_inspector,Assigner
building.menu.workplace.inspection,GESTION
building.menu.workplace.priority,Priorité
building.menu.workplace.produced_today,PRODUCTION DU JOUR
building.menu.workplace.bonus_slave,Bonus des esclaves : {bonus_slave}
building.menu.workplace.bonus_addicted,Bonus des nectaromanes : {bonus_addicted}
building.menu.workplace.bonus_culture,Bonus des experts {culture}s : {bonus_culture}
building.menu.workplace.statistics,STATISTIQUES
building.menu.workplace.workers,MAIN-D'ŒUVRE
building.menu.workplace.workers.free,Paysannat
building.menu.workplace.workers.slaves,Esclaves
building.menu.workplace.addicted,Nectaromanes
building.menu.patrollers,Balise de patrouille
building.menu.radius,Zone de patrouille
building.menu.combat_max,Niveau de combat max.
building.menu.max_pain,NIVEAU DE DOULEUR MAX.
menu.patrol_sign.description,Espace de patrouille des guerriers
building.mine,Mine
building.noble_house,Maison seigneuriale
building.paper_factory,Papeterie
building.slaves_barrack,Cabane d'esclaves
building.temple.preach.doubt,Sermon de doute
building.temple.preach.faith,Sermon de foi
building.farm.pig_farm_charge_abort,Annuler l'approvisionnement
building.farm.pig_farm_charge,Approvisionner en rutabaga
building.gallows.crimes,Crimes
building.gallows.punishments,Châtiments
building.gallows.change,Modifier
building.training_field,Camp d'entraînement
building.woodcutter,Scierie
building.workshop,Atelier
building.gallows,Échafaud
building.market,Marché
building.storage,Dépôt
building.tavern,Taverne
building.drug_deg,Rade à nectar
building.rye_farm,Champ de seigle
building.hop_farm,Champ de houblon
building.swede_farm,Champ de rutabaga
building.pig_farm,Porcherie
building.mill,Moulin
building.alchimestry,Laboratoire d'alchimie
building.melting_furnace,Fonderie
building.patrol_sign,Patrouille de nuit
display_event.actor_complete_action_task_on_gm,{name} a terminé la tâche « {task_name} ».
display_event.actor_abort_action_task_on_gm,{name} n'a pas réussi à terminer sa tâche.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} vient d'arriver à {town_name}.
display_event.actors_married,{name_1} et {name_2} se sont fiancés.
display_event.new_genius_king,Rumeurs : conquête
display_event.defence_alliance.squad_arrived,Les renforts de {faction_name} sont arrivés !
display_event.defence_alliance.squad_created,Les renforts sont en formation et attendent vos ordres !
display_event.defence_alliance.leave.time_expired,Le temps alloué aux renforts est écoulé. Les soldats repartent chez eux.
display_event.defence_alliance.leave.battle_finished,Les renforts vous ont soutenu et retournent chez eux.
display_event.defence_alliance.leave.defence_alliance_broken,"Votre alliance avec {faction_name} a été dissoute, les renforts repartent donc chez eux plus tôt que prévu."
display_event.defence_alliance.leave.no_one_is_attacking_player,"La menace est passée, les renforts retournent chez eux."
display_event.defence_alliance.leave.other_reason,Les renforts repartent chez eux plus tôt que prévu.
display_event.got_title,{name} a obtenu un titre de noblesse.
display_event.kid_need_title,{name} réclamera bientôt un des titres de noblesse disponibles.
display_event.storage_robbery_gold,Des voleurs ont dérobé {number} pièces d'or !
display_event.squad_go_to_take_equipment,Les soldats récupèrent leurs armes dans les dépôts. Veuillez patienter.
display_event.no_servants_in_hall,Pas de domestique dans la Grand-salle !
display_event.squad_take_all_equipment,Les soldats sont armés et prêts au combat !
display_event.horde_apeears,La Horde impie est apparue !
display_event.horde_gossip,Rumeurs : un nouveau culte hérétique est apparu dans des contrées lointaines.
display_event.new_fraction,Naissance d'une nouvelle maison noble : {faction_name}
display_event.fraction_death,Chute d'une nouvelle maison noble : {faction_name}
display_event.horde_murder_faction,Une nouvelle maison noble est tombée sous les coups de la Horde impie.
display_event.horde_crisis_finish,La Horde impie a quitté les terres du Norland.
display_event.forecast,Prévisions économiques obtenues pour {resource}.
display_event.village_tribute,{village_name} paye son tribut.
display_event.bandits_at_the_gate,Une escouade de bandits est à nos portes !
display_event.army_at_the_gate,Une escouade de bandits est à nos portes !
display_event.enemy_attack_city,Notre ennemi lance l'assaut !
display_event.free_lord_expired,Le contrat d'un seigneur ou d'une dame s'est terminé.
display_event.free_lord_low_loyalty,La loyauté d'un seigneur ou d'une dame libre diminue.
display_event.terror_lords,La terreur règne parmi les nobles !
display_event.terror_peasants,La terreur règne parmi la population paysanne !
display_event.bandits_prepare_to_attack,Des bandits se préparent à attaquer votre cité.
display_event.caravan_arrive,La Caravane sacrée est arrivée dans votre cité.
display_event.free_lord_arrive,Un noble libre peut être engagé.
display_event.character_bleeding,Un personnage saigne !
display_event.fire,Un incendie s'est déclenché !
display_event.slaves_hungry,Assurez-vous que les esclaves reçoivent assez de nourriture dans le menu Économie.
display_event.dummy_little_beer,Assurez-vous que les personnages reçoivent assez d'alcool dans le menu Économie.
display_event.dummy_little_food,Assurez-vous que les esclaves reçoivent assez de nourriture dans le menu Économie.
display_event.dummy_many_homeless,Construisez plus d'habitations
display_event.high_fanaticism_level,Pratiquer un sermon de doute dans le temple peut réduire le fanatisme dans la cité.
display_event.low_dummy_happiness,Consultez régulièrement les impressions négatives les plus fréquentes.
display_event.not_enough_barracks,Construisez plus de casernes.
display_event.not_enough_equipment,Achetez de l'équipement depuis la Caravane ou fabriquez-le dans votre cité.
display_event.not_enough_taverns,Construisez plus de tavernes.
display_event.not_enough_temples,Construisez plus de temples.
display_event.too_much_unemploe,"Pour réduire le nombre d'habitants sans emploi, faites baisser le moral général et donc le taux d'immigration."
display_event.high_prices,La population paysanne achète des biens à la Caravane sacrée.
display_event.hired_soldiers_arrive,Les guerriers que vous avez engagés sont arrivés.
display_event.migrants_arrive,{number} nouvelles personnes sont arrivées dans la cité.
display_event.knowledge_interaction,{name} étudie le savoir {knowledge} ({progress} %)
display_event.book_writing,{name} écrit un livre sur le savoir {knowledge} (progression : {progress} %)
display_event.not_enough_knowledge_paper,Papier insuffisant pour l'écriture du livre {name}.
display_event.knowledge_too_hard_again,{name} ne peut plus étudier le savoir {knowledge}.
display_event.not_enough_resources,Ressources insuffisantes.
display_event.building_breakdown,Ce bâtiment est endommagé.
display_event.farm_depleted,La terre de la ferme s'est appauvrie.
display_event.farm_soon_depleted,La fertilité de la terre est critique.
display_event.not_enough_workers,Main-d'œuvre insuffisante.
display_event.wheat_destroyed,Les cultures n'ont pas survécu à la sécheresse.
display_event.building_needs_direct_contol,Ce bâtiment doit être géré en continu.
