Key,Italiana
main_menu.new_game.family.banner.sign,Emblema
main_menu.new_game.family.look.body,Corporatura
main_menu.new_game.family.look.skin_color,Colore pelle
main_menu.new_game.family.look.hair_color,Colore capelli
main_menu.new_game.family.look.beard,Barba
main_menu.new_game.family.look.haircut,Capelli
main_menu.new_game.family.look.head,Testa
main_menu.new_game.family.look.sex,Genere
main_menu.new_game.family.look.random,Aspetto casuale
main_menu.new_game.family.character_traits,TRATTI PERSONAGGIO
main_menu.new_game.family.skills,ABILITÀ
main_menu.new_game.family.overall_skills,Abilità complessive
main_menu.new_game.soft_onboarding,Inizio semplificato
main_menu.new_game.family.members,Membri della famiglia
main_menu.new_game.family.members.husband_wife_child,"Marito, moglie, minore"
main_menu.new_game.family.members.two_sis_and_son,Due sorelle e un figlio
main_menu.new_game.family.members.two_bro,Due fratelli
main_menu.new_game.family.members.three_sisters,Tre sorelle
main_menu.new_game.family.members.father_three_doughters,Padre e figlie
main_menu.new_game.family_settings,Impostazioni famiglia
main_menu.ng_world_should_generate,Genera mondo
main_menu.ng_select_map,Seleziona mappa
main_menu.ng_save_name,Inserisci nome salvataggio
main_menu.save_load.delete,Elimina
main_menu.save_load.deleted,ELIMINATO
main_menu.save_load.save_as.desc2,Non inserire nulla per salvare con il nome della mappa attuale
main_menu.save_load.save_as.desc,Nome nuovo salvataggio
main_menu.save_load.save_as,Nuovo salvataggio
main_menu.save_load.rewrite,Sovrascrivi
main_menu.save_load.save,Salva
main_menu.save_load.load,Carica
main_menu.save_load.autosave_morning,Mattina
main_menu.save_load.autosave_evening,Sera
main_menu.mods,Mod
main_menu.credits,Riconoscimenti
main_menu.discord,Discord
main_menu.leave_feedback,Feedback
main_menu.feedback.send,Invia
main_menu.exit,Esci
main_menu.settings,Impostazioni
main_menu.load_game,Carica partita
main_menu.start_tutorial,Tutorial
main_menu.start_new_game,Nuova partita
main_menu.continue_last_game,Continua
main_menu.save_and_exit,Salva ed esci
main_menu.start,Avvia
main_menu.back,Indietro
menu.problems,Problemi
adv_tutorial.obj_build_sawmill_place_text,Costruisci la segheria qui
adv_tutorial.obj_build_field_place_text,Colloca il campo di rape qui
adv_tutorial.obj_build_taverna_place_text,Costruisci la locanda qui
adv_tutorial.obj_build_generic_place_text,Colloca qui
notification.tutorial.ambush,I fuorilegge attaccano!
loading_screen,Caricamento... Attendi.
loading_screen.ingame.misc_loading,Caricamento dati
loading_screen.ingame.gui_init,Creazione interfaccia grafica
loading_screen.ingame.save_game_load,Caricamento partita salvata
loading_screen.ingame.new_game_load,Inizializzazione nuova partita
loading_screen.ingame.gui_system,Inizializzazione sistema dell'interfaccia grafica
loading_screen.ingame.map_cells,Creazione celle della mappa
loading_screen.ingame.trade_manager,Inizializzazione amministrazione del commercio
loading_screen.ingame.local_map_controller,Caricamento controllo della mappa locale
loading_screen.ingame.province_controller,Caricamento dati della provincia
loading_screen.ingame.global_map,Caricamento mappa esterna
loading_screen.ingame.battle_injuty_lottery,Caricamento probabilità di ferite in battaglia
loading_screen.ingame.game_system_init,Inizializzazione sistemi di gioco
loading_screen.ingame_unloading,Scaricamento risorse di gioco
loading_screen.caching_textures,Memorizzazione texture
loading_screen.game_vars,Caricamento variabili di gioco
loading_screen.audio,Avvio sistema audio
loading_screen.animations,Caricamento animazioni
loading_screen.building_assets,Caricamento risorse degli edifici
loading_screen.actor_assets,Caricamento risorse degli agenti
loading_screen.traits,Caricamento tratti
loading_screen.minds,Caricamento menti
loading_screen.tantrums,Caricamento esaurimenti nervosi
loading_screen.activity,Caricamento attività
loading_screen.game_data,Caricamento dati di gioco
loading_screen.building_constructions,Caricamento costruzioni degli edifici
loading_screen.banners,Caricamento stemmi
loading_screen.gui,Caricamento interfaccia grafica
loading_screen.hints,Caricamento suggerimenti
loading_screen.rich_string,Caricamento stringhe della ricchezza
loading_screen.knowledge_localization,Caricamento localizzazione della conoscenza
loading_screen.saves_and_maps,Caricamento mondo e salvataggi
loading_screen.done,Caricamento completato.
encyclopedia.help,SUPPORTO
encyclopedia.category.battle,Combattimento
encyclopedia.category.economics,Economia
encyclopedia.category.characters,Personaggi
encyclopedia.category.mechanics,Meccaniche
encyclopedia.category.hints,Suggerimenti
encyclopedia.category.global_map,Mappa
encyclopedia.search,Cerca...
action_task.skill_training_caption,Insegna {skill_name}
actor.relations.filter.location,Nelle vicinanze
actor.relations.filter.kings,Monarchi
actor.relations.filter.friends,Amici
actor.relations.filter.enemies,Nemici
actor.relations.filter.can_seduce,Si può sedurre
action_task.category.king,Monarca
action_task.category.social,Svago
action_task.category.bishop,Vescovo
action_task.sub_category.social,Comunicazione
action_task.sub_category.intrigue,Cospirazione
actor.action_task.begging,Chiedi perdono
actor.action_task.nominate_enemy,Dichiara ostilità
actor.action_task_hunt,Caccia al lupo
actor.action_task_sick_visit,Visita gli infermi
actor.action_task.marriage,Sposa
actor.action_task.bribe,Corruzione
actor.action_task.punish,Punisci
actor.action_task.reward,Ricompensa
actor.action_task.rumors,Diffondi indiscrezioni
actor.action_task.spent_time,Trascorri del tempo
actor.action_task.invite,Invita
actor.action_task.teach,Educa
actor.action_task.threat,Minaccia
actor.action_task.trade,Commercio
actor.action_task.make_free,Libera
actor.action_task.seduction,Seduci
actor.action_task.donate,Dono al monarca
actor.action_task.kill,Uccidi
actor.action_task.poison,Avvelena
actor.action_task.play_dice,Gioca a dadi
actor.action_task.depart,Esilio
actor.action_task.duel_call,Sfida a duello
actor.action_task.duel_provocation,Provoca a un duello
actor.action_task.free_lord_hire,Assumi nobile
actor.action_task.send_guest,Invia ospite
actor.action_task.king_tribute,Offri
actor.action_task.confession,Confessati
actor.action_task.kidnap,Cattura
actor.action_task.free_captive,Rilascia
actor.action_task.forced_sex,Costringi all'amplesso
actor.action_task.appoint_an_heir,Nomina erede
actor.action_task.go_home,Manda a casa
actor.action_task.sex_with_dummy,Corrompi
actor.action_task.new_heir,Nomina erede
actor.action_task.canonization,Benedizione
actor.action_task.divorce,Divorzio
actor.action_task.consolation,Conforta
actor.action_task.give_title_to_hired_free_lord,Assegna titolo
actor.action_task.give_title_to_soldier,Assegna titolo
actor.action_task.take_title,Revoca titolo nobiliare
actor.action_task.join_captive,Rilascia e accetta
actor.action_task.new_king,Cedi la corona
actor.appoint_in_town,Presso {town_name}
actor.appoint_in_this_town,In questa città
actor.appoint.our_lords,I nostri nobili
actor.appoint.other_lords,Altri nobili
actor.action.training,ADDESTRAMENTO
actor.action.conversation,TRATTATIVE
actor.action.army.on_local_map,Nella mappa locale
actor.action.army.on_global_map,Nella mappa globale
actor.action.army,ESERCITO
actor.action.executor,AGENTE
actor.action.executor_replace,SOSTITUISCI
actor.action.teacher,INSEGNANTE
actor.action.chancellery_any,Qualsiasi cancelleria
actor.action.punishment,PUNIZIONE
actor.action.teach,STUDIO
actor.action.person,CHI?
actor.action.different_actions,AZIONE
actor.action.trade,COMMERCIO
actor.action_task.invite_guest,Invita nella tua provincia
actor.status.on_global_map,Nella mappa globale
actor.status.on_global_map_lost,Introvabile
actor.status.in_army,In una squadra nella mappa globale
actor.status.in_travel,In viaggio
actor.status.in_object,Presso {object_name}
actor.adjective.addicted_to_drink,Inclinazione al bere
actor.adjective.ambitious,Ambizione
actor.adjective.angry,Inclemenza
actor.adjective.arrogant,Arroganza
actor.adjective.ascetic,Ascetismo
actor.adjective.bloodthirsty,Ferocia
actor.adjective.contemptuous,Sdegno
actor.adjective.contradictory,Incoerenza
actor.adjective.emotional,Emotività
actor.adjective.envious,Invidia
actor.adjective.friendly,Cordiale
actor.adjective.frivolous,Frivolezza
actor.adjective.greedy,Avidità
actor.adjective.indifferent,Indifferenza
actor.adjective.intemperate,Impulsività
actor.adjective.jealous,Gelosia
actor.adjective.mean,Malevolenza
actor.adjective.melancholy,Malinconia
actor.adjective.sarcastic,Sarcasmo
actor.adjective.subtle,Raffinatezza
actor.adjective.trusting,Ingenuità
actor.adjective.weakpowered,Debolezza
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Gli attacchi immotivati contro un popolano saranno causa di <hint=hint_terror_peasants>terrore</hint></red>
actor.appoint.nominate_enemy.lord,<red>Gli attacchi immotivati contro un nobile saranno causa di <hint=hint_terror_lord>terrore</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Attaccare un ospite, indipendentemente dalle sue azioni, verrà considerato una violazione delle sacre leggi dell'accoglienza.</red>
 
 $ Rapporto tra {soul_uuid_performer_king} e {soul_uuid_target}: <red>{relations_modify_target}
 
 </b>SUGGERIMENTO</b>: per risolvere un conflitto, è meglio ricorrere a un <hint=hint_duel>duello</hint>."
actor.appoint.nominate_enemy.bishop,"<red>L'attacco a un membro della Famiglia benevola, indipendentemente dalle sue azioni, verrà considerato motivo di castigo alla città da parte dell'<hint=hint_inquisitors>Inquisizione</hint></red>"
actor.age,{age} anni
actor.age_short,{age} anni
actor.class.unarmed,Nessuna arma
actor.class.l_archer,Arciere leggero
actor.class.axeman,Combattente con ascia
actor.class.guard,Guardia
actor.class.h_axeman,Combattente con ascia pesante
actor.class.faceless_axeman,Combattente dell'Orda profana
actor.class.h_hammerhead,Combattente con mazza pesante
actor.class.h_spearman,Combattente con lancia pesante
actor.class.h_swordman,Combattente con spada pesante
actor.class.hammerhead,Combattente con mazza
actor.class.l_spearman,Combattente con lancia leggero
actor.class.outcast,Esule
actor.class.spearman,Combattente con lancia
actor.class.swordman,Combattente con spada
actor.class.light_archer,Arciere senza armatura di liv. 3-5
actor.class.light_hammerhead,Combattente con mazza senza armatura di liv. 3-5
actor.class.light_spearman,Combattente con lancia senza armatura di liv. 3-5
actor.class.light_axeman,Combattente con ascia e scudo senza armatura di liv. 3-5
actor.class.middle_archer,Arciere in armatura leggera di liv. 8-11
actor.class.middle_hammerhead,Combattente con mazza e scudo in armatura leggera di liv. 8-11
actor.class.middle_spearman,Combattente con lancia e scudo in armatura leggera di liv. 8-11
actor.class.heavy_axeman,Combattente con ascia e scudo in armatura pesante di liv. 13-17
actor.class.heavy_swordman,Combattente con spada e scudo in armatura pesante di liv. 13-17
actor.class.lord,Combattente nobile con spada e scudo in armatura pesante
actor.dignity.king,Monarca
actor.events,EVENTI
actor.events_date,INCONTRO ROMANTICO
actor.knowledge,CONOSCENZA
actor.hint.battle_skill,Livello abilità Combattimento
actor.hint.crimes.caption,Crimini
actor.hint.injury.caption,Ferite
actor.hint.injury.pain_level,Livello di dolore: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Soglia del dolore:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* - Il rischio di infezione resta
actor.hint.sin.caption,Peccati
actor.hint.sin.piety_impact,Influenza sul morale: {piety_impact}
actor.impact_on_person,AZIONE
actor.inventory,INVENTARIO
actor.log.today,Oggi
actor.log.days_before,{day} giorno/i fa
actor.log.yesterday,Ieri
actor.loyalty,Lealtà {loyalty}%
menu.battle_result.win,Vittoria!
menu.battle_result.lose,Sconfitta
menu.battle_result.deployed,Schierati
menu.battle_result.died,Morti
menu.battle_result.escaped,Fuggiti
menu.battle_result.captured,Ostaggi
actor.menu.appoint.hunt,Caccia
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,PENSIERI
actor.moral,MORALE
actor.motive.energy,Sonno
actor.motive.food,Cibo
actor.motive.rest,Riposo
actor.motive.religion,Devozione
actor.motive.sex,Sesso
actor.motive.care,Cura
actor.noun.adventurer,Amore per l'avventura
actor.noun.depraved,Dissolutezza
actor.noun.fatalist,Fatalismo
actor.noun.flatterer,Adulazione
actor.noun.genius,Genialità
actor.noun.introvert,Introversione
actor.noun.moron,Imprudenza
actor.noun.mystic,Misticismo
actor.noun.narcissist,Narcisismo
actor.noun.rude,Scorrettezza
actor.noun.shameless,Perversione
actor.noun.skeptic,Scetticismo
actor.noun.workaholic,Stacanovismo
actor.opinion.choose_factions.province_hint,Nella mappa locale
actor.opinion.interest,Interesse:
actor.opinion.interest.high,Elevate
actor.opinion.interest.low,Basso
actor.opinion.interest.middle,Medio
actor.opinion.no_minds,Nessun pensiero
actor.opinion.opinion_of,Opinione di {name}:
actor.opinion.opinion_of_me,Opinione di {name} su di me:
actor.opinion.opinion_of_third_person,Opinione di {name_2} su {name}:
actor.opinion.special.deadly_enemy,Ostilità grave
actor.opinion.special.enemy,Ostilità
actor.opinion.special.friend,Amicizia
actor.opinion.special.like,Ottimo rapporto
actor.opinion.special.love,Interesse romantico
actor.part_of_nature,TRATTI CARATTERIALI
actor.punish.execute,Giustizia
actor.punish.expel,Esilio
actor.punish.imprison,Tieni in ostaggio
actor.desire,DESIDERIO
actor.skill.command,Comando
actor.skill.education,Insegnamento
actor.skill.fight,Combatt.
actor.skill.knowledge,Intelligenza
actor.skill.management,Amministr.
actor.skill.manners,Maniere
actor.skill.negotiation,Commercio
actor.skill.oratory,Persuasione
actor.skill.points_remain,Punti esperienza necessari per il livello successivo: {number}
actor.skills,ABILITÀ
actor.skills_training,ADDESTRAMENTO
actor.skills.level,{level}
actor.skill_category.rhetoric,Retorica
actor.skill_category.economic,Economia
actor.skill_category.philosophy,Filosofia
actor.skill_category.warcraft,Arte bellica
actor.stata.bandit,Fuorilegge
actor.stata.thug,Malvivente
actor.states,STATI
actor.strata.animal,Animale
actor.strata.slave,Ostaggio
actor.traits,STATO
building.hostel,Dormitorio
building.library,Biblioteca
building.armorsmith,Fucina per armature
building.barracks,Caserma
building.brewery,Birrificio
building.caption_with_level,{building_name} livello {level}
building.castle,Salone
building.chancellery,Cancelleria
building.church,Tempio
building.altar,Altare
building.coal_burner,Forno per carbone
building.coal_furnace,Forno per carbone
building.coal_mine,Miniera di carbone
building.description.burned,Questo edificio è stato distrutto da un incendio. Si può solo demolire.
building.farm,Fattoria
building.forge,Fucina per armi
building.hall_storage,Deposito del salone
building.herbalist,Erboristeria
building.house,Casa per popolani
building.menu.appoint.church,SERMONE
building.menu.appoint.training,ADDESTRAMENTO
building.menu.appoint.gallows,PUNIZIONE
building.menu.appoint.chancellery,FUNZIONARIO
building.menu.appoint.culture,CULTURA
building.menu.appoint.appoint_culture,nomina
building.menu.castle.builders,COSTRUTTORI
building.menu.castle.servants,SERVITORI
building.menu.gallows.terror,Terrore
building.menu.gallows.executers,BOIA
building.menu.in_stock,NEL MAGAZZINO
building.menu.required_resources,RICHIEDE
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,ABITANTI
building.menu.service.attendance,Affluenza
building.menu.service.inspection,POLITICA
building.menu.service.revenue,Ricavo
building.menu.combat_training.number_of_places,ADDESTRAMENTO SIMULTANEO
building.menu.sold,VENDUTO
building.menu.trader,COMMERCIANTE
building.menu.special_button.auto_repair,Ripara automaticamente
building.menu.special_button.abort,Annulla
building.menu.special_button.destroy,Distruggi
building.menu.special_button.relocate,Sposta
building.menu.special_button.repair,Ripara
building.menu.special_button.upgrade,Migliora
building.menu.special_button.upgrade_workplace,+1 posto di lavoro
building.menu.status.breakdown,Intoppo
building.menu.status.need_charge,Fattoria esaurita.
building.menu.status.burned_full,Edificio distrutto da un incendio.
building.menu.status.burned_partially,Edificio parzialmente bruciato.
building.menu.status.burning,Edificio in fiamme!
building.menu.status.church,Fanatici religiosi in città: {fanatics_percent}%
building.menu.status.construction,Costruzione in corso.
building.menu.status.construction_template,{status} Progressi: {progress}%
building.menu.status.demolition,Demolizione in corso.
building.menu.status.extinguishing,Spegnimento dell'incendio in corso.
building.menu.status.harvest.after_tomorrow,Il raccolto avverrà dopodomani.
building.menu.status.harvest.n_days,Il raccolto avverrà tra {days} giorni.
building.menu.status.harvest.today,Il raccolto avverrà oggi.
building.menu.status.harvest.tomorrow,Il raccolto avverrà domani.
building.menu.status.no_tasks,Crea un ordine nel menu di produzione.
building.menu.status.fertilize,Fertilità: {number}%
building.menu.status.produce,In produzione: {resource} ({progress}%)
building.menu.status.raw_not_enough,Risorse per la produzione insufficienti.
building.menu.status.relocate,Spostamento in corso.
building.menu.status.repair,Riparazione in corso.
building.menu.status.upgrade,Miglioramento in corso.
building.menu.status.work_time,Orario di lavoro: {work_hour_begin}-{work_hour_end}
building.menu.status.works_fine,Lavoro normale
building.menu.status.pig_farm_need_to_charge,Rifornimento di rape richiesto
building.menu.status.need_inspector,Richiede la nomina di un amministratore
building.menu.status.need_inspection,Ordini non ricevuti
building.menu.status.need_paper_charge,Rifornimento di carta richiesto
building.menu.tavern.allow_nectar,Consenti nettare
building.menu.temple.donation,Donazioni
building.menu.temple.priest,SACERDOTE
building.menu.workplace.appoint_inspector,Assegna
building.menu.workplace.inspection,AMMINISTRAZIONE
building.menu.workplace.priority,Priorità
building.menu.workplace.produced_today,PRODUZIONE ODIERNA
building.menu.workplace.bonus_slave,Bonus dai prigionieri: {bonus_slave}
building.menu.workplace.bonus_addicted,Bonus dai nettaredipendenti: {bonus_addicted}
building.menu.workplace.bonus_culture,Bonus dall'esperienza di {culture}: {bonus_culture}
building.menu.workplace.statistics,STATISTICHE
building.menu.workplace.workers,LAVORATORI
building.menu.workplace.workers.free,Popolani
building.menu.workplace.workers.slaves,Prigionieri
building.menu.workplace.addicted,Nettaredipendenti
building.menu.patrollers,Stendardo di pattuglia
building.menu.radius,Raggio di pattuglia
building.menu.combat_max,Livello di combattimento massimo
building.menu.max_pain,LIVELLO DI DOLORE MASSIMO
menu.patrol_sign.description,Luogo di pattuglia per guerrieri
building.mine,Miniera
building.noble_house,Casa per nobili
building.paper_factory,Cartificio
building.slaves_barrack,Prigione
building.temple.preach.doubt,Sermone miscredente
building.temple.preach.faith,Sermone devoto
building.farm.pig_farm_charge_abort,Annulla rifornimento
building.farm.pig_farm_charge,Rifornisci di rape
building.gallows.crimes,Crimini
building.gallows.punishments,Punizioni
building.gallows.change,Cambia
building.training_field,Campo d'addestramento
building.woodcutter,Segheria
building.workshop,Bottega
building.gallows,Patibolo
building.market,Mercato
building.storage,Magazzino
building.tavern,Locanda
building.drug_deg,Bassifondi
building.rye_farm,Campo di segale
building.hop_farm,Campo di luppolo
building.swede_farm,Campo di rape
building.pig_farm,Allevamento di maiali
building.mill,Mulino
building.alchimestry,Laboratorio alchemico
building.melting_furnace,Fonderia
building.patrol_sign,Pattuglia notturna
display_event.actor_complete_action_task_on_gm,{name} ha completato il compito: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} non ha completato il compito.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} ha raggiunto {town_name}.
display_event.actors_married,{name_1} e {name_2} sono promessi.
display_event.new_genius_king,Indiscrezione: conquistatori
display_event.defence_alliance.squad_arrived,I rinforzi da {faction_name} sono arrivati!
display_event.defence_alliance.squad_created,I rinforzi sono stati radunati e sono ai tuoi ordini!
display_event.defence_alliance.leave.time_expired,La permanenza dei rinforzi si è conclusa; torneranno a casa.
display_event.defence_alliance.leave.battle_finished,I rinforzi ti hanno fornito supporto e torneranno a casa.
display_event.defence_alliance.leave.defence_alliance_broken,"La tua alleanza con {faction_name} si è sciolta, portando al ritiro anticipato dei rinforzi."
display_event.defence_alliance.leave.no_one_is_attacking_player,"La minaccia è cessata, i rinforzi torneranno a casa."
display_event.defence_alliance.leave.other_reason,I rinforzi torneranno a casa in anticipo.
display_event.got_title,{name} ha ricevuto un titolo nobiliare.
display_event.kid_need_title,{name} richiederà presto un titolo nobiliare.
display_event.storage_robbery_gold,I ladri hanno rubato {number} monete d'oro!
display_event.squad_go_to_take_equipment,I guerrieri stanno recuperando le armi dal deposito. Attendi...
display_event.no_servants_in_hall,Non ci sono servitori nel salone!
display_event.squad_take_all_equipment,I guerrieri sono armati e pronti!
display_event.horde_apeears,Comparsa dell'Orda profana
display_event.horde_gossip,Indiscrezione: un nuovo culto eretico in terre lontane
display_event.new_fraction,Nascita di una nuova casata nobiliare: {faction_name}
display_event.fraction_death,Declino di una casata nobiliare: {faction_name}
display_event.horde_murder_faction,L'Orda profana ha distrutto un'altra casata nobiliare.
display_event.horde_crisis_finish,L'Orda profana ha abbandonato le terre di Norland.
display_event.forecast,Previsione sui prezzi ottenuta: {resource}
display_event.village_tribute,{village_name}: pagamento del tributo
display_event.bandits_at_the_gate,Squadra ostile nelle vicinanze!
display_event.army_at_the_gate,Squadra ostile nelle vicinanze!
display_event.enemy_attack_city,Il nemico sta attaccando!
display_event.free_lord_expired,Il contratto del nobile è scaduto.
display_event.free_lord_low_loyalty,Il nobile libero ha perso lealtà.
display_event.terror_lords,Terrore tra i nobili!
display_event.terror_peasants,Terrore tra i popolani!
display_event.bandits_prepare_to_attack,I fuorilegge si preparano ad attaccare la tua città.
display_event.caravan_arrive,La Carovana sacra è arrivata in città.
display_event.free_lord_arrive,Un nobile libero attende di essere assunto.
display_event.character_bleeding,Un personaggio sanguina.
display_event.fire,Si è scatenato un incendio.
display_event.slaves_hungry,Assicurati di fornire cibo a sufficienza ai prigionieri dal menu dell'economia.
display_event.dummy_little_beer,Assicurati di fornire alcolici a sufficienza ai personaggi dal menu dell'economia.
display_event.dummy_little_food,Assicurati di fornire cibo a sufficienza ai prigionieri dal menu dell'economia.
display_event.dummy_many_homeless,Costruisci altre abitazioni.
display_event.high_fanaticism_level,Un sermone miscredente nel tempio può ridurre il fanatismo.
display_event.low_dummy_happiness,Presta attenzione ai pensieri negativi più frequenti.
display_event.not_enough_barracks,Costruisci altre caserme.
display_event.not_enough_equipment,Crea gli equipaggiamenti o acquistali dalla carovana.
display_event.not_enough_taverns,Costruisci altre locande.
display_event.not_enough_temples,Costruisci altri templi.
display_event.too_much_unemploe,"Per combattere la disoccupazione, diminuisci il morale medio e quindi il flusso migratorio."
display_event.high_prices,I popolani acquistano merci dalla Carovana sacra.
display_event.hired_soldiers_arrive,I guerrieri assoldati sono arrivati.
display_event.migrants_arrive,Sono arrivati {number} migranti.
display_event.knowledge_interaction,{name} sta studiando {knowledge}: {progress}%
display_event.book_writing,{name} sta scrivendo un libro su {knowledge}: {progress}%
display_event.not_enough_knowledge_paper,Carta insufficiente per scrivere un libro: {name}
display_event.knowledge_too_hard_again,{name} non può più studiare: {knowledge}
display_event.not_enough_resources,Risorse insufficienti.
display_event.building_breakdown,L'edificio è distrutto.
display_event.farm_depleted,Il terreno di coltivazione si è esaurito.
display_event.farm_soon_depleted,Il terreno di coltivazione si esaurirà presto.
display_event.not_enough_workers,Lavoratori insufficienti.
display_event.wheat_destroyed,Le colture sono morte a causa della siccità.
display_event.building_needs_direct_contol,L'edificio funziona solo mediante il controllo diretto.
display_event.building_without_inspector,L'edificio richiede un amministratore.
display_event.order_complete,{value} unità di {resource}: ordine completato!
display_event.building_without_instruction,I lavoratori non hanno ricevuto ordini oggi.
display_event.resources_stolen,Risorse rubate! {value} unità di {resource}
display_event.thugs_appear,Alcuni malviventi sono comparsi in città.
display_event.wolf_attack,Attacco dei lupi!
display_event.no_meds,Unguento curativo esaurito!
display_event.quest_result,Esito: {quest_name}
display_event.battle_result,Esito della battaglia
