Key,Ukrainian
loading_screen.ingame.local_map_controller,Завантаження локального контролера мапи
loading_screen.ingame.province_controller,Завантаження даних провінції
loading_screen.ingame.global_map,Завантаження зовнішньої мапи
loading_screen.ingame.battle_injuty_lottery,Завантаження імовірності бойових поранень
loading_screen.ingame.game_system_init,Ініціалізація ігрових систем
loading_screen.ingame_unloading,Відправка ігрових ресурсів
loading_screen.caching_textures,Кешування текстур
loading_screen.game_vars,Завантаження ігрових змінних
loading_screen.audio,Запуск звукової системи
loading_screen.animations,Завантаження анімацій
loading_screen.building_assets,Завантаження будівельних ресурсів
loading_screen.actor_assets,Завантаження ресурсів діячів
loading_screen.traits,Завантаження рис
loading_screen.minds,Завантаження розумів
loading_screen.tantrums,Завантаження примх
loading_screen.activity,Завантаження занять
loading_screen.game_data,Завантаження ігрових даних
loading_screen.building_constructions,Завантаження будівельних конструкцій
loading_screen.banners,Завантаження стягів
loading_screen.gui,Завантаження інтерфейсу
loading_screen.hints,Завантаження підказок
loading_screen.rich_string,Завантаження форматованих рядків
loading_screen.knowledge_localization,Завантаження локалізації знань
loading_screen.saves_and_maps,Завантаження списків світу й збережень
loading_screen.done,Завантаження завершено.
encyclopedia.help,ДОВІДКА
encyclopedia.category.battle,Бій
encyclopedia.category.economics,Економіка
encyclopedia.category.characters,Персонажі
encyclopedia.category.mechanics,Механіки
encyclopedia.category.hints,Підказки
encyclopedia.category.global_map,Мапа
encyclopedia.search,Пошук…
action_task.skill_training_caption,Навчає вмінню «{skill_name}»
actor.relations.filter.location,Неподалік
actor.relations.filter.kings,Монархи
actor.relations.filter.friends,Друзі
actor.relations.filter.enemies,Вороги
actor.relations.filter.can_seduce,Можна спокусити
action_task.category.king,Монарх
action_task.category.social,Соціальне
action_task.category.bishop,Єпископ
action_task.sub_category.social,Спілкування
action_task.sub_category.intrigue,Інтрига
actor.action_task.begging,Благати пробачення
actor.action_task.nominate_enemy,Оголосити ворогом
actor.action_task_hunt,Полювання на вовків
actor.action_task_sick_visit,Відвідати хворих
actor.action_task.marriage,Укласти шлюб
actor.action_task.bribe,Підкуп
actor.action_task.punish,Покарати
actor.action_task.reward,Винагородити
actor.action_task.rumors,Поширити чутки
actor.action_task.spent_time,Провести час
actor.action_task.invite,Запросити
actor.action_task.teach,Навчити
actor.action_task.threat,Погрожувати
actor.action_task.trade,Торгувати
actor.action_task.make_free,Звільнити
actor.action_task.seduction,Спокусити
actor.action_task.donate,Подарунок монарху
actor.action_task.kill,Вбити
actor.action_task.poison,Отруїти
actor.action_task.play_dice,Грати в кості
actor.action_task.depart,Вигнати
actor.action_task.duel_call,Викликати на двобій
actor.action_task.duel_provocation,Провокація на двобій
actor.action_task.free_lord_hire,Найняти вельможу
actor.action_task.send_guest,Відправити гостя
actor.action_task.king_tribute,Підношення
actor.action_task.confession,Сповідатися
actor.action_task.kidnap,Схопити
actor.action_task.free_captive,Відпустити
actor.action_task.forced_sex,Примусити до сексу
actor.action_task.appoint_an_heir,Оголосити спадкоємцем
actor.action_task.go_home,Відправити додому
actor.action_task.sex_with_dummy,Пропозиція
actor.action_task.new_heir,Призначити спадкоємцем
actor.action_task.canonization,Благословити
actor.action_task.divorce,Розлучитися
actor.action_task.consolation,Втішити
actor.action_task.give_title_to_hired_free_lord,Надати титул
actor.action_task.give_title_to_soldier,Надати титул
actor.action_task.take_title,Позбавити титулу вельможі
actor.action_task.join_captive,Звільнити й прийняти
actor.action_task.new_king,Передати корону
actor.appoint_in_town,Тут: {town_name}
actor.appoint_in_this_town,У цьому поселенні
actor.appoint.our_lords,Наші вельможі
actor.appoint.other_lords,Інші вельможі
actor.action.training,ВИШКІЛ
actor.action.conversation,ПЕРЕГОВОРИ
actor.action.army.on_local_map,На місцевій мапі
actor.action.army.on_global_map,На глобальній мапі
actor.action.army,ВІЙСЬКО
actor.action.executor,ДІЯЧ
actor.action.executor_replace,ЗАМІНИТИ
actor.action.teacher,ВЧИТЕЛЬ
actor.action.chancellery_any,Будь-яка канцелярія
actor.action.punishment,ПОКАРАННЯ
actor.action.teach,ВИВЧИТИ
actor.action.person,КОГО?
actor.action.different_actions,ДІЯ
actor.action.trade,ТОРГІВЛЯ
actor.action_task.invite_guest,Запросити до своєї провінції
actor.status.on_global_map,На глобальній мапі
actor.status.on_global_map_lost,Відсутність
actor.status.in_army,У загоні на глобальній мапі
actor.status.in_travel,Подорожує
actor.status.in_object,Тут: {object_name}
actor.adjective.addicted_to_drink,Схильний до пияцтва
actor.adjective.ambitious,Амбіційний
actor.adjective.angry,Мстивий
actor.adjective.arrogant,Самовпевнений
actor.adjective.ascetic,Аскетичний
actor.adjective.bloodthirsty,Кровожерливість
actor.adjective.contemptuous,Презирливий
actor.adjective.contradictory,Суперечливий
actor.adjective.emotional,Емоційний
actor.adjective.envious,Заздрісний
actor.adjective.friendly,Дружній
actor.adjective.frivolous,Легковажний
actor.adjective.greedy,Жадібний
actor.adjective.indifferent,Байдужий
actor.adjective.intemperate,Імпульсивний
actor.adjective.jealous,Ревнивий
actor.adjective.mean,Злостивий
actor.adjective.melancholy,Меланхолічний
actor.adjective.sarcastic,Саркастичний
actor.adjective.subtle,Витончений
actor.adjective.trusting,Легковірний
actor.adjective.weakpowered,Слабкий
actor.appoint.skill.level,{level}
actor.relation_hint_header,{name} ({age_string})
actor.appoint.nominate_enemy.peasant,<red>Безпідставні напади на селянина призведуть до <hint=hint_terror_peasants>терору</hint></red>
actor.appoint.nominate_enemy.lord,<red>Безпідставні напади на вельможу призведуть до <hint=hint_terror_lord>терору</hint></red>
actor.appoint.nominate_enemy.guest,"<red>Напад на гостя, безвідносно його вчинків, вважатиметься порушенням священного закону гостинності.</red>

$ {soul_uuid_performer_king} і {soul_uuid_target}, взаємини: <red>{relations_modify_target}

</b>ПІДКАЗКА</b>: для розв'язання конфліктів краще використовувати <hint=hint_duel>двобій</hint>."
actor.appoint.nominate_enemy.bishop,"<red>Напад на члена Люблячої сім'ї, безвідносно його вчинків, вважатиметься підставою для покарання вашого міста <hint=hint_inquisitors>Інквізицією</hint>.</red>"
actor.age,{age} років
actor.age_short,{age} р.
actor.class.unarmed,Беззбройний
actor.class.l_archer,Легкий лучник
actor.class.axeman,Сокирник
actor.class.guard,Вартовий
actor.class.h_axeman,Важкий сокирник
actor.class.faceless_axeman,Воїн Нечистої орди
actor.class.h_hammerhead,Важкий булавник
actor.class.h_spearman,Важкий списоносець
actor.class.h_swordman,Важкий мечник
actor.class.hammerhead,Булавник
actor.class.l_spearman,Легкий списоносець
actor.class.outcast,Вигнанець
actor.class.spearman,Списоносець
actor.class.swordman,Мечник
actor.class.light_archer,Лучник 3-5 рів. без обладунків
actor.class.light_hammerhead,Булавник 3-5 рів. без обладунків
actor.class.light_spearman,Списоносець 3-5 рів. без обладунків
actor.class.light_axeman,Сокирник 3-5 рів. зі щитом і без обладунків
actor.class.middle_archer,Лучник 8-11 рів. в легких обладунках
actor.class.middle_hammerhead,Булавник 8-11 рів. в легких обладунках і зі щитом
actor.class.middle_spearman,Списоносець 8-11 рів. в легких обладунках і зі щитом
actor.class.heavy_axeman,Сокирник 13-17 рів. у важких обладунках і зі щитом
actor.class.heavy_swordman,Мечник 13-17 рів. у важких обладунках і зі щитом
actor.class.lord,Вельможа-мечник у важких обладунках і зі щитом
actor.dignity.king,Правитель
actor.events,ПОДІЇ
actor.events_date,ДАТА
actor.knowledge,ЗНАННЯ
actor.hint.battle_skill,Рівень навички ведення бою
actor.hint.crimes.caption,Злочини
actor.hint.injury.caption,Поранення
actor.hint.injury.pain_level,Рівень болю: {pain}
actor.hint.injury.pain_threshold,<hint=hint_pain_level>Поріг болю:</hint> {pain_threshold}
actor.hint.injury.risk_inflamation,* – Залишається ризик інфекції
actor.hint.sin.caption,Гріхи
actor.hint.sin.piety_impact,Вплив на настрій: {piety_impact}
actor.impact_on_person,ДІЯ
actor.inventory,ІНВЕНТАР
actor.log.today,Сьогодні
actor.log.days_before,Минуло днів: {day}
actor.log.yesterday,Вчора
actor.loyalty,Вірність {loyalty}%
menu.battle_result.win,Перемога!
menu.battle_result.lose,Поразка
menu.battle_result.deployed,Розміщено
menu.battle_result.died,Загибло
menu.battle_result.escaped,Втекло
menu.battle_result.captured,Взято у полон
actor.menu.appoint.hunt,Полювання
actor.mind.count_scheme,{mind_caption} ({mind_count})
actor.minds,ДУМКИ
actor.moral,НАСТРІЙ
actor.motive.energy,Сон
actor.motive.food,Їжа
actor.motive.rest,Відпочинок
actor.motive.religion,Набожність
actor.motive.sex,Секс
actor.motive.care,Догляд
actor.noun.adventurer,Шукач пригод
actor.noun.depraved,Гульвіса
actor.noun.fatalist,Фаталіст
actor.noun.flatterer,Улесливець
actor.noun.genius,Геній
actor.noun.introvert,Інтроверт
actor.noun.moron,Простак
actor.noun.mystic,Містик
actor.noun.narcissist,Нарцис
actor.noun.rude,Грубіян
actor.noun.shameless,Збоченець
actor.noun.skeptic,Скептик
actor.noun.workaholic,Трудоголік
actor.opinion.choose_factions.province_hint,На місцевій мапі
actor.opinion.interest,Зацікавленість:
actor.opinion.interest.high,Висока
actor.opinion.interest.low,Низька
actor.opinion.interest.middle,Середня
actor.opinion.no_minds,Немає думки
actor.opinion.opinion_of,Думка про {name}:
actor.opinion.opinion_of_me,{name}: думка про мене:
actor.opinion.opinion_of_third_person,{name_2}: думка про {name}:
actor.opinion.special.deadly_enemy,Смертельний ворог
actor.opinion.special.enemy,Ворог
actor.opinion.special.friend,Друг
actor.opinion.special.like,Хороші взаємини
actor.opinion.special.love,Романтичний інтерес
actor.part_of_nature,РИСИ ХАРАКТЕРУ
actor.punish.execute,Стратити
actor.punish.expel,Вигнати
actor.punish.imprison,Залишити заручником
actor.desire,БАЖАННЯ
actor.skill.command,Командування
actor.skill.education,Викладання
actor.skill.fight,Ведення бою
actor.skill.knowledge,Кмітливість
actor.skill.management,Керування
actor.skill.manners,Манери
actor.skill.negotiation,Торгівля
actor.skill.oratory,Переконування
actor.skill.points_remain,{number} досвіду необхідно для досягнення наступного рівня
actor.skills,НАВИЧКИ
actor.skills_training,ВИШКІЛ
actor.skills.level,{level}
actor.skill_category.rhetoric,Риторика
actor.skill_category.economic,Економіка
actor.skill_category.philosophy,Філософія
actor.skill_category.warcraft,Військова справа
actor.stata.bandit,Розбійник
actor.stata.thug,Головоріз
actor.states,СТАНИ
actor.strata.animal,Тварина
actor.strata.slave,В'язень
actor.traits,СТАН
building.hostel,Спочивальня
building.library,Бібліотека
building.armorsmith,Кузня обладунків
building.barracks,Казарми
building.brewery,Броварня
building.caption_with_level,{building_name} рівня {level}
building.castle,Замок
building.chancellery,Канцелярія
building.church,Храм
building.altar,Вівтар
building.coal_burner,Вугільна піч
building.coal_furnace,Вугільна піч
building.coal_mine,Вугільна шахта
building.description.burned,Ця споруда була знищена внаслідок пожежі. Її можна тільки знести.
building.farm,Ферма
building.forge,Зброярська кузня
building.hall_storage,Замковий склад
building.herbalist,Травник
building.house,Селянський дім
building.menu.appoint.church,ПРОПОВІДЬ
building.menu.appoint.training,ВИШКІЛ
building.menu.appoint.gallows,ПОКАРАННЯ
building.menu.appoint.chancellery,КАНЦЛЕР
building.menu.appoint.culture,КУЛЬТУРА
building.menu.appoint.appoint_culture,призначити
building.menu.castle.builders,БУДІВЕЛЬНИКИ
building.menu.castle.servants,СЛУГИ
building.menu.gallows.terror,Терор
building.menu.gallows.executers,КАТИ
building.menu.in_stock,У СКЛАДІ
building.menu.required_resources,ПОТРІБНО
building.menu.required_resources.count,{available}/{required}
building.menu.residence.residents,ЖИТЕЛІ
building.menu.service.attendance,Відвідування
building.menu.service.inspection,ПОЛІТИКА
building.menu.service.revenue,Прибуток
building.menu.combat_training.number_of_places,ОДНОЧАСНИЙ ВИШКІЛ
building.menu.sold,ПРОДАНО
building.menu.trader,КУПЕЦЬ
building.menu.special_button.auto_repair,Авторемонт
building.menu.special_button.abort,Скасувати
building.menu.special_button.destroy,Знищити
building.menu.special_button.relocate,Перемістити
building.menu.special_button.repair,Ремонт
building.menu.special_button.upgrade,Вдосконалити
building.menu.special_button.upgrade_workplace,#ERROR!
building.menu.status.breakdown,Руйнування
building.menu.status.need_charge,Ресурси ферми вичерпано.
building.menu.status.burned_full,Знищено пожежею.
building.menu.status.burned_partially,Частково згоріло.
building.menu.status.burning,У будівлі пожежа!
building.menu.status.church,Релігійних фанатиків у місті: {fanatics_percent}%
building.menu.status.construction,Відбувається будівництво.
building.menu.status.construction_template,{status} ({progress}%) – виконано
building.menu.status.demolition,Відбувається знесення.
building.menu.status.extinguishing,Відбувається гасіння пожежі.
building.menu.status.harvest.after_tomorrow,Збір урожаю відбудеться післязавтра.
building.menu.status.harvest.n_days,Вони збиратимуть урожай через {days} д.
building.menu.status.harvest.today,Сьогодні збиратимуть урожай.
building.menu.status.harvest.tomorrow,Завтра збиратимуть урожай.
building.menu.status.no_tasks,Віддайте наказ в меню «Виробництво».
building.menu.status.fertilize,Родючість: {number}%
building.menu.status.produce,Виробляється: {resource} ({progress}%)
building.menu.status.raw_not_enough,Для виробництва бракує ресурсів.
building.menu.status.relocate,Відбувається переміщення.
building.menu.status.repair,Відбувається ремонт.
building.menu.status.upgrade,Відбувається вдосконалення.
building.menu.status.work_time,Робочий час: із {work_hour_begin} до {work_hour_end}
building.menu.status.works_fine,Працює нормально
building.menu.status.pig_farm_need_to_charge,Потрібно поповнити бруквою
building.menu.status.need_inspector,Потрібно призначити керівника
building.menu.status.need_inspection,Не отримано вказівок
building.menu.status.need_paper_charge,Потрібно поповнити папером
building.menu.tavern.allow_nectar,Дозволити нектар
building.menu.temple.donation,Пожертви
building.menu.temple.priest,СВЯЩЕННИК
building.menu.workplace.appoint_inspector,Призначити
building.menu.workplace.inspection,КЕРУВАННЯ
building.menu.workplace.priority,Пріоритет
building.menu.workplace.produced_today,ВИРОБЛЕНО СЬОГОДНІ
building.menu.workplace.bonus_slave,Бонус від в'язнів: {bonus_slave}
building.menu.workplace.bonus_addicted,Бонус від залежних: {bonus_addicted}
building.menu.workplace.bonus_culture,Бонус від культури {culture}: {bonus_culture}
building.menu.workplace.statistics,СТАТИСТИКА
building.menu.workplace.workers,ПРАЦІВНИКИ
building.menu.workplace.workers.free,Селяни
building.menu.workplace.workers.slaves,В'язні
building.menu.workplace.addicted,Залежні
building.menu.patrollers,Стяг патруля
building.menu.radius,Радіус патрулювання
building.menu.combat_max,Максимальний рівень бою
building.menu.max_pain,МАКСИМАЛЬНИЙ РІВЕНЬ БОЛЮ
menu.patrol_sign.description,Місце патрулювання солдатів
building.mine,Шахта
building.noble_house,Будинок вельможі
building.paper_factory,Паперова майстерня
building.slaves_barrack,Тюремний барак
building.temple.preach.doubt,Проповідь сумніву
building.temple.preach.faith,Проповідь віри
building.farm.pig_farm_charge_abort,Скасувати поповнення
building.farm.pig_farm_charge,Поповнити бруквою
building.gallows.crimes,Злочини
building.gallows.punishments,Покарання
building.gallows.change,Змінити
building.training_field,Тренувальний майданчик
building.woodcutter,Лісопильня
building.workshop,Майстерня
building.gallows,Ешафот
building.market,Ринок
building.storage,Склад
building.tavern,Корчма
building.drug_deg,Наркопритон
building.rye_farm,Житнє поле
building.hop_farm,Хмелеве поле
building.swede_farm,Бруквове поле
building.pig_farm,Свиноферма
building.mill,Млин
building.alchimestry,Алхімічна лабораторія
building.melting_furnace,Плавильна піч
building.patrol_sign,Нічний патруль
display_event.actor_complete_action_task_on_gm,{name} успішно виконує завдання: {task_name}.
display_event.actor_abort_action_task_on_gm,{name} провалює завдання.
display_event.actor_arrived_in_town_as_guest_on_gm,{name} прибуває до: {town_name}.
display_event.actors_married,{name_1} і {name_2} заручені.
display_event.new_genius_king,Чутки: завойовники
display_event.defence_alliance.squad_arrived,Прибуло підкріплення з: {faction_name}!
display_event.defence_alliance.squad_created,Підкріплення зібрано й переведено у ваше розпорядження!
display_event.defence_alliance.leave.time_expired,"Термін перебування підкріплень скінчився, вони повертаються додому."
display_event.defence_alliance.leave.battle_finished,Підкріплення допомогли вам і тепер повертаються додому.
display_event.defence_alliance.leave.defence_alliance_broken,"{faction_name} – більше не союзник, тож підкріплення передчасно повертаються додому."
display_event.defence_alliance.leave.no_one_is_attacking_player,Ви більше не під загрозою – підкріплення повертаються додому.
display_event.defence_alliance.leave.other_reason,Підкріплення повертаються додому передчасно.
display_event.got_title,{name} набуває титулу вельможі.
display_event.kid_need_title,{name} незабаром потребуватиме доступного титулу вельможі.
display_event.storage_robbery_gold,Злодії вкрали {number} золота!
display_event.squad_go_to_take_equipment,Воїни беруть зброю зі складу. Зачекайте…
display_event.no_servants_in_hall,У замку немає слуг!
display_event.squad_take_all_equipment,Воїни озброєні й готові!
display_event.horde_apeears,Поява Нечистої орди
display_event.horde_gossip,Чутки: у далеких лісах з'явилася нова секта єретиків
display_event.new_fraction,Народження нового шляхетного дому: {faction_name}
display_event.fraction_death,Падіння шляхетного дому: {faction_name}
display_event.horde_murder_faction,Нечиста орда знищила ще один шляхетний дім.
display_event.horde_crisis_finish,Нечиста орда покинула землі Норланду.
display_event.forecast,Отримано передбачення цін: {resource}.
display_event.village_tribute,{village_name}: платить данину
display_event.bandits_at_the_gate,Неподалік ворожий загін!
display_event.army_at_the_gate,Неподалік ворожий загін!
display_event.enemy_attack_city,Ворог нападає!
display_event.free_lord_expired,Угода із вельможею закінчилася.
display_event.free_lord_low_loyalty,Вільний вельможа втрачає вірність.
display_event.terror_lords,Вельмож охопив жах!
display_event.terror_peasants,Селян охопив жах!
display_event.bandits_prepare_to_attack,Розбійники збираються напасти на ваше поселення.
display_event.caravan_arrive,До міста прибув Священний караван.
display_event.free_lord_arrive,Вільний вельможа чекає найму.
display_event.character_bleeding,Персонаж спливає кров'ю.
display_event.fire,Почалася пожежа.
display_event.slaves_hungry,"Перевірте в меню «Економіка», чи достатньо їжі отримують в’язні."
display_event.dummy_little_beer,"Перевірте в меню «Економіка», чи достатньо алкоголю отримують персонажі."
display_event.dummy_little_food,"Перевірте в меню «Економіка», чи достатньо їжі отримують в’язні."
display_event.dummy_many_homeless,Збудуйте більше житла.
display_event.high_fanaticism_level,Проповідь сумніву в храмі може знизити фанатизм.
display_event.low_dummy_happiness,Будьте уважні до найчастіших нещасливих думок.
display_event.not_enough_barracks,Збудуйте більше казарм.
display_event.not_enough_equipment,"Придбайте спорядження в каравані, або створіть його самі."
display_event.not_enough_taverns,Збудуйте більше корчем.
display_event.not_enough_temples,Збудуйте більше храмів.
display_event.too_much_unemploe,Для боротьби з безробіттям знизьте середній показник настрою – це зменшить рівень міграції.
display_event.high_prices,Селяни купують товари у Священному каравані.
display_event.hired_soldiers_arrive,Прибули найняті воїни.
display_event.migrants_arrive,Прибуло мігрантів: {number}.
display_event.knowledge_interaction,{name} вивчає «{knowledge}»: {progress}%
display_event.book_writing,{name} пише книгу «{knowledge}»: {progress}%
display_event.not_enough_knowledge_paper,Бракує паперу для написання книги: {name}
display_event.knowledge_too_hard_again,{name} вже не може вивчити: {knowledge}
display_event.not_enough_resources,Бракує ресурсів.
display_event.building_breakdown,Будівля поламана.
display_event.farm_depleted,Земля на фермі виснажена.
display_event.farm_soon_depleted,Земля на фермі скоро буде виснажена.
display_event.not_enough_workers,Бракує робітників.
display_event.wheat_destroyed,Посіви загинули через посуху.
display_event.building_needs_direct_contol,Для роботи будівлі потрібне безпосереднє керування.
display_event.building_without_inspector,Будівлі потрібен керівник.
display_event.order_complete,{value} {resource}: наказ виконано!
display_event.building_without_instruction,Сьогодні робітники не отримали вказівок.
display_event.resources_stolen,Ресурси вкрадено! {value} {resource}
display_event.thugs_appear,У місті з'явилися головорізи.
display_event.wolf_attack,Напад плотожерів!
display_event.no_meds,Завершено: цілюща мазь
display_event.quest_result,Результат: {quest_name}
display_event.battle_result,Результати битви
display_event.battle_start,Нова битва!
display_event.new_quest,{name}
display_event.new_book,Створену нову копію книги: {knowledge}
display_event.new_knowledge,Знання вивчено: {knowledge}
display_event.slave_escape,В'язень намагається втекти.
display_event.unhappy_lord,Вельможа вашої сім'ї незадоволений.
