Key,SimplifiedChinese
hint_fleshwolf,"饿狼
饿狼是一种强大的掠食动物，也是诺兰德境内典型的稀有物种。

一般认为，饿狼在战斗力上等同于一名具备{wolf_level}战斗技能，且装备着<hint=hint_resource_wooden_spear>矛</hint>的斗士。

$饿狼一般栖息在森林中，少见于开阔地带，会袭击人类。可以派出<hint=hint_bld_patrol_sign_day>日间巡逻队</hint>保护平民。
$领主通常会两人一组猎杀饿狼，并且使用近战武器，以示对生灵的尊重。
$组织战士部队也可以猎杀饿狼。
$每杀死一只饿狼，可从其尸体获取可食用的<hint=hint_resource_meat>肉</hint>。"
hint_action_task_reward,"奖赏
角色将因为忠诚的奉献受到君王的奖赏。

君王：{skill_name}等级：{skill_level}

<b>结果：</b>
$想法<green>受到奖赏：{mind_modify}</green>
$忠诚度：<green>{loyalty_modify}</green>

<b>代价</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>负面影响：</b>
与君王的关系：<green>{relations_modify}</green>"
hint_action_task_threat,"威胁
君王警示过，如果角色有背叛的念头，将面临严重的后果。

君王：{skill_name}等级：{skill_level}

<b>结果：</b>
$忠诚度：<green>{loyalty_modify}</green>

<b>负面影响</b>：
$消极想法：<red>受到威胁：{threat_moral_modify}</red>
$角色有几率会攻击君王。"
hint_action_task_donate,"要求捐献
统治者要求该角色捐献几枚<hint=hint_resource_rune>圣戒</hint>作为援助。

统治者：{skill_name}等级：{skill_level}

<b>结果：</b>
$想法<red>被迫捐献：{mind_modify}</red>
$忠诚度：<red>{loyalty_modify}</red>

<b>统治者收到</b>：
$ {rings_rew_number} <hint=hint_resource_rune>圣戒</hint>。"
hint_action_new_heir,"指定为继承人
君王将宣布此角色为他的继承人。

<b>结果：</b>
$ {soul_uuid_1}将成为继承人。
$前任继承人{soul_uuid_2}会感觉权威受损，并对君王和{soul_uuid_1}心生怨恨。"
hint_action_new_king,"传授王位
君王将会传位于此角色。

<b>结果：</b>
${soul_uuid_1}将成为君王。
$君王和<hint=hint_bishop>主教</hint>、女教皇以及邻邦的关系将会重新开始。
$前任君王{soul_uuid_2}会感到沮丧，憎恨{soul_uuid_1}。"
hint_action_give_title_to_hired_free_lord,"为自由领主授予爵位
君王将为{soul_uuid_1}授予<hint=hint_title>爵位</hint>，使他成为其家族中的正式成员。

需要向神爱之家支付税款才能保证{soul_uuid_1}享有合法的家族权利。

<b>结果：</b>
${soul_uuid_1}将会接受爵位，加入{faction_uuid}。
$将会花费 <hint=hint_resource_gold>{give_title_cost}</hint>作为税款支付给神爱之家。
$可授予的爵位数量减 1。"
hint_action_give_title_to_soldier,"为战士授予爵位
君王将为没有土地的战士{soul_uuid_1}授予<hint=hint_title>爵位</hint>，使其成为其家族中的正式成员。这种领主的技能等级相对较低。

需要向神爱之家支付税款为{soul_uuid_1}提供血统证明文书。

其他领主会因为其出身卑微而持有负面态度。

<b>结果：</b>
$ {soul_uuid_1}将接受爵位，成为{faction_uuid}的正式领主。
$对其他领主的初始态度：<red>{mind_modify}</red>
$将会花费 <hint=hint_resource_gold>{give_title_cost}</hint>作为税款支付给神爱之家。
$可授予的爵位数量减 1。"
hint_action_take_title,"剥夺领主的爵位
君王将剥夺{soul_uuid_1}领主的<hint=hint_title>爵位</hint>，他有可能会成为<hint=hint_untitled_lord>次等领主</hint>。

<b>结果：</b>
$遭到除名的领主将牢记这种屈辱，而且会对君王产生强度为<red>{der_thought}</red>的消极想法。
$这位领主的朋友会感到不满，而且会对君王产生消极想法。
$可授予的爵位数量加 1。"
hint_action_task_dice,"玩骰子
与其他领主玩骰子。

游戏的结果是随机的，主要受到掷骰者<hint=hint_skill_knowledge>智力</hint>技能差异的影响。

赌注是<hint=hint_resource_rune>{dice_bet}</hint>。"
hint_action_task_dice_context,"玩骰子
与其他领主玩骰子。

赌注是<hint=hint_resource_rune>{dice_bet}</hint>。

${soul_uuid_1}：智力 {number1}
$ {soul_uuid_2}：智力 {number2}

{soul_uuid_1}获胜几率为{ver}%。"
hint_action_make_enemy,"宣布敌对立场
宣布{soul_uuid_target}为你的君王的敌人。

$该角色将试图尽快逃离王国。
$你的领主和战士将试图击杀该角色（在具备武装的情况下）。
$你也可以利用<hint=hint_army>作战部队</hint>攻击该角色（右键点击目标）。
{additional_info_stack}"
hint_action_task_hunt,"狩猎
角色们正在合力狩猎一头<hint=hint_fleshwolf>饿狼</hint>。

一般认为，饿狼在战斗力上等同于一名具备{wolf_level}战斗技能，且装备着<hint=hint_resource_wooden_spear>矛</hint>的斗士。

$狩猎成功时，若饿狼被击败，两名猎手保持站立，则两人皆会获得长期<hint=hint_thought_social>社交想法</hint>“一起狩猎”<green>{hunt_improve}</green>。
$此外，在狩猎成功的情况下，参与者的<hint=hint_skill_combat>战斗技能</hint>以及<hint=hint_skill_command>指挥技能</hint>将获得 {exp_points} 点经验值。
$若任一猎手被击败，则两人都会获得负面社交想法“蹩脚猎人”<red>{bad_hunter}</red>。"
hint_action_task_hunt_context,"狩猎
{soul_uuid_1}：<hint=hint_skill_combat>战斗技能</hint>：{skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}：<hint=hint_skill_combat>战斗技能</hint>：{skill_2}
{soul_2_equipment_stack}

饿狼在战斗力上等同于一名具备{wolf_level}战斗技能，且装备着<hint=hint_resource_wooden_spear>矛</hint>的斗士。"
hint_action_task_together,"共度时光
角色会共同度过一段时间，他们一起散步、祈祷、演奏音乐等等。

在这段时间内，一定会进行 2 次<hint=hint_conversation>深入交流</hint>（不一定愉快）。

是否能进行友好的深入交流取决于角色的<hint=hint_mood>心情</hint>好坏，而这种交流所产生想法的强度取决于<hint=hint_skill_manners>礼仪</hint>技能的等级。"
hint_action_task_hunt_unavailable,"操作失败
主教无法参与狩猎。"
hint_action_task_hunt_by_no_wolf,"操作失败
森林中没有可狩猎的饿狼。"
hint_action_task_together_new_context,"正在共度时光
$ {soul_uuid_1}：心情 {mood_stack_1}，<hint=hint_skill_manners>礼仪：</hint> {skill_level_1} 
$ {soul_uuid_2}：心情 {mood_stack_2}，<hint=hint_skill_manners>礼仪：</hint> {skill_level_2}

<b>结果：</b>
{soul_uuid_1}将考虑${soul_uuid_2}：
{deep_social_stack_1}
心情：{moral_change_1}

{soul_uuid_2}将考虑${soul_uuid_1}：
{deep_social_stack_2}
心情：{moral_change_2}"
hint_child_sub_context,"~
该角色是一位家长，因此这种互动也会体现出关爱，满足孩子对<hint=hint_need_care>关爱</hint>的需求。"
hint_marriage_local,"结婚
两位领主不敢违背其统治者的意愿，将缔结合法<hint=hint_marriage>婚姻</hint>。

子女与父母之间、兄弟姐妹之间禁止通婚。"
hint_marriage_local_context,"结婚
{soul_uuid_1}将成为{soul_uuid_2}的配偶。"
hint_action_task_lesson,"~
$如果该学生具有这项技能的<hint=hint_talant>天赋</hint>，将获得更多经验。
$此行动将每天执行，直到无法执行或被取消为止。
$此行动将触发导师和学生的<hint=hint_need_fun>休息</hint>需求。"
hint_action_task_lesson_context,"学习
这位导师能够培养学生的以下技能：
$提升{skill_name}至 {skill_level_cup} 级
$提升{skill_name_2}至 {skill_level_cup_2} 级

训练成效：
$导师具备<hint=hint_skill_teaching>训练</hint>技能：{skill_level_3}
$每堂课可以传递 {exp} 经验值

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"综合训练
导师将训练学生的所有技能，首先集中训练学生的天赋，使其达到技能上限，然后依次训练其余技能。"
hint_action_task_lesson_guest,"~
该角色是你的宾客，所以这堂课将花费 <hint=hint_resource_rune>{price}</hint>。

将由君王支付这笔费用。"
hint_action_task_lesson_change_culture,"~
该角色归属{culture}文化，所以该学生有机会更改他的文化。"
hint_action_task_lesson_guest_no_money,"圣戒不足
该角色是你的宾客，所以这堂课将花费 <hint=hint_resource_rune>{price}</hint>。

你没有足够的圣戒支付这堂课的费用。"
hint_action_task_lesson_bishop_low_opinion,"关系不佳
与你的君王关系不佳，数值低。

将与君王的关系提升至<green>{option_req}</green>。"
hint_duel,"决斗
让两人展开一场正式决斗，以此确立关系。

$参与决斗可以消除复仇或杀戮的<hint=hint_desire>欲望</hint>（如果有的话）。
$决斗会持续到其中一方失去意识，但也有可能有人身亡。
$决斗者对对手造成越多痛苦，越容易纾解自己的欲望。
$决斗被公认为一种高尚的调解手段；所以即使在决斗中杀害了<hint=hint_bishop>主教</hint>，也不会因此引发女教皇的怒火。"
hint_duel_provoke,"挑衅
一位来自邻邦的宾客挑衅你的领主与其决斗。决斗将于今晚举行。

如果对决斗结果没有信心，可以在此之前将宾客逐出你的省邦，让你的领主避免伤亡风险，但这会恶化你的统治者与宾客所在省邦君王（包含宾客本人）的关系。"
hint_duel_context,"决斗
{soul_uuid_1}：<hint=hint_skill_combat>战斗技能</hint>：{skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}：<hint=hint_skill_combat>战斗技能</hint>：{skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"执行者不兼容
该领主必须是{soul_uuid_target}的<hint=hint_enemy>敌人</hint>。"
hint_action_task_savant_study_unavalable,"学者
学者无法受训。"
hint_action_invite,"邀请作客
该领主将受邀造访你的聚落，并逗留数天。

$若双方君王的关系高于 <green>{opinion_threshold}</green>，该领主便会应邀。"
hint_action_shadow,"邪恶勾当
<b>该城市的行动菜单中</b>，可以雇佣当地的刺客替你行使邪恶勾当，诸如盗窃、绑架等。

服务费用取决于你君王的<hint=hint_skill_speech>游说</hint>技能。"
hint_action_task_hire_free_lord,"雇佣
雇佣一名自由领主，为期 10 天。

自由领主一样可以指派各种事项：视察建筑、率领部队等等。

雇佣费取决于负责交涉的领主的<hint=hint_skill_speech>游说</hint>技能。"
hint_action_task_hire_free_lord_context,"雇佣领主
{skill_name}等级：{skill_level}
可雇佣领主的{skill_name}等级：{free_lord_skill_level}

雇佣 10 天的总费用：<hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

提示：该领主仅在契约到期后才会收到报酬，在此之前款项由教会保管，以约束双方遵守契约。"
hint_action_task_seduce,"诱惑
$如果受到诱惑的领主对执行者抱有<green>高度</green><hint=hint_interest>兴趣</hint>（高于 {interest_high}），两人便会上床共度良宵。
$目标会<green>大力增进与你的统治者之间的关系</green>（多亏了诱惑者），最终可能会使其成为你的<hint=hint_encyclopedia_puppets>傀儡</hint>。

效果取决于诱惑者的<hint=hint_skill_manners>礼仪</hint>技能以及目标的<hint=hint_skill_knowledge>智力</hint>。

[hint_loyal_conflict]"
hint_action_task_seduce_context,"诱惑
{skill_name}等级：{skill_level}
目标的{target_skill_name}等级：{target_skill_level}

<b>结果：</b>
$与你的统治者（{soul_uuid_king}）的关系：<green>{rel_plus}</green>
${soul_uuid_performer}的想法：<red>{being_used}</red>

{soul_uuid_target}对{soul_uuid_performer}的兴趣：{interest_stack}"
hint_action_task_seduce_local,"诱惑
$若该领主对执行者抱有<green>高度</green><hint=hint_interest>兴趣</hint>（高于 {interest_high}），两人便会上床共度良宵。
$结果：目标会<green>大力增进与你的统治者之间的关系</green>，最终可能会使其成为你的<hint=hint_encyclopedia_puppets>傀儡</hint>。"
hint_action_task_seduce_local_context,"诱惑
{skill_name}等级：{skill_level}
目标的{target_skill_name}等级：{target_skill_level}

<b>结果：</b>
${soul_uuid_performer}的想法：<red>{being_used}</red>
$和你的统治者（{soul_uuid_king}）的关系：<green>{rel_plus}</green>

{soul_uuid_target}对{soul_uuid_performer}的兴趣：{interest_stack}"
hint_poison,"下毒
如果投毒成功，目标将会痛苦地死去，但嫌疑人会遭到怀疑，禁止进入该省邦。

一旦失败，双方<hint=hint_persons_king>君王</hint>之间的<hint=hint_relations>关系</hint>将急剧恶化，且目标会发动一场殊死搏斗。投毒者会被永久禁止进入该省邦。

$成功几率取决于互动者之间的<hint=hint_skill_knowledge>智力</hint>技能差距。
$你必须拥有具备<hint=hint_trait_poisoner>投毒者</hint>特质的角色，且该角色需对你的君王忠诚度较高。"
hint_poison_context,"下毒
{soul_uuid_performer}
{skill_name_2}等级：{skill_level_2}

{soul_uuid_target}
{skill_name_1}等级：{skill_level_1}

<b>成功几率：</b> {assain_chance}%

一旦失败，双方<hint=hint_persons_king>君王</hint>之间的<hint=hint_relations>关系</hint>将急剧恶化，且目标会发动一场殊死搏斗。"
hint_action_task_bribe,"贿赂
$领主将赠予该角色 <hint=hint_resource_rune>{rings_rew_number}</hint>，并企图挑拨该角色与所属君王的关系。
$完成后，该领主对所属君王的<hint=hint_loyalty>忠诚度</hint>会降低。
$目标忠诚度的减损程度取决于执行者的<hint=hint_skill_speech>游说</hint>技能。

[hint_loyal_conflict]"
hint_action_task_bribe_context,"贿赂
{skill_name}等级：{skill_level}
目标的{skill_name}等级：{lord_skill_level}

<b>结果：</b>
$对所属君王的<hint=hint_loyalty>忠诚度</hint>：<red>{loyalty_modify}</red>
$与你的统治者（{soul_uuid_king}）的关系：<green>+{rel_plus}</green>

<b>费用</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"操作失败
这位领主对所属君王非常忠诚。"
hint_action_task_bribe_gm,"~
此任务可派遣使者执行。使者会代表君王行贿，效果则取决于使者的技能水平。"
hint_action_task_go,"驱逐
要求宾客离开省邦。

宾客的统治者以及宾客本人与你的君王之间关系将会恶化。

而且，该宾客未来不得再次进入你的省邦。"
hint_action_task_go_context,"驱逐
要求宾客离开省邦。

该举动会招致消极想法，严重程度取决于执行者的礼仪技能。

{soul_uuid_performer}：
{skill_name_2} {skill_level_2} 级。

${soul_uuid_target}与{soul_uuid_performer_king}之间的关系：<red>{relations_modify_target}</red>
${soul_uuid_king}与{soul_uuid_performer_king}之间的关系：<red>{relations_modify_king}</red>
$该角色之后无法再次来访。"
hint_kidnap,"绑架
设法在所选角色熟睡时实施绑架。

$如果该角色没有惊醒（惊醒几率 {wake_k}%），便会成为<hint=hint_trait_captive>人质</hint>。
$如果目标中途惊醒，将与执行者搏斗，接着设法逃离聚落。不过，只要执行者或卫兵成功阻止了目标的行动，绑架还是有机会成功。

不论结果如何，你都会违反神圣的待客之道，导致所有邻邦<hint=hint_persons_king>君王</hint>与你的君王之间的<hint=hint_relations>关系</hint>大幅恶化。

执行者的<hint=hint_loyalty>忠诚度</hint>必须高于 {loyalty_action} 才能实施绑架。"
hint_kidnap_context,"绑架
受害者惊醒的几率：{wake}%

{soul_uuid_performer}：
{skill_name_1}等级：{skill_level_1}

{soul_uuid_target}：
{skill_name_2}等级：{skill_level_2}
{optional_wake_info}"
hint_diplomacy,"和解
派人去劝说敌对君王结束旷日持久的战争，让双方冰释前嫌，从零开始。

$无论与敌对君王的仇敌程度如何，与其关系变为 <red>-10</red>。
$你必须拥有具备<hint=hint_trait_diplomat>外交官</hint>特质的角色。
$除此之外，执行者的<hint=hint_loyalty>忠诚度</hint>必须高于 {loyalty_action} 才能实施此任务。

<b>费用</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"和解
无论与敌对君王的仇敌程度如何，与其关系变为 <red>-10</red>。

<b>费用</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"设法杀害
设法趁该角色在夜间熟睡时对其发起攻击，暗杀此人。

一旦成功，双方<hint=hint_persons_king>君王</hint>之间的<hint=hint_relations>关系</hint>将急剧恶化。

执行者必须具备高<hint=hint_loyalty>忠诚度</hint>才能实施此任务。"
hint_assasin_context,"设法杀害
受害者惊醒的几率：{wake}%

{soul_uuid_performer}：
{skill_name_1}等级：{skill_level_1}

{soul_uuid_target}：
{skill_name_2}等级：{skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"设法杀害
设法趁该角色在夜间熟睡时对其发起攻击，暗杀此人。

不论结果如何，双方<hint=hint_persons_king>君王</hint>之间的<hint=hint_relations>关系</hint>将急剧恶化。

成功率由执行者和目标双方的<hint=hint_skill_combat>战斗技能</hint>共同决定。

执行者必须具备高<hint=hint_loyalty>忠诚度</hint>才能实施此任务。"
hint_assasin_context_gm,"设法杀害
{skill_name}等级：{skill_level}

不论结果如何，双方<hint=hint_persons_king>君王</hint>之间的<hint=hint_relations>关系</hint>将急剧恶化。"
hint_action_task_provoke_duel,"决斗挑衅
你的领主会故意侮辱该领主，制造借口挑起决斗。

决斗可能会导致某位领主身亡。

此外，本地的主教可能会得知此事，并向女教皇禀报你的行动。

不论结果如何：
$与{soul_uuid_king}的关系：<red>{rel_de_duel_provocation}</red>
$与女教皇的关系：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"决斗挑衅
{soul_uuid_1}：<hint=hint_skill_combat>战斗技能</hint>：{skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}：<hint=hint_skill_combat>战斗技能</hint>：{skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"决斗已结束！
{soul_uuid_target}已身亡。

$与{soul_uuid_king}的关系：<red>{rel_de_duel_provocation}</red>
$与女教皇的关系：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"决斗已结束！
你的领主已身亡。

$与{soul_uuid_king}的关系：<red>{rel_de_duel_provocation}</red>
$与女教皇的关系：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"决斗已结束！
决斗双方均未死亡。

$与{soul_uuid_king}的关系：<red>{rel_de_duel_provocation}</red>
$与女教皇的关系：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"兴趣低
目标对该领主的兴趣非常低。

{soul_uuid_target}对{soul_uuid_performer}的兴趣：{interest_stack}"
hint_unavailable_social_cooldown,"互动失败
{soul_uuid_performer}已经与{soul_uuid_target}互动过了，他们想要投入其他任务。

${remain_time} 小时后可再进行此行动。"
hint_unavailable_low_loyalty,"忠诚度低
执行者的<hint=hint_loyalty>忠诚度</hint>非常低。要完成此任务，忠诚度必须至少为 {loyalty_threshold}，而当然忠诚度仅为 {loyalty}。"
hint_loyal_conflict,"~
如果领主的<hint=hint_loyalty>忠诚度</hint>降至 25 以下，将与其君王产生矛盾。

$如果该领主是王位继承人且与君王关系不好，则可能发起<hint=hint_nt_heir_rebellion>叛乱</hint>。
$如果只是普通领主或者与君王关系良好的继承人，则更有可能前往邻邦，使其君王与邻邦君王关系恶化，但不会发动叛乱。

<b>在此之后</b>，人口、经济，以及<b>该君王的军事实力皆会衰减</b>。"
hint_unavailable_trade_moving,"未就绪
要等商贩抵达聚落中心才能交易。"
hint_unavailable_madness,"恼怒
该领主目前无法这么做。"
hint_unavailable_to_madness,"恼怒
此互动目前无法指派。"
hint_go_home,"回家
领主回到自己的城镇。"
action_is_unavaible_by_captive,"人质
此人已被扣押，无法进行此行动。"
hint_action_task_confession,"忏悔
供奉少许献金向主教忏悔。

<b>费用：</b> <hint=hint_resource_rune>{conf_price}</hint>

将赦免下列<hint=hint_sin>罪孽</hint>：
{sins}"
hint_action_task_confession_unavailable,"无须忏悔。
领主最近不曾犯下罪孽。"
hint_action_task_canonization,"祝祷
教会将祝祷你的君王，赦免君王在此后 {days} 天内犯下的所有罪孽。

$你的统治者犯下罪孽时将不会感到痛苦。
$平民之中的<hint=hint_persons_fanatic>狂热信徒</hint>会渴望加入你的军队。
$所有领主与统治者的关系将大幅改善，臣民会更加幸福。

<b>费用：</b><hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"关系不佳
想要获得<hint=hint_saint>祝祷</hint>，<hint=hint_relations_matriarch>女教皇与你的统治者之间的关系</hint>必须高于 <green>{threshold}</green>。"
hint_canonized_already,"操作失败
该角色已经受过祝祷。"
hint_action_task_divorce,"离婚
取消{soul_uuid_target}和{soul_uuid_spouce}之间的婚姻关系。

双方离婚后，即可缔结新的婚姻关系。

<b>费用：</b><hint=hint_resource_rune>{price}</hint>"
hint_consolation,"宽慰
主教将以话语宽慰痛失挚爱之人，以减轻他的痛苦。

结果：痛失挚爱的想法将大幅减轻。"
hint_action_task_begging,"乞求宽恕
承蒙圣母索菲亚的恩典，主教愿意听取、宽恕该角色的过错……只要此人愿意牺牲小我来证明诚意。

结果：主教与{soul_uuid_target}的关系将提升<green>{rel_plus}</green>。

<b>费用：</b><hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"操作失败
主教并没有把{soul_uuid_target}当作敌人，所以{soul_uuid_target}不需要宽恕。"
hint_action_task_consolation_unavailable_by_cynic,"操作失败
具有愤世嫉俗特质的角色无法被宽慰。"
hint_action_task_consolation_unavailable_dont_need,"操作失败
该角色目前不需要宽慰。"
hint_action_task_consolation_unavailable_already_dont_need,"操作失败
该角色已经接受过宽慰。"
hint_action_task_consolation_unavailable_by_opinion,"操作失败
该角色和主教的关系不足以执行此行动。"
hint_action_task_unavailable_bad_opinion,"操作失败
{soul_uuid_1}与{soul_uuid_2}目前的关系为{current_opinion}，还不够好，两者的关系至少需要为{required_opinion}才能执行此行动。"
hint_action_task_unavailable_no_titles,"操作失败
没有可用的<hint=hint_title>爵位</hint>授予该领主。"
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"胁迫性关系
$被胁迫方可能会怀上<hint=hint_persons_bastard>私生子</hint>。
$被胁迫方所属的贵族君王会将此暴行视为虐待。
$这一行动被视为犯下<hint=hint_sin>罪孽</hint>。"
hint_forced_sex_captive_context,"胁迫性关系
${soul_uuid_1}将满足 {number}% 的<hint=hint_need_sex>性需求</hint>。
${soul_uuid_1}将产生消极想法“罪恶感”<red>{number1}</red>。
${soul_uuid_2}将产生消极想法“被利用”<red>{number2}</red>。
${soul_uuid_3}与你的君王关系恶化：<red>{number3}</red>。"
hint_buy_sex,"贿赂性关系
$领主将给予该平民<hint=hint_resource_rune>{runes}</hint>，令该平民自愿满足领主的个人需求。
$平民可能会生下<hint=hint_persons_bastard>私生子</hint>。
$这一行动被视为犯下<hint=hint_sin>罪孽</hint>。"
hint_buy_sex_context,"贿赂性关系
${soul_uuid_1}将满足自己的性需求。
${soul_uuid_1}将犯下<hint=hint_sin>罪孽</hint>，严重程度为 <red>{number2}</red>。
${soul_uuid_2}会得到消极想法 <red>{number3}</red>。"
hint_not_enought_rings,"圣戒不足
这一行动需要 <hint=hint_resource_rune>{count}</hint>。"
hint_not_enought_gold,"金币不足
这一行动需要 <hint=hint_resource_gold>{count}</hint>。"
hint_set_free_captive,"释放人质
君王大发慈悲，让人质重获自由。

<b>结果：</b>
$人质将回归故乡，他们的君王{soul_uuid_king}将感激你的仁慈。"
hint_set_join_captive,"释放并纳入贵族世家
人质将被释放，并纳入你的领主世家。他们的初始忠诚度为 {loyalty}。

君王{soul_uuid_king}将强烈谴责你夺走他的领主。"
hint_set_join_captive_unavailable_by_title,"操作失败
你的家族中没有可授予的爵位。"
hint_set_free,"释放囚犯
让该角色重获自由，成为一名<hint=hint_persons_peasant>平民</hint>或战士。该角色可能会选择离开你的省邦。

获释后，该角色会获得积极想法，强度取决于其对自由的渴望。

<b>提示：</b>你可以在监狱牢房菜单中点击囚犯头像上的红色小按钮，快速释放该囚犯。"
hint_punish,"惩罚
$普通<hint=hint_crimer>罪犯</hint>由<hint=hint_persons_executer>处刑者</hint>施罚，而惩罚领主时，则须指派任务给<hint=hint_persons_king>君王</hint>，由君王亲自施罚。
$惩罚无罪之人会引起<hint=hint_terror>恐慌</hint>。

施行惩罚需要<hint=hint_bld_scafod>行刑台</hint>。"
hint_punish_unavailable_no_gallows,"建造行刑台
要施行惩罚，就必须建造<hint=hint_bld_scafod>行刑台</hint>。"
hint_punish_unavailable_no_king,"无君王
施行惩罚需要有君王。目前没有君王。"
hint_punishment_mask_of_shame,"耻辱面具
$要求该角色戴一天的耻辱面具，心情不好的人可以殴打此角色来出气。
$如果受刑人是罪犯，其在惩罚结束后会恢复为普通平民。

<hint=hint_punish>惩罚</hint>会让<hint=hint_bld_scafod>行刑台</hint>影响范围内的旁观者产生<b>微弱的</b><green>积极想法</green>。"
hint_punishment_exile,"流放
将该角色逐出城镇。被流放者可能会回到领地、投靠其他贵族，或是从此下落不明。

如果受到惩罚的是<hint=hint_persons_criminal>流民</hint>，其被流放后会加入<hint=hint_persons_forest_bandits>森林强盗</hint>。

[hint_punish]"
hint_punishment_execution,"处决
$该角色被处以斩首，受此惩罚的角色通常会死亡。
$旁观处决的<hint=hint_persons_criminal>流民</hint>可能会决定成为<hint=hint_persons_cuthroat>刺客</hint>。

该<hint=hint_punish>惩罚</hint>会让<hint=hint_bld_scafod>行刑台</hint>影响范围内的旁观者产生<b></b>最为强烈的<green>积极想法</green>。"
hint_punishment_blindness,"盲刑
$该角色将<hint=hint_blindness>失明</hint>。

该<hint=hint_punish>惩罚</hint>会让<hint=hint_bld_scafod>行刑台</hint>影响范围内的旁观者产生<b>适度的</b><green>积极想法</green>。"
hint_punishment_enslave,"监禁
该角色将成为<hint=hint_persons_slave>囚犯</hint>。

部分围观的<hint=hint_persons_criminal>流民</hint>可能会决定成为<hint=hint_persons_cuthroat>刺客</hint>。

[hint_punish]"
