Key,Polska
hint_action_invite,"Zaproś w gości
Lord przyjmie zaproszenie, aby na parę dni odwiedzić twoją osadę.

$ Lord wyrazi zgodę, jeśli stosunki z twoim królem nie są niższe niż <green>{opinion_threshold}</green>."
hint_action_shadow,"Zbrodnie
Możesz zatrudnić zbójów z tego miasta, żeby za pomocą <b>menu działań</b> dokonać zbrodni, np. kradzieży lub porwania.

Koszt ich usług zależy od <hint=hint_skill_speech>perswazji</hint> twojego króla."
hint_action_task_hire_free_lord,"Najmij
Zatrudnij wolnego lorda na 10 dni.

W tym czasie możesz przydzielać mu takie same zadania jak swoim lordom — inspekcje budynków, dowodzenie oddziałami i nie tylko.

Koszt zależy od <hint=hint_skill_speech>perswazji</hint> lorda, którego wyślesz na negocjacje."
hint_action_task_hire_free_lord_context,"Zatrudnij lorda
{skill_name} poz. {skill_level}
{skill_name} poz. dostępnego lorda: {free_lord_skill_level}

Łączny koszt na 10 dni: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Porada: Lord otrzyma zapłatę dopiero po wygaśnięciu umowy, a do tego czasu zapłatę przechowa Kościół, żeby dopilnować uczciwości obu stron."
hint_action_task_seduce,"Uwiedź
$ Jeśli <hint=hint_interest>zainteresowanie lorda</hint> tą postacią jest <green>wysokie</green> (ponad {interest_high}), pójdą razem do łóżka.
$ Cel <green>znacząco poprawi swoją relację</green> z twoim władcą (dzięki uwodzicielowi), przez co potencjalnie stanie się twoją <hint=hint_encyclopedia_puppets>marionetką</hint>.

Efekt zależy od <hint=hint_skill_manners>manier</hint> wykonawcy i <hint=hint_skill_knowledge>inteligencji</hint> celu.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Uwiedź
{skill_name} poz. {skill_level}
{target_skill_name} celu: poz. {target_skill_level}

<b>Efekt:</b>
$ Relacja z twoim władcą ({soul_uuid_king}): <green>{rel_plus}</green>
$ Myśl o {soul_uuid_performer}: <red>{being_used}</red>

Zainteresowanie {soul_uuid_target} postacią {soul_uuid_performer}: {interest_stack}"
hint_action_task_seduce_local,"Uwiedź
$ Jeśli <hint=hint_interest>zainteresowanie</hint> lorda postacią jest <green>wysokie</green> (ponad {interest_high}), pójdą razem do łóżka.
$ W konsekwencji <green>przychylność celu</green> względem twojego władcy wzrośnie, co może uczynić z celu <hint=hint_encyclopedia_puppets>marionetkę</hint>."
hint_action_task_seduce_local_context,"Uwiedź
{skill_name} poz. {skill_level}
{target_skill_name} celu: poz. {target_skill_level}

<b>Efekt:</b>
$ Myśl o {soul_uuid_performer}: <red>{being_used}</red>
$ Relacja z twoim władcą ({soul_uuid_king}): <green>{rel_plus}</green>

Zainteresowanie {soul_uuid_target} postacią {soul_uuid_performer}: {interest_stack}"
hint_poison,"Otrucie
Jeżeli otrucie powiedzie się, cel umrze w agonii, ale sprawca stanie się podejrzanym i nie będzie mógł odwiedzać tej prowincji.

W przypadku niepowodzenia <hint=hint_relations>stosunki</hint> między <hint=hint_persons_king>królami</hint> znacznie się pogorszą, a cel stoczy walkę o życie. Truciciel nie będzie mógł odwiedzać tej prowincji.

$ Szansa na sukces zależy od różnicy w <hint=hint_skill_knowledge>inteligencji</hint> pomiędzy postaciami.
$ Postać musi posiadać cechę <hint=hint_trait_poisoner>Truciciel</hint> i być bardzo lojalną wobec twojego króla."
hint_poison_context,"Otrucie
{soul_uuid_performer}
{skill_name_2} poz. {skill_level_2}

{soul_uuid_target}
{skill_name_1} poz. {skill_level_1}

<b>Szanse powodzenia:</b> {assain_chance}%

W przypadku niepowodzenia <hint=hint_relations>stosunki</hint> między <hint=hint_persons_king>królami</hint> znacznie się pogorszą, a cel stoczy walkę o życie."
hint_action_task_bribe,"Przekupstwo
$ Lord przekaże tej postaci <hint=hint_resource_rune>{rings_rew_number}</hint> i spróbuje wzbudzić w niej niezadowolenie z króla.
$ W konsekwencji <hint=hint_loyalty>lojalność</hint> lorda względem króla się obniży.
$ Osłabienie lojalności celu zależy od <hint=hint_skill_speech>perswazji</hint> wykonawcy.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Przekupstwo
{skill_name} poz. {skill_level}
{skill_name} poz. celu: {lord_skill_level}

<b>Efekt:</b>
$ <hint=hint_loyalty>Lojalność</hint> względem króla: <red>{loyalty_modify}</red>
$ Relacja z twoim władcą ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Niedostępne
Ten lord jest lojalny względem króla."
hint_action_task_bribe_gm,"~
To zadanie można wykonać z pomocą posłańca. W takim przypadku łapówka zostanie przekazana w imieniu króla, a jej skuteczność będzie zależeć od umiejętności posłańca."
hint_action_task_go,"Wydalenie
Zażądaj, aby gość opuścił prowincję.

Stosunki między twoim królem a wygnanym gościem i władcą rodu szlacheckiego, z którego pochodzi gość, ulegną pogorszeniu.

Dodatkowo gość otrzyma zakaz odwiedzania twojej prowincji w przyszłości."
hint_action_task_go_context,"Wydalenie
Zażądaj, aby gość opuścił prowincję.

Dobre maniery wykonawcy redukują negatywne myśli wywołane przez to działanie.

{soul_uuid_performer}:
{skill_name_2} poz. {skill_level_2}

$ Opinia {soul_uuid_target} na temat {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Opinia {soul_uuid_king} na temat {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Ta postać nie będzie mogła cię już odwiedzać."
hint_kidnap,"Porwanie
Próba porwania we śnie wybranej osoby.

$ Jeśli cel się nie obudzi (szansa – {wake_k}%), stanie się <hint=hint_trait_captive>zakładnikiem</hint>.
$ Jeśli cel się obudzi, dojdzie do walki, po której cel spróbuje uciec z miasta. Jednak wciąż będziesz mieć możliwość porwania tej osoby, jeśli wykonawca lub strażnicy zdołają obezwładnić cel.

W każdym razie pogwałcone zostanie święte prawo gościny, a <hint=hint_relations>stosunki</hint> króla z zakładnikiem i wszystkimi sąsiadującymi <hint=hint_persons_king>królami</hint> znacznie się pogorszą.

<hint=hint_loyalty>Lojalność</hint> wykonawcy musi być wyższa niż {loyalty_action}."
hint_kidnap_context,"Porwanie
Szansa, że cel się przebudzi: {wake}%

{soul_uuid_performer}:
{skill_name_1} poz. {skill_level_1}

{soul_uuid_target}:
{skill_name_2} poz. {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Pojednanie
Ta postać może przekonać wrogiego króla, żeby zakończyć bezsensowną i niebezpieczną wojnę oraz rozpocząć stosunki na nowo.

$ Stosunki z wrogim królem wyniosą <red>-10</red> niezależnie od obecnego poziomu wrogości.
$ Musisz posiadać lorda z cechą <hint=hint_trait_diplomat>Dyplomata</hint>.
$ Dodatkowo <hint=hint_loyalty>lojalność</hint> wykonawcy musi być wyższa niż {loyalty_action}.

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Pojednanie
Stosunki z wrogim królem wyniosą <red>-10</red> niezależnie od obecnego poziomu wrogości.

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Próba zabójstwa
Próba morderstwa nocą we śnie.

W przypadku sukcesu <hint=hint_relations>stosunki</hint> między <hint=hint_persons_king>królami</hint> znacznie się pogorszą.

<hint=hint_loyalty>Lojalność</hint> wykonawcy musi być odpowiednio wysoka."
hint_assasin_context,"Próba zabójstwa
Szansa, że ofiara się przebudzi: {wake}%

{soul_uuid_performer}:
{skill_name_1} poz. {skill_level_1}

{soul_uuid_target}:
{skill_name_2} poz. {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Próba zabójstwa
Próba morderstwa nocą we śnie.

Niezależnie od rezultatu <hint=hint_relations>stosunki</hint> między <hint=hint_persons_king>królami</hint> znacznie się pogorszą.

Szanse powodzenia zależą od <hint=hint_skill_combat>zdolności bojowych</hint> wykonawcy i celu.

<hint=hint_loyalty>Lojalność</hint> wykonawcy musi być odpowiednio wysoka."
hint_assasin_context_gm,"Próba zabójstwa
{skill_name} poz. {skill_level}

Niezależnie od rezultatu <hint=hint_relations>stosunki</hint> między <hint=hint_persons_king>królami</hint> znacznie się pogorszą."
hint_action_task_provoke_duel,"Prowokacja pojedynku
Twój lord umyślnie obrazi tego lorda, co stworzy powód do pojedynku.

W wyniku pojedynku jeden z lordów może umrzeć.

Dodatkowo miejscowy biskup się o tym dowie i powiadomi Matronę o twoich działaniach.

Niezależnie od rezultatu:
$ Stosunki z {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Stosunki z Matroną: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Prowokacja pojedynku
{soul_uuid_1}: <hint=hint_skill_combat>umiejętności bojowe</hint>: {skill_1}
{soul_1_equipment_stack}

vs

{soul_uuid_2}: <hint=hint_skill_combat>umiejętności bojowe</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Pojedynek zakończony!
{soul_uuid_target} nie żyje.

$ Stosunki z {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Stosunki z Matroną: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Pojedynek zakończony!
Twój lord nie żyje.

$ Stosunki z {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Stosunki z Matroną: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Pojedynek zakończony!
Obie strony pojedynku przeżyły.

$ Stosunki z {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Stosunki z Matroną: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Niskie zainteresowanie
Cel nie interesuje się tym lordem.

Zainteresowanie {soul_uuid_target} względem {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Brak gotowości
Niedawno doszło już do interakcji {soul_uuid_performer} – {soul_uuid_target}, więc obie osoby chcą się skupić na innych zajęciach.

$ To działanie możesz powtórzyć za {remain_time} h."
hint_unavailable_low_loyalty,"Niska lojalność
Wykonawca ma bardzo niską <hint=hint_loyalty>lojalność</hint>. Do tego zadania lojalność musi wynosić min. {loyalty_threshold}, a obecnie wynosi {loyalty}."
hint_loyal_conflict,"~
Gdy <hint=hint_loyalty>lojalność</hint> lorda spadnie poniżej 25, znajdzie się on w konflikcie z królem.

$ Jeśli dotyczy to spadkobiercy, który nie jest w przyjaznych stosunkach z królem, może dojść do <hint=hint_nt_heir_rebellion>buntu</hint>.
$ Jeśli dotyczy to zwykłego lorda bądź spadkobiercy, który jest z królem w przyjaznych stosunkach, osoba ta może udać się do sąsiedniej prowincji, co pogorszy stosunki między dwoma królami, ale nie spowoduje buntu.

<b>Efekt:</b> populacja i gospodarka, a w konsekwencji armia, tego króla <b>zostaną osłabione</b>."
hint_unavailable_trade_moving,"Brak gotowości
Przywódca karawany będzie gotowy do interesów, jak tylko dotrze do centrum osady."
hint_unavailable_madness,"Obłęd
Ten lord nie może tego obecnie zrobić."
hint_unavailable_to_madness,"Obłęd
Ta interakcja jest obecnie niemożliwa."
hint_go_home,"Wróć do domu
Ten lord wraca do domu."
action_is_unavaible_by_captive,"Zakładnik
Lord nie może tego zrobić, ponieważ jest więźniem."
hint_action_task_confession,"Spowiedź
Spowiedź u biskupa w zamian za mały datek.

<b>Koszt:</b> <hint=hint_resource_rune>{conf_price}</hint>

Przebaczone zostaną następujące <hint=hint_sin>grzechy</hint>:
{sins}"
hint_action_task_confession_unavailable,"Spowiedź jest niedostępna.
Ten lord ostatnio nie grzeszył."
hint_action_task_canonization,"Błogosławieństwo
Kościół na {days} dni zapewni twojemu królowi przebaczenie grzechów.

$ Twój władca nie będzie cierpiał podczas popełniania grzechów.
$ Twoi <hint=hint_persons_fanatic>fanatyczni</hint> chłopi z chęcią dołączą do twojej armii.
$ Stosunki wszystkich twoich lordów z władcą znacznie się poprawią, a poddani będą szczęśliwsi.

<b>Koszt:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Kiepskie stosunki
Żeby otrzymać <hint=hint_saint>błogosławieństwo</hint>, <hint=hint_relations_matriarch>opinia Matrony</hint> o twoim władcy musi być lepsza niż <green>{threshold}</green>."
hint_canonized_already,"Niedostępne
Ta osoba otrzymała już błogosławieństwo."
hint_action_task_divorce,"Rozwód
Unieważnienie małżeństwa {soul_uuid_target} – {soul_uuid_spouce}.

W konsekwencji osoby te będą mogły zawrzeć nowe związki małżeńskie.

<b>Koszt:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Pocieszenie
Biskup pocieszy odpowiednimi słowami osobę, która przeżywa żałobę po stracie kogoś bliskiego, i w ten sposób załagodzi ból.

Efekt: Myśli o stracie bliskiej osoby znacząco osłabną."
hint_action_task_begging,"Prośba o wybaczenie
Z łaski Świętej Zofii biskup wysłucha tego lorda i wybaczy mu przewiny… za odpowiednio wysoki datek będący dowodem szczerości.

W konsekwencji stosunki biskupa z {soul_uuid_target} poprawią się o <green>{rel_plus}</green>.

<b>Koszt:</b> <hint=hint_resource_rune>{price}</hint>

"
hint_action_task_begging_unavailable_no_need,"Niedostępne
Biskup nie uważa, że {soul_uuid_target} to jego wróg, więc {soul_uuid_target} nie potrzebuje przebaczenia."
hint_action_task_consolation_unavailable_by_cynic,"Niedostępne
Postaci z cechą Cynizm nie można pocieszyć."
hint_action_task_consolation_unavailable_dont_need,"Niedostępne
Ta postać obecnie nie potrzebuje pocieszenia."
hint_action_task_consolation_unavailable_already_dont_need,"Niedostępne
Ta osoba została już pocieszona."
hint_action_task_consolation_unavailable_by_opinion,"Niedostępne
Biskup znajduje się w zbyt kiepskich stosunkach z tą osobą i nie zrobi tego."
