Key,English
hint_assasin,"Attempt to Kill
Attempt to assassinate this character by attacking them while they are asleep at night.

In the case of success, the <hint=hint_relations>relationship</hint> between your <hint=hint_persons_king>kings</hint> will greatly deteriorate.

The <hint=hint_loyalty>loyalty</hint> of the actor must be high for them to take on the task."
hint_assasin_context,"Attempt to Kill
Probability of the victim waking up: {wake}%

{soul_uuid_performer}:
{skill_name_1} level {skill_level_1}

{soul_uuid_target}:
{skill_name_2} level {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Attempt to Kill
Attempt to assassinate this character by attacking them while they are asleep at night.

In any case, the <hint=hint_relations>relationship</hint> between your <hint=hint_persons_king>kings</hint> will greatly deteriorate.

The success rate depends on the <hint=hint_skill_combat>Combat skill</hint> of both the actor and the target.

The <hint=hint_loyalty>loyalty</hint> of the actor must be high for them to take on the task."
hint_assasin_context_gm,"Attempt to Kill
{skill_name} level {skill_level}

In any case, the <hint=hint_relations>relationship</hint> between your <hint=hint_persons_king>kings</hint> will greatly deteriorate."
hint_action_task_provoke_duel,"Duel Provocation
Your lord will deliberately insult this lord, creating a reason for a duel.

As a result of the duel, one of the lords may die.

Furthermore, the local bishop will become aware of this and report your actions to the Matriarch.

In any case:
$ Relationship with {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relationship with the Matriarch: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Duel Provocation
{soul_uuid_1}: <hint=hint_skill_combat>combat skill</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>combat skill</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"The duel has ended!
{soul_uuid_target} has been killed.

$ Relationship with {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relationship with the Matriarch: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"The duel has ended!
Your lord has been killed.

$ Relationship with {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relationship with the Matriarch: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"The duel is over!
The combatants are still alive.

$ Relationship with {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relationship with the Matriarch: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Low interest
The target has a very low interest in this lord.

Interest of {soul_uuid_target} toward {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Not ready for interaction
{soul_uuid_performer} has already interacted with {soul_uuid_target} recently, and they want to focus on other tasks.

$ You can repeat the action in {remain_time}h."
hint_unavailable_low_loyalty,"Low loyalty
The actor has a very low <hint=hint_loyalty>loyalty</hint>. To be assigned to this task, the loyalty must be at least {loyalty_threshold}, but currently it is only {loyalty}."
hint_loyal_conflict,"~
When a character's <hint=hint_loyalty>loyalty</hint> drops below 25, the lord enters into a conflict with their king.

$ If it's an heir and they are not friendly with the king, they may raise a <hint=hint_nt_heir_rebellion>rebellion</hint>.
$ If it's a regular lord or an heir friendly to the king, they will prefer to leave for a neighboring province, which worsens the relations between kings but does not incite a rebellion.

<b>As a result</b>, the population, economy, and consequently, the <b>army of this king will decrease</b>."
hint_unavailable_trade_moving,"Not ready
The caravan trader will be ready to trade as soon as he reaches the center of the settlement."
hint_unavailable_madness,"Mad
This lord can't deal with this now."
hint_unavailable_to_madness,"Mad
This interaction cannot be assigned at this time."
hint_go_home,"Come back home
The lord returns to his town."
action_is_unavaible_by_captive,"Hostage
They cannot take this action, because they are detained."
hint_action_task_confession,"Confession
Confess to the bishop in exchange for a small offering.

<b>Cost:</b> <hint=hint_resource_rune>{conf_price}</hint>

The following <hint=hint_sin>sins</hint> will be absolved:
{sins}"
hint_action_task_confession_unavailable,"Confession is not available.
The lord has not sinned recently"
hint_action_task_canonization,"Blessing
For {days} days, the church grants your king forgiveness for all his sins.

$ Your ruler will not suffer when committing sins.
$ <hint=hint_persons_fanatic>Fanatics</hint> among your peasants will be eager to join your army.
$ Relationships of all your lords to their ruler will greatly improve, and subjects will be happier.

<b>Cost:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Poor relationship
To receive the <hint=hint_saint>blessing</hint>, the <hint=hint_relations_matriarch>Matriarch's opinion</hint> of your ruler must be greater than <green>{threshold}</green>."
hint_canonized_already,"Unavailable
This character has already received a <hint=hint_saint>blessing</hint>."
hint_action_task_divorce,"Divorce
Annul the marriage between {soul_uuid_target} and {soul_uuid_spouce}.

As a result, the characters will be able to enter into new marriages.

<b>Cost:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Comfort
The bishop will comfort a character who is grieving over the loss of a loved one with the right words and alleviate their pain.

Outcome: Thoughts of the loss of a loved one will significantly weaken."
hint_action_task_begging,"Beg for Forgiveness
By the grace of Mother Sophia, the bishop is willing to listen and forgive the transgressions of the character... if they prove their sincerity through sacrifice.

As a result, the bishop's attitude toward {soul_uuid_target} will improve by <green>{rel_plus}</green>.

<b>Cost:</b> <hint=hint_resource_rune>{price}</hint>

"
hint_action_task_begging_unavailable_no_need,"Unavailable
The bishop does not consider {soul_uuid_target} to be an enemy, so {soul_uuid_target} does not need forgiveness."
hint_action_task_consolation_unavailable_by_cynic,"Unavailable
A character with the Cynic trait cannot be consoled."
hint_action_task_consolation_unavailable_dont_need,"Unavailable
This character does not currently require comforting."
hint_action_task_consolation_unavailable_already_dont_need,"Unavailable
This character has already received comfort."
hint_action_task_consolation_unavailable_by_opinion,"Unavailable
The bishop does not have a good enough relationship with this character and will not perform this action."
hint_action_task_unavailable_bad_opinion,"Unavailable
{soul_uuid_1} does not have a good enough relationship with {soul_uuid_2}. Currently, the relationship between them is {current_opinion} , and at least {required_opinion} is needed."
hint_action_task_unavailable_no_titles,"Unavailable
No available <hint=hint_title>titles</hint> for the lord."
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"Coercion into sex
$ The coerced character may conceive a <hint=hint_persons_bastard>bastard child</hint>.
$ The king of the noble family to which the captive belongs will consider it torture.
$ This action is considered a <hint=hint_sin>sin</hint>."
hint_forced_sex_captive_context,"Coercion into sex
$ {soul_uuid_1} will have {number}% of their <hint=hint_need_sex>sexual needs</hint> fulfilled.
$ {soul_uuid_1} will have a negative thought of ""Shame for sins"" <red>{number1}</red>.
$ {soul_uuid_2} will have a negative thought of ""Used"" <red>{number2}</red>.
$ {soul_uuid_3} will worsen their relationship with your king by <red>{number3}</red>."
hint_buy_sex,"Bribe for sex
$ The lord will give the peasant <hint=hint_resource_rune>{runes}</hint>, and the peasant will be pleased to fulfill their personal request.
$ The peasant may give birth to a child who will be a <hint=hint_persons_bastard>bastard</hint>.
$ This action is considered a <hint=hint_sin>sin</hint>."
hint_buy_sex_context,"Bribe for sex
$ {soul_uuid_1} will fulfill their sexual needs.  
$ {soul_uuid_1} will receive a <hint=hint_sin>sin</hint> with a strength of <red>{number2}</red>.  
$ {soul_uuid_2} will receive a negative thought <red>{number3}</red>."
hint_not_enought_rings,"Insufficient Rings
This action requires <hint=hint_resource_rune>{count}</hint>."
hint_not_enought_gold,"Insufficient gold
This action requires <hint=hint_resource_gold>{count}</hint>."
hint_set_free_captive,"Hostage Release
The king, in his mercy, grants freedom to the hostage.

<b>Consequences:</b>
$ Hostage will return home, and their king {soul_uuid_king} will be grateful to you for your mercy."
hint_set_join_captive,"Release and Accept Into Family
The hostage will be released and join your family of lords. Their initial loyalty will be set to {loyalty}.

King {soul_uuid_king} will strongly disapprove of you poaching his lords."
hint_set_join_captive_unavailable_by_title,"Not available
There are no more available titles in your family."
hint_set_free,"Prisoner Release
The character is granted freedom and becomes a <hint=hint_persons_peasant>peasant</hint> or a warrior. The character may choose to leave your province.

Upon release, the character receives a positive thought proportional to their desire for freedom.

<b>Hint:</b> You can release prisoners more quickly by clicking the small red button on their portraits in the prison ward's menu."
hint_punish,"Punishment
$ Regular <hint=hint_crimer>criminals</hint> are punished by <hint=hint_persons_executer>executioners</hint>, while lords are punished manually by assigning a task to the <hint=hint_persons_king>king</hint>.
$ Punishing the innocent will be perceived by other characters as <hint=hint_terror>terror</hint>.

Punishments require the <hint=hint_bld_scafod>Scaffold</hint>."
hint_punish_unavailable_no_gallows,"Build a Scaffold
To carry out punishments, it is necessary to construct a <hint=hint_bld_scafod>Scaffold</hint>."
hint_punish_unavailable_no_king,"No king
To carry out punishments, a king is required, but there is none available."
hint_punishment_mask_of_shame,"Mask of Shame
$ The character wears the Mask of Shame for a day, and another character in a bad mood can beat them without consequence.
$ If a criminal is punished, they will return to being an ordinary peasant once the punishment period ends.

This <hint=hint_punish>punishment</hint> gives a <b>small</b> <green>positive thought</green> to spectators within the influence radius of the <hint=hint_bld_scafod>Scaffold</hint>."
hint_punishment_exile,"Exile
The character is banished from the city. It is unknown whether they will return, join another noble family, or disappear forever.

If a simple <hint=hint_persons_criminal>vagabond</hint> is being punished, they will join the <hint=hint_persons_forest_bandits>forest bandits</hint> after being exiled.

[hint_punish]"
hint_punishment_execution,"Execution
$ The character is beheaded. This is usually fatal.
$ Some observing <hint=hint_persons_criminal>vagabonds</hint> may decide to become <hint=hint_persons_cuthroat>cutthroats</hint>.

This <hint=hint_punish>punishment</hint> gives the <b>greatest</b> <green>positive thought</green> to spectators within the influence radius of the <hint=hint_bld_scafod>Scaffold</hint>."
hint_punishment_blindness,"Blinding
$ The character will become <hint=hint_blindness>blind</hint>.

This <hint=hint_punish>punishment</hint> gives a <b>moderate</b> <green>positive thought</green> to spectators within the influence radius of the <hint=hint_bld_scafod>Scaffold</hint>."
hint_punishment_enslave,"Imprisonment
The character becomes a <hint=hint_persons_slave>prisoner</hint>.

Some of the onlooking <hint=hint_persons_criminal>vagabonds</hint> might decide to become <hint=hint_persons_cuthroat>cutthroats</hint>.

[hint_punish]"
