Key,Czech
hint_action_task_reward,"Odměna
Postava získá od krále odměnu za věrnou službu.

Král: {skill_name} na {skill_level}. úrovni

<b>Výsledek:</b>
$ Myšlenka <green>Odměna: {mind_modify}</green>
$ Věrnost: <green>{loyalty_modify}</green>

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Vedlejší účinek:</b>
Vztah s králem: <green>{relations_modify}</green>"
hint_action_task_threat,"Hrozba
Král vyhrožuje následky, pokud bude postava zvažovat zradu.

Král: {skill_name} na {skill_level}<b>. úrovni.

Výsledek</b>
$ Věrnost: <green>{loyalty_modify}</green>

<b>Vedlejší účinky</b>:
$ Negativní myšlenka: <red>Vystavení výhružkám: {threat_moral_modify}</red>
$ Existuje šance, že postava zaútočí na krále."
hint_action_task_donate,"Žádost o příspěvek
Vládce žádá příspěvek v podobě několika <hint=hint_resource_rune>svatých prstenů</hint> coby výpomoc.

Vládce: {skill_name} na {skill_level}. úrovni

<b>Výsledek</b>
$ Myšlenka <red>Vynucený příspěvek: {mind_modify}</red>
$ Věrnost: <red>{loyalty_modify}</red>

<b>Vládce obdrží</b>:
$ {rings_rew_number}x <hint=hint_resource_rune>svatý prsten</hint>"
hint_action_new_heir,"Ustanovit jako dědice
Král tuto postavu prohlásí za svého dědice.

<b>Výsledek:</b>
$ {soul_uuid_1} se stane dědicem.
$ Starý dědic (
$) se bude cítit zrazen a bude naštvaný na krále a na nového dědice ({soul_uuid_1})."
hint_action_new_king,"Předat korunu
Král předá korunu této postavě.

<b>Následky:</b>
$ {soul_uuid_1} se stane panovníkem. 
$ Vztahy mezi tvým králem a <hint=hint_bishop>biskupem</hint>, matriarchou a tvými sousedy začnou od nuly. 
$ Starý panovník ({soul_uuid_2}) bude sklíčený a bude nenávidět nového krále ({soul_uuid_1})."
hint_action_give_title_to_hired_free_lord,"Udělit titul svobodnému lordovi
Král udělí <hint=hint_title>titul</hint> osobě {soul_uuid_1}, ze které se tak stane plnohodnotný člen rodu.

{soul_uuid_1} bude muset platit daň Milující rodině kvůli zajištění dědických práv.

<b>Následky</b>
$ {soul_uuid_1} získá titul a přidá se k rodu {faction_uuid}.
$ <hint=hint_resource_gold>{give_title_cost}</hint> se zaplatí coby daň Milující rodině.
$ Počet dostupných titulů se sníží o 1."
hint_action_give_title_to_soldier,"Udělit titul válečníkovi
Král udělí <hint=hint_title>titul</hint> válečníkovi bez pozemků ({soul_uuid_1}), ze kterého se tak stane plnohodnotný člen rodiny. Schopnosti takového lorda budou poměrně nízké.

Bude zapotřebí zaplatit daň Milující rodině kvůli dokumentaci rodokmenu osoby {soul_uuid_1}.

Ostatní lordi budou k této postavě mít negativní postoj kvůli nízkému původu.

<b>Následky</b>
$ {soul_uuid_1} obdrží titul a stane se plnohodnotným lordem rodu {faction_uuid}.
$ Počáteční postoj ostatních lordů: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> se zaplatí coby daň Milující rodině.
$ Počet dostupných titulů se sníží o 1."
hint_action_take_title,"Zbavit lorda titulu
Král zbaví lorda jménem {soul_uuid_1} <hint=hint_title>titulu</hint>, takže se z něj stane <hint=hint_untitled_lord>nižší lord</hint>.

<b>Následky</b>
$ Zneuznaný lord si bude tuto potupu pamatovat a vyvine si vůči králi negativní myšlenku o síle <red>{der_thought}</red>.
$ Přátelé tohoto lorda budou rozhořčení a jejich názor na krále se zhorší.
$ Počet dostupných titulů se zvýší o 1."
hint_action_task_dice,"Zahrát si kostky
Zahraj si kostky s jiným lordem.

Výsledek hry je docela náhodný, ale velký vliv na něj má rozdíl schopnosti <hint=hint_skill_knowledge>Inteligence</hint> hráčů.

Sázka bude <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Zahrát si kostky
Zahraj si kostky s jiným lordem.

Sázka bude <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Inteligence {number1}
$ {soul_uuid_2}: Inteligence {number2}

Pravděpodobnost, že {soul_uuid_1} vyhraje, je {ver} %."
hint_action_make_enemy,"Prohlásit za nepřítele
Prohlas osobu {soul_uuid_target} za nepřítele krále.

$ Postava se pokusí co nejrychleji uprchnout z království.
$ Tvoji lordi a válečníci se pokusí na postavu zaútočit a zabít ji (pokud budou ozbrojení).
$ Také na tuto postavu můžeš zaútočit pomocí <hint=hint_army>bitevní čety</hint> (klikni na cíl pravým tlačítkem).
{additional_info_stack}"
hint_action_task_hunt,"Lovení
Postavy spolu loví <hint=hint_fleshwolf>hladového vlka</hint>.

Hladový vlk má stejnou sílu jako bojovník s bojovou schopností {wolf_level}. úrovně, vyzbrojený <hint=hint_resource_wooden_spear>kopím</hint>.

$ Pokud oba lovci zůstanou na nohou a hladového vlka porazí, obdrží dlouhodobou <hint=hint_thought_social>společenskou myšlenku</hint> „Společný lov“ <green>{hunt_improve}</green>.
$ V případě úspěšného lovu navíc účastníci získají {exp_points} bodů pro <hint=hint_skill_combat>bojovou schopnost</hint> a <hint=hint_skill_command>schopnost Velení</hint>.
$ Pokud některý z bojovníků boj prohraje, oba obdrží negativní společenskou myšlenku „Špatný lovec“ <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Lov
{soul_uuid_1}: <hint=hint_skill_combat>Bojová schopnost</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Bojová schopnost</hint>: {skill_2}
{soul_2_equipment_stack}

Hladový vlk má stejnou sílu jako bojovník s bojovou schopností {wolf_level}. úrovně, vyzbrojený <hint=hint_resource_wooden_spear>kopím</hint>."
hint_action_task_together,"Společný čas
Postavy, které spolu stráví čas, se budou procházet, modlit, hrát na hudební nástroje a tak dále.

Během této doby budou mít 2 <hint=hint_conversation>hluboké rozhovory</hint> – ne nutně příjemné.

Pravděpodobnost dobrého rozhovoru závisí na <hint=hint_mood>náladě</hint> postav a síla myšlenek plynoucích z tohoto rozhovoru závisí na schopnosti <hint=hint_skill_manners>Chování</hint>."
hint_action_task_hunt_unavailable,"Nelze provést
Biskup nemůže lovit."
hint_action_task_hunt_by_no_wolf,"Nelze provést
V lese nejsou žádní hladoví vlci, které by bylo možné lovit."
hint_action_task_together_new_context,"Společné trávení času
$ {soul_uuid_1}: Nálada {mood_stack_1}, <hint=hint_skill_manners>Chování:</hint> {skill_level_1} 
$ {soul_uuid_2}: Nálada {mood_stack_2}, <hint=hint_skill_manners>Chování:</hint> {skill_level_2}

<b>Výsledek:</b>
{soul_uuid_1} si bude myslet o osobě ${soul_uuid_2}:
{deep_social_stack_1}
Nálada: {moral_change_1}

{soul_uuid_2} si bude myslet o osobě ${soul_uuid_1}:
{deep_social_stack_2}
Nálada: {moral_change_2}"
hint_child_sub_context,"~
Tato postava je rodič, takže tato interakce bude rovněž naplní dítěti potřebu <hint=hint_need_care>péče</hint>."
hint_marriage_local,"Uzavřít sňatek
Aniž by se opovažovali vzpírat vůli svého vladaře, dva lordi uzavřou právoplatný <hint=hint_marriage>sňatek</hint>.

Sňatky mezi dětmi a rodiči nebo mezi sourozenci jsou zakázané."
hint_marriage_local_context,"Uzavřít sňatek
{soul_uuid_1} se stane partnerem osoby {soul_uuid_2}."
hint_action_task_lesson,"~
$ Dítě, které dospělo a naučilo se číst, získá rovněž <hint=hint_idea>znalosti</hint> svého učitele.
$ Učedník získá víc zkušeností v rámci schopnosti, na kterou má <hint=hint_talant>talent</hint>.
$ K této akci bude docházet denně."
hint_action_task_lesson_context,"Studium
Tento učitel dokáže rozvinout žákovy schopnosti:
$ {skill_name} až na {skill_level_cup}. úroveň
$ {skill_name_2} až na {skill_level_cup_2}. úroveň

Efektivita školení:
$ Učitel má schopnost <hint=hint_skill_teaching>školení</hint>: {skill_level_3}.
$ A může za každou lekci předat {exp} zkušenostních bodů.

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Obecné školení
Učitel vyškolí žáka ve všech schopnostech, přičemž nejdřív se zaměří na žákovy talenty až do výše limitu schopnosti a pak na zbývající schopnosti."
hint_action_task_lesson_guest,"~
Tato postava je tvým hostem, takže lekce stojí <hint=hint_resource_rune>{price}</hint>.

Platba se odečte z královy kapsy."
hint_action_task_lesson_change_culture,"~
Tato postava patří ke kultuře {culture}, takže je zde šance, že žák změní svou kulturu."
hint_action_task_lesson_guest_no_money,"Nemáš dost prstenů
Tato postava je tvým hostem, takže lekce stojí <hint=hint_resource_rune>{price}</hint>.

Na zaplacení lekce nemáš dost svatých prstenů."
hint_action_task_lesson_bishop_low_opinion,"Špatný vztah
Špatný vztah s tvým králem.

Zlepši vztah se svým králem na <green>{option_req}</green>."
hint_duel,"Souboj
Postavy se pokusí vyřešit svůj vztah prostřednictvím oficiálního souboje.

$ Odstraní <hint=hint_desire>touhu</hint> po pomstě či smrti nepřítele, pokud ji duelisté mají.
$ Souboj bude pokračovat, dokud jeden z účastníků neztratí vědomí, ale může skončit i smrtí.
$ Čím víc bolesti duelista způsobí soupeři, tím snáz uspokojí svou touhu.
$ Souboje se uznávají jako čestný způsob řešení spory, takže i když v souboji zabiješ <hint=hint_bishop>biskupa</hint>, nevyvoláš tím hněv matriarchy."
hint_duel_provoke,"Provokace
Host ze sousední provincie vyprovokoval tvého lorda na souboj. Ten se bude konat dnes večer.

Pokud nevěříš v příznivý výsledek, můžeš hosta do té doby ze své provincie vyhnat. Tvůj lord se vyhne nebezpečí, ale zhorší se tím postoj hostova monarchy (i samotného hosta) k tvému panovníkovi."
hint_duel_context,"Souboj
{soul_uuid_1}: <hint=hint_skill_combat>Bojová schopnost</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>Bojová schopnost</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Nekompatibilní aktér
Lord musí být <hint=hint_enemy>nepřítelem</hint> osoby {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Mudrc
Mudrce nelze školit."
hint_action_invite,"Pozvat jako hosta
Lord přijme pozvánku a na několik dnů navštíví tvou osadu.

$ Lord bude souhlasit, pokud vztah mezi vašimi králi nebude nižší než <green>{opinion_threshold}</green>."
hint_action_shadow,"Temné skutky
V <b>akční nabídce města</b> si můžeš najmout hrdlořezy, aby vykonali temné skutky, jako je krádež a únos.

Cena za jejich služby závisí na schopnosti <hint=hint_skill_speech>Přesvědčování</hint> tvého krále."
hint_action_task_hire_free_lord,"Najmout
Najmi svobodného lorda na 10 dnů.

Budeš mu moct zadávat stejné úkoly jako svým vlastním lordům – provádět inspekci budov, vést čety a tak dále.

Cena závisí na schopnosti <hint=hint_skill_speech>Přesvědčování</hint> lorda, který s ním bude vyjednávat."
hint_action_task_hire_free_lord_context,"Najmout lorda
{skill_name} na {skill_level}. úrovni
Úroveň schopnosti {skill_name} dostupného lorda: {free_lord_skill_level}

Celková cena za 10 dnů: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Tip: Lord obdrží platbu až po vypršení smlouvy, do té doby si ji ponechá církev coby záruku slušného chování obou stran."
hint_action_task_seduce,"Svést
$ Pokud má <hint=hint_interest>lord</hint> <green>vysoký zájem</green> o aktéra (vyšší než {interest_high}), stráví spolu čas v posteli.
$ Cíl si <green>výrazně zlepší vztah</green> s tvým vládcem (díky svůdníkovi), možná se i stane tvou <hint=hint_encyclopedia_puppets>loutkou</hint>.

Účinek se odvíjí od schopnosti <hint=hint_skill_manners>Chování</hint> vykonavatele a <hint=hint_skill_knowledge>intelektu</hint> cíle.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Svést
{skill_name} na {skill_level}. úrovni
{target_skill_name} cíle: {target_skill_level}. úroveň

<b>Výsledek</b>
$ Vztah s tvým vládcem ({soul_uuid_king}): <green>{rel_plus}</green>
$ Myšlenka osoby {soul_uuid_performer}: <red>{being_used}</red>

Zájem osoby {soul_uuid_target} o cíl {soul_uuid_performer}: {interest_stack}"
hint_action_task_seduce_local,"Svést
$ Pokud je lordův <hint=hint_interest>zájem</hint> o aktéra <green>vysoký</green> (vyšší než {interest_high}), stráví spolu čas v posteli.
$ Cíl si díky tomu <green>vylepší vztah</green> s tvým vládcem; možná se z něj stane i tvoje <hint=hint_encyclopedia_puppets>loutka</hint>."
hint_action_task_seduce_local_context,"Svést
{skill_name} na {skill_level}. úrovni
{target_skill_name} cíle: {target_skill_level}. úroveň

<b>Výsledek</b>
$ Myšlenka osoby {soul_uuid_performer}: <red>{being_used}</red>
$ Vztah s tvým vládcem ({soul_uuid_king}): <green>{rel_plus}</green>

Zájem osoby {soul_uuid_target} o cíl {soul_uuid_performer}: {interest_stack}"
hint_poison,"Otrávit
Pokud travič uspěje, cíl brzy zemře v bolestech, ale na pachatele padne podezření a dostane zákaz navštěvovat provincii.

V případě neúspěchu se <hint=hint_relations>vztah</hint> mezi vašimi <hint=hint_persons_king>králi</hint> výrazně zhorší a cíl zahájí boj na život a na smrt. Travič už nebude moct navštívit tuto provincii.

$ Pravděpodobnost úspěchu závisí na rozdílu schopnosti <hint=hint_skill_knowledge>Inteligence</hint> mezi dotyčnými postavami.
$ Musíš mít postavu s vlastností <hint=hint_trait_poisoner>Travič</hint>, která bude velmi věrná tvému králi."
hint_poison_context,"Otrávit
{soul_uuid_performer}
{skill_name_2} na {skill_level_2}. úrovni

{soul_uuid_target}
{skill_name_1} na {skill_level_1}. úrovni

<b>Pravděpodobnost úspěchu:</b> {assain_chance} %

V případě neúspěchu se <hint=hint_relations>vztah</hint> mezi vašimi <hint=hint_persons_king>králi</hint> výrazně zhorší a cíl zahájí boj na život a na smrt."
hint_action_task_bribe,"Podplatit
$ Lord dá postavě <hint=hint_resource_rune>{rings_rew_number}</hint> a pokusí se v ní vyvolat nespokojenost s jejím vlastním králem.
$ Výsledkem bude, že se sníží <hint=hint_loyalty>věrnost</hint> daného lorda k jeho králi.
$ Míra snížení věrnosti cíle závisí na schopnosti <hint=hint_skill_speech>Přesvědčování</hint> aktéra.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Podplatit
{skill_name} na {skill_level}. úrovni
Úroveň schopnosti {skill_name} cíle: {lord_skill_level}

<b>Výsledek</b>
$<hint=hint_loyalty>Věrnost</hint> k vlastnímu králi: <red>{loyalty_modify}</red>
$ Vztah s tvým vládcem ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Není dostupné
Tento lord je věrný svému králi."
hint_action_task_bribe_gm,"~
Tento úkol lze splnit za pomoci vyslance. V takovém případě se úplatek uskuteční jménem tvého krále a jeho efektivita bude záviset na schopnostech vyslance."
hint_action_task_go,"Vykázat
Požádej hosta, aby odešel z provincie.

Postoj hostova vládce a samotného hosta k tvému panovníkovi se zhorší.

Kromě toho bude mít tento host zakázáno navštívit v budoucnu tvou provincii."
hint_action_task_go_context,"Vykázat
Požádej hosta, aby odešel z provincie. 

Aktérova schopnost Chování má vliv na snížení negativních myšlenek z této akce.

{soul_uuid_performer}:
{skill_name_2} na {skill_level_2}. úrovni.

$ Postoj osoby {soul_uuid_target} ke králi {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Postoj krále {soul_uuid_king} k osobě {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Tato postava už tě nebude moct navštívit."
hint_kidnap,"Únos postavy
Pokus se unést vybranou postavu, zatímco bude spát.

$ Pokud se postava nevzbudí (pravděpodobnost – {wake_k} %), stane se z ní <hint=hint_trait_captive>rukojmí</hint>.
$ Pokud se cíl vzbudí, pustí se s aktérem do boje, načež se cíl pokusí z osady utéct. Pořád ale budeš mít šanci ji zajmout, pokud se aktérovi či strážím podaří cíl zneškodnit.

V každém případě tím porušíš posvátné zákony pohostinnosti a <hint=hint_relations>vztah</hint> tvého krále se všemi sousedními <hint=hint_persons_king>králi</hint> se výrazně zhorší.

<hint=hint_loyalty>Věrnost</hint> aktéra musí být vyšší než {loyalty_action}, aby tento úkol vůbec přijal."
hint_kidnap_context,"Únos postavy
Pravděpodobnost, že se oběť vzbudí: {wake} %

{soul_uuid_performer}:
{skill_name_1} na {skill_level_1}. úrovni

{soul_uuid_target}:
{skill_name_2} na {skill_level_2}. úrovni 
{optional_wake_info}"
hint_diplomacy,"Usmíření
Postava může přesvědčit nepřátelského krále, aby ukončil nesmyslnou a nebezpečnou válku a začal opět s čistým štítem.

$ Vztah s nepřátelským králem se nastaví na hodnotu <red>-10</red> nehledě na aktuální úroveň nevraživosti.
$ Musíš mít postavu s vlastností <hint=hint_trait_diplomat>Diplomat</hint>.
$ <hint=hint_loyalty>Věrnost</hint> aktéra navíc musí být vyšší než {loyalty_action}, aby tento úkol vůbec přijal.

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Usmíření
Vztah s nepřátelským králem se nastaví na hodnotu <red>-10</red> nehledě na aktuální úroveň nevraživosti.

<b>Cena</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Pokus o zabití
Pokus se zavraždit tuto postavu tak, že na ni zaútočíš, když bude v noci spát.

V případě úspěchu se <hint=hint_relations>vztah</hint> mezi vašimi <hint=hint_persons_king>králi</hint> výrazně zhorší.

<hint=hint_loyalty>Věrnost</hint> aktéra musí být vysoká, aby tento úkol vůbec přijal."
hint_assasin_context,"Pokus o zabití
Pravděpodobnost, že se oběť vzbudí: {wake} %

{soul_uuid_performer}:
{skill_name_1} na {skill_level_1}

{soul_uuid_target}. úrovni:
{skill_name_2} na . úrovni "
hint_assasin_gm,"Pokus o zabití
Pokus se zavraždit tuto postavu tak, že na ni zaútočíš, když bude v noci spát.

V každém případě se <hint=hint_relations>vztah</hint> mezi vašimi <hint=hint_persons_king>králi</hint> výrazně zhorší.

 Úspěch závisí na <hint=hint_skill_combat>bojové schopnosti</hint> aktéra i cíle.

<hint=hint_loyalty>Věrnost</hint> aktéra musí být vysoká, aby tento úkol vůbec přijal."
hint_assasin_context_gm,"Pokus o zabití
{skill_name} na {skill_level}. úrovni

V každém případě se <hint=hint_relations>vztah</hint> mezi vašimi <hint=hint_persons_king>králi</hint> výrazně zhorší."
hint_action_task_provoke_duel,"Vyprovokovat k souboji
Tvůj lord záměrně urazí tohoto lorda, čímž mu dá záminku k souboji.

Během souboje může jeden z lordů zemřít.

Navíc se o tom dozví místní biskup, který tvoje skutky nahlásí matriarše.

V každém případě:
$ Vztah s králem {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Vztah s matriarchou: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Vyprovokovat k souboji
{soul_uuid_1}: <hint=hint_skill_combat>Bojová schopnost</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>Bojová schopnost</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Souboj skončil!
{soul_uuid_target} je po smrti.

$ Vztah s králem {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Vztah s matriarchou: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Souboj skončil!
Tvůj lord byl zabit.

$ Vztah s králem {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Vztah s matriarchou: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Souboj skončil!
Bojovníci jsou pořád naživu.

$ Vztah s králem {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Vztah s matriarchou: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Nízký zájem
Cíl má o tohoto lorda velmi malý zájem.

Zájem osoby {soul_uuid_target} o cíl {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Nepřipravenost k interakci
Osoba {soul_uuid_performer} už nedávno s cílem {soul_uuid_target} interagovala a chce se soustředit na svoje úkoly.

$ Tuto akci můžeš opakovat za {remain_time} hod."
hint_unavailable_low_loyalty,"Nízká věrnost
Aktérova <hint=hint_loyalty>věrnost</hint> je velmi nízká. Pokud mu chceš přiřadit tento úkol, musí jeho věrnost být alespoň {loyalty_threshold}, ale momentálně je jen {loyalty}."
hint_loyal_conflict,"~
Když <hint=hint_loyalty>věrnost</hint> postavy klesne pod 25, lord se postaví proti svému králi.

$ Pokud se jedná o dědice, který s králem nemá přátelské vztahy, může vyvolat <hint=hint_nt_heir_rebellion>povstání</hint>.
$ Pokud je to obyčejný lord nebo dědic, který má s králem přátelské vztahy, raději odejde do sousední provincie, což zhorší vztah mezi králi, ale nepovede to k povstání.

<b>Výsledkem bude, že </b>populace, ekonomika<b> a následně i armáda tohoto krále se zhorší</b>."
hint_unavailable_trade_moving,"Nepřipravenost
Obchodník z karavany bude připraven obchodovat, jakmile se dostane doprostřed osady."
hint_unavailable_madness,"Šílenství
Tento lord tohle teď nemůže řešit."
hint_unavailable_to_madness,"Šílenství
Tuto interakci momentálně nemůžeš přiřadit."
hint_go_home,"Vrátit se domů
Lord se vrací do svého města."
action_is_unavaible_by_captive,"Rukojmí
Tuto akci nemůže provést, protože je v zajetí."
hint_action_task_confession,"Zpověď
Vyzpovídej se biskupovi výměnou za malou obětinu.

<b>Cena:</b> <hint=hint_resource_rune>{conf_price}</hint>

Získáš rozhřešení následujících <hint=hint_sin>hříchů</hint>:
{sins}"
hint_action_task_confession_unavailable,"Zpověď není dostupná.
Lord v poslední době nezhřešil"
hint_action_task_canonization,"Požehnání
Na dobu {days} dnů církev tvému králi odpustí všechny jeho hříchy.

$ Tvůj vládce nebude trpět při páchání hříchů.
$ <hint=hint_persons_fanatic>Fanatici</hint> v řadách tvých rolníků se budou chtít přidat k tvému vojsku.
$ Vztah všech tvých lordů ke svému vládci se výrazně zlepší a poddaní budou spokojenější.

<b>Cena:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Špatný vztah
Pokud chceš obdržet <hint=hint_saint>požehnání</hint>, <hint=hint_relations_matriarch>názor matriarchy</hint> na tvého vůdce musí být vyšší než <green>{threshold}</green>."
hint_canonized_already,"Nelze provést
Tato postava už požehnání obdržela."
hint_action_task_divorce,"Rozvod
Zruš manželství mezi osobami {soul_uuid_target} a {soul_uuid_spouce}.

Výsledkem bude, že postavy budou moct uzavřít nový sňatek.

<b>Cena:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Utěšit
Biskup utěší postavu, která truchlí kvůli ztrátě milované osoby, pomocí těch správných slov a zmírní její bolest.

Výsledek: Myšlenky na ztrátu milované osoby budou výrazně slabší."
hint_action_task_begging,"Požádat o odpuštění
Z milosti Matky Sofie je biskup ochoten naslouchat této postavě a odpustit jí prohřešky... pokud díky obětině dokáže, že to myslí vážně.

Postoj biskupa k postavě {soul_uuid_target} se tím zlepší o <green>{rel_plus}</green>.

<b>Cena:</b> <hint=hint_resource_rune>{price}</hint>

"
hint_action_task_begging_unavailable_no_need,"Nelze provést
Biskup osobu {soul_uuid_target} nepovažuje za nepřítele, takže {soul_uuid_target} odpuštění nepotřebuje."
hint_action_task_consolation_unavailable_by_cynic,"Nelze provést
Postavu s vlastností Cynik nelze utěšit."
hint_action_task_consolation_unavailable_dont_need,"Nelze provést
Tato postava momentálně nepotřebuje utěšit."
hint_action_task_consolation_unavailable_already_dont_need,"Nelze provést
Tato postava už byla utěšena."
hint_action_task_consolation_unavailable_by_opinion,"Nelze provést
Biskup nemá s touto postavou dost dobrý vztah, takže tuto akci neprovede."
hint_action_task_unavailable_bad_opinion,"Nelze provést
{soul_uuid_1} nemá dost dobrý vztah s postavou {soul_uuid_2}. Vztah mezi nimi je momentálně {current_opinion} a musí být alespoň {required_opinion}."
hint_action_task_unavailable_no_titles,"Nelze provést
Žádné dostupné <hint=hint_title>tituly</hint> pro lorda."
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"Vynucený sex
$Přinucená postava může počít <hint=hint_persons_bastard>nemanželské dítě</hint>.
$ Král urozeného rodu, kterému zajatec patří, bude tento krok považovat za mučení.
$ Tato akce se považuje za <hint=hint_sin>hřích</hint>."
