Key,Korean
hint_action_task_dice,"주사위 던지기
다른 영주와 주사위를 던집니다.

게임의 결과는 상당 부분 무작위로 결정되지만, 플레이어의 <hint=hint_skill_knowledge>지능</hint> 스킬 차이에 큰 영향을 받습니다.

<hint=hint_resource_rune>{dice_bet}</hint> 내기로 진행됩니다."
hint_action_task_dice_context,"주사위 던지기
다른 영주와 주사위를 던집니다.

<hint=hint_resource_rune>{dice_bet}</hint> 내기로 진행됩니다.

$ {soul_uuid_1}: 지능 {number1}
$ {soul_uuid_2}: 지능 {number2}

{soul_uuid_1}의 승률은 {ver}%입니다."
hint_action_make_enemy,"적으로 선포
{soul_uuid_target}(을)를 왕의 적으로 선포합니다.

$ 해당 캐릭터가 최대한 빨리 왕국에서 도망치려 할 것입니다.
$ 휘하 영주와 전사가(무장한 경우) 이 캐릭터를 공격하여 처치하려 합니다.
$ <hint=hint_army>전투 분대</hint>로 공격할 수도 있습니다(대상에 우클릭).
{additional_info_stack}"
hint_action_task_hunt,"사냥
캐릭터들이 함께 <hint=hint_fleshwolf>살육늑대</hint>를 사냥합니다.

살육늑대는 <hint=hint_resource_wooden_spear>창</hint>으로 무장한 전투 스킬 {wolf_level}의 전투원과 동등한 힘을 가진 것으로 간주됩니다.

$ 성공 시, 살육늑대를 처치하고 두 사냥꾼이 쓰러지지 않고 살아남았다면 오래 지속되는 <hint=hint_thought_social>사회적 생각</hint>인 ""함께 사냥함"" <green>{hunt_improve}</green>을 얻습니다.
$또한, 사냥 성공 시 참가자들은 <hint=hint_skill_combat>전투 스킬</hint>과 <hint=hint_skill_command>명령 스킬</hint>에 {exp_points}포인트를 받습니다.
$ 사냥꾼 중 하나라도 패배하는 경우, 둘 모두 부정적인 사회적 생각 ""형편없는 사냥꾼"" <red>{bad_hunter}</red>을 얻습니다."
hint_action_task_hunt_context,"사냥
{soul_uuid_1}: <hint=hint_skill_combat>전투 스킬</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>전투 스킬</hint>: {skill_2}
{soul_2_equipment_stack}

살육늑대는 <hint=hint_resource_wooden_spear>창</hint>으로 무장한 전투 스킬 {wolf_level}의 전투원과 동등한 힘을 가진 것으로 간주됩니다."
hint_action_task_together,"함께 시간 보내기
캐릭터들이 산책, 기도, 음악 연주 등으로 함께 시간을 보냅니다.

이 시간 동안 확정적으로 2번의 <hint=hint_conversation>깊은 대화</hint>를 나누지만, 반드시 좋은 대화만 나누는 것은 아닙니다.

좋은 대화를 나눌 확률은 캐릭터의 <hint=hint_mood>기분</hint>에 달렸으며, 이 대화로 인해 발생하는 생각의 강도는 <hint=hint_skill_manners>예의</hint> 스킬에 따라 달라집니다."
hint_action_task_hunt_unavailable,"사용 불가
해당 주교는 사냥에 동원할 수 없습니다."
hint_action_task_hunt_by_no_wolf,"사용 불가
숲에 사냥할 수 있는 살육늑대가 없습니다."
hint_action_task_together_new_context,"함께 시간 보내기
$ {soul_uuid_1}: 기분 {mood_stack_1}, <hint=hint_skill_manners>예의:</hint> {skill_level_1} 
$ {soul_uuid_2}: 기분 {mood_stack_2}, <hint=hint_skill_manners>예의:</hint> {skill_level_2}

<b>결과:</b>
{soul_uuid_1}(이)가 ${soul_uuid_2}에 관해 생각합니다:
{deep_social_stack_1}
기분: {moral_change_1}

{soul_uuid_2}(이)가 ${soul_uuid_1}에 관해 생각합니다:
{deep_social_stack_2}
기분: {moral_change_2}"
hint_child_sub_context,"~
이 캐릭터는 부모이므로, 이 상호작용은 돌봄으로도 작용하여 자녀의 <hint=hint_need_care>돌봄</hint>에 대한 욕구를 충족시킬 수 있습니다."
hint_marriage_local,"결혼
통치자의 뜻을 거스르지 않고 두 영주가 적법한 <hint=hint_marriage>혼인</hint> 관계를 맺습니다.

자녀와 부모 또는 형제자매 간의 결혼은 금지되어 있습니다."
hint_marriage_local_context,"결혼
{soul_uuid_1}(이)가 {soul_uuid_2}의 배우자가 됩니다."
hint_action_task_lesson,"~
$ 학생에게 이 스킬에 대한 <hint=hint_talant>재능</hint>이 있는 경우 더 많은 경험치를 획득합니다.
$ 해당 행동은 가능한 경우 취소할 때까지 매일 수행됩니다.
$ 이 행동은 교사와 학생 모두에게 <hint=hint_need_fun>휴식</hint> 욕구를 발생시킵니다."
hint_action_task_lesson_context,"학습
이 교사가 학생의 스킬을 개발할 수 있습니다:
$ {skill_name} 최대 레벨 {skill_level_cup}까지
$ {skill_name_2} 최대 레벨 {skill_level_cup_2}까지

훈련 효율:
$ 해당 교사가 보유한 <hint=hint_skill_teaching>훈련</hint> 스킬: {skill_level_3}
$ 수업당 경험치 {exp} 제공

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"일반 훈련
교사가 학생의 모든 스킬을 훈련시킵니다. 학생의 재능을 스킬 한도까지 올리는 데 먼저 집중한 다음 남은 스킬을 차례로 훈련합니다."
hint_action_task_lesson_guest,"~
이 캐릭터는 손님이므로, <hint=hint_resource_rune>{price}</hint>의 수업료가 발생합니다.

해당 비용은 왕의 주머니에서 빠져나갑니다."
hint_action_task_lesson_change_culture,"~
이 캐릭터는 {culture} 문화에 속하므로, 학생이 일정 확률로 자신의 문화를 변경할 수 있습니다."
hint_action_task_lesson_guest_no_money,"반지 부족
이 캐릭터는 손님이므로, <hint=hint_resource_rune>{price}</hint>의 수업료가 발생합니다.

수업료로 쓸 신성 반지가 부족합니다."
hint_action_task_lesson_bishop_low_opinion,"나쁜 관계
당신의 왕과 관계가 나쁩니다

왕과의 관계를 <green>{option_req}</green>까지 개선하세요."
hint_duel,"결투
캐릭터가 공식 결투로 관계를 결정짓고자 할 것입니다.

$ 결투하는 적에 대해 사망 또는 복수 <hint=hint_desire>욕망</hint>이 있다면 제거됩니다.
$ 결투는 참가자 중 한 명이 의식을 잃을 때까지 계속되지만 죽음을 초래하는 결과가 일어날 수도 있습니다.
$ 결투자가 상대에게 더 많은 고통을 가할수록 욕망을 해소할 확률이 높아집니다.
$ 결투는 분쟁을 해결하는 명예로운 방식으로 간주되므로, 결투에서 <hint=hint_bishop>주교</hint>를 죽이더라도 총대주교의 분노를 일으키지 않습니다."
hint_duel_provoke,"도발
이웃 영지의 손님이 영주를 도발하여 오늘 저녁에 결투를 치르게 됩니다.

결과에 자신이 없다면 결투를 하기 전에 해당 손님을 영지에서 추방할 수 있습니다. 그러면 영주가 위험을 피할 수 있지만, 당신의 통치자에 대한 손님의 왕과 손님 본인의 태도가 악화됩니다."
hint_duel_context,"결투
{soul_uuid_1}: <hint=hint_skill_combat>전투 스킬</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>전투 스킬</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"부적합 행위자
해당 영주가 {soul_uuid_target}의 <hint=hint_enemy>적</hint>이어야 합니다."
hint_action_task_savant_study_unavalable,"석학
석학은 훈련할 수 없습니다."
hint_action_invite,"손님으로 초대
해당 영주가 정착지로의 초대를 받아들여 며칠간 머뭅니다.

$ 해당 영주는 당신의 왕과의 관계가 <green>{opinion_threshold}</green> 이상인 경우 제안을 받아들입니다."
hint_action_shadow,"악행
<b>도시의 행동 메뉴</b>에서 이 도시의 흉악범을 고용해서 절도 및 납치와 같은 악행을 저지르게 할 수 있습니다.

악행의 비용은 왕의 <hint=hint_skill_speech>설득</hint> 스킬에 따라 달라집니다."
hint_action_task_hire_free_lord,"고용
자유 영주를 10일 동안 고용합니다.

보유한 영주와 같이 건물 점검, 분대 지휘 등의 임무를 배정할 수 있습니다.

고용 비용은 협상에 임하는 영주의 <hint=hint_skill_speech>설득</hint> 스킬 레벨에 따라 달라집니다."
hint_action_task_hire_free_lord_context,"영주 고용
{skill_name} 레벨 {skill_level}
사용 가능한 영주의 {skill_name} 레벨: {free_lord_skill_level}

10일 고용 비용: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

팁: 영주는 계약이 만료된 후에 지불금을 받게 되며, 그때까지는 양측의 올바른 행동을 보장하기 위해 교회에서 보증금 형태로 보관합니다."
hint_action_task_seduce,"유혹
$ 행위자에 대한 <hint=hint_interest>영주의 관심</hint>이 <green>높으면</green>({interest_high} 초과) 침대에서 함께 시간을 보냅니다.
$대상은 당신의 통치자에 대한 <green>관계가 크게 개선</green>될 것이며(유혹자로 인해), 이들이 당신의 <hint=hint_encyclopedia_puppets>꼭두각시</hint>가 될 수 있습니다.

이 효과는 행위자의 <hint=hint_skill_manners>예의</hint> 스킬과 대상의 <hint=hint_skill_knowledge>지능</hint>의 차이에 따라 달라집니다.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"유혹
{skill_name} 레벨 {skill_level}
대상의 {target_skill_name}: 레벨 {target_skill_level}

<b>결과</b>
$ 당신의 통치자({soul_uuid_king})와의 관계: <green>{rel_plus}</green>
$ {soul_uuid_performer}에 대한 생각: <red>{being_used}</red>

{soul_uuid_performer}에 대한 {soul_uuid_target}의 관심: {interest_stack}"
hint_action_task_seduce_local,"유혹
$ 행위자에 대한 영주의 <hint=hint_interest>관심</hint>이 <green>높으면</green>({interest_high} 초과) 침대에서 함께 시간을 보냅니다.
$ 그 결과 대상은 당신의 통치자에 대한 <green>관계가 개선</green>될 것이며 이들이 당신의 <hint=hint_encyclopedia_puppets>꼭두각시</hint>가 될 수 있습니다."
hint_action_task_seduce_local_context,"유혹
{skill_name} 레벨 {skill_level}
대상의 {target_skill_name}: 레벨 {target_skill_level}

<b>결과</b>
$ {soul_uuid_performer}의 생각: <red>{being_used}</red>
$ 당신의 통치자({soul_uuid_king})와의 관계: <green>{rel_plus}</green>

{soul_uuid_performer}에 대한 {soul_uuid_target}의 관심: {interest_stack}"
hint_poison,"독살
독살에 성공하면 대상이 고통스럽게 죽지만 범행자가 의심받고 해당 영지 방문이 금지됩니다.

실패 시 <hint=hint_persons_king>왕들</hint> 간의 <hint=hint_relations>관계</hint>가 크게 악화되며, 대상과 죽을 때까지 전투를 벌입니다. 독살자는 더는 이 영지를 방문할 수 없게 됩니다.

$ 성공 확률은 상호작용하는 캐릭터의 <hint=hint_skill_knowledge>지능</hint> 스킬 차이에 따라 달라집니다.
$ <hint=hint_trait_poisoner>독살자</hint> 특성이 있고 왕에 대한 충성도가 높은 캐릭터가 있어야 합니다."
hint_poison_context,"중독
{soul_uuid_performer}
{skill_name_2} 레벨 {skill_level_2}

{soul_uuid_target}
{skill_name_1} 레벨 {skill_level_1}

<b>성공 확률:</b> {assain_chance}%

실패 시 <hint=hint_persons_king>왕들</hint> 간의 <hint=hint_relations>관계</hint>가 크게 악화되며 대상과 죽을 때까지 전투를 벌입니다."
hint_action_task_bribe,"뇌물
$ 영주가 해당 캐릭터에게 <hint=hint_resource_rune>{rings_rew_number}</hint>를 주고 대상의 왕에 대한 불만을 심으려 합니다.
$ 그 결과 대상 영주의 왕에 대한 <hint=hint_loyalty>충성도</hint>가 감소합니다.
$ 대상의 충성도 감소량은 행위자의 <hint=hint_skill_speech>설득</hint> 스킬에 따라 달라집니다.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"뇌물
{skill_name} 레벨 {skill_level}
대상의 {skill_name} 레벨: {lord_skill_level}

<b>결과</b>
대상의 왕에 대한 $<hint=hint_loyalty>충성도</hint>: <red>{loyalty_modify}</red>
$ 당신의 통치자({soul_uuid_king})와의 관계: <green>+{rel_plus}</green>

<b>비용</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"사용 불가
이 영주는 본인의 왕에게 충성합니다."
hint_action_task_bribe_gm,"~
이 임무는 사절의 도움으로 완수할 수 있습니다. 이 경우 플레이어의 왕을 대신하여 뇌물을 제공하게 되며, 그 효과는 사절의 스킬에 따라 달라집니다."
hint_action_task_go,"추방
손님에게 영지를 떠나라고 요청합니다.

손님과 그 통치자의 당신의 왕에 대한 태도가 악화됩니다.

또한, 이 손님은 앞으로 당신의 영지 방문이 금지됩니다."
hint_action_task_go_context,"추방
손님에게 영지를 떠나라고 요청합니다. 

행위자의 예의 스킬에 따라 이 행동으로 인한 부정적 생각이 감소합니다.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}.

$ {soul_uuid_target}의 {soul_uuid_performer_king}에 대한 태도: <red>{relations_modify_target}</red>
$ {soul_uuid_king}의 {soul_uuid_performer_king}에 대한 태도: <red>{relations_modify_king}</red>
$ 이 캐릭터는 더 이상 당신을 방문할 수 없습니다."
hint_kidnap,"캐릭터 유괴
선택한 캐릭터가 자는 사이 납치를 시도합니다.

$ 해당 캐릭터가 깨어나지 않으면(확률 - {wake_k}%) 인질이 됩니다.
$ 대상이 깨어나면 행위자와의 전투가 벌어지며, 그 후 대상은 정착지에서 탈출을 시도합니다. 다만, 행위자 또는 경비가 대상을 무력화하는 데 성공하면 그대로 납치할 수도 있습니다.

결과에 상관없이 신성한 환대의 법칙을 위반하게 되므로, 모든 이웃 <hint=hint_persons_king>왕</hint>과의 <hint=hint_relations>관계</hint>가 크게 악화됩니다.

행위자가 임무를 받아 수행하려면 <hint=hint_loyalty>충성도</hint>가 {loyalty_action}보다 높아야 합니다."
hint_kidnap_context,"캐릭터 유괴
대상이 깨어날 확률: {wake}%

{soul_uuid_performer}:
{skill_name_1} 레벨 {skill_level_1}

{soul_uuid_target}:
{skill_name_2} 레벨 {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"화해
해당 캐릭터가 무의미하고 위험한 전쟁을 끝내고 관계를 새롭게 시작하도록 적대 관계의 왕을 설득할 수 있습니다.

$ 현재 증오 수준에 관계없이 적대 왕과의 관계가 <red>-10</red>이 됩니다.
$ <hint=hint_trait_diplomat>외교관</hint> 특성을 가진 캐릭터가 있어야 합니다.
$ 또한, 행위자가 임무를 받아 수행하려면 <hint=hint_loyalty>충성도</hint>가 {loyalty_action}보다 높아야 합니다.

<b>비용</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"화해
현재 증오 수준에 관계없이 적대 왕과의 관계가 <red>-10</red>이 됩니다.

<b>비용</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"암살 시도
이 캐릭터가 밤에 잠든 사이 공격하여 암살을 시도합니다.

성공 시 <hint=hint_persons_king>왕들</hint> 사이의 <hint=hint_relations>관계</hint>가 크게 악화됩니다.

행위자가 임무를 받아 수행하려면 <hint=hint_loyalty>충성도</hint>가 높아야 합니다."
hint_assasin_context,"암살 시도
대상이 깨어날 확률: {wake}%

{soul_uuid_performer}:
{skill_name_1} 레벨 {skill_level_1}

{soul_uuid_target}:
{skill_name_2} 레벨 {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"암살 시도
이 캐릭터가 밤에 잠든 사이 공격하여 암살을 시도합니다.

결과에 상관없이 <hint=hint_persons_king>왕들</hint> 사이의 <hint=hint_relations>관계</hint>가 크게 악화됩니다.

성공 확률은 행위자와 대상의 <hint=hint_skill_combat>전투 스킬</hint>에 따라 달라집니다.

행위자가 임무를 받아 수행하려면 <hint=hint_loyalty>충성도</hint>가 높아야 합니다."
hint_assasin_context_gm,"암살 시도
{skill_name} 레벨 {skill_level}

결과에 상관없이 <hint=hint_persons_king>왕들</hint> 사이의 <hint=hint_relations>관계</hint>가 크게 악화됩니다."
hint_action_task_provoke_duel,"결투 도발
당신의 영주가 의도적으로 이 영주를 모욕하여 결투의 명분을 만듭니다.

결투의 결과로, 영주 한 명이 사망합니다.

또한, 지역 주교가 이를 알게 되어 총대주교에게 당신의 행동을 보고합니다.

결과에 상관없이:
$ {soul_uuid_king}(와)과의 관계: <red>{rel_de_duel_provocation}</red>
$ 총대주교와의 관계: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"결투 도발
{soul_uuid_1}: <hint=hint_skill_combat>전투 스킬</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>전투 스킬</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"결투가 종료되었습니다!
{soul_uuid_target}(이)가 사망했습니다.

$ {soul_uuid_king}(와)과의 관계: <red>{rel_de_duel_provocation}</red>
$ 총대주교와의 관계: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"결투가 종료되었습니다!
당신의 영주가 사망했습니다.

$ {soul_uuid_king}(와)과의 관계: <red>{rel_de_duel_provocation}</red>
$ 총대주교와의 관계: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"결투가 끝났습니다!
결투를한 인물들이 여전히 살아 있습니다.

$ {soul_uuid_king}(와)과의 관계: <red>{rel_de_duel_provocation}</red>
$ 총대주교와의 관계: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"낮은 관심
이 영주에 대한 대상의 관심이 매우 낮습니다.

{soul_uuid_performer}에 대한 {soul_uuid_target}의 관심: {interest_stack}"
hint_unavailable_social_cooldown,"상호작용 준비 안 됨
{soul_uuid_performer}(이)가 이미 최근에 {soul_uuid_target}(와)과 상호작용하여 다른 임무에 집중하고자 합니다.

$ {remain_time}시간 후 해당 행동을 반복할 수 있습니다."
hint_unavailable_low_loyalty,"낮은 충성도
행위자의 <hint=hint_loyalty>충성도</hint>가 매우 낮습니다. 이 임무를 배정하려면 충성도가 {loyalty_threshold} 이상이어야 하지만, 현재 {loyalty}밖에 되지 않습니다."
hint_loyal_conflict,"~
캐릭터의 <hint=hint_loyalty>충성도</hint>가 25 미만으로 떨어지면, 해당 영주가 본인의 왕과 갈등을 일으킵니다.

$ 후계자면서 왕과 친밀하지 않은 경우 <hint=hint_nt_heir_rebellion>반란</hint>을 일으킬 수도 있습니다.
$ 일반 영주나 왕과 친밀한 후계자인 경우, 이웃 영지로 떠나고 싶어합니다. 이 경우 왕과의 관계가 악화되지만, 반란을 일으키지는 않습니다.

<b>그 결과</b> 인구와 경제가 감소하고, 그에 따라 <b>이 왕의 군대가 감소합니다</b>."
hint_unavailable_trade_moving,"준비 안 됨
상단 상인은 정착지 중앙에 도달하는 대로 거래 준비가 될 것입니다."
hint_unavailable_madness,"광기
이 영주는 지금 이것을 할 수 없습니다."
hint_unavailable_to_madness,"광기
이 상호작용은 지금 배정할 수 없습니다."
hint_go_home,"귀가
영주가 자신의 마을로 돌아갑니다."
action_is_unavaible_by_captive,"인질
구금되어 있으므로 이 행동을 수행할 수 없습니다."
hint_action_task_confession,"고해성사
소정의 헌금을 내고 주교에게 죄를 고해합니다.

<b>비용:</b> <hint=hint_resource_rune>{conf_price}</hint>

다음 <hint=hint_sin>죄</hint>를 사합니다:
{sins}"
hint_action_task_confession_unavailable,"고해할 수 없습니다.
해당 영주가 최근 죄를 짓지 않았습니다."
hint_action_task_canonization,"축복
{days}일 동안 교회에서 왕의 모든 죄를 용서해 줍니다.

$ 당신의 통치자가 죄를 지어도 고통을 겪지 않습니다.
$ 농민에 속한 <hint=hint_persons_fanatic>광신도</hint>들이 군대에 입대하기를 열렬히 원하게 됩니다.
$ 당신의 모든 영주는 자신의 통치자에 대한 관계가 크게 향상되고, 신민들이 더욱 행복해집니다.

<b>비용:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"형편없는 관계
<hint=hint_saint>축복</hint>을 받으려면, 당신의 통치자에 대한 <hint=hint_relations_matriarch>총대주교의 평가</hint>가 <green>{threshold}</green>보다 높아야 합니다."
hint_canonized_already,"사용 불가
이 캐릭터는 이미 축복을 받았습니다."
