Key,TraditionalChinese
hint_action_give_title_to_hired_free_lord,"授予爵位給流浪貴族
君王將授予{soul_uuid_1}<hint=hint_title>爵位</hint>，讓他成為王室的正統成員。

必須繳一筆稅金給神愛之家，令其承認{soul_uuid_1}的血統。

<b>行動結果：</b>
$ {soul_uuid_1}將獲封爵位，成為{faction_uuid}的一員。
$ 將繳納稅金 <hint=hint_resource_gold>{give_title_cost}</hint> 給神愛之家。
$ 可用的爵位數量將減少 1 個。"
hint_action_give_title_to_soldier,"授予爵位給戰士
君王將一個<hint=hint_title>爵位</hint>授予沒有土地的{soul_uuid_1}戰士，讓他成為王室的正統成員。由戰士封爵而成的貴族，能力值會相對較低。

必須繳一筆稅金給神愛之家，以將{soul_uuid_1}的血統記錄建檔。

其他貴族會對其低賤的出身表現出負面態度。

<b>行動結果：</b>
$ {soul_uuid_1}將獲封爵位，正式成為{faction_uuid}的貴族。
$ 其他貴族的起始態度：<red>{mind_modify}</red>
$ 將繳納稅金 <hint=hint_resource_gold>{give_title_cost}</hint> 給神愛之家。
$ 可用的爵位數量將減少 1 個。"
hint_action_take_title,"褫奪貴族的爵位
君王將革去{soul_uuid_1}貴族的<hint=hint_title>爵位</hint>，該貴族將因而成為<hint=hint_untitled_lord>小貴族</hint>。

<b>行動結果：</b>
$ 被逐出王室的貴族將會記住這個恥辱，並對君王產生強度為<red>{der_thought}</red>的極度負面想法。
$ 這名貴族的好友將感到不滿，且對君王的好感度降低。
$ 可用的爵位數量將增加 1 個。"
hint_action_task_dice,"賭骰子
與另一名貴族玩賭骰子遊戲。

遊戲結果為隨機產生，但雙方<hint=hint_skill_knowledge>智力</hint>的差距會顯著影響遊戲結果。

賭注為 <hint=hint_resource_rune>{dice_bet}</hint>。"
hint_action_task_dice_context,"賭骰子
與另一名貴族玩賭骰子遊戲。

賭注為 <hint=hint_resource_rune>{dice_bet}</hint>。

$ {soul_uuid_1}：智力 {number1}
$ {soul_uuid_2}：智力 {number2}

{soul_uuid_1} 有 {ver}% 機率獲勝。"
hint_action_make_enemy,"宣布敵對立場
我邦君王宣布與{soul_uuid_target}正式為敵。

$ 此人將即刻企圖逃離王國。
$ 你的貴族及戰士（若有持武）會發動攻擊，試圖殺死這個人。
$ 你也可以派<hint=hint_army>戰鬥部隊</hint>去攻擊他（對目標按滑鼠右鍵）。
{additional_info_stack}"
hint_action_task_hunt,"打獵
這些人物正在一起狩獵<hint=hint_fleshwolf>食肉狼</hint>。

食肉狼的實力相當於戰鬥能力 {wolf_level} 且持有<hint=hint_resource_wooden_spear>矛</hint>的打手。

$ 打獵成功時，若食肉狼遭擊敗且兩名獵人皆安然無恙，便會獲得持久的<hint=hint_thought_social>社交想法</hint>「一起打獵」<green>{hunt_improve}</green>。
$ 此外，若打獵成功，雙方<hint=hint_skill_combat>戰鬥能力</hint>將獲得 {exp_points} 點經驗值與<hint=hint_skill_command>指揮能力</hint>。
$ 若任一獵人敗北，則雙方皆會獲得負面社交想法「糟糕的獵人」<red>{bad_hunter}</red>。"
hint_action_task_hunt_context,"打獵
{soul_uuid_1}：<hint=hint_skill_combat>戰鬥能力</hint>：{skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}：<hint=hint_skill_combat>戰鬥能力</hint>：{skill_2}
{soul_2_equipment_stack}

食肉狼的實力相當於戰鬥能力 {wolf_level} 且持有<hint=hint_resource_wooden_spear>矛</hint>的打手。"
hint_action_task_together,"共度時光
兩人將花些時間相處，一起散步、禱告、聆賞音樂等。

相處期間必定會發生 2 次<hint=hint_conversation>深談</hint>——但也有可能話不投機。

談話產生良好結果的機率取決於雙方的<hint=hint_mood>心情</hint>，引發的想法強度則取決於雙方的<hint=hint_skill_manners>氣質</hint>能力。"
hint_action_task_hunt_unavailable,"無法進行
主教無法打獵。"
hint_action_task_hunt_by_no_wolf,"無法進行
這片森林裡沒有食肉狼可供打獵。"
hint_action_task_together_new_context,"共度時光
$ {soul_uuid_1}：心情 {mood_stack_1}，<hint=hint_skill_manners>氣質：</hint>{skill_level_1}
$ {soul_uuid_2}：心情 {mood_stack_2}，<hint=hint_skill_manners>氣質：</hint>{skill_level_2}

<b>行動結果：</b>
{soul_uuid_1}會想著 ${soul_uuid_2}：
{deep_social_stack_1}
心情：{moral_change_1}

{soul_uuid_2}會想著 ${soul_uuid_1}：
{deep_social_stack_2}
心情：{moral_change_2}"
hint_child_sub_context,"~
由於該人士是家長，此互動也會補充子女的<hint=hint_need_care>關懷</hint>需求。"
hint_marriage_local,"結婚
由於不敢違抗統治者的旨意，兩位貴族將在法律上締結<hint=hint_marriage>婚姻關係</hint>。

父母和子女不得結婚；兄弟姊妹也不得結婚。"
hint_marriage_local_context,"結婚
{soul_uuid_1}將成為{soul_uuid_2}的配偶。"
hint_action_task_lesson,"~
$ 對此能力有<hint=hint_talant>天賦</hint>的學生能夠獲得更多經驗值。
$ 此行動將每日執行，直到無法執行或被取消為止。
$ 此行動會觸發導師和學生的<hint=hint_need_fun>休憩</hint>需求。"
hint_action_task_lesson_context,"學習
導師將促進學生的能力發展：
$ {skill_name}最高達等級 {skill_level_cup}
$ {skill_name_2}最高達等級 {skill_level_cup_2}

訓練成效：
$ 導師的<hint=hint_skill_teaching>訓練</hint>能力：{skill_level_3}
$ 每堂課可傳授 {exp} 點經驗值

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"通才訓練
導師將訓練學生的全部能力；首先集訓學生的天賦能力直至極限，然後依次訓練其餘的能力。"
hint_action_task_lesson_guest,"~
該人士是外賓，因此課程需收費 <hint=hint_resource_rune>{price}</hint>。

君王必須自掏腰包支付學費。"
hint_action_task_lesson_change_culture,"~
該人士為{culture}背景，使得學生有機率改變文化。"
hint_action_task_lesson_guest_no_money,"聖戒不足
該人士是外賓，因此課程需收費 <hint=hint_resource_rune>{price}</hint>。

你的聖戒不足以支付學費。"
hint_action_task_lesson_bishop_low_opinion,"關係惡劣
與我邦君王關係值太低

提升與我邦君王的關係<green>{option_req}</green>"
hint_duel,"決鬥
讓兩人展開一場正式決鬥，以此確立關係地位。

$ 參與決鬥可以消除復仇或殺戮的<hint=hint_desire>慾望</hint>（如果有的話）。
$ 決鬥會持續到其中一方失去意識，但也有可能導致死亡。
$ 決鬥者對對手造成越多痛苦，越容易紓解自己的慾望。
$ 決鬥普遍公認為一種高尚的調解手段；所以即使在決鬥中殺害了<hint=hint_bishop>主教</hint>，也不會因此惹怒國母。"
hint_duel_provoke,"挑釁
一位外賓挑釁你的貴族與他決鬥。決鬥將於今晚舉行。

如果對決鬥結果沒有信心，可以在此之前將外賓逐出領地，如此能讓你的貴族避免傷亡風險，但這會惡化外賓君王（包含外賓本人）對你的統治者的態度。"
hint_duel_context,"決鬥
{soul_uuid_1}：<hint=hint_skill_combat>戰鬥能力</hint>：{skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}：<hint=hint_skill_combat>戰鬥能力</hint>：{skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"執行者不相容
該貴族必須是{soul_uuid_target}的<hint=hint_enemy>敵人</hint>。"
hint_action_task_savant_study_unavalable,"學者
學者無法受訓。"
hint_action_invite,"邀請作客
該貴族將受邀造訪你的領地，並逗留數天。

$ 若雙方君王的關係高於 <green>{opinion_threshold}</green>，該貴族便會應邀。"
hint_action_shadow,"不法勾當
在<b>該城鎮的行動選單中</b>，可以買通當地的刺客替你行使不法勾當，諸如盜竊、綁架等。

服務費用取決於我邦君王的<hint=hint_skill_speech>遊說</hint>能力。"
hint_action_task_hire_free_lord,"僱用
僱用一名流浪貴族，為期 10 天。

流浪貴族一樣可以指派各種事項：視察建築、率領部隊等等。

僱用費取決於負責交涉的貴族的<hint=hint_skill_speech>遊說</hint>能力。"
hint_action_task_hire_free_lord_context,"僱用貴族
{skill_name}等級：{skill_level}
可僱用貴族的{skill_name}等級：{free_lord_skill_level}

僱用 10 日的價格：<hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

提示：該貴族僅在合約到期後才會收到報酬，在此之前款項由教會保管，以約束雙方遵守契約。"
hint_action_task_seduce,"勾引
$ 如果受到勾引的貴族對執行者抱有<green>高度</green><hint=hint_interest>興趣</hint>（高於 {interest_high}），兩人便會上床共度良宵。
$ （多虧了勾引者）目標會<green>大幅提升與你統治者的關係</green>，甚至可能成為你的<hint=hint_encyclopedia_puppets>傀儡</hint>。

效果取決於執行者的<hint=hint_skill_manners>氣質</hint>能力和目標的<hint=hint_skill_knowledge>智力</hint>間的差距。

[hint_loyal_conflict]"
hint_action_task_seduce_context,"勾引
{skill_name}等級{skill_level}
目標的{target_skill_name}等級：{target_skill_level}

<b>行動結果：</b>
$ 與統治者的關係（{soul_uuid_king}）：<green>{rel_plus}</green>
$ 對{soul_uuid_performer}的想法：<red>{being_used}</red>

{soul_uuid_target}對{soul_uuid_performer}的興趣：{interest_stack}"
hint_action_task_seduce_local,"勾引
$ 若該貴族對執行者抱有<green>高度</green><hint=hint_interest>興趣</hint>（高於 {interest_high}），兩人便會上床共度良宵。
$ 行動結果：目標會<green>提升與你統治者的關係</green>，甚至可能成為你的<hint=hint_encyclopedia_puppets>傀儡</hint>。"
hint_action_task_seduce_local_context,"勾引
{skill_name}等級{skill_level}
目標的{target_skill_name}等級：{target_skill_level}

<b>行動結果：</b>
$ 對{soul_uuid_performer}的想法：<red>{being_used}</red>
$ 與統治者的關係（{soul_uuid_king}）：<green>{rel_plus}</green>

{soul_uuid_target}對{soul_uuid_performer}的興趣：{interest_stack}"
hint_poison,"下毒
如果下毒成功，目標將慘死，但嫌疑將會落在投毒者身上，投毒者將不得再次入境該領地。

一旦失敗，雙方<hint=hint_persons_king>君王</hint>之間的<hint=hint_relations>關係</hint>將急遽惡化，且目標會發動一場殊死搏鬥。投毒者將不得再次入境該領地。

$ 成功機率取決於互動者之間的<hint=hint_skill_knowledge>智力</hint>能力差距。
$ 你必須擁有具備<hint=hint_trait_poisoner>投毒者</hint>特質且對君王忠誠度高的人物。"
hint_poison_context,"下毒
{soul_uuid_performer}
{skill_name_2}等級：{skill_level_2}

{soul_uuid_target}
{skill_name_1}等級：{skill_level_1}

<b>成功機率：</b>{assain_chance}%

一旦失敗，雙方<hint=hint_persons_king>君王</hint>之間的<hint=hint_relations>關係</hint>將急遽惡化，且目標會發動一場殊死搏鬥。"
hint_action_task_bribe,"賄賂
$ 貴族將贈予該人 <hint=hint_resource_rune>{rings_rew_number}</hint>，並企圖挑撥該人與所屬君王的關係。
$ 完成後，該貴族對所屬君王的<hint=hint_loyalty>忠誠度</hint>會降低。
$ 目標忠誠度的減損程度取決於執行者的<hint=hint_skill_speech>遊說</hint>能力。

[hint_loyal_conflict]"
hint_action_task_bribe_context,"賄賂
{skill_name}等級：{skill_level}
目標的{skill_name}等級：{lord_skill_level}

<b>行動結果：</b>
對所屬君王的$<hint=hint_loyalty>忠誠度</hint>：<red>{loyalty_modify}</red>
$ 與統治者的關係（{soul_uuid_king}）：<green>+{rel_plus}</green>

<b>支付</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"無法進行
這位貴族對所屬君王非常忠誠。"
hint_action_task_bribe_gm,"~
此事項可派遣使節執行。使節會代表君王行賄，成效則取決於使節的能力。"
hint_action_task_go,"驅逐
要求外賓離開領地。

外賓統治者及其本人對你的君王的態度會惡化。

除此之外，該外賓未來不得再次入境我邦領地。"
hint_action_task_go_context,"驅逐
要求外賓離開省邦。

執行者的氣質能力會影響此行動所導致的負面想法的減少量。

{soul_uuid_performer}：
{skill_name_2} {skill_level_2}

$ {soul_uuid_target}對{soul_uuid_performer_king}的態度：<red>{relations_modify_target}</red>
$ {soul_uuid_king}對{soul_uuid_performer_king}的態度：<red>{relations_modify_king}</red>
$ 該人物再也無法來訪。"
hint_kidnap,"綁架
設法在目標熟睡時實施綁架。

$ 如果目標沒有驚醒（驚醒機率為 {wake_k}%），便會成為<hint=hint_trait_captive>人質</hint>。
$ 如果目標中途驚醒，將與執行者搏鬥，接著設法逃離領地。不過，只要執行者或衛兵成功阻止了目標的行動，綁架還是有機會成功。

不論結果如何，你都會違反至聖的待客之道，導致所有鄰邦<hint=hint_persons_king>君王</hint>與我邦君王之間的<hint=hint_relations>關係</hint>大幅惡化。

執行者的<hint=hint_loyalty>忠誠度</hint>必須高於{loyalty_action}才能實施綁架。"
hint_kidnap_context,"綁架
目標驚醒的機率：{wake}%

{soul_uuid_performer}：
{skill_name_1}等級：{skill_level_1}

{soul_uuid_target}：
{skill_name_2}等級：{skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"和解
派人去勸說敵對君王結束曠日廢時的戰爭，讓雙方盡釋前嫌，從零開始。

$ 與敵對君王的關係變為 <red>-10</red>，目前的敵意程度則一筆勾銷。
$ 你必須擁有具備<hint=hint_trait_diplomat>圓滑外交</hint>特質的人物。
$ 除此之外，執行者的<hint=hint_loyalty>忠誠度</hint>必須高於{loyalty_action}才能實施此事項。

<b>支付</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"和解
與敵對君王的關係變為 <red>-10</red>，目前的敵意程度則一筆勾銷。

<b>支付</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"設法謀殺
設法趁目標夜晚熟睡時實施暗殺。

一旦成功，雙方<hint=hint_persons_king>君王</hint>之間的<hint=hint_relations>關係</hint>將急遽惡化。

執行者必須擁有高<hint=hint_loyalty>忠誠度</hint>才能實施暗殺。"
hint_assasin_context,"設法謀殺
目標驚醒的機率：{wake}%

{soul_uuid_performer}：
{skill_name_1}等級：{skill_level_1}

{soul_uuid_target}：
{skill_name_2}等級：{skill_level_2} 
{optional_wake_info}"
hint_assasin_gm,"設法謀殺
設法趁目標夜晚熟睡時實施暗殺。

不論結果如何，雙方<hint=hint_persons_king>君王</hint>之間的<hint=hint_relations>關係</hint>都將急遽惡化。

成功率取決於執行者與目標雙方的<hint=hint_skill_combat>戰鬥能力</hint>

執行者必須擁有高<hint=hint_loyalty>忠誠度</hint>才能實施暗殺。"
hint_assasin_context_gm,"設法謀殺
{skill_name}等級：{skill_level}

不論結果如何，雙方<hint=hint_persons_king>君王</hint>之間的<hint=hint_relations>關係</hint>都將急遽惡化。"
hint_action_task_provoke_duel,"挑釁決鬥
你的貴族會故意羞辱該貴族，製造藉口決鬥。

決鬥可能會導致其中一位貴族身亡。

此外，當地的主教會得知此事，並將你的行動稟報給國母。

不論結果如何：
$ 與{soul_uuid_king}的關係：<red>{rel_de_duel_provocation}</red>
$ 與國母的關係：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"挑釁決鬥
{soul_uuid_1}的<hint=hint_skill_combat>戰鬥能力</hint>：{skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}的<hint=hint_skill_combat>戰鬥能力</hint>：{skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"決鬥結束！
{soul_uuid_target}身亡了。

$ 與{soul_uuid_king}的關係：<red>{rel_de_duel_provocation}</red>
$ 與國母的關係：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"決鬥結束！
你的貴族身亡了。

$ 與{soul_uuid_king}的關係：<red>{rel_de_duel_provocation}</red>
$ 與國母的關係：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"決鬥結束！
兩位決鬥者都活了下來。

$ 與{soul_uuid_king}的關係：<red>{rel_de_duel_provocation}</red>
$ 與國母的關係：<red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"興趣過低
目標對此貴族的興趣非常低。

{soul_uuid_target}對{soul_uuid_performer}的興趣：{interest_stack}"
hint_unavailable_social_cooldown,"互動未就緒
{soul_uuid_performer}最近剛和{soul_uuid_target}互動過，想先從事其他活動。

$ {remain_time}小時後可再從事此行動。"
hint_unavailable_low_loyalty,"忠誠度過低
執行者目前的<hint=hint_loyalty>忠誠度</hint>為{loyalty}，但此舉至少需要{loyalty_threshold}忠誠度。"
hint_loyal_conflict,"~
<hint=hint_loyalty>忠誠度</hint>低於 25 的貴族會與君王產生嫌隙。

$ 如果該貴族是王儲，且與君王的關係不佳，他可能會掀起<hint=hint_nt_heir_rebellion>政變</hint>。
$ 如果是普通貴族，或是與君王交情好的王儲，則可能會選擇離開領地去投靠鄰邦。這會導致雙方君王的關係惡化，但不會引發政變。

<b>在此之後，</b>人口、經濟，以及<b>該君王的軍事實力皆會衰減</b>。"
hint_unavailable_trade_moving,"尚未就緒
須等商隊貿易商抵達領地中心才能交易。"
hint_unavailable_madness,"惱怒
此貴族目前無法這麼做。"
hint_unavailable_to_madness,"惱怒
此互動目前無法指派。"
hint_go_home,"回家
貴族回到領地。"
action_is_unavaible_by_captive,"被俘
此人的自由受限，無法從事此行動。"
hint_action_task_confession,"告解
付少許獻金向主教告解。

<b>支付：</b><hint=hint_resource_rune>{conf_price}</hint>

將赦免下列<hint=hint_sin>罪孽</hint>：
{sins}"
hint_action_task_confession_unavailable,"無須告解
貴族最近未曾行罪孽之舉。"
hint_action_task_canonization,"祝福
教會將祝福你的統治者，赦免他往後 {days} 日內的所有罪孽。

$ 君王行罪孽之事時，將不會感到痛苦。
$ 庶民中的<hint=hint_persons_fanatic>狂熱信徒</hint>會渴望加入君王的軍隊。
$ 所有貴族與統治者的關係將大幅上升，臣民更加幸福。

<b>支付：</b><hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"關係不佳
若要獲得<hint=hint_saint>祝福</hint>，<hint=hint_relations_matriarch>國母對統治者的態度</hint>需大於 <green>{threshold}</green>。"
hint_canonized_already,"無法進行
這個人已經領受過祝福了。"
hint_action_task_divorce,"離婚
廢止{soul_uuid_target}和{soul_uuid_spouce}之間的婚姻關係。

雙方離婚後，即可締結新的婚姻關係。

<b>支付：</b><hint=hint_resource_rune>{price}</hint>"
hint_consolation,"撫慰
主教將以話語撫慰痛失摯愛之人，以減輕他的痛苦。

行動結果：痛失摯愛的想法將大幅減輕。"
hint_action_task_begging,"乞求寬恕
承蒙聖母索菲亞的恩典，主教願意聽取、寬恕該人物的過錯……只要他願意犧牲小我來證明誠意。

行動結果：主教對{soul_uuid_target}的態度將提升<green>{rel_plus}</green>。

<b>支付：</b><hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"無法進行
主教並不認為{soul_uuid_target}是敵人，因此{soul_uuid_target}不需要寬恕。"
hint_action_task_consolation_unavailable_by_cynic,"無法進行
具有「厭世」特質的人無法撫慰。"
hint_action_task_consolation_unavailable_dont_need,"無法進行
這個人目前不需要撫慰。"
hint_action_task_consolation_unavailable_already_dont_need,"無法進行
這個人已經接受過撫慰了。"
hint_action_task_consolation_unavailable_by_opinion,"無法進行
這個人和主教的關係不足以從事此行動。"
hint_action_task_unavailable_bad_opinion,"無法進行
{soul_uuid_1}和{soul_uuid_2}目前的關係為{current_opinion}，但此舉至少需要為{required_opinion}。"
hint_action_task_unavailable_no_titles,"無法進行
沒有空餘的<hint=hint_title>爵位</hint>可授予該貴族。"
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"脅迫性交
$ 被脅迫方可能會懷上<hint=hint_persons_bastard>私生子</hint>。
$ 被脅迫方所屬的王室君主會將此暴行視為虐待。
$ 此為<hint=hint_sin>罪孽</hint>之舉。"
hint_forced_sex_captive_context,"脅迫性交
$ {soul_uuid_1}將滿足 {number}% 的<hint=hint_need_sex>性需求</hint>。
$ {soul_uuid_1}將產生負面想法「罪惡感」<red>{number1}</red>。
$ {soul_uuid_2}將產生負面想法「被利用」<red>{number2}</red>。
$ {soul_uuid_3}與你的君王關係將惡化：<red>{number3}</red>。"
hint_buy_sex,"援助性交
$ 貴族將給予該庶民<hint=hint_resource_rune>{runes}</hint>，令庶民自願滿足貴族的個人需求。
$ 庶民可能會誕下<hint=hint_persons_bastard>私生子</hint>。
$ 此為<hint=hint_sin>罪孽</hint>之舉。"
hint_buy_sex_context,"援助性交
$ {soul_uuid_1}會滿足其性需求。
$ {soul_uuid_1}會獲得<hint=hint_sin>罪孽</hint>，強度為 <red>{number2}</red>。
$ {soul_uuid_2}會獲得負面想法 <red>{number3}</red>。"
hint_not_enought_rings,"聖戒不足
此舉需要<hint=hint_resource_rune>{count}</hint>。"
hint_not_enought_gold,"金幣不足
此舉需要<hint=hint_resource_gold>{count}</hint>。"
hint_set_free_captive,"釋放俘虜
君王法外開恩，讓俘虜重獲自由。

<b>行動結果：</b>
$ 俘虜將回歸故邦，其君王{soul_uuid_king}會感激你的仁慈。"
hint_set_join_captive,"釋放並納入王室
該俘虜將重獲自由，並加入你的貴族王室。其起始忠誠度為{loyalty}。

{soul_uuid_king}君王將強烈譴責你奪走他的貴族。"
hint_set_join_captive_unavailable_by_title,"無法進行
你的王室沒有空餘的爵位了。"
hint_set_free,"釋放囚犯
讓該人物重獲自由，成為<hint=hint_persons_peasant>庶民</hint>或戰士；但該人物也可能選擇離開你的領地。

獲釋後，該人物會獲得正面想法，強度取決於其對自由的渴望。

<b>提示：</b>在牢房選單中點選囚犯圖示上的小型紅色按鈕，可以快速釋放囚犯。"
hint_punish,"責罰
$ 一般<hint=hint_crimer>罪犯</hint>由<hint=hint_persons_executer>劊子手</hint>施罰，而貴族則須指派任務給<hint=hint_persons_king>君王</hint>，由他親自施罰。
$ 責罰無罪之人會被視為<hint=hint_terror>恐怖</hint>行為。

施行責罰需要<hint=hint_bld_scafod>行刑台</hint>。"
hint_punish_unavailable_no_gallows,"需要行刑台
施行責罰需先建造<hint=hint_bld_scafod>行刑台</hint>。"
hint_punish_unavailable_no_king,"無君王
施行責罰需要有君王。目前沒有君王。"
hint_punishment_mask_of_shame,"羞恥面具
$ 要求該人物戴一天的羞恥面具，心情不好的人可以毫無後果地毆打他來出氣。
$ 如果受刑人是一名罪犯，其在刑罰結束後會恢復為普通庶民。

此<hint=hint_punish>責罰</hint>對處於<hint=hint_bld_scafod>行刑台</hint>影響範圍內的觀看者會產生<b>微弱</b>的<green>正面想法</green>。"
hint_punishment_exile,"流放
將該人物逐出城鎮。被流放者可能會回到領地、投靠其他王室，或是從此下落不明。

如果受刑人是<hint=hint_persons_criminal>流民</hint>，其被放逐後會加入<hint=hint_persons_forest_bandits>林中劫匪</hint>。

[hint_punish]"
hint_punishment_execution,"處決
$ 該人物會遭斬首，這通常會導致死亡。
$ 某些目睹過程的<hint=hint_persons_criminal>流民</hint>可能會決定成為<hint=hint_persons_cuthroat>刺客</hint>。

此<hint=hint_punish>責罰</hint>對處於<hint=hint_bld_scafod>行刑台</hint>影響範圍內的觀看者會產生<b>最強烈</b>的<green>正面想法</green>。"
