Code,Indonesia
hint_fleshwolf,"Fleshwolf
Predator yang kuat dan perwakilan fauna langka Norland.

Plothowl diyakini setara kekuatannya dengan petarung dengan keahlian tempur {wolf_level}, bersenjatakan <hint=hint_resource_wooden_spear>Tombak</hint>.


$ Mereka menghuni hutan dan menghindari ruang terbuka. Mereka dapat menyerang manusia. Gunakan <hint=hint_bld_patrol_sign_day>Patroli Siang</hint> untuk melindungi para petani.

$ Para bangsawan secara tradisional memburu mereka berpasangan, hanya menggunakan senjata jarak dekat, sebagai ungkapan penghormatan terhadap makhluk-makhluk tersebut.
$ Mereka juga dapat diserang dengan pasukan prajurit.
$ Bangkai setiap Fleshwolf yang dibunuh mengandung <hint=hint_resource_meat>Daging</hint> yang dapat dimakan."
hint_action_task_reward,"Hadiah
Karakter akan menerima hadiah dari raja atas pengabdiannya yang setia.

Raja: {skill_name} level {skill_level}

<b>Hasil:</b>
$ Pikiran <green>Hadiah: {mind_modify}</green>
$ Kesetiaan: <green>{loyalty_modify}</green>

<b>Harga</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Efek samping:</b>
Hubungan dengan raja: <green>{relations_modify}</green>"
hint_action_task_threat,"Ancaman
Raja mengancam akan memberikan konsekuensi jika karakter tersebut mempertimbangkan pengkhianatan.

Raja: {skill_name} level {skill_level}

<b>Akibatnya</b>
$ Loyalitas: <green>{loyalty_modify}</green>

<b>Efek Samping</b>:
$ Pikiran negatif: <red>Diancam: {threat_moral_modify}</red>
$ Ada kemungkinan karakter tersebut akan menyerang raja."
hint_action_task_donate,"Permintaan Donasi
Penguasa meminta sumbangan beberapa <hint=hint_resource_rune>Cincin Suci</hint> sebagai bantuan.

Penguasa: {skill_name} level {skill_level}

<b>Akibatnya</b>
$ Pikiran <red>Terpaksa menyumbang: {mind_modify}</red>
$ Kesetiaan: <red>{loyalty_modify}</red>

<b>Penguasa menerima</b>:
$ {rings_rew_number} <hint=hint_resource_rune>Cincin Suci</hint>"
hint_action_new_heir,"Menunjuk sebagai Pewaris
Raja akan menyatakan karakter ini sebagai pewarisnya.

<b>Akibatnya:</b>
$ {soul_uuid_1} akan menjadi pewaris.
$ Pewaris lama, {soul_uuid_2}, akan merasa diremehkan dan menyimpan dendam terhadap raja dan {soul_uuid_1}."
hint_action_new_king,"Serahkan Mahkota
Raja akan memberikan mahkota kepada karakter ini.

<b>Konsekuensi:</b>
$ {soul_uuid_1} akan menjadi raja.
$ Hubungan antara Raja Anda dan <hint=hint_bishop>Uskup</hint>, Matriark, dan tetangga Anda akan dimulai kembali.
$ Raja lama {soul_uuid_2} akan tertekan dan membenci {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Berikan Gelar kepada Tuan Bebas
Raja akan memberikan <hint=hint_title>gelar</hint> kepada {soul_uuid_1}, menjadikannya anggota keluarga penuh.

Pajak harus dibayarkan kepada Keluarga Tercinta untuk mengamankan hak {soul_uuid_1} atas garis keturunannya.

<b>Konsekuensi</b>
$ {soul_uuid_1} akan menerima gelar dan bergabung dengan {faction_uuid}.
$ <hint=hint_resource_gold>{give_title_cost}</hint> akan digunakan sebagai pajak kepada Keluarga Tercinta.
$ Jumlah gelar yang tersedia akan berkurang 1."
hint_action_give_title_to_soldier,"Berikan Gelar kepada Prajurit
Raja menganugerahkan <hint=hint_title>gelar</hint> kepada prajurit tanpa tanah {soul_uuid_1}, menjadikan mereka anggota keluarga penuh. Keterampilan seorang bangsawan seperti itu akan relatif rendah.

Pajak untuk Keluarga Tercinta akan diwajibkan untuk pencatatan garis keturunan {soul_uuid_1}.

Bangsawan lain akan bersikap negatif terhadap mereka karena kelahiran mereka yang rendah.

<b>Konsekuensi</b>
$ {soul_uuid_1} akan menerima gelar dan menjadi bangsawan penuh pada {faction_uuid}.
$ Sikap awal bangsawan lain: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> akan digunakan untuk pajak Keluarga Tercinta.
$ Jumlah gelar yang tersedia akan berkurang 1."
hint_action_take_title,"Cabut Gelar Tuan
Raja akan mencabut gelar {soul_uuid_1} tuannya <hint=hint_title>, dan ia akan menjadi <hint=hint_untitled_lord> tuan yang lebih rendah </hint>.

<b>Konsekuensi</b>
Tuan yang diingkari tidak akan pernah melupakan penghinaan ini dan akan mengembangkan pikiran negatif terhadap Raja dengan kekuatan <red>{der_thought}</red>.

Teman-teman tuan ini akan marah dan akan berpikir lebih buruk tentang Raja.

Keluarga Anda akan mendapatkan gelar gratis."
hint_action_task_dice,"Mainkan Dadu
Mainkan dadu dengan penguasa lain.

Hasil permainan cukup acak, tetapi sebagian besar dipengaruhi oleh perbedaan keterampilan <hint=hint_skill_knowledge>Kecerdasan</hint> pemain.

Taruhannya adalah <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Mainkan Dadu
Mainkan dadu dengan penguasa lain.

Taruhannya adalah <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Kecerdasan {number1}
$ {soul_uuid_2}: Kecerdasan {number2}

Probabilitas {soul_uuid_1} menang adalah {ver}%."
hint_action_make_enemy,"Nyatakan sebagai Musuh
Nyatakan {soul_uuid_target} sebagai musuh raja Anda.

$ Karakter akan berusaha melarikan diri dari kerajaan secepat mungkin.
$ Para penguasa dan prajurit Anda akan mencoba menyerang dan membunuh karakter ini (assuming they are armed).
$ Anda juga dapat menyerangnya dengan <hint=hint_army>pasukan tempur</hint> (right-click on the target).
{additional_info_stack}"
hint_action_task_hunt,"Perburuan
Para karakter memburu <hint=hint_fleshwolf>serigala daging</hint> bersama-sama.
Serigala daging dianggap setara kekuatannya dengan petarung dengan keahlian Tempur {wolf_level}, yang dipersenjatai dengan <hint=hint_resource_wooden_spear>Tombak</hint>.

$ Jika berhasil, dan jika serigala daging dikalahkan dan kedua pemburu tetap berada di barisan, mereka berdua menerima <hint=hint_thought_social>pikiran sosial</hint> yang bertahan lama ""Diburu Bersama"" <green>{hunt_improve}</green>.
$ Selain itu, jika perburuan berhasil, peserta akan menerima {exp_points} poin dalam <hint=hint_skill_combat>Keahlian Tempur</hint> dan <hint=hint_skill_command>Keahlian Komando</hint>.
$ Jika salah satu pemburu kalah dalam pertarungan, keduanya menerima pikiran sosial negatif ""Pemburu Jahat"" <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Berburu
{soul_uuid_1}: <hint=hint_skill_combat>Keahlian Bertempur</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Keahlian Bertempur</hint>: {skill_2}
{soul_2_equipment_stack}

Fleshwolf memiliki kekuatan yang setara dengan petarung dengan {wolf_level}Keahlian Bertempur, yang dipersenjatai dengan <hint=hint_resource_wooden_spear>Tombak</hint>."
hint_action_task_together,"Habiskan Waktu Bersama
Para tokoh menghabiskan waktu bersama; mereka akan berjalan-jalan, berdoa, bermain musik, dan sebagainya.

Selama waktu ini, pasti akan ada 2 <hint=hint_conversation>percakapan mendalam</hint> - belum tentu percakapan yang baik.

Kemungkinan percakapan yang baik bergantung pada <hint=hint_mood>suasana hati</hint> para tokoh, dan kekuatan pikiran yang dihasilkan dari percakapan ini bergantung pada keterampilan <hint=hint_skill_manners>Tata Krama</hint>."
hint_action_task_hunt_unavailable,"Tidak Tersedia
Uskup tidak tersedia untuk berburu."
hint_action_task_hunt_by_no_wolf,"Tidak Tersedia
Tidak ada serigala yang tersedia untuk berburu di hutan."
hint_action_task_together_new_context,"Menghabiskan Waktu Bersama
$ {soul_uuid_1}: Suasana Hati {mood_stack_1}, <hint=hint_skill_manners>Tata Krama:</hint> {skill_level_1} 
$ {soul_uuid_2}: Suasana Hati {mood_stack_2}, <hint=hint_skill_manners>Tata Krama:</hint> {skill_level_2}

<b>Akibatnya:</b>
{soul_uuid_1} akan memikirkan ${soul_uuid_2}:
{deep_social_stack_1}
Suasana Hati: {moral_change_1}

{soul_uuid_2} akan memikirkan ${soul_uuid_1}:
{deep_social_stack_2}
Suasana Hati: {moral_change_2}"
hint_child_sub_context,"~
Karakter ini adalah orang tua, jadi tindakan ini juga akan memenuhi kebutuhan anak akan <hint=hint_need_care>pengasuhan</hint>."
hint_marriage_local,"Menikah
Tanpa berani menentang kehendak penguasa mereka, dua tuan tanah akan melangsungkan <hint=hint_marriage>pernikahan</hint> yang sah.

Pernikahan antara anak dan orang tua atau antara saudara laki-laki dan perempuan dilarang."
hint_marriage_local_context,"Menikah
{soul_uuid_1} akan menjadi pasangan dari {soul_uuid_2}."
hint_action_task_lesson,"~
$ Seorang anak yang telah dewasa dan belajar membaca juga akan menyerap <hint=hint_idea>pengetahuan</hint> dari gurunya.
$ Peserta pelatihan memperoleh lebih banyak pengalaman untuk keterampilan yang menjadi <hint=hint_talant>bakat</hint> mereka.
$ Tindakan ini akan terjadi setiap hari."
hint_action_task_lesson_context,"Pelajari
Guru ini akan mampu mengembangkan keterampilan siswa:
$ {skill_name} hingga level {skill_level_cup}
$ {skill_name_2} hingga level {skill_level_cup_2}

Efisiensi pelatihan:
$ Guru memiliki <hint=hint_skill_teaching>Keterampilan Pelatihan</hint>: {skill_level_3}
$ Dan dapat memberikan {exp} poin pengalaman per pelajaran

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Pelatihan Umum
Guru akan melatih siswa dalam semua keterampilan, pertama-tama berfokus pada bakat siswa hingga batas kemampuannya, kemudian keterampilan yang tersisa secara bergantian."
hint_action_task_lesson_guest,"~
Karakter ini adalah tamu Anda, jadi biaya pelajarannya <hint=hint_resource_rune>{price}</hint>.

Pembayarannya akan diambil dari kantong raja."
hint_action_task_lesson_change_culture,"~
Karakter ini berasal dari budaya {culture}, jadi ada kemungkinan siswa dapat mengubah budayanya."
hint_action_task_lesson_guest_no_money,"Cincin Tidak Cukup
Karakter ini adalah tamu Anda, jadi biaya pelajarannya <hint=hint_resource_rune>{price}</hint>.

Anda tidak memiliki cukup Cincin Suci untuk membayar pelajaran ini."
hint_action_task_lesson_bishop_low_opinion,"Hubungan Buruk
Hubungan buruk dengan rajamu.

Tingkatkan hubungan dengan rajamu menjadi <green>{option_req}</green>."
hint_duel,"Duel
Para karakter akan mencoba menentukan hubungan mereka melalui duel resmi.

$ Menghilangkan <hint=hint_desire>hasrat</hint> untuk balas dendam atau kematian dari musuh, jika ada pada duelist.
$ Duel berlanjut hingga salah satu peserta kehilangan kesadaran, tetapi hasil yang mematikan mungkin terjadi.
$ Semakin banyak rasa sakit yang ditimbulkan duelist pada lawan, semakin mudah bagi mereka untuk memenuhi keinginan mereka.
$ Duel diakui sebagai cara terhormat untuk menyelesaikan perselisihan, jadi meskipun Anda membunuh <hint=hint_bishop>Uskup</hint> dalam duel, Anda tidak akan dimurkai oleh Matriarch."
hint_duel_provoke,"Provokasi
Seorang tamu dari provinsi tetangga telah memprovokasi tuan Anda untuk berduel. Duel ini akan berlangsung malam ini.

Jika Anda tidak yakin dengan hasilnya, Anda dapat mengusir tamu tersebut dari provinsi Anda sebelum waktu tersebut. Tuan Anda akan terhindar dari bahaya, tetapi ini akan memperburuk sikap raja tamu (and his own) terhadap penguasa Anda."
hint_duel_context,"Duel
{soul_uuid_1}: <hint=hint_skill_combat>Keterampilan Bertarung</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>Keterampilan Bertarung</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Aktor yang tidak kompatibel
Penguasa harus menjadi <hint=hint_enemy>musuh</hint> dari {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Savant
Savant tidak dapat dilatih."
hint_action_invite,"Undang sebagai Tamu
Tuan akan menerima undangan untuk mengunjungi permukiman Anda selama beberapa hari.

Tuan akan setuju jika hubungan antar raja Anda tidak di bawah <green>{opinion_threshold}</green>."
hint_action_shadow,"Perbuatan Gelap
Kamu bisa menyewa penjahat dari kota ini untuk melakukan perbuatan gelap seperti pencurian dan penculikan di <b>menu aksi kota</b>.

Biaya jasa mereka bergantung pada keahlian <hint=hint_skill_speech>Persuasi</hint> rajamu."
hint_action_task_hire_free_lord,"Sewa
Sewa seorang lord gratis selama 10 hari.

Anda dapat menugaskan mereka tugas yang sama seperti lord Anda sendiri - memeriksa bangunan, memimpin pasukan, dan banyak lagi.

Biayanya tergantung pada level skill <hint=hint_skill_speech>Persuasi</hint> lord yang akan bernegosiasi dengan mereka."
hint_action_task_hire_free_lord_context,"Sewalah seorang Lord
{skill_name} level {skill_level}
{skill_name} level lord yang tersedia: {free_lord_skill_level}

Total biaya selama 10 hari: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Petunjuk: Lord akan menerima pembayaran mereka hanya setelah kontrak berakhir, dan hingga saat itu, pembayaran akan disimpan oleh Gereja sebagai jaminan perilaku baik dari kedua belah pihak."
hint_action_task_seduce,"Merayu
$ Jika <hint=hint_interest>minat penguasa</hint> terhadap aktor <green>tinggi</green> (above {interest_high}), mereka akan menghabiskan waktu di ranjang.
$ Target akan <green>secara signifikan meningkatkan hubungan mereka</green> dengan penguasa Anda (thanks to the seducer), berpotensi menjadikan mereka <hint=hint_encyclopedia_puppets>boneka</hint> Anda.

Efeknya bergantung pada keterampilan <hint=hint_skill_manners>Tata Krama</hint> pemain dan <hint=hint_skill_knowledge>Kecerdasan</hint> target.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Merayu
{skill_name} level {skill_level}

<b>Akibatnya</b>
$ Hubungan dengan penguasa Anda {soul_uuid_king}: <green>{rel_plus}<green>
{optional_negtive_mind_to_performer}
{optional_will_become_puppet}
{optional_will_duty_of_honor}"
hint_action_task_seduce_local,"Merayu
$ Jika <hint=hint_interest>minat</hint> penguasa terhadap aktor <green>tinggi</green> (above {interest_high}), mereka akan menghabiskan waktu di tempat tidur.
$ Akibatnya, target <green>akan memperbaiki hubungan mereka</green> dengan penguasa Anda, yang berpotensi menjadikan mereka <hint=hint_encyclopedia_puppets>boneka</hint> Anda."
hint_action_task_seduce_local_context,"Merayu
{skill_name} level {skill_level}
{target_skill_name} target: level {target_skill_level}

<b>Akibatnya</b>
$ Pikiran {soul_uuid_performer}: <red>{being_used}</red>
$ Hubungan dengan penguasa Anda ({soul_uuid_king}): <green>{rel_plus}</green>

Ketertarikan {soul_uuid_target} pada {soul_uuid_performer}: {interest_stack}"
hint_poison,"Racun
Jika peracunan berhasil, target akan mati kesakitan, tetapi kecurigaan akan jatuh pada pelaku, dan mereka akan dilarang mengunjungi provinsi tersebut.

Jika gagal, <hint=hint_relations>hubungan</hint> antara <hint=hint_persons_king>Raja</hint> Anda akan sangat memburuk, dan target akan terlibat dalam pertarungan sampai mati. Peracun tidak akan dapat lagi mengunjungi provinsi ini.

$ Probabilitas keberhasilan bergantung pada perbedaan keterampilan <hint=hint_skill_knowledge>Kecerdasan</hint> antara karakter yang berinteraksi.
$ Anda harus memiliki karakter dengan sifat <hint=hint_trait_poisoner>Peracun</hint> dan loyalitas tinggi kepada Raja Anda."
hint_poison_context,"Racun
{soul_uuid_performer}
{skill_name_2} level {skill_level_2}

{soul_uuid_target}
{skill_name_1} level {skill_level_1}

<b>Peluang Keberhasilan:</b> {assain_chance}%

Jika gagal, <hint=hint_relations>hubungan</hint> antara <hint=hint_persons_king>raja</hint> Anda akan sangat memburuk, dan target akan terlibat dalam pertarungan sampai mati."
hint_action_task_bribe,"Suap
$ Penguasa akan memberikan karakter <hint=hint_resource_rune>{rings_rew_number}</hint> dan mencoba menanamkan rasa tidak puas terhadap rajanya sendiri.
$ Akibatnya, <hint=hint_loyalty>kesetiaan</hint> penguasa terhadap rajanya akan menurun.
$ Besarnya penurunan kesetiaan target bergantung pada kemampuan <hint=hint_skill_speech>Persuasi</hint> aktor.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Suap
{skill_name} level {skill_level}
{skill_name} level target: {lord_skill_level}

<b>Akibatnya</b>
$ <hint=hint_loyalty>Loyalitas</hint> terhadap Raja mereka sendiri: <red>{loyalty_modify}</red>
$ Hubungan dengan penguasa Anda ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Harga</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Tidak tersedia
Tuan ini setia kepada rajanya."
hint_action_task_bribe_gm,"~
Tugas ini dapat diselesaikan dengan bantuan seorang utusan. Dalam hal ini, suap akan diberikan atas nama raja Anda, dan efektivitasnya akan bergantung pada keterampilan utusan tersebut."
hint_action_task_go,"Usir
Minta tamu tersebut untuk meninggalkan provinsi.

Sikap penguasa tamu dan tamu itu sendiri terhadap raja Anda akan memburuk.

Selain itu, tamu ini akan dilarang mengunjungi provinsi Anda di masa mendatang."
hint_action_task_go_context,"Mengusir
Minta tamu untuk meninggalkan provinsi.

Keterampilan Sopan Santun penampil memengaruhi pengurangan pikiran negatif dari tindakan ini.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ Sikap {soul_uuid_target} terhadap {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Sikap {soul_uuid_king} terhadap {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Karakter ini tidak akan dapat mengunjungi Anda lagi."
hint_kidnap,"Penculikan Karakter
Cobalah untuk menangkap karakter yang dipilih saat mereka sedang tidur.

$ Jika karakter tersebut tidak bangun (probability - {wake_k}%), mereka akan menjadi <hint=hint_trait_captive>sandera</hint>.
$ Jika target bangun, perkelahian dengan aktor akan terjadi, setelah itu target akan mencoba melarikan diri dari pemukiman. Namun, Anda masih memiliki kesempatan untuk menangkap mereka jika aktor atau penjaga berhasil melumpuhkan mereka.

Bagaimanapun, Anda telah melanggar hukum keramahtamahan yang sakral, dan <hint=hint_relations>hubungan</hint> raja Anda dengan semua <hint=hint_persons_king>raja</hint> tetangga akan sangat memburuk.

<hint=hint_loyalty>Loyalitas</hint> aktor harus lebih tinggi dari {loyalty_action} agar mereka dapat menjalankan tugas tersebut."
hint_kidnap_context,"Penculikan Karakter
Kemungkinan korban terbangun: {wake}%

{soul_uuid_performer}:
{skill_name_1} level {skill_level_1}

{soul_uuid_target}:
{skill_name_2} level {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Rekonsiliasi
Karakter dapat membujuk raja yang bermusuhan untuk mengakhiri perang yang sia-sia dan berbahaya serta memulai kembali dengan lembaran baru.

$ Hubungan dengan raja musuh menjadi <red>-10</red> terlepas dari tingkat permusuhan saat ini.
$ Anda harus memiliki karakter dengan sifat <hint=hint_trait_diplomat>Diplomat</hint>.
$ Selain itu, <hint=hint_loyalty>kesetiaan</hint> aktor harus lebih tinggi dari {loyalty_action} agar mereka dapat menjalankan tugas tersebut.

<b>Harga</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Rekonsiliasi
Hubungan dengan raja musuh menjadi <red>-10</red> terlepas dari tingkat permusuhan saat ini.

<b>Harga</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Percobaan Membunuh
Cobalah membunuh karakter ini dengan menyerangnya saat mereka sedang tidur di malam hari.

Jika berhasil, <hint=hint_relations>hubungan</hint> antara <hint=hint_persons_king>raja</hint> Anda akan sangat memburuk.

<hint=hint_loyalty>Loyalitas</hint> aktor harus tinggi agar mereka dapat menjalankan tugas tersebut."
hint_assasin_context,"Percobaan Pembunuhan
Kemungkinan korban terbangun: {wake}%

{soul_uuid_performer}:
{skill_name_1} level {skill_level_1}

{soul_uuid_target}:
{skill_name_2} level {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Percobaan Membunuh
Cobalah membunuh karakter ini dengan menyerangnya saat mereka sedang tidur di malam hari.

Bagaimanapun, <hint=hint_relations>hubungan</hint> antara <hint=hint_persons_king>raja</hint> Anda akan sangat memburuk.

Tingkat keberhasilan bergantung pada <hint=hint_skill_combat>Keahlian Bertempur</hint> aktor dan target.

<hint=hint_loyalty>Loyalitas</hint> aktor harus tinggi agar mereka dapat menjalankan tugas tersebut."
hint_assasin_context_gm,"Upaya Membunuh
{skill_name} level {skill_level}

Bagaimanapun, <hint=hint_relations>hubungan</hint> antara <hint=hint_persons_king>raja</hint> kalian akan sangat memburuk."
hint_action_task_provoke_duel,"Provokasi Duel
Tuan Anda akan dengan sengaja menghina tuan ini, menciptakan alasan untuk duel.

Akibat duel tersebut, salah satu tuan bisa mati.

Lebih lanjut, uskup setempat akan mengetahui hal ini dan melaporkan tindakan Anda kepada Matriark.

Dalam hal apa pun:
$ Hubungan dengan {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Hubungan dengan Matriark: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Provokasi Duel
{soul_uuid_1}: <hint=hint_skill_combat>keterampilan tempur</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>keterampilan tempur</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Duel telah berakhir!
{soul_uuid_target} telah terbunuh.

$ Hubungan dengan {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Hubungan dengan Matriark: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Duel telah berakhir!
Tuanmu telah terbunuh.

$ Hubungan dengan {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Hubungan dengan Matriark: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Duel berakhir!
Para petarung masih hidup.

Hubungan dengan {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
Hubungan dengan Matriark: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Minat rendah
Target memiliki minat yang sangat rendah terhadap penguasa ini.

Minat {soul_uuid_target} terhadap {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Belum siap untuk berinteraksi
{soul_uuid_performer} telah berinteraksi dengan {soul_uuid_target} baru-baru ini, dan mereka ingin fokus pada tugas lain.

$ Anda dapat mengulangi tindakan dalam {remain_time}h."
hint_unavailable_low_loyalty,"Loyalitas Rendah
Aktor memiliki <hint=hint_loyalty>loyalitas</hint> yang sangat rendah. Untuk dapat ditugaskan pada tugas ini, loyalitasnya harus minimal {loyalty_threshold}, tetapi saat ini hanya {loyalty}."
hint_loyal_conflict,"~
Ketika <hint=hint_loyalty>kesetiaan</hint> karakter turun di bawah 25, penguasa akan berkonflik dengan rajanya.

$ Jika penguasa tersebut adalah pewaris dan mereka tidak bersahabat dengan raja, mereka dapat memicu <hint=hint_nt_heir_rebellion>pemberontakan</hint>.
$ Jika penguasa tersebut adalah penguasa biasa atau pewaris yang bersahabat dengan raja, mereka akan lebih memilih untuk pindah ke provinsi tetangga, yang memperburuk hubungan antar raja tetapi tidak memicu pemberontakan.

<b>Akibatnya</b>, populasi, ekonomi, dan akibatnya, <b>pasukan raja ini akan berkurang</b>."
hint_unavailable_trade_moving,"Belum siap
Pedagang karavan akan siap berdagang segera setelah mencapai pusat pemukiman."
hint_unavailable_madness,"Gila
Tuan ini tidak bisa menghadapi ini sekarang."
hint_unavailable_to_madness,"Gila
Interaksi ini tidak dapat ditetapkan saat ini."
hint_go_home,"Pulanglah
Sang tuan kembali ke kotanya."
action_is_unavaible_by_captive,"Sandera
Mereka tidak dapat melakukan tindakan ini, karena mereka ditahan."
hint_action_task_confession,"Pengakuan Dosa
Mengaku dosa kepada uskup dengan imbalan persembahan kecil.

<b>Biaya:</b> <hint=hint_resource_rune>{conf_price}</hint>

Dosa-dosa berikut akan diampuni:
<hint=hint_sin>"
hint_action_task_confession_unavailable,"Pengakuan dosa tidak tersedia.
Tuhan tidak berdosa baru-baru ini."
