Key,Deutsch
hint_fleshwolf,"Säbelzahnwolf
Ein mächtiges Raubtier aus der relativ spärlichen Fauna von Norland.

Es heißt, der Säbelzahnwolf wäre ebenso stark wie ein Krieger mit {wolf_level} Kampffähigkeit, der mit einem <hint=hint_resource_wooden_spear>Speer</hint> bewaffnet ist.

$ Diese Wölfe bewohnen die Wälder und meiden offene Flächen. Sie können Menschen anfallen. Nutze <hint=hint_bld_patrol_sign_day>Tagespatrouillen</hint>, um deine Bauern zu schützen.
$ Lords jagen Säbelzahnwölfe üblicherweise paarweise und nutzen dabei aus Respekt und Ehrerbietung vor den mächtigen Kreaturen ausschließlich Nahkampfwaffen.
$ Sie können außerdem mit Kriegertrupps attackiert werden.
$ Der Kadaver von getöteten Säbelzahnwölfen enthält ein wenig essbares <hint=hint_resource_meat>Fleisch</hint>."
hint_action_task_reward,"Belohnung
Für getreue Dienste erhalten Personen eine Belohnung des Königs.

König: {skill_name} Stufe {skill_level}

<b>Konsequenz:</b>
$ Gedanken <green>Belohnung: {mind_modify}</green>
$ Loyalität: <green>{loyalty_modify}</green>

<b>Preis</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Nebeneffekt:</b>
Beziehungen zum König: <green>{relations_modify}</green>"
hint_action_task_threat,"Bedrohung
Der König droht mit Konsequenzen, wenn eine Person einen Verrat erwägt.

König: {skill_name} Stufe {skill_level}

<b>Konsequenz</b>
$ Loyalität: <green>{loyalty_modify}</green>

<b>Nebeneffekte</b>:
$Negativer Gedanke: <red>Wird bedroht: {threat_moral_modify}</red>
$ Es besteht eine Chance, dass diese Person den König attackiert."
hint_action_task_donate,"Bitte um Spende
Der Machthaber bittet um eine Spende von mehreren <hint=hint_resource_rune>Heiligen Ringen</hint> als Unterstützung.

Machthaber: {skill_name} Stufe {skill_level}

<b>Konsequenz</b>
$ Gedanken <red>Zum Spenden gezwungen: {mind_modify}</red>
$ Loyalität: <red>{loyalty_modify}</red>

<b>Der Machthaber erhält</b>:
$ {rings_rew_number} <hint=hint_resource_rune>Heilige Ringe</hint>"
hint_action_new_heir,"Zum Erben ernennen
Der König wird diese Person zu seinem Erben erklären.

<b>Konsequenz:</b>
$ {soul_uuid_1} wird neuer Erbe.
$ Der bisherige Erbe, {soul_uuid_2}, wird sich untergraben fühlen und eine Abneigung gegen den König und {soul_uuid_1} entwickeln."
hint_action_new_king,"Die Krone übergeben
Der König wird die Krone an diese Person übergeben.

<b>Konsequenzen:</b>
$ {soul_uuid_1} wird neuer Machthaber. 
$ Die Beziehungen zwischen deinem König und dem <hint=hint_bishop>Bischof</hint>, der Matriarchin und deinen Nachbarn beginnt von Neuem. 
$ Der alte Machthaber, {soul_uuid_2}, wird in Depressionen verfallen und {soul_uuid_1} hassen."
hint_action_give_title_to_hired_free_lord,"Einem Freien Lord einen Titel gewähren
Der König gewährt {soul_uuid_1} einen <hint=hint_title>Titel</hint>, wodurch dieser zu einem vollwertigen Mitglied der Familie wird.

Es wird nötig sein, der Liebenden Familie eine Steuer zu bezahlen, um {soul_uuid_1} die Rechte auf seine Erblinie zu sichern.

<b>Konsequenzen</b>
$ {soul_uuid_1} erhält den Titeln und schließt sich {faction_uuid} an.
$ <hint=hint_resource_gold>{give_title_cost}</hint> werden als Steuer an die Liebende Familie entrichtet.
$ Die Zahl der verfügbaren Titel wird um 1 reduziert."
hint_action_give_title_to_soldier,"Einem Krieger einen Titel gewähren
Der König gewährt dem besitzlosen Krieger {soul_uuid_1} einen <hint=hint_title>Titel</hint> und macht ihn damit zu einem vollwertigen Mitglied der Familie. Die Fähigkeiten eines solchen Lords werden relativ gering ausfallen.

Für die Dokumentation der Erblinie von {soul_uuid_1} wird eine Steuer an die Liebende Familie zu entrichten sein.

Andere Lords werden diesem Lord gegenüber aufgrund der niedrigen Abstammung eine negative Einstellung an den Tag legen.

<b>Konsequenzen</b>
$ {soul_uuid_1} erhält den Titel und wird ein vollwertiger Lord von {faction_uuid}.
$ Anfängliche Einstellung anderer Lords: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> wird als Steuer an die Liebende Familie entrichtet.
$ Die Zahl der verfügbaren Titel wird um 1 reduziert."
hint_action_take_title,"Lord des Titels entheben
Der König wird Lord {soul_uuid_1} den <hint=hint_title>Titel</hint> entziehen, woraufhin diese Person zu einem <hint=hint_untitled_lord>Niederen Lord</hint> wird.

<b>Konsequenzen</b>
$ Der seines Besitzes beraubte Lord wird sich an diese Demütigung erinnern und entwickelt einen negativen Gedanken gegenüber dem König (im Ausmaß von <red>{der_thought}</red>).
$ Die Freunde dieses Lords sind ebenfalls verärgert und haben eine schlechtere Meinung über den König.
$ Die Zahl der verfügbaren Titel erhöht sich um 1."
hint_action_task_dice,"Würfelspiel
Spiele mit einem anderen Lord das Würfelspiel.

Das Ergebnis des Spiels ist weitgehend zufällig, wird jedoch stark durch den Unterschied der <hint=hint_skill_knowledge>Intelligenz</hint>-Fähigkeit der Spieler beeinflusst.

Der Einsatz beträgt <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Würfelspiel
Spiele mit einem anderen Lord das Würfelspiel

Der Einsatz beträgt <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Intelligenz {number1}
$ {soul_uuid_2}: Intelligenz {number2}

Die Chance auf einen Sieg von {soul_uuid_1} beträgt {ver} %."
hint_action_make_enemy,"Zum Feind erklären
Erkläre {soul_uuid_target} zu einem Feind deines Königs.

$ Die Person wird versuchen, so schnell wie möglich aus dem Königreich zu fliehen.
$ Deine Lords und Krieger werden versuchen, diese Person anzugreifen und zu töten (in der Annahme, dass diese bewaffnet ist).
$ Du kannst die Person auch mit einem <hint=hint_army>Kampftrupp</hint> attackieren (Rechtsklick auf das Ziel).
{additional_info_stack}"
hint_action_task_hunt,"Jagd
Die Personen gehen gemeinsam auf die Jagd nach einem <hint=hint_fleshwolf>Säbelzahnwolf</hint>.

Es heißt, der Säbelzahnwolf wäre gleich stark wie ein Krieger mit {wolf_level} Kampffähigkeit, bewaffnet mit einem <hint=hint_resource_wooden_spear>Speer</hint>.

$ Im Erfolgsfall wird der Säbelzahnwolf besiegt und beide Jäger bleiben wohlauf. Dadurch erhalten sie einen langfristigen <hint=hint_thought_social>Gemeinschaftsgedanken</hint> „Gemeinsam gejagt“ <green>{hunt_improve}</green>.
$ Zusätzlich erhalten die Teilnehmer nach einer erfolgreichen Jagd {exp_points} zusätzliche Punkte <hint=hint_skill_combat>Kampffähigkeit</hint> und <hint=hint_skill_command>Führungsqualität-Fähigkeit</hint>.
$ Wenn einer der Jäger den Kampf verliert, erhalten beide den negativen Gemeinschaftsgedanken „Schlechter Jäger“ <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Jagd
{soul_uuid_1}: <hint=hint_skill_combat>Kampffähigkeit</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Kampffähigkeit</hint>: {skill_2}
{soul_2_equipment_stack}

Säbelzahnwolf ist genauso stark wie ein Krieger mit {wolf_level} Kampffähigkeit, bewaffnet mit einem <hint=hint_resource_wooden_spear>Speer</hint>."
hint_action_task_together,"Gemeinsam Zeit verbringen
Personen verbringen zusammen Zeit. Sie gehen spazieren, beten, machen Musik etc.

Während dieser Zeit finden garantiert 2 <hint=hint_conversation>tiefgründige Gespräche</hint> statt – nicht unbedingt gute.

Die Chance auf ein gutes Gespräch hängt von der <hint=hint_mood>Laune</hint> der Personen ab. Die Stärke der aus diesem Gespräch resultierenden Gedanken hängt von der <hint=hint_skill_manners>Manieren</hint>-Fähigkeit ab."
hint_action_task_hunt_unavailable,"Nicht verfügbar
Der Bischof ist gerade nicht für die Jagd verfügbar."
hint_action_task_hunt_by_no_wolf,"Nicht verfügbar
Es sind derzeit keine Säbelzahnwölfe im Wald für die Jagd verfügbar."
hint_action_task_together_new_context,"Zeit zusammen verbringen
$ {soul_uuid_1}: Laune {mood_stack_1}, <hint=hint_skill_manners>Manieren:</hint> {skill_level_1}
$ {soul_uuid_2}: Laune {mood_stack_2}, <hint=hint_skill_manners>Manieren:</hint> {skill_level_2}

<b>Konsequenz:</b>
{soul_uuid_1} wird über ${soul_uuid_2} denken:
{deep_social_stack_1}
Laune: {moral_change_1}

{soul_uuid_2} wird über ${soul_uuid_1} denken:
{deep_social_stack_2}
Laune: {moral_change_2}"
hint_child_sub_context,"~
Diese Person ist ein Elternteil, diese Interaktion wird daher Fürsorge demonstrieren und das Bedürfnis des Kindes nach <hint=hint_need_care>Fürsorge</hint> erfüllen."
hint_marriage_local,"Heiraten
Zwei Lords wagen es nicht, sich dem Willen des Machthabers zu widersetzen, und beginnen eine rechtmäßige <hint=hint_marriage>Ehe</hint>.

Eine Heirat zwischen Kindern und Eltern oder Brüdern und Schwestern ist verboten."
hint_marriage_local_context,"Heiraten
{soul_uuid_1} tritt in eine Ehe mit {soul_uuid_2} ein."
hint_action_task_lesson,"~
$ Wenn Schüler ein <hint=hint_talant>Talent</hint> für diese Fähigkeit haben, erlangen sie mehr Erfahrung.
$ Die Aktion wird täglich durchgeführt – entweder, solange sie möglich ist, oder bis du sie abbrichst.
$ Diese Aktion löst ein Bedürfnis nach <hint=hint_need_fun>Ruhe</hint> bei Lehrer und Schüler aus."
hint_action_task_lesson_context,"Lernen
Dieser Lehrer kann die Fähigkeiten seiner Schüler entwickeln:
$ {skill_name} auf Stufe {skill_level_cup}
$ {skill_name_2} auf Stufe {skill_level_cup_2}

Effektivität der Ausbildung:
$ Der Lehrer verfügt über die Fähigkeit <hint=hint_skill_teaching>Ausbildung</hint>: {skill_level_3}
$ {exp} pro Lektion weitergegebene Erfahrungspunkte

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Allgemeine Ausbildung
Der Lehrer bildet Schüler in allerlei Fähigkeiten aus und konzentriert sich zuerst auf die Talente bis zum Fähigkeitslimit, ehe die übrigen Fähigkeiten gelehrt werden."
hint_action_task_lesson_guest,"~
Diese Person ist dein Gast, die Lektion kostet also <hint=hint_resource_rune>{price}</hint>.

Die Bezahlung wird aus der königlichen Kasse entnommen."
hint_action_task_lesson_change_culture,"~
Diese Person gehört einer {culture}-Kultur an, es besteht also eine Chance, dass der Schüler seine Kultur wechseln kann."
hint_action_task_lesson_guest_no_money,"Nicht genügend Ringe
Diese Person ist dein Gast, die Lektion kostet also <hint=hint_resource_rune>{price}</hint>.

Du hast nicht genügend Heilige Ringe, um für die Lektion zu bezahlen."
hint_action_task_lesson_bishop_low_opinion,"Schlechte Beziehungen
Schlechte Beziehungen zu deinem König

Verbessere die Beziehungen mit deinem König auf <green>{option_req}</green>."
hint_duel,"Duell
Die Personen werden versuchen, ihre Beziehungen durch ein offizielles Duell zu bestimmen.

$ Entfernt die <hint=hint_desire>Sehnsucht</hint> nach Rache oder Tod des Feindes, falls dieser zu den Duellanten gehört.
$ Das Duell wird fortgeführt, bis einer der Duellanten das Bewusstsein verliert, ein tödlicher Ausgang ist jedoch ebenso möglich.
$ Je mehr Schmerz der Duellant seinem Widersacher zufügt, desto leichter wird es für ihn, seine Sehnsucht zu realisieren.
$ Ein Duell gilt als ehrenhafter Weg, einen Konflikt zu beseitigen. Selbst, wenn du einen <hint=hint_bishop>Bischof</hint> bei einem Duell töten solltest, wirst du daher nicht den Zorn der Matriarchin auf dich ziehen."
hint_duel_provoke,"Provokation
Ein Gast aus einer benachbarten Provinz hat deinen Lord zu einem Duell herausgefordert. Es wird heute Abend stattfinden.

Falls du bezüglich des Ausgangs nicht zuversichtlich bist, kannst du den Gast zuvor aus deiner Provinz ausweisen. Dein Lord wird die Gefahr so vermeiden, die Einstellung des Machthabers des Gasts (und jene des Gast selbst) dir gegenüber deinem Herrscher verschlechtert sich jedoch."
hint_duel_context,"Duell
{soul_uuid_1}: <hint=hint_skill_combat>Kampffähigkeit</hint>: {skill_1}
{soul_1_equipment_stack}

gg.

{soul_uuid_2}: <hint=hint_skill_combat>Kampffähigkeit</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Inkompatibler Akteur
Der Lord muss ein <hint=hint_enemy>Feind</hint> von {soul_uuid_target} sein."
hint_action_task_savant_study_unavalable,"Inselbegabung
Inselbegabte können nicht ausgebildet werden."
hint_action_invite,"Als Gast einladen
Der Lord wird die Einladung zum Besuch deiner Siedlung für einige Tage annehmen.

$ Der Lord wird zustimmen, wenn die Beziehungen zwischen deinen Königen mindestens <green>{opinion_threshold}</green> beträgt."
hint_action_shadow,"Missetaten
Du kannst im <b>Stadt-Aktionsmenü</b> Handlanger aus dieser Stadt anheuern, die für dich Missetaten wie Diebstahl und Entführungen erledigen.

Der Preis für ihre Dienste hängt von der <hint=hint_skill_speech>Redekunst</hint> deines Königs ab."
hint_action_task_hire_free_lord,"Anheuern
Heuere einen Freien Lord für 10 Tage an.

Du kannst ihnen dieselben Aufgaben zuweisen wie deinen eigenen Lords – Gebäude inspizieren, Trupps führen und mehr.

Der Preis hängt von der Stufe der <hint=hint_skill_speech>Redekunst</hint> des Lords ab, der die Verhandlung führt."
hint_action_task_hire_free_lord_context,"Lord anheuern
{skill_name} Stufe {skill_level}
{skill_name} Stufe des verfügbaren Lords: {free_lord_skill_level}

Gesamtkosten für 10 Tage: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Tipp: Der Lord erhält seine Bezahlung erst nach dem Auslaufen des Vertrags. Bis dahin wird diese von der Kirche als Garantie für das gute Verhalten beider Parteien zurückbehalten."
hint_action_task_seduce,"Verführen
$ Wenn <hint=hint_interest>das Interesse des Lords</hint> am Ziel <green>hoch</green> (über {interest_high}) ist, werden die beiden Zeit im Bett verbringen.
$ Das Ziel wird <green>seine Beziehungen zu deinem Machthaber deutlich verbessern</green> (dank dem Verführer), weshalb dieser möglicherweise zu deinem <hint=hint_encyclopedia_puppets>Opfer</hint> wird.

Der Effekt ist von der <hint=hint_skill_manners>Manieren</hint>-Fähigkeit und der <hint=hint_skill_knowledge>Intelligenz</hint> des Ziels abhängig.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Verführen
{skill_name}-Stufe {skill_level}
{target_skill_name} des Ziels: Stufe {target_skill_level}

<b>Konsequenz</b>
$ Beziehungen zu deinem Machthaber ({soul_uuid_king}): <green>{rel_plus}</green>
$ Gedanken von {soul_uuid_performer}: <red>{being_used}</red>

Interesse von {soul_uuid_target} an {soul_uuid_performer}: {interest_stack}"
hint_action_task_seduce_local,"Verführen
$ Wenn das <hint=hint_interest>Interesse</hint> des Lords gegenüber dem Akteur <green>hoch</green> (über {interest_high}) ist, steigen sie zusammen ins Bett.
$ In der Folge <green>verbessern sich die Beziehungen</green> zwischen dem Ziel und deinem Machthaber, weshalb dieser womöglich zu deinem <hint=hint_encyclopedia_puppets>Opfer</hint> wird."
hint_action_task_seduce_local_context,"Verführen
{skill_name}-Stufe {skill_level}
{target_skill_name} des Ziels: Stufe {target_skill_level}

<b>Konsequenz</b>
$ Gedanke von {soul_uuid_performer}: <red>{being_used}</red>
$ Beziehungen zu deinem Machthaber ({soul_uuid_king}): <green>{rel_plus}</green>

Interesse von {soul_uuid_target} an {soul_uuid_performer}: {interest_stack}"
hint_poison,"Vergiften
Wenn das Ziel erfolgreich vergiftet wird, stirbt es einen qualvollen Tod. Der Verdacht wird jedoch auf den Missetäter fallen, dem daraufhin weitere Besuche in der Provinz verweigert werden.

Bei einem Scheitern werden sich die <hint=hint_relations>Beziehungen</hint> zwischen deinen <hint=hint_persons_king>Königen</hint> deutlich verschlechtern und das Opfer wird in einen Todeskampf eintreten. Die Person, die für die Vergiftung verantwortlich war, darf diese Provinz nicht mehr besuchen.

$ Die Erfolgschance hängt von der Differenz der <hint=hint_skill_knowledge>Intelligenz</hint>-Fähigkeit der beiden interagierenden Personen ab.
$ Du musst eine Person mit der Eigenschaft <hint=hint_trait_poisoner>Vergifter</hint> und hoher Loyalität gegenüber dem König damit beauftragen."
hint_poison_context,"Vergiften
{soul_uuid_performer}
{skill_name_2} Stufe {skill_level_2}

{soul_uuid_target}
{skill_name_1} Stufe {skill_level_1}

<b>Erfolgschance:</b> {assain_chance} %

Bei einem Scheitern werden sich die <hint=hint_relations>Beziehungen</hint> zwischen deinen <hint=hint_persons_king>Königen</hint> deutlich verschlechtern und das Opfer wird in einen Todeskampf eintreten."
hint_action_task_bribe,"Bestechen
$ Der Lord übergibt der Person <hint=hint_resource_rune>{rings_rew_number}</hint> und versucht, sie mit Unzufriedenheit gegenüber ihrem eigenen König zu erfüllen.
$ In der Folge wird die <hint=hint_loyalty>Loyalität</hint> des Lords gegenüber dem eigenen König abnehmen.
$ Das Ausmaß der Loyalitätseinbußen des Ziels hängt von der <hint=hint_skill_speech>Redekunst</hint> des Akteurs ab.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Bestechen
{skill_name}-Stufe {skill_level}
{skill_name}-Stufe des Ziels: {lord_skill_level}

<b>Konsequenz</b>
$ <hint=hint_loyalty>Loyalität</hint> gegenüber dem eigenen Machthaber: <red>{loyalty_modify}</red>
$ Beziehungen zu deinem Machthaber ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Preis</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Nicht verfügbar
Dieser Lord ist gegen dem eigenen König loyal."
hint_action_task_bribe_gm,"~
Diese Aufgabe kann unter Mithilfe eines Gesandten erledigt werden. In diesem Fall wird die Bestechung im Namen deines Königs erfolgen, während die Effizienz von den Fähigkeiten des Gesandten abhängt."
hint_action_task_go,"Ausweisen
Weise den Gast an, die Provinz zu verlassen.

Die Einstellung des Machthabers deines Gasts sowie jene des Gasts selbst gegenüber deinem Machthaber verschlechtern sich.

Darüber hinaus wird dem Gast jeder zukünftige Besuch deiner Provinz verwehrt."
hint_action_task_go_context,"Ausweisen
Fordere den Gast dazu auf, deine Provinz zu verlassen.

Die Manieren-Fähigkeit beeinflusst die Reduktion der negativen Gedanken, die durch diese Aktion entstehen.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ Einstellung von {soul_uuid_target} gegenüber {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Einstellung von {soul_uuid_king} gegenüber {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Diese Person kann dich in weiterer Folge nicht mehr besuchen."
hint_kidnap,"Personenentführung
Versuche, die ausgewählte Person im Schlaf zu entführen.

$ Wenn die Person nicht aufwacht (Chance – {wake_k} %), wird sie zu einer <hint=hint_trait_captive>Geisel</hint>.
$ Wenn das Ziel aufwacht, folgt ein Kampf mit dem Akteur und ein anschließender Fluchtversuch des Ziels aus der Siedlung. Du hast allerdings dennoch eine Chance, die Person zu ergreifen, wenn es dem Akteur oder Wachen gelingt, sie außer Gefecht zu setzen.

Jedenfalls hast du mit deiner Tat das heilige Gesetz der Gastlichkeit missachtet und die <hint=hint_relations>Beziehungen</hint> deines Königs zu allen benachbarten <hint=hint_persons_king>Königen</hint> werden sich deutlich verschlechtern.

Die <hint=hint_loyalty>Loyalität</hint> des Akteurs muss höher als {loyalty_action} sein, damit die Aufgabe erledigt werden kann."
hint_kidnap_context,"Personenentführung
Chance, dass das Opfer aufwacht: {wake} %

{soul_uuid_performer}:
{skill_name_1} Stufe {skill_level_1}

{soul_uuid_target}:
{skill_name_2} Stufe {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Schlichtung
Die Person kann einen feindseligen König davon überzeugen, einen bedeutungslosen und gefährlichen Krieg zu beenden und die Beziehungen ganz von vorne zu beginnen.

$ Die Beziehungen zum feindlichen König werden sich unabhängig der aktuellen Feindschaftsstufe um <red>-10</red> verändern.
$ Du musst eine Person mit der Eigenschaft <hint=hint_trait_diplomat>Diplomatisch</hint> damit betrauen.
$ Zusätzlich muss die <hint=hint_loyalty>Loyalität</hint> des Akteurs größer als {loyalty_action} sein, damit die Aufgabe erledigt werden kann.

<b>Preis</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Schlichtung
Die Beziehungen zum feindlichen König verändern sich um <red>-10</red>, unabhängig von der aktuellen Feindschaftsstufe .

<b>Preis</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Versuchter Mord
Ein Versuch, die Zielperson nachts im Schlaf zu ermorden.

Im Erfolgsfall verschlechtern sich die <hint=hint_relations>Beziehungen</hint> zwischen deinen <hint=hint_persons_king>Königen</hint> drastisch.

Die <hint=hint_loyalty>Loyalität</hint> des Akteurs muss hoch sein, damit die Aufgabe erledigt werden kann."
hint_assasin_context,"Versuchter Mord
Chance, dass das Opfer aufwacht: {wake} %

{soul_uuid_performer}:
{skill_name_1} Stufe {skill_level_1}

{soul_uuid_target}:
{skill_name_2} Stufe {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Versuchter Mord
Ein Versuch, die Zielperson nachts im Schlaf zu ermorden.

Unabhängig davon, ob der Versuch erfolgreich ist oder nicht, verschlechtern sich die <hint=hint_relations>Beziehungen</hint> zwischen deinen <hint=hint_persons_king>Königen</hint> drastisch.

Die Erfolgsrate hängt von der <hint=hint_skill_combat>Kampffähigkeit</hint> des Akteurs und des Ziels ab.

Die <hint=hint_loyalty>Loyalität</hint> des Akteurs muss hoch sein, damit die Aufgabe erledigt werden kann."
hint_assasin_context_gm,"Versuchter Mord
{skill_name} Stufe {skill_level}

Unabhängig davon, ob der Versuch erfolgreich ist oder nicht, werden sich die <hint=hint_relations>Beziehungen</hint> zwischen deinen <hint=hint_persons_king>Königen</hint> drastisch verschlechtern."
hint_action_task_provoke_duel,"Duell provozieren
Dien Lord wird diesen Lord mit Absicht beleidigen, um ein Duell erzwingen zu können.

Als Konsequenz des Duells könnte einer der Lords sterben.

Darüber hinaus wird der örtliche Bischof davon Wind bekommen und deine Taten der Matriarchin melden.

Unabhängig vom Ausgang:
$ Beziehungen zu {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Beziehungen zur Matriarchin: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Duell provozieren
{soul_uuid_1}: <hint=hint_skill_combat>Kampffähigkeit</hint>: {skill_1}
{soul_1_equipment_stack}

gg.

{soul_uuid_2}: <hint=hint_skill_combat>Kampffähigkeit</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Das Duell ist zu Ende!
{soul_uuid_target} wurde getötet.

$ Beziehungen zu {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Beziehungen zur Matriarchin: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Das Duell ist zu Ende!
Dein Lord wurde getötet.

$ Beziehungen zu {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Beziehungen zur Matriarchin: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Das Duell ist zu Ende!
Beide Duellanten sind noch am Leben.

$ Beziehungen zu {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Beziehungen zur Matriarchin: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Geringes Interesse
Die Zielperson hat ein sehr geringes Interesse an diesem Lord.

Interesse von {soul_uuid_target} an {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Nicht bereit für Interaktion
{soul_uuid_performer} hat bereits kürzlich mit {soul_uuid_target} interagiert und möchte sich auf andere Aufgaben konzentrieren.

$ Du kannst die Aktion in {remain_time} h wiederholen."
