Key,PortugueseBrazilian
hint_action_task_canonization,"Benção
Por {days} dias, a igreja garantirá perdão ao seu rei por todos os pecados dele.

$ Seu rei não sofrerá ao cometer pecados.
$ Os <hint=hint_persons_fanatic>Fanáticos</hint> entre seus camponeses ansiarão por se juntar ao exército sagrado.
$ Relações entre todos os seus nobres e o rei irá melhorar muito, e os súditos ficarão mais felizes.

<b>Custo:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Má relação
A relação da <hint=hint_relations_matriarch>Matriarca</hint> com seu rei deve estar acima de <green>{threshold}</green>."
hint_canonized_already,"Indisponível
O personagem já recebeu uma bênção."
hint_action_task_divorce,"Divórcio
Anule o casamento de {soul_uuid_target} e {soul_uuid_spouce}.

Como resultado, os personagens poderão casar novamente.

<b>Custo:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Confortar
O bispo confortará um personagem que está de luto pela perda de um ente querido com as palavras certas para aliviar a dor.

Como resultado: os pensamentos sobre a perda do amado serão diminuídos."
hint_action_task_begging,"Implorar por perdão
Pela graça da Mãe Sofia, o bispo está disposto a escutar e perdoar as transgressões do personagem, se ele demonstrar sua sinceridade com um sacrifício.

Como resultado, a opinião do bispo em relação ao personagem {soul_uuid_target} melhorará em <green>{rel_plus}</green>.

<b>Custo:</b> <hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"Indisponível
O bispo não considera a presença de {soul_uuid_target} como inimiga, então o perdão não é necessário."
hint_action_task_consolation_unavailable_by_cynic,"Indisponível
Um personagem com a característica cínico não pode ser consolado."
hint_action_task_consolation_unavailable_dont_need,"Indisponível
Este personagem não precisa de conforto no momento."
hint_action_task_consolation_unavailable_already_dont_need,"Indisponível
O personagem já recebeu conforto."
hint_action_task_consolation_unavailable_by_opinion,"Indisponível
O membro do bispado não tem uma relação boa o suficiente com este personagem e não realizará a ação."
hint_action_task_unavailable_bad_opinion,"Indisponível
{soul_uuid_1} não tem uma relação boa o suficiente com {soul_uuid_2}. No momento, a relação entre os personagens é de {current_opinion}, e o mínimo de {required_opinion} é necessário."
hint_action_task_unavailable_no_titles,"Indisponível
Não há <hint=hint_title>Títulos</hint> disponíveis para o nobre."
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"Coagir por sexo
$ A personagem coagida pode conceber uma <hint=hint_persons_bastard>Criança Bastarda</hint>.
$ O rei da família nobre a qual a detida pertence irá considerar esta ação uma tortura.
$ Esta ação é considerada um <hint=hint_sin>Pecado</hint>."
