Key,Japanese
hint_fleshwolf,"人喰いオオカミ
強力な捕食者であり、ノーランドを代表する希少動物。

人喰いオオカミは<hint=hint_resource_wooden_spear>槍</hint>で武装した{wolf_level}戦闘スキルを保有する戦士と同等の強さがあると考えられています。

$広々した場所を避けて森に生息し、人間を攻撃してきます。<hint=hint_bld_patrol_sign_day>日中の巡回</hint>を行って農民を守ります。
$領主は伝統的に、このオオカミに名誉を示し、近接武器だけを使い、二人一組で狩りを行います。
$また戦士の部隊で攻撃しても構いません。
$倒した人喰いオオカミの死体からは、食用に適した<hint=hint_resource_meat>肉</hint>が手に入ります。"
hint_action_task_reward,"opinion_mind.parent報酬
キャラクターは、忠実な奉仕に対して王から褒美を受け取ります。

王： {skill_name} レベル {skill_level}

<b>結果：</b>
$ 思考 <green>報酬獲得： {mind_modify}</green>
$ 王との関係性： <green>{relations_modify}</green>

<b>価格</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_threat,"脅し
王は、もしキャラクターが裏切りを考えるなら、相応の結果を招くと脅します。

王： {skill_name} レベル {skill_level}

<b>結果</b>
$ 忠誠心： <green>{loyalty_modify}</green>

<b>副作用</b>：
$ネガティブな思考：<red>脅しの対象： {threat_moral_modify}</red>
$キャラクターが王を襲う可能性があります。"
hint_action_task_donate,"寄付の要求
支配者は支援として、<hint=hint_resource_rune>神聖なリング</hint>の寄付を求めます。

支配者：{skill_name}レベル{skill_level}

<b>結果</b>
$思考<red>寄付を強要された：{mind_modify}</red>
$忠誠心：<red>{loyalty_modify}</red>

<b>支配者の受け取る物</b>：
$<hint=hint_resource_rune>神聖なリング</hint>{rings_rew_number}個"
hint_action_new_heir,"相続人に任命
王はこのキャラクターを相続人に任命します。

<b>結果：</b>
$ {soul_uuid_1}が相続人となります。
$ 年長の相続人である{soul_uuid_2}は貶められたと感じ、王と{soul_uuid_1}に恨みを抱くようになります。"
hint_action_new_king,"王位の譲渡
王はこのキャラクターに王位を譲ります。

<b>結果：</b>
${soul_uuid_1}が新たな君主となります。
$国王と<hint=hint_bishop>司教</hint>、女家長、近隣諸国との新たな関係が始まります。
$前君主{soul_uuid_2}は失望し、{soul_uuid_1}に憎しみを抱きます。"
hint_action_give_title_to_hired_free_lord,"自由領主に爵位を与える
王は{soul_uuid_1}に<hint=hint_title>爵位</hint>を与え、れっきとした一族の一員として迎えます。

{soul_uuid_1}の血統に対して権力を確保するために、ラヴィング一族に税を納める必要があります。

<b>結果</b>
$ {soul_uuid_1}は爵位を受け取り、{faction_uuid}に加わります。
$ <hint=hint_resource_gold>{give_title_cost}</hint>をラヴィング一族への税として納めます。
$ 利用可能な爵位の数が1つ減ります。"
hint_action_give_title_to_soldier,"戦士に爵位を与える
王は{soul_uuid_1}に<hint=hint_title>爵位</hint>を与え、れっきとした一族の一員として迎えます。

{soul_uuid_1}の血統に対して権力を確保するために、ラヴィング一族に税を納める必要があります。

他の領主たちは、自分たちの出生が低いことから、一族に迎えられた者たちに対して否定的な態度をとるでしょう。

<b>結果</b>
$ {soul_uuid_1}は爵位を受け取り、{faction_uuid}に加わります。
$ 他の領主たちの当初の態度： <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint>がラヴィング一族への税として支払われます。
$利用可能な爵位の数が1つ減ります。"
hint_action_take_title,"領主の爵位をはく奪する
王は{soul_uuid_1}領主の<hint=hint_title>爵位</hint>をはく奪し、はく奪された領主は<hint=hint_untitled_lord>下級領主</hint>になります。

<b>結果</b>
$ 縁を切られた領主はこの屈辱を思い出し、<red>{der_thought}</red>の程度のネガティブな思考を抱くようになります。
$ この領主の友人は動揺して、王に対して悪印象をいだきます。
$ 利用可能な爵位の数が1増えます。"
hint_action_task_dice,"さいころ賭博をする
他の領主とさいころ賭博をします。

ゲームの結果は概ね無作為に決まりますが、プレイヤーの<hint=hint_skill_knowledge>知能</hint>スキルの差に大きく影響されます。

賭け金は<hint=hint_resource_rune>{dice_bet}</hint>です。"
hint_action_task_dice_context,"さいころ賭博をする
他の領主とさいころ賭博をします。

賭け金は<hint=hint_resource_rune>{dice_bet}</hint>です。

$ {soul_uuid_1}: 知能 {number1}
$ {soul_uuid_2}： 知能 {number2}

{soul_uuid_1}が勝つ確率は{ver}%です。"
hint_action_make_enemy,"敵国宣言
{soul_uuid_target}をあなたの王の敵として宣言します。

$ キャラクターはできるだけ早く王国から逃げ出そうとします。
$ 領主と戦士はこのキャラクターを攻撃して殺そうとします (相手は武装しているものとします)。
$ <hint=hint_army>戦闘部隊</hint>で迎え撃つこともｄけいます (ターゲットを右クリック)。
{additional_info_stack}"
hint_action_task_hunt,"狩り
キャラクターは協力して<hint=hint_fleshwolf>人喰いオオカミ</hint>を狩ります。

人喰いオオカミは<hint=hint_resource_wooden_spear>槍</hint>で武装した{wolf_level}戦闘スキルを保有する戦士と同等の強さがあると考えられています。

$狩りに成功した場合、人喰いオオカミが倒され、どちらのキャラクターも無事で生き残った場合、長期的な<hint=hint_thought_social>社会思想</hint>「一緒に狩りをした」<green>{hunt_improve}</green>を獲得します。
$さらに狩りに成功した場合、狩りに参加したキャラクターは{exp_points}ポイントの<hint=hint_skill_combat>戦闘スキル</hint>と<hint=hint_skill_command>指揮スキル</hint>を獲得します。
$どちらかが狩りに失敗した場合、両者とも「下手な狩人」というマイナスの社会思想が付与されます<red>{bad_hunter}</red>。"
hint_action_task_hunt_context,"狩り
{soul_uuid_1}：<hint=hint_skill_combat>戦闘スキル</hint>：{skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}：<hint=hint_skill_combat>戦闘スキル</hint>：{skill_2}
{soul_2_equipment_stack}

人喰いオオカミは、<hint=hint_resource_wooden_spear>槍</hint>で武装した{wolf_level}戦闘スキルを保有する戦士と同等の強さがあります。"
hint_action_task_together,"一緒に過ごす
キャラクターは一緒に時間を過ごし、散歩をしたり、祈りを捧げたり、音楽を奏でたりします。

こうした時に、間違いなく2回の<hint=hint_conversation>深い会話</hint>がありますが、必ずしも楽しい会話とは限りません。

よい会話ができるかどうかは、キャラクターの<hint=hint_mood>ムード</hint>に左右され、その会話から生まれる思考の強さは<hint=hint_skill_manners>マナー</hint>のスキルに左右されます。"
hint_action_task_hunt_unavailable,"利用不可
狩りに司教を連れていくことはできません。"
hint_action_task_hunt_by_no_wolf,"利用不可
森には狩りをできる人喰いオオカミがいません。"
hint_action_task_together_new_context,"一緒に過ごす
${soul_uuid_1}：ムード{mood_stack_1}、<hint=hint_skill_manners>マナー：</hint>{skill_level_1}
${soul_uuid_2}： ムード{mood_stack_2}、<hint=hint_skill_manners>マナー：</hint>{skill_level_2}

<b>結果：</b>
{soul_uuid_1}は${soul_uuid_2}のことを考える：
{deep_social_stack_1}
ムード：{moral_change_1}

{soul_uuid_2}は${soul_uuid_1}のことを考える：
{deep_social_stack_2}
ムード：{moral_change_2}"
hint_child_sub_context,"~
このキャラクターは親であるため、このやりとりも世話を示すものであり、子どもの<hint=hint_need_care>世話</hint>へのニーズを満たすことになります。"
hint_marriage_local,"結婚
支配者の意思に逆らう勇気もなく、二人の領主は法的に<hint=hint_marriage>結婚</hint>の契りを結びます。

子供と両親、兄弟姉妹間の結婚は禁止されています。"
hint_marriage_local_context,"結婚
{soul_uuid_1}は{soul_uuid_2}の配偶者となります。"
hint_action_task_lesson,"~
$ もし生徒にそのスキルの<hint=hint_talant>タレント</hint>があれば、より多くの経験を積むことができます。
$ このアクションは、可能な限り毎日、またはキャンセルされるまで実行されます。
$ この行動により、教師と生徒の双方が<hint=hint_need_fun>休息</hint>を必要とするようになります。"
hint_action_task_lesson_context,"学習
この教師は生徒のスキルを伸ばすことができます：
$ {skill_name} （レベル{skill_level_cup}まで）
$ {skill_name_2} （レベル {skill_level_cup_2}まで）

教育の効果：
$教師には<hint=hint_skill_teaching>トレーニング</hint>スキルがあります：{skill_level_3}
レッスンごとに${exp}経験値ポイントを獲得できます

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"一般的な訓練
教師は、まず生徒のタレントをそのスキルの限界まで伸ばし、次に残りのスキルを順番に伸ばしながら、生徒のすべてのスキルを訓練します。"
hint_action_task_lesson_guest,"~
このキャラクターはゲストになり、レッスンには <hint=hint_resource_rune>{price}</hint> 掛かります。

支払いは王の懐から出ていきます。"
hint_action_task_lesson_change_culture,"~
このキャラクターは{culture}文化に属しているため、生徒が文化を変える可能性があります。"
hint_action_task_lesson_guest_no_money,"リング不足
このキャラクターはゲストになり、レッスンには <hint=hint_resource_rune>{price}</hint> 掛かります。

レッスン代を支払うには神聖なリングが足りません。"
hint_action_task_lesson_bishop_low_opinion,"希薄な関係
国王との関係がよくありません。

国王との関係を<green>{option_req}</green>まで改善します。"
hint_duel,"決闘
キャラクターたちは、公開の決闘を通じて2人の関係を決めようとします。

$ 決闘者に復讐や死への<hint=hint_desire>欲望</hint>がある場合、それを敵から取り除きます。
$ 決闘は参加者のどちらかが意識を失うまで続けられますが、致命的な結果になることもあります。
$ 決闘者が相手に苦痛を与えれば与えるほど、相手は願望を解消しやすくなります。
$ 決闘は争いを解決する立派な方法として認められているので、たとえ決闘で<hint=hint_bishop>司教</hint>を殺したとしても、女家長の怒りを買うことはありません。"
hint_duel_provoke,"挑発
近隣諸国のゲストが王との決闘をけしかけてきました。決闘は今夕行われます。

決闘の結果に確信が持てない場合は、始まる前にゲストを王国から追放することができます。あなたの領主は危険を避けることができるが、ゲストの君主との（そしてゲスト自身との）態度は悪化します。"
hint_duel_context,"決闘
{soul_uuid_1}：<hint=hint_skill_combat>戦闘スキル</hint>：{skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}：<hint=hint_skill_combat>戦闘スキル</hint>：{skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"相性の悪い相手
領主は{soul_uuid_target}の<hint=hint_enemy>敵</hint>に違いない。"
hint_action_task_savant_study_unavalable,"学識者
学識者を鍛えることはできません。"
hint_action_invite,"ゲストとして招待
領主は、数日間あなたの集落を訪問する招待を受け入れるでしょう。

$ あなたの王との関係性が<green>{opinion_threshold}</green>以下でなければ、領主は同意するでしょう。"
hint_action_shadow,"闇の所業
<b>街のアクションメニュー</b>で、窃盗や誘拐といった悪の所業を行う殺し屋を雇うことができます。

殺し屋の仕事の費用は、あなたの王の<hint=hint_skill_speech>説得</hint>スキルにより変わります。"
hint_action_task_hire_free_lord,"雇う
自由領主を10日間雇います。

自国の領主同様に、建物の検査、部隊の指揮など同じ任務を割り当てることができます。

自由領主との交渉にあたる領主の<hint=hint_skill_speech>説得</hint>スキルのレベルにより費用は決まります。"
hint_action_task_hire_free_lord_context,"領主を雇う
{skill_name} レベル {skill_level}
利用可能な領主の {skill_name} lレベル： {free_lord_skill_level}

10日間の合計費用： <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

ヒント： 領主は契約満了後にのみ支払いを受けますが、それまでは両者の善行を保証するものとして教会が支払いを保管します。"
hint_action_task_seduce,"誘惑
$行動者に対する<hint=hint_interest>領主の関心</hint>が<green>高い</green>（{interest_high}以上）場合、ベッドを共にします。
$このターゲットは（誘惑する者がきっかけで）支配者との関係性を<green>大幅に上昇</green>させ、それらの者が<hint=hint_encyclopedia_puppets>操り人形</hint>に変わる可能性が高まります。

この効果の程度は、行動者の<hint=hint_skill_manners>マナー</hint>スキルとターゲットの<hint=hint_skill_knowledge>知性</hint>に左右されます。

[hint_loyal_conflict]"
hint_action_task_seduce_context,"誘惑
{skill_name}レベル{skill_level}
ターゲットの{target_skill_name}：レベル{target_skill_level}

<b>結果</b>
$支配者との関係性（{soul_uuid_king}）：<green>{rel_plus}</green>
${soul_uuid_performer}の思考：<red>{being_used}</red>

{soul_uuid_performer}への{soul_uuid_target}の関心：{interest_stack}"
hint_action_task_seduce_local,"誘惑
$行動者に対する領主の<hint=hint_interest>関心</hint>が<green>高い</green>（{interest_high}以上）の場合、ベッドを共にします。
$その結果、このターゲットは<green>支配者</green>との関係性が改善し、<hint=hint_encyclopedia_puppets>操り人形</hint>に変わる可能性が高まります。"
hint_action_task_seduce_local_context,"誘惑
{skill_name}レベル{skill_level}
ターゲットの{target_skill_name}：レベル{target_skill_level}

<b>結果</b>
${soul_uuid_performer}の思考：<red>{being_used}</red>
$支配者（{soul_uuid_king}）との関係性：<green>{rel_plus}</green>

{soul_uuid_performer}への{soul_uuid_target}の関心：{interest_stack}"
hint_poison,"毒殺
毒殺に成功すれば、相手は苦しみながら死ぬことになりますが、疑惑は加害者に向けられ、その王国に足を踏み入れることができなくなります。

毒殺が失敗に終わると、<hint=hint_persons_king>王</hint>の<hint=hint_relations>関係性</hint>は大幅に悪化し、相手と死闘を繰り広げることになります。毒殺を企てた犯人は今後、この王国に足を踏み入れることができなくなります。

$毒殺の成功率は、関係者間の<hint=hint_skill_knowledge>知能</hint>スキルの差で決まります。
$<hint=hint_trait_poisoner>毒殺犯</hint>の特徴を持ち、王に高い忠誠心を抱いているキャラクターを使う必要があります。"
hint_poison_context,"毒殺
{soul_uuid_performer}
{skill_name_2} レベル {skill_level_2}

{soul_uuid_target}
{skill_name_1} レベル {skill_level_1}

<b>成功確率：</b> {assain_chance}%

失敗に終わった場合、<hint=hint_persons_king>王たち</hint>の<hint=hint_relations>関係性</hint>は大幅に悪化し、相手の王と死闘を繰り広げることになります。"
hint_action_task_bribe,"賄賂
$ 領主はキャラクターに<hint=hint_resource_rune>{rings_rew_number}</hint>を渡し、自国の王に対して不満を植え付けます。
$ 結果として、領主の自国の王に対する<hint=hint_loyalty>忠誠心</hint>が低下します。
$ ターゲットの忠誠心減少の程度は、領主自身の<hint=hint_skill_speech>説得</hint>スキルに依存します。

[hint_loyal_conflict]"
hint_action_task_bribe_context,"賄賂
{skill_name}レベル{skill_level}
ターゲットの{skill_name} レベル：{lord_skill_level}

<b>結果</b>
$王に対する<hint=hint_loyalty>忠誠心</hint>：<red>{loyalty_modify}</red>
$支配者（{soul_uuid_king}）との関係性：<green>+{rel_plus}</green>

<b>金額</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"利用できません
領主は王に忠誠を誓っています。"
hint_action_task_bribe_gm,"~
この任務の達成には、特使の助けを借りることができます。その場合、王の代わりとして賄賂を贈ることになり、その効果は特使の技量に左右されます。"
hint_action_task_go,"追放
ゲストに国から出ていくように求めます。

ゲストの王、そしてゲスト自身のあなたの君主に対する態度が悪化します。

加えて、今後このゲストがあなたの国を訪問することが禁じられます。"
hint_action_task_go_context,"追放
ゲストに国から出ていくように求めます。

実行者のマナースキルは、この行動によるネガティブな思考の軽減に影響します。

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ {soul_uuid_target}の{soul_uuid_performer_king}への態度：<red>{relations_modify_target}</red>
${soul_uuid_king}の{soul_uuid_performer_king}への態度：<red>{relations_modify_king}</red>
$このキャラクターは今後あなたのもとを訪問することはできない。"
hint_kidnap,"キャラクターの誘拐
選ばれたキャラクターが眠っている間に捕縛を試みます。

$ キャラクターが目を覚まさなければ（確率-{wake_k}）、<hint=hint_trait_captive>人質</hint>となります。
$ ターゲットが目を覚ますと、領主との戦いが始まり、その後ターゲットは集落から逃げ出そうとします。しかし、領主や護衛が相手を無力化することに成功すれば、まだ捕まえられる可能性はあります。

いずれにせよ、あなたは神聖な「もてなし」の掟を犯したことになり、近隣のすべての<hint=hint_persons_king>王</hint>との<hint=hint_relations>関係性</hint>は大きく悪化するでしょう。

行動者の<hint=hint_loyalty>忠誠心</hint>が{loyalty_action}以上でなければ、その任務を引き受けることはできません。"
hint_kidnap_context,"キャラクターの誘拐
相手が目を覚ます確率： {wake}%

{soul_uuid_performer}:
{skill_name_1} lレベル {skill_level_1}

{soul_uuid_target}:
{skill_name_2} レベル {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"和解
このキャラクターは敵対する王を説得し、無意味で危険な戦争を終わらせ、まっさらな状態で再出発することができます。

$ 敵の王との関係が、現在の憎悪に関わりなく<red>10</red>下がります。
$ <hint=hint_trait_diplomat>外交</hint>の特徴を持つキャラクターが必要です。
$ 他にも、行動者の<hint=hint_loyalty>忠誠心</hint>が{loyalty_action}以上なければ、任務を受けることができません。

<b>価格</b>」
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"和解
敵の王との関係が、現在の憎悪に関わりなく、<red>-10</red> になります。

<b>価格</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"殺害の試み
そのキャラクターが夜眠っている間に攻撃して暗殺を試みます。

成功した場合、あなたの<hint=hint_persons_king>王同士</hint>の<hint=hint_relations>関係性</hint>は大きく悪化するでしょう。

行動者の<hint=hint_loyalty>忠誠心</hint>が高くなければ、この任務を受けることができません。"
hint_assasin_context,"殺害の試み
相手が目を覚ます確率： {wake}%

{soul_uuid_performer}:
{skill_name_1} lレベル {skill_level_1}

{soul_uuid_target}:
{skill_name_2} レベル {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"殺害の試み
そのキャラクターが夜眠っている間に攻撃して暗殺を試みます。

成功、失敗に関わらず、あなたの<hint=hint_persons_king>王同士</hint>の<hint=hint_relations>関係性</hint>は大きく悪化するでしょう。

行動者とターゲットの<hint=hint_skill_combat>戦闘スキル</hint>によって、成功率は変わります。

行動者の<hint=hint_loyalty>忠誠心</hint>が高くなければ、この任務を受けることができません。"
hint_assasin_context_gm,"殺害の試み
{skill_name} レベル{skill_level}

成功、失敗に関わらず、あなたの<hint=hint_persons_king>王同士</hint>の<hint=hint_relations>関係性</hint>は大きく悪化するでしょう。"
hint_action_task_provoke_duel,"決闘の挑発
あなたの領主はこの領主をわざと侮辱し、決闘の理由を作るでしょう。

決闘の結果、どちらかの領主が死ぬかもしれません。

さらに、地元の司教がこのことを知り、あなたの行動を女家長に報告することになります。

成功・失敗に関わらず：
$ {soul_uuid_king}との関係性： <red>{rel_de_duel_provocation}</red>
$ 女家長との関係性： <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"決闘の挑発
{soul_uuid_1}: <hint=hint_skill_combat>戦闘スキル</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>戦闘スキル</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"決闘が終わった！
{soul_uuid_target}は死んでしまった。

${soul_uuid_king}との関係性： <red>{rel_de_duel_provocation}</red>
$女家長との関係性： <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"決闘が終わった！
あなたの領主は死んでしまった。

${soul_uuid_king}との関係性： <red>{rel_de_duel_provocation}</red>
$ 女家長との関係性： <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"決闘は終わった！
領主はまだ生きている。

${soul_uuid_king}との関係性： <red>{rel_de_duel_provocation}</red>
$ 女家長との関係性： <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"無関心
ターゲットはこの領主への関心が非常に薄い。

{soul_uuid_performer}に対する{soul_uuid_target}の関心： {interest_stack}"
hint_unavailable_social_cooldown,"時期尚早なやり取り
最近、{soul_uuid_performer}は{soul_uuid_target}とやり取りを持ったのですが、他の任務に収集したいようです。

$ {remain_time}時間後に、このアクションを繰り返すことができます。"
hint_unavailable_low_loyalty,"忠誠心 低
行動者の<hint=hint_loyalty>忠誠心</hint>は非常に低い状態です。この任務を割り当てるには、最低でも {loyalty_threshold} の忠誠心が必要ですが、現在は {loyalty} しかありません。"
hint_loyal_conflict,"~
キャラクターの<hint=hint_loyalty>忠誠心</hint>が 25 以下に低下すると、領主が王と対立します。

$ 相続人と王の関係が友好的でなければ、<hint=hint_nt_heir_rebellion>反乱</hint>を起こすことがあります。
$ 通常の領主または王と友好的な後継者であれば、王同士の関係は悪化しますが、反乱を引き起こす代わりに近隣諸国へと移っていきます。

<b>結果として</b>、人口、経済が低下し、その結果として<b>王の軍事力が下がります</b>。"
hint_unavailable_trade_moving,"準備中
キャラバン貿易隊は、集落の中心に到着するとすぐに交易の準備を始めます。"
hint_unavailable_madness,"不機嫌
この領主は今、これに対処できません。"
hint_unavailable_to_madness,"不機嫌
今、このやり取りを割り当てることはできません。"
hint_go_home,"帰還
領主は自分の街へと戻ります。"
action_is_unavaible_by_captive,"人質
彼らは拘束されているので、このアクションを取ることはできません。"
hint_action_task_confession,"告解
わずかな献金と引き換えに司教に告白します。

<b>価格：</b> <hint=hint_resource_rune>{conf_price}</hint>

次の<hint=hint_sin>罪</hint>が赦されます：
{sins}"
hint_action_task_confession_unavailable,"告解できません。
最近、領主は罪を犯していません"
hint_action_task_canonization,"祝福
{days}日間、王の犯した罪すべてに対して教会は赦しを与えます。

$支配者は罪を犯しても苦しむことはありません。
$農民の中の<hint=hint_persons_fanatic>狂信者</hint>は、軍隊への加入を心から望みます。
$すべての領主の支配者との関係性が大幅に改善して、臣下の満足度が向上します。

<b>コスト：</b><hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"関係性低下
<hint=hint_saint>祝福</hint>を受けるには、支配者の<hint=hint_relations_matriarch>女家長の意見</hint>が<green>{threshold}</green>を上回らなければなりません。"
hint_canonized_already,"利用できません
このキャラクターはすでに祝福を受けています。"
hint_action_task_divorce,"離婚
{soul_uuid_target}と{soul_uuid_spouce}との結婚を破棄します。.

結果として、キャラクターは新たな相手と結婚できるようになります。

<b>費用：</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"慰め
司教は、愛する人を失って悲しんでいるキャラクターを適切な言葉で慰め、その痛みを和らげます。

結果：愛する者を失ったという思いが大幅に弱まります。"
hint_action_task_begging,"赦しを乞う
聖母ソフィアの恵みによって、司教は、もし彼らが犠牲を払って誠意を示すならば、そのキャラクターの罪を聞き入れ、赦してくれるでしょう。

結果として、司教の{soul_uuid_target}への態度が<green>{rel_plus}</green>よくなります。

<b>費用：</b> <hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"利用できません
司教は{soul_uuid_target}を敵とはみなさないので、{soul_uuid_target}は赦しを必要としません。"
hint_action_task_consolation_unavailable_by_cynic,"利用できません
皮肉屋の特徴を持つキャラクターを慰めることはできません。"
hint_action_task_consolation_unavailable_dont_need,"利用できません
現在、このキャラクターに慰めは必要ありません。"
hint_action_task_consolation_unavailable_already_dont_need,"利用できません
このキャラクターはすでに慰めを受けています。"
hint_action_task_consolation_unavailable_by_opinion,"利用できません
司教はこのキャラクターと良好な関係を築けていないため、このアクションを実行しません。"
hint_action_task_unavailable_bad_opinion,"利用できません
{soul_uuid_1}は{soul_uuid_2}と良好な関係を築けていません。現在、彼らとの関係は {current_opinion} で、少なくとも {required_opinion} が必要です。"
hint_action_task_unavailable_no_titles,"利用できません
領主に与えられる<hint=hint_title>爵位</hint>はありません。"
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"性行為の強要
$ 強要されたキャラクターは<hint=hint_persons_bastard>非嫡出子</hint>を妊娠する可能性があります。
$ 捕虜が属する一族の王はこの行為を拷問と見なします。
$ このアクションは<hint=hint_sin>罪</hint>と見なされます。"
hint_forced_sex_captive_context,"性行為の強要
$ {soul_uuid_1}は自身の<hint=hint_need_sex>性的欲求</hint>が {number}%満たされます。
$ {soul_uuid_1}の「罪を恥じる」というネガティブな思考が <red>{number1}</red>になります。
$ {soul_uuid_2}の「利用された」というネガティブな思考が <red>{number2}</red>になります。
$ {soul_uuid_3}と王との関係性が <red>{number3}</red> 悪化します。"
hint_buy_sex,"性行為への賄賂
$領主は農民に<hint=hint_resource_rune>{runes}</hint>を与えると、農民は領主の個人的な要求に喜んで応じます。
$農民は<hint=hint_persons_bastard>非嫡出子</hint>となる子供を産むことがあります。
$このアクションは<hint=hint_sin>罪</hint>と見なされます。"
hint_buy_sex_context,"性行為への賄賂
${soul_uuid_1}が性的欲求を満たします。
${soul_uuid_1}は強さ<red>{number2}</red>の<hint=hint_sin>罪</hint>を負います。
${soul_uuid_2}はネガティブな思考<red>{number3}</red>を受け取ります。"
hint_not_enought_rings,"リングが足りない
このアクションはには <hint=hint_resource_rune>{count}</hint> 必要です。"
hint_not_enought_gold,"ゴールドが足りない
このアクションはには <hint=hint_resource_gold>{count}</hint> 必要です。"
hint_set_free_captive,"人質の解放
王は慈悲深く、人質に自由を与えます。

<b>結果：</b>
$ 人質は故郷へと帰り、彼らの王{soul_uuid_king}はその慈悲に感謝します。"
