Key,French
hint_fleshwolf,"Loup
Ce représentant de la rare faune du Norland est un puissant prédateur.

On considère qu'il est aussi puissant qu'un personnage guerrier avec une combativité de {wolf_level} armé d'une <hint=hint_resource_wooden_spear>lance</hint>.

$ Il vit dans les forêts et évite les grands espaces. Il peut attaquer les êtres humains, alors protégez votre population paysanne grâce à des <hint=hint_bld_patrol_sign_day>patrouilles de jour</hint>.
$ Traditionnellement, les nobles chassent le loup à deux, à l'aide d'armes de mêlée uniquement, signe de respect envers la créature.
$ Le loup peut également être attaqué par une escouade.
$ Chaque carcasse de loup contient de la <hint=hint_resource_meat>viande</hint> comestible."
hint_action_task_reward,"Récompenser
Le personnage recevra une récompense du monarque pour ses loyaux services.

Monarque : {skill_name} niveau {skill_level}

<b>Conséquences :</b>
$ Impression <green>Récompense {mind_modify}</green>
$ Loyauté <green>{loyalty_modify}</green>

<b>Coût</b> : 
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Effet secondaire :</b>
Relation avec le monarque <green>{relations_modify}</green>"
hint_action_task_threat,"Menacer
Le monarque menacera le personnage si ce dernier envisage de le trahir.

Monarque : {skill_name} niveau {skill_level}

<b>. Conséquence :</b>
$ Loyauté <green>{loyalty_modify}</green>

<b>Effet secondaire</b> :
$ Impression négative <red>A reçu des menaces {threat_moral_modify}</red>
$ Le personnage risquera de s'attaquer au monarque."
hint_action_task_donate,"Demander un don 
Le monarque demande votre aide sous la forme d'un don de plusieurs <hint=hint_resource_rune>anneaux sacrés</hint>.
 
Monarque : {skill_name} niveau {skill_level}
 
<b>Conséquences :</b>
$ Impression <red>Obligation de faire un don {mind_modify}</red>
$ Loyauté <red>{loyalty_modify}</red>
 
<b>Le monarque reçoit</b> :
$ {rings_rew_number} <hint=hint_resource_rune>anneaux sacrés</hint>"
hint_action_new_heir,"Désigner comme héritier
Le monarque désignera ce personnage comme son héritier.

<b>Conséquences :</b>
$ {soul_uuid_1} héritera de la couronne.
$ {soul_uuid_2}, qui devait en hériter, considérera qu'on lui a porté préjudice et éprouvera de la rancœur envers le monarque et {soul_uuid_1}."
hint_action_new_king,"Léguer la couronne
Le monarque léguera la couronne à ce personnage.

<b>Conséquences :</b>
$ {soul_uuid_1} deviendra monarque.
$ Les relations entre votre monarque, l'<hint=hint_bishop>évêque</hint>, la Matriarche et les provinces voisines repartiront sur de nouvelles bases.
$ L'ancien monarque, {soul_uuid_2}, sera déprimé et détestera {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Offrir un titre à un ou une noble libre
{soul_uuid_1} se verra accorder un <hint=hint_title>titre</hint> de la part du monarque, devenant ainsi membre à part entière de la famille.

{soul_uuid_1} devra payer un impôt à la Famille de l'étreinte divine pour garantir son droit de succession.

<b>Conséquences :</b>
$ {soul_uuid_1} recevra le titre et rejoindra la famille de {faction_uuid}.
$ <hint=hint_resource_gold>{give_title_cost}</hint> seront prélevés comme impôt de la Famille de l'étreinte divine.
$ Le nombre de titres disponibles diminuera de 1."
hint_action_give_title_to_soldier,"Offrir un titre à personnage guerrier
{soul_uuid_1}, qui n'a pas de terres, se verra attribuer un <hint=hint_title>titre</hint> par le monarque, devenant ainsi membre à part entière de la famille. Ses compétences seront relativement faibles.

{soul_uuid_1} devra payer un impôt à la Famille de l'étreinte divine pour enregistrer sa lignée.

Les autres nobles développeront une relation négative envers ce personnage, à cause de son humble origine.

<b>Conséquences :</b>
$ {soul_uuid_1} recevra le titre et deviendra noble à part entière de la famille de {faction_uuid}.
$ Relation initiale des autres nobles <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> seront prélevés comme impôt de la Famille de l'étreinte divine.
$ Le nombre de titres disponibles diminuera de 1."
hint_action_take_title,"Dépouiller du titre
Le monarque dépouillera {soul_uuid_1} de son <hint=hint_title>titre</hint>. Le personnage sera donc relégué à la <hint=hint_untitled_lord>basse noblesse</hint>.

<b>Conséquences :</b>
$ Le personnage ayant perdu son titre n'oubliera pas cette humiliation et ressentira des impressions négatives à l'égard du monarque, d'une valeur de <red>{der_thought}</red>.
$ La situation déplaira fortement aux proches de ce personnage et leur opinion du monarque baissera.
$ Le nombre de titres disponibles augmentera de 1."
hint_action_task_dice,"Jouer aux dés
Jouez aux dés avec un seigneur ou une dame.

Le résultat du jeu est plutôt aléatoire, mais est aussi largement influencé par l'<hint=hint_skill_knowledge>intelligence</hint> des personnages.

Mise : <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Jouer aux dés
Jouez aux dés avec un seigneur ou une dame.

Mise : <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1} : {number1} d'intelligence
$ {soul_uuid_2} : {number2} d'intelligence

{soul_uuid_1} a {ver} % de chances de gagner."
hint_action_make_enemy,"Déclarer une animosité
Déclarez {soul_uuid_target} comme personnage ennemi de votre monarque.

$ Le personnage tentera de fuir le royaume le plus vite possible.
$ Vos seigneurs, dames, guerriers et guerrières tenteront d'attaquer et de tuer ce personnage, considéré comme armé.
$ Vous pouvez également l'attaquer avec une <hint=hint_army>escouade de combat</hint> par un clic droit sur la cible.
{additional_info_stack}"
hint_action_task_hunt,"Chasser
Les personnages sont partis ensemble à la chasse au <hint=hint_fleshwolf>loup</hint>.

Le loup est aussi puissant qu'un guerrier ou une guerrière avec une combativité de {wolf_level} et une <hint=hint_resource_wooden_spear>lance</hint>.

$ Si le loup est vaincu et les deux personnages sont debout, ils obtiennent une <hint=hint_thought_social>impression relationnelle</hint> durable Partie de chasse à deux <green>{hunt_improve}</green>.
$ De plus, en cas de chasse fructueuse, les personnages obtiennent {exp_points} points de <hint=hint_skill_combat>combativité</hint> et d'<hint=hint_skill_command>autorité</hint>.
$ Si l'un des personnages est vaincu par le loup, les deux personnages sont affectés par l'impression relationnelle Mauvais chasseur <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Chasser
{soul_uuid_1} : <hint=hint_skill_combat>combativité</hint> de {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2} : <hint=hint_skill_combat>combativité</hint> de {skill_2}
{soul_2_equipment_stack}

Le loup est aussi puissant qu'un guerrier ou qu'une guerrière avec une combativité de {wolf_level} et une <hint=hint_resource_wooden_spear>lance</hint>."
hint_action_task_together,"Passer du temps ensemble
Les personnages passeront du temps ensemble : ils marcheront, prieront, joueront de la musique, etc.

Ils auront 2 <hint=hint_conversation>conversations sérieuses</hint>, pas forcément agréables.

La probabilité qu'une bonne conversation ait lieu dépend du <hint=hint_mood>moral</hint> des personnages. L'intensité de l'impression qui en résultera dépend de leur niveau de <hint=hint_skill_manners>manières</hint>."
hint_action_task_hunt_unavailable,"Indisponible
L'évêque ne peut pas chasser."
hint_action_task_hunt_by_no_wolf,"Indisponible
Il n'y a aucun loup à chasser dans la forêt."
hint_action_task_together_new_context,"Passer du temps ensemble
$ {soul_uuid_1} : moral {mood_stack_1}, <hint=hint_skill_manners> manières :</hint> {skill_level_1} 
$ {soul_uuid_2} : moral {mood_stack_2}, manières :<hint=hint_skill_manners> </hint> {skill_level_2}

<b>Conséquences :</b>
{soul_uuid_1} pensera à ${soul_uuid_2} :
{deep_social_stack_1}
Moral : {moral_change_1}

{soul_uuid_2} pensera à ${soul_uuid_1} :
{deep_social_stack_2}
Moral : {moral_change_2}"
hint_child_sub_context,"~
Ce personnage est un parent. Cette interaction prouvera son affection et répondra au besoin d'<hint=hint_need_care>attention</hint> de l'enfant."
hint_marriage_local,"Épouser
Sans oser s'opposer à leur souverain ou souveraine, deux nobles contracteront un <hint=hint_marriage>mariage</hint> légal.

Les mariages entre parents et enfants ou entre frères et sœurs sont interdits."
hint_marriage_local_context,"Épouser
{soul_uuid_1} et {soul_uuid_2} se marieront."
hint_action_task_lesson,"~
$ Si l'élève a un talent pour cette <hint=hint_talant>compétence</hint>, celle-ci lui rapportera plus d'expérience.
$ Cette action sera effectuée tous les jours tant qu'elle est possible, ou jusqu'à ce que vous l'annuliez.
$ Cette action déclenche un <hint=hint_need_fun>besoin de repos</hint> tant pour l'élève que pour son professeur."
hint_action_task_lesson_context,"Apprentissage
Ce professeur pourra développer les compétences suivantes de l'élève :
$ {skill_name} jusqu'au niveau {skill_level_cup}
$ {skill_name_2} jusqu'au niveau {skill_level_cup_2}

Efficacité de l'enseignement :
$ La <hint=hint_skill_teaching>pédagogie</hint> du professeur est de {skill_level_3}
$ et il peut transmettre {exp} points d'expérience par leçon

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Formation générale
Le professeur formera l'élève à toutes les compétences, d'abord sur les talents de l'élève, puis sur ses compétences restantes."
hint_action_task_lesson_guest,"~
Ce personnage est votre hôte. La leçon coûte donc <hint=hint_resource_rune>{price}</hint>.

Le paiement sera prélevé de la poche du monarque."
hint_action_task_lesson_change_culture,"~
Ce personnage fait partie des {culture}s. Il y a donc des chances pour que l'élève change de culture."
hint_action_task_lesson_guest_no_money,"Pas assez d'anneaux
Ce personnage est votre hôte. La leçon coûte donc <hint=hint_resource_rune>{price}</hint>.

Vous n'avez pas assez d'anneaux sacrés pour payer la leçon."
hint_action_task_lesson_bishop_low_opinion,"Mauvaise relation
Mauvaise relation avec votre monarque

Améliorez la relation avec votre monarque et atteignez <green>{option_req}</green>."
hint_duel,"Duel
Les personnages tenteront de déterminer leur relation avec un duel officiel.

$ Supprime le <hint=hint_desire>désir</hint> de vengeance ou de mort de l'adversaire, si les duellistes éprouvent ces désirs.
$ Le duel s'arrête lorsque l'un des personnages perd conscience, mais la mort est également un résultat possible.
$ Plus le duelliste inflige de douleur à son adversaire, plus son désir est assouvi.
$ Les duels sont considérés comme une façon honorable de résoudre les différends. Vous pouvez donc tuer un <hint=hint_bishop>évêque</hint> sans encourir la colère de la Matriarche."
hint_duel_provoke,"Provocation
Un hôte d'une province voisine a provoqué votre noble en duel. Le face-à-face aura lieu ce soir.

Si le résultat vous effraie, vous pouvez expulser l'hôte avant l'heure du duel. Votre noble évitera le danger, mais cela aura un impact négatif sur l'estime de l'hôte (et de son monarque) envers votre monarque."
hint_duel_context,"Duel
{soul_uuid_1} : <hint=hint_skill_combat>combativité</hint> de {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2} : <hint=hint_skill_combat>combativité</hint> de {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Cible incompatible
{soul_uuid_target} et la cible doivent avoir une relation d'<hint=hint_enemy>animosité</hint>."
hint_action_task_savant_study_unavalable,"Érudits
Les érudits ne peuvent pas être formés."
hint_action_invite,"Inviter
Le personnage acceptera l'invitation à visiter votre cité pendant plusieurs jours.

$ Le personnage acceptera si la relation entre vos monarques est supérieure à <green>{opinion_threshold}</green>."
hint_action_shadow,"Actes malveillants
Engagez des coupe-jarrets de la cité sélectionnée pour commettre des actes malveillants, dans le <b>menu d'actions de la cité</b>.

Le coût de leurs services dépend de la <hint=hint_skill_speech>force de persuasion</hint> de votre monarque."
hint_action_task_hire_free_lord,"Embaucher
Embauchez un seigneur ou une dame libre pendant 10 jours.

Attribuez au personnage les mêmes tâches qu'à vos nobles (donner des instructions dans les bâtiments, mener des escouades, etc.).

Le coût dépend de la <hint=hint_skill_speech>force de persuasion</hint> du seigneur ou de la dame qui négociera avec le personnage."
hint_action_task_hire_free_lord_context,"Embaucher un seigneur ou une dame
{skill_name} niveau {skill_level}
{skill_name} du personnage disponible niveau {free_lord_skill_level}

Coût total pour 10 jours : <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Remarque : le personnage recevra son paiement à la fin de son contrat. D'ici là, la somme sera conservée par l'Église comme garantie de bon comportement de la part des deux parties."
hint_action_task_seduce,"Séduire
$ Si <hint=hint_interest>l'intérêt du seigneur ou de la dame</hint> envers le personnage qui tente de le ou la séduire est <green>élevé</green> (supérieur à {interest_high}), les deux personnages forniqueront.
$ La cible <green>améliorera considérablement sa relation</green> avec votre monarque (grâce au séducteur ou à la séductrice), ce qui pourra faire d'elle votre <hint=hint_encyclopedia_puppets>marionnette</hint>.

L'effet dépend du niveau de <hint=hint_skill_manners>manières</hint> du personnage entreprenant l'action et de l'<hint=hint_skill_knowledge>intelligence</hint> de sa cible.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Séduire
{skill_name} niveau {skill_level}
{target_skill_name} de la cible niveau {target_skill_level}

<b>Conséquences :</b>
$ Relation avec votre monarque ({soul_uuid_king}) : <green>{rel_plus}</green>
$ {soul_uuid_performer} aura pour impression <red>{being_used}</red>

{soul_uuid_target} : intérêt envers {soul_uuid_performer} {interest_stack}"
hint_action_task_seduce_local,"Séduire
$ Si l'<hint=hint_interest>intérêt</hint> du seigneur ou de la dame envers le personnage engageant l'action est <green>élevé</green> (supérieur à {interest_high}), les deux personnages forniqueront.
$ Conséquence : la <green>relation entre la cible et votre monarque sera améliorée</green>, ce qui pourra faire d'elle votre <hint=hint_encyclopedia_puppets>marionnette</hint>."
hint_action_task_seduce_local_context,"Séduire
{skill_name} niveau {skill_level}
{target_skill_name} de la cible niveau {target_skill_level}

<b>Conséquences :</b>
$ {soul_uuid_performer} aura pour impression <red>{being_used}</red>
$ Relation avec votre monarque ({soul_uuid_king}) : <green>{rel_plus}</green>

{soul_uuid_target} : intérêt envers {soul_uuid_performer} {interest_stack}"
hint_poison,"Empoisonner 
En cas de réussite, la cible mourra dans d'atroces souffrances. Le personnage coupable sera soupçonné et banni de la province.
 
En cas d'échec, la <hint=hint_relations>relation</hint> entre vos <hint=hint_persons_king>monarques</hint> sera gravement dégradée et la cible exigera un combat à mort. Le personnage coupable ne pourra plus venir dans la province.
 
$ La probabilité de réussite dépend de la différence entre les niveaux d'<hint=hint_skill_knowledge>intelligence</hint> des personnages impliqués.
$ Pour réaliser cette action, un de vos personnages doit avoir le trait <hint=hint_trait_poisoner>Empoisonnement</hint> et une grande loyauté envers votre monarque."
hint_poison_context,"Empoisonner
{soul_uuid_performer}
{skill_name_2} niveau {skill_level_2}

{soul_uuid_target}
{skill_name_1} niveau {skill_level_1}

<b>Probabilité de réussite :</b> {assain_chance} %

En cas d'échec, la <hint=hint_relations>relation</hint> entre vos <hint=hint_persons_king>monarques</hint> sera gravement détériorée et la cible engagera un combat à mort."
hint_action_task_bribe,"Soudoyer
$ Le seigneur ou la dame offrira <hint=hint_resource_rune>{rings_rew_number}</hint> au personnage et tentera d'attiser le mécontentement de ce dernier envers son monarque.
$ Conséquence : la <hint=hint_loyalty>loyauté</hint> du personnage envers son monarque diminuera.
$ La valeur de la baisse de loyauté dépend de la <hint=hint_skill_speech>force de persuasion</hint> du seigneur ou de la dame.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Soudoyer
{skill_name} niveau {skill_level}
{skill_name} de la cible niveau {lord_skill_level}

<b>Conséquence :</b>
$ <hint=hint_loyalty>Loyauté</hint> envers son propre monarque <red>{loyalty_modify}</red>
$ Relation avec votre monarque ({soul_uuid_king}) : <green>+{rel_plus}</green>

<b>Prix</b> : 
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Indisponible
Le niveau de loyauté de ce seigneur ou de cette dame envers son monarque est trop élevé."
hint_action_task_bribe_gm,"~
Cette tâche peut être accomplie avec l'aide d'un émissaire. Dans ce cas, le pot-de-vin sera offert au nom du monarque et son efficacité dépendra des compétences de l'émissaire."
hint_action_task_go,"Expulser
Demandez à l'hôte de quitter la province.

Cette action aura un impact négatif sur l'estime de votre hôte et de son monarque vis-à-vis de votre monarque.

De plus, l'hôte ne pourra plus accéder à votre province par la suite."
hint_action_task_go_context,"Expulser
Demandez à l'hôte de quitter la province.

L'intensité des impressions négatives suscitées par cette action peut être réduite en fonction du niveau de manières du personnage qui en est à l'origine.

{soul_uuid_performer} :
{skill_name_2} {skill_level_2}.

$ Estime du personnage {soul_uuid_target} envers {soul_uuid_performer_king} <red>{relations_modify_target}</red>
$ Estime du personnage {soul_uuid_king} envers {soul_uuid_performer_king} <red>{relations_modify_king}</red>
$ Ce personnage ne pourra plus venir vous voir."
hint_kidnap,"Capturer
Tentez de capturer le personnage choisi lorsqu'il dort.

$ La cible a {wake_k} % de chances de se réveiller. Si elle ne se réveille pas, elle sera retenue en <hint=hint_trait_captive>otage</hint>.
$ Si elle se réveille, cela donnera lieu à un combat et elle tentera de fuir votre cité. Cependant, vous pourrez encore la capturer si votre personnage ou vos gardes parviennent à la neutraliser.

Dans tous les cas, vous aurez violé la loi sacrée de l'hospitalité, les <hint=hint_relations>relations</hint> entre votre monarque et les <hint=hint_persons_king>monarques</hint> voisins seront donc gravement détériorées.

La <hint=hint_loyalty>loyauté</hint> de votre personnage doit être supérieure à {loyalty_action} pour qu'il effectue cette tâche."
hint_kidnap_context,"Capturer
Probabilité que la victime se réveille : {wake} %

{soul_uuid_performer} :
{skill_name_1} niveau {skill_level_1}

{soul_uuid_target} :
{skill_name_2} niveau {skill_level_2}
{optional_wake_info}"
hint_diplomacy,"Réconcilier
Le personnage peut persuader un monarque hostile de mettre un terme à une guerre dangereuse et insensée afin de repartir sur de nouvelles bases.

$ La relation avec le monarque ennemi atteindra <red>-10</red>, indépendamment du niveau actuel d'animosité.
$ Un de vos personnages doit avoir le trait <hint=hint_trait_diplomat>Diplomatie</hint>.
$ La <hint=hint_loyalty>loyauté</hint> de votre personnage doit être supérieure à {loyalty_action} pour qu'il effectue cette tâche.

<b>Prix</b> : 
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Réconcilier
La relation avec le monarque ennemi atteindra <red>-10</red> indépendamment du niveau actuel d'animosité.

<b>Prix</b> :
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Tenter de tuer
Attaquez ce personnage pendant qu'il dort pour essayer de l'assassiner.

Si vous y parvenez, la <hint=hint_relations>relation</hint> entre vos <hint=hint_persons_king>monarques</hint> sera gravement détériorée.

La <hint=hint_loyalty>loyauté</hint> de votre personnage doit être élevée pour qu'il effectue cette tâche."
hint_assasin_context,"Tenter de tuer
Probabilité que la victime se réveille : {wake} %

{soul_uuid_performer} :
{skill_name_1} niveau {skill_level_1}

{soul_uuid_target} :
{skill_name_2} niveau {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Tenter de tuer
Attaquez ce personnage pendant qu'il dort pour essayer de l'assassiner.

Dans tous les cas, la <hint=hint_relations>relation</hint> entre vos <hint=hint_persons_king>monarques</hint> sera gravement détériorée.

Le taux de réussite dépend de la <hint=hint_skill_combat>combativité</hint> de votre personnage et de la cible.

La <hint=hint_loyalty>loyauté</hint> de votre personnage doit être élevée pour qu'il effectue cette tâche."
hint_assasin_context_gm,"Tenter de tuer
{skill_name} niveau {skill_level}

Dans tous les cas, la <hint=hint_relations>relation</hint> entre vos <hint=hint_persons_king>monarques</hint> sera gravement détériorée."
hint_action_task_provoke_duel,"Provoquer un duel
Votre noble insultera volontairement ce personnage, provoquant ainsi un duel.

L'un des personnages peut mourir à la suite de ce face-à-face.

De plus, l'évêque local sera mis au courant de la situation et en fera état à la Matriarche.

Dans tous les cas :
$ Relation avec {soul_uuid_king} <red>{rel_de_duel_provocation}</red>
$ Relation avec la Matriarche <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Provoquer un duel
{soul_uuid_1} : <hint=hint_skill_combat>combativité</hint> de {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2} : <hint=hint_skill_combat>combativité</hint> de {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Le duel est terminé !
{soul_uuid_target} n'a pas survécu.

$ Relation avec {soul_uuid_king} <red>{rel_de_duel_provocation}</red>
$ Relation avec la Matriarche <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Le duel est terminé !
Votre noble n'a pas survécu.

$ Relation avec {soul_uuid_king} <red>{rel_de_duel_provocation}</red>
$ Relation avec la Matriarche <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Le duel est terminé !
Les deux personnages ont survécu.

$ Relation avec {soul_uuid_king} <red>{rel_de_duel_provocation}</red>
$ Relation avec la Matriarche <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Faible intérêt
La cible porte très peu d'intérêt à ce seigneur ou à cette dame.

Intérêt ressenti par {soul_uuid_target} envers {soul_uuid_performer} : {interest_stack}"
hint_unavailable_social_cooldown,"Indisponible
{soul_uuid_performer} a déjà interagi avec {soul_uuid_target} récemment et doit maintenant se concentrer sur d'autres tâches.

$ Vous pourrez répéter cette action dans {remain_time} heure(s)."
hint_unavailable_low_loyalty,"Faible loyauté
La <hint=hint_loyalty>loyauté</hint> du personnage est trop faible pour effectuer cette tâche. Elle doit être égale ou supérieure à {loyalty_threshold}, alors qu'elle est actuellement de {loyalty}."
hint_loyal_conflict,"~
Lorsque la <hint=hint_loyalty>loyauté</hint> d'un personnage tombe en dessous de 25, ce dernier entre en conflit avec son monarque.

$ Si le personnage doit hériter de la couronne, mais n'est pas en bons termes avec le monarque, il peut mener une <hint=hint_nt_heir_rebellion>révolte</hint>.
$ Si le personnage est un seigneur ou une dame normale, ou s'il doit hériter de la couronne et est en bons termes avec le monarque, il préférera s'installer dans une province voisine. Cela envenimera la relation entre les monarques, mais il n'y aura pas de risque de révolte.

<b>Conséquence :</b> la population de ce monarque diminuera, son économie ralentira et son <b>armée sera ainsi affaiblie</b>."
hint_unavailable_trade_moving,"Pas encore disponible
Le marchand ou la marchande pourra commercer dès son arrivée au centre de la cité."
hint_unavailable_madness,"Folie
Ce personnage ne peut pas gérer ça pour l'instant."
hint_unavailable_to_madness,"Folie
Cette action ne peut pas être attribuée pour l'instant."
hint_go_home,"Retour à la maison
Le personnage retourne dans son village."
action_is_unavaible_by_captive,"Otage
Le personnage ne peut pas effectuer cette action, car il a été pris en otage."
hint_action_task_confession,"Se confesser
Confessez-vous à l'évêque en échange d'une petite donation.

<b>Coût :</b> <hint=hint_resource_rune>{conf_price}</hint>

Les <hint=hint_sin>péchés</hint> suivants seront absous :
{sins}"
hint_action_task_confession_unavailable,"Impossible de se confesser
Le personnage n'a pas commis de péchés récemment."
hint_action_task_canonization,"Bénir
Pendant {days} jours, l'Église pardonnera à votre monarque tous ses péchés.

$ Votre monarque ne souffrira pas en commettant des péchés.
$ Les paysans et paysannes <hint=hint_persons_fanatic>fanatiques</hint> souhaiteront rejoindre votre armée.
$ Les relations entre vos nobles et votre monarque seront grandement améliorées. Votre population sera plus heureuse.

<b>Coût :</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Mauvaise relation
Pour recevoir sa <hint=hint_saint>bénédiction</hint>, la relation entre la <hint=hint_relations_matriarch>Matriarche</hint> et votre monarque doit être supérieure à <green>{threshold}</green>."
hint_canonized_already,"Indisponible
Ce personnage a déjà reçu une bénédiction."
hint_action_task_divorce,"Divorcer
Annulez le mariage entre {soul_uuid_target} et {soul_uuid_spouce}.

Les deux personnages pourront ensuite se remarier.

<b>Coût :</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Réconforter
Grâce à des mots justes, l'évêque réconfortera un personnage ayant perdu un être cher et soulagera sa douleur.

Conséquence : les impressions de deuil diminueront largement."
hint_action_task_begging,"Implorer le pardon
Par la grâce de Mère Sophia, l'évêque écoutera et pardonnera les inconvenances du personnage… si ce dernier prouve sa sincérité par un sacrifice.

Conséquence : l'estime portée par l'évêque envers {soul_uuid_target} sera améliorée de <green>{rel_plus}</green>.

<b>Coût :</b> <hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"Indisponible
L'évêque ne considère pas le personnage {soul_uuid_target} comme un ennemi. Ce dernier n'a donc pas besoin d'être pardonné."
hint_action_task_consolation_unavailable_by_cynic,"Indisponible
Un personnage présentant le trait Cynisme ne peut pas être réconforté."
hint_action_task_consolation_unavailable_dont_need,"Indisponible
Ce personnage n'a actuellement pas besoin d'être réconforté."
hint_action_task_consolation_unavailable_already_dont_need,"Indisponible
Ce personnage a déjà été réconforté."
hint_action_task_consolation_unavailable_by_opinion,"Indisponible
La relation entre le personnage et l'évêque n'est pas assez bonne pour que ce dernier effectue cette action."
