Key,Russian
hint_action_task_donate,"Просьба пожертвовать
Король просит пожертвовать ему несколько <hint=hint_resource_rune>Святых колец</hint> в качестве помощи.

Король: {skill_name} {skill_level} ур.

<b>В результате:</b>
$ Мысль <red>Был вынужден пожертвовать: {mind_modify}</red>
$ Лояльность: <red>{loyalty_modify}</red>

<b>Король получает</b>: 
$ {rings_rew_number} <hint=hint_resource_rune>Святых Колец</hint>"
hint_action_new_heir,"Назначить наследником
Король объявит этого персонажа своим наследником.

<b>Последствия:</b>
$ {soul_uuid_1} станет наследником
$ Старый наследник {soul_uuid_2} будет подавлен, а также возненавидит короля и {soul_uuid_1}"
hint_action_new_king,"Передать Корону
Король передаст корону этому персонажу

<b>Последствия:</b>
$ {soul_uuid_1} станет монархом
$ Отношение к вашему королю со стороны <hint=hint_bishop>Епископа</hint>, Матриарха и соседей начнутся с чистого листа.
$ Старый монарх {soul_uuid_2} будет подавлен и возненавидит {soul_uuid_1}"
hint_action_give_title_to_hired_free_lord,"Выдать титул свободному лорду
Король дарует <hint=hint_title>титул</hint> {soul_uuid_1} и он станет полноправным членом семьи.

Потребуется заплатить налог Святой семье за возврат прав {soul_uuid_1} на его родословную.

<b>Последствия</b>
$ {soul_uuid_1} получит титул и перейдет в {faction_uuid}
$ Будет потрачено <hint=hint_resource_gold>{give_title_cost}</hint> на налог Святой семье
$ Количество свободных титулов уменьшится на 1.
{optional_philistine}"
hint_action_give_title_to_soldier,"Выдать титул воину
Король дарует <hint=hint_title>титул</hint> безродному воину {soul_uuid_1} и он станет полноправным членом семьи. Навыки такого лорда будут относительно низкими.

Потребуется заплатить налог Святой семье за оформление документа на родословную для {soul_uuid_1}

Остальные лорды будут относиться негативно к нему из-за его низкого происхождения

<b>Последствия</b>
$ {soul_uuid_1} получит титул и станет полноправным лордом в {faction_uuid}
$ Отношение остальных лордов к нему: <red>{mind_modify}</red>
$ Будет потрачено <hint=hint_resource_gold>{give_title_cost}</hint> на налог Святой семье
$ Количество свободных титулов уменьшится на 1"
hint_action_take_title,"Забрать титул
Король лишит <hint=hint_title>титула</hint> лорда {soul_uuid_1} и он станет <hint=hint_untitled_lord>младшим лордом</hint>

<b>Последствия</b>
$ Лорд запомнит унижение и будет получит отрицательную мысль к королю силой <red>{der_thought}</red>
$ Друзья этого лорда будут расстроены и станут хуже думать о короле.
$ У вашей семьи появится свободный титул."
hint_action_task_dice,"Сыграть в кости
Сыграть в кости с этим лордом.

Вероятность исхода игры довольно случайна, но во многом зависит от разницы в навыке <hint=hint_skill_knowledge>Интеллекта</hint> игроков.

Ставка составит <hint=hint_resource_rune>{dice_bet}</hint>"
hint_action_task_dice_context,"Сыграть в кости
Сыграть в кости с этим лордом.

Ставка составит <hint=hint_resource_rune>{dice_bet}</hint>

$ {soul_uuid_1}: Интеллект {number1}
$ {soul_uuid_2}: Интеллект {number2}

Вероятность, что победит {soul_uuid_1} {ver}%"
hint_action_make_enemy,"Объявить врагом
Объявить {soul_uuid_target} врагом короля.

$ Персонаж попытается сбежать из королевства как можно быстрее.
$ Ваши лорды и воины попытаются атаковать и убить этого персонажа (при условии что они вооружены)
$ Его также можно будет атаковать <hint=hint_army>боевым отрядом</hint> (нажмите ПКМ на цели)
{additional_info_stack}"
hint_action_task_hunt,"Охота
Персонажи вместе охотятся на <hint=hint_fleshwolf>плотоволка</hint>. 

Считается, что по силе Плотоволк соответствует бойцу с навыком боя {wolf_level}, который вооружен <hint=hint_resource_wooden_spear>Копьем</hint>.

$ <b>В случае успеха</b>, если плотоволк побежеден и оба охотника остались в строю, оба получают <b>долгую</b> <hint=hint_thought_social>социальную мысль</hint> ""Охотились вместе"" <green>{hunt_improve}</green>. 
$ Также в случае успешной охоты участники получат по {exp_points} очков <hint=hint_skill_combat>навыка Боя</hint> и <hint=hint_skill_command>Командования</hint>
$ В случае если кто-то из охотников проиграет бой, оба получают негативную социальную мысль ""Плохой охотник"" <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Охота
{soul_uuid_1}: <hint=hint_skill_combat>навык Боя</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>навык Боя</hint>: {skill_2}
{soul_2_equipment_stack}

Плотоволк соответствует бойцу с навыком боя {wolf_level}, который вооружен <hint=hint_resource_wooden_spear>Копьем</hint>."
hint_action_task_together,"Провести время вместе
Персонажи проводят время вместе  - гуляют, молятся, играют музыку и так далее.

В процессе обязательно состоится 2 <hint=hint_conversation>глубоких разговора</hint> - необязательно хороших. 

Вероятность хорошего разговора зависит от <hint=hint_mood>настроения</hint> персонажей, а сила мысли от этого разговора - от навыка <hint=hint_skill_manners>Манер</hint>"
hint_action_task_hunt_unavailable,"Недоступно
Епископ не доступен для охоты"
hint_action_task_hunt_by_no_wolf,"Недоступно
В лесу нет волков на которых можно было бы вести охоту"
hint_action_task_together_new_context,"Провести время вместе
$ {soul_uuid_1}: Настроение {mood_stack_1}, <hint=hint_skill_manners>Манеры</hint>: {skill_level_1} 
$ {soul_uuid_2}: Настроение {mood_stack_2}, <hint=hint_skill_manners>Манеры</hint>:  {skill_level_2} 

<b>В результате:</b>
{soul_uuid_1} подумает о {soul_uuid_2}:
{deep_social_stack_1} 
Настроение: {moral_change_1}

{soul_uuid_2} подумает о {soul_uuid_1}:
{deep_social_stack_2} 
Настроение: {moral_change_2}"
hint_child_sub_context,"~
Этот персонаж является родителем, поэтому это действие восполнит потребность ребенка в <hint=hint_need_care>заботе</hint>."
hint_marriage_local,"Поженить
Не смея противиться вашей воле, два лорда вступят в законный <hint=hint_marriage>брак</hint>.

Браки между детьми и родителями, а также между братьями и сестрами запрещены
{optional_philistine}"
hint_marriage_local_context,"Поженить
{soul_uuid_1} станет супругом {soul_uuid_2}"
hint_action_task_lesson,"~
$ Ребенок, который подрос и научился читать, также будет перенимать <hint=hint_idea>знания</hint> учителя.
$ Обучаемый получает больше опыта к навыку, к которому у него есть <hint=hint_talant>талант</hint>.
$ Действие будет совершаться ежедневно."
hint_action_task_lesson_context,"Обучаться
Этот учитель сможет развить навыки ученика:
$ Навык {skill_name} до уровня {skill_level_cup}
$ Навык {skill_name_2} до уровня {skill_level_cup_2}

Эффективность обучения:
$ Учитель имеет навык <hint=hint_skill_teaching>Обучения</hint>: {skill_level_3}
$ И сможет передавать {exp} очков опыта за урок

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Общее обучение
Учитель будет последовательно учить навыкам (также по парам) сначала где есть таланты - до предела, а затем остальным парам навыков по очереди"
hint_action_task_lesson_guest,"~
Этот персонаж - ваш гость, поэтому урок стоит <hint=hint_resource_rune>{price}</hint>

Плата будет взята из кармана Короля."
hint_action_task_lesson_change_culture,"~
Этот персонаж принадлежит культуре {culture} поэтому есть шанс того что ученик может сменить свою культуру"
hint_action_task_lesson_guest_no_money,"Не достаточно колец
Этот персонаж - ваш гость, поэтому урок стоит <hint=hint_resource_rune>{price}</hint>

У вас не хватает Святых Колец для оплаты урока."
hint_action_task_lesson_bishop_low_opinion,"Низкое мнение
Низкое мнение о вашем короле

Улучшите мнение о вашем короле до <green>{option_req}</green>"
hint_duel,"Дуэль
Персонажи попытаются выяснить свои отношения на официальной дуэли.

$ Снимает <hint=hint_desire>желание</hint> мести или смерти врага, если таковое есть у дуэлянтов
$ Дуэль идет до потери сознания одного из участников, но иногда возможен и смертельный исход.
$ Чем больше дуэлянт нанесет <hint=hint_pain>боли</hint> сопернику, тем легче ему станет
$ Дуэль признается честным способом решения противоречий, поэтому даже убив на дуэли <hint=hint_bishop>Епископа</hint>, вы не вызовете гнева Матриарха"
hint_duel_provoke,"Провокация
Гость из соседней провинции спровоцировал вашего лорда на дуэль. Она состоится сегодня вечером.

Если вы не уверены в ее исходе, вы можете выгнать гостя из вашей провинции до этого времени. Ваш лорд избежит опасности, но это ухудшит отношение к вашему правителю со стороны монарха гостя (и с его стороны тоже)"
hint_duel_context,"Дуэль
{soul_uuid_1}: <hint=hint_skill_combat>навык Боя</hint>: {skill_1}
{soul_1_equipment_stack}

VS 

{soul_uuid_2}: <hint=hint_skill_combat>навык Боя</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Исполнитель не подходит
Лорд должен быть <hint=hint_enemy>врагом</hint> {soul_uuid_target}"
hint_action_task_savant_study_unavalable,"Савант
Саванта нельзя обучать"
hint_action_invite,"Пригласить в гости
Лорд примет приглашение посетить ваше поселение на несколько дней.

$ Лорд согласится, если отношение его правителя к вашему не ниже <green>{opinion_threshold}</green>"
hint_action_shadow,"Темные дела
Вы можете нанять головорезов этого города для совершения темных дел, таких как воровство и похищение, в <b>меню действий города</b>

Стоимость их работы зависит от навыка <hint=hint_skill_speech>Убеждение</hint> вашего короля."
hint_action_task_hire_free_lord,"Нанять
Нанять свободного лорда на 10 дней. 

Вы сможете выдавать ему такие же задания, как и своим лордам - инспектировать здания, возглавлять отряды и прочее. 

Стоимость зависит от уровня навыка <hint=hint_skill_speech>Убеждение</hint> лорда, который будет с ним договариваться."
hint_action_task_hire_free_lord_context,"Нанять лорда
{skill_name} {skill_level} ур.
{skill_name} свободного лорда {free_lord_skill_level} ур.

Итого стоимость на 10 дней: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

ПОДСКАЗКА: Свою плату лорд получит только после окончания срока действия контракта, а пока она будет храниться у Церкви, в качестве гарантии хорошего поведения обеих сторон."
hint_action_task_seduce,"Соблазнить
Если <hint=hint_interest>интерес</hint> лорда к исполнителю <green>высокий</green> (выше {interest_high}), они проведут время в постели.

<b>В результате:</b>
$ Цель <green>сильно улучшит отношение</green> к вашему правителю (о чем позаботится соблазнитель), 
$ Если отношение к вашему правителю превысит {puppet_treshold}, цель станет вашей <hint=hint_encyclopedia_puppets>марионеткой</hint>.
$ Если цель - правитель другого города, и его отношение превысит {puppet_treshold_duty_of_honor}, то у он получит <hint=hint_debt_of_honor>долг чести</hint> по отношению к вам

<b>Цена</b>: Соблазнитель получит отрицательную мысль, а цель потеряет интерес к соблазнителю."
hint_action_task_seduce_context,"Соблазнить
{skill_name} {skill_level} ур.

<b>В результате:</b>
$ Отношение к вашему правителю ({soul_uuid_king}): <green>{rel_plus}<green>
{optional_negtive_mind_to_performer}
{optional_will_become_puppet}
{optional_will_duty_of_honor}"
hint_action_task_seduce_local,"Соблазнить
$ Если <hint=hint_interest>интерес</hint> лорда к исполнителю <green>высокий</green> (выше {interest_high}), они проведут время в постели.
$ В результате цель <green>улучшит свое отношение</green> к вашему правителю, в результате чего она может стать вашей <hint=hint_encyclopedia_puppets>марионеткой</hint>."
hint_action_task_seduce_local_context,"Соблазнить
{skill_name} {skill_level} ур.
{target_skill_name} цели {target_skill_level} ур.

<b>В результате:</b>
$ Мысль у {soul_uuid_performer}: <red>{being_used}</red>
$ Отношение к вашему правителю ({soul_uuid_king}): <green>{rel_plus}<green>

Интерес {soul_uuid_target} к {soul_uuid_performer}: {interest_stack}"
hint_poison,"Отравить
Если отравление удасться, цель умрет в муках, но на исполнителя падет подозрение и ему запретят посещение провинции.

В случае неудачи <hint=hint_relations>отношение</hint> к вашему правителю со стороны монарха цели очень сильно ухудшится, а цель начнет драку до смерти. 

$ Вероятность удачи зависит от разницы в навыке <hint=hint_skill_knowledge>Интеллект</hint> взаимодействующих персонажей.
$ У вас должен быть персонаж с чертой <hint=hint_trait_poisoner>отравителя</hint> и с высокой лояльностью к вашему королю."
hint_poison_context,"Отравить
{soul_uuid_performer}
{skill_name_2} {skill_level_2} ур.

{soul_uuid_target}
{skill_name_1} {skill_level_1} ур.

<b>Вероятность успеха:</b> {assain_chance}%

В случае неудачи <hint=hint_relations>отношение</hint> к вашему правителю со стороны монарха цели очень сильно ухудшится, а цель начнет драку до смерти."
hint_action_task_bribe,"Подкуп
$ Лорд подарит персонажу <hint=hint_resource_rune>{rings_rew_number}</hint> и попробует внушить ему недовольство его королем.
$ В результате <hint=hint_loyalty>Лояльность</hint> лорда к его королю упадет. 
$ Величина падения лояльности цели зависит от навыка <hint=hint_skill_speech>Убеждение</hint> исполнителя.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Подкуп
{skill_name} {skill_level} ур.
{skill_name} цели {lord_skill_level} ур.

<b>В результате:</b>
$ <hint=hint_loyalty>Лояльность</hint> к своему королю: <red>{loyalty_modify}</red>
$ Отношение к вашему правителю ({soul_uuid_king}): <green>+{rel_plus}<green>

<b>Цена</b>: 
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Не доступен
Этот лорд верен своему королю"
hint_action_task_bribe_gm,"~
Это задание можно выполнить при помощи посланника, и в таком случае подкуп будет от имени вашего короля и его эффективность будет зависеть от его навыков."
hint_action_task_go,"Выгнать
Попросить гостя покинуть провинцию. 

Отношения к вашему монарху со стороны правителя гостя и него самого, ухудшатся.

Кроме того, этому гостю будет запрещено посещать вашу провинцию в будущем."
hint_action_task_go_context,"Выгнать
Попросить гостя покинуть провинцию. 

Навык Манер исполнителя влияет на уменьшение негативной мысли от этого действия.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ Отношение {soul_uuid_target} к {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Отношение {soul_uuid_king} к {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Этот персонаж больше не сможет прийти к вам в гости."
hint_kidnap,"Похищение персонажа
Попытка захватить в плен выбранного персонажа, пока он спит. 

$ Если персонаж не проснется (вероятность - {wake_k}%), персонаж становится <hint=hint_trait_captive>заложником</hint>.
$ Если похищаемый проснется, завяжется драка с исполнителем, после чего цель попытается убежать из поселения. Но у вас все еще будут шансы его захватить, если исполнитель или стражники оглушат его

В любом случае, вы нарушите священный закон гостеприимства, и <hint=hint_relations>отношения</hint> между вашим королем и соседними <hint=hint_persons_king>королями</hint> очень сильно ухудшатся.

<hint=hint_loyalty>Лояльность</hint> исполнителя должна быть выше {loyalty_action}, чтобы он взялся за задание."
hint_kidnap_context,"Похищение персонажа
Вероятность жертвы проснуться: {wake}%

{soul_uuid_performer}:
{skill_name_1} ур {skill_level_1}

{soul_uuid_target}:
{skill_name_2} ур {skill_level_2}
{optional_wake_info}"
hint_diplomacy,"Примирение
Персонаж может уговорить враждебного короля прекратить бессмысленную и опасную войну и начать отношения с чистого листа.

$ Отношения с вражеским королем становятся <red>-10</red> независимо от текущего уровня вражды
$ У вас должен быть персонаж с чертой <hint=hint_trait_diplomat>дипломата</hint>.
$ Также, <hint=hint_loyalty>Лояльность</hint> исполнителя должна быть выше {loyalty_action}, чтобы он взялся за задание.

<b>Цена</b>: 
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Примирение
Отношения с вражеским королем становятся <red>-10</red> независимо от текущего уровня вражды

<b>Цена</b>: 
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Попытка убить
Попытка убийства этого персонажа через нападение на него спящего ночью. 

$ Если похищаемый проснется, завяжется драка с исполнителем, после чего цель попытается убежать из поселения.

В случае успеха <hint=hint_relations>отношения</hint> между вашими <hint=hint_persons_king>королями</hint> очень сильно ухудшатся.

<hint=hint_loyalty>Лояльность</hint> исполнителя должна быть высокой, чтобы он взялся за задание."
hint_assasin_context,"Попытка убить
Вероятность жертвы проснуться: {wake}%

{soul_uuid_performer}:
{skill_name_1} ур {skill_level_1}

{soul_uuid_target}:
{skill_name_2} ур {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Попытка убить
Попытка убийства этого персонажа через нападение на него спящего ночью. 

В любом случае <hint=hint_relations>отношения</hint> между вашими <hint=hint_persons_king>королями</hint> очень сильно ухудшатся.

Вероятность удачи зависит от <hint=hint_skill_combat>навыка Боя</hint> исполнителя и жертвы, а также удачи.

<hint=hint_loyalty>Лояльность</hint> исполнителя должна быть высокой, чтобы он взялся за задание."
hint_assasin_context_gm,"Попытка убить
{skill_name} {skill_level} ур.

В любом случае <hint=hint_relations>отношения</hint> между вашими <hint=hint_persons_king>королями</hint> очень сильно ухудшатся.
"
hint_action_task_provoke_duel,"Провокация на дуэль
Ваш лорд преднамеренно оскорбит этого лорда, чем создаст повод для дуэли.

В результате дуэли один из лордов может погибнуть 

Кроме того, об этом узнает местный епископ и доложит о ваших действиях Матриарху.

В любом случае:
$ Отношения с {soul_uuid_king} : <red>{rel_de_duel_provocation}</red>
$ Отношения с Матриархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Провокация на дуэль
{soul_uuid_1}: <hint=hint_skill_combat>навык боя</hint>: {skill_1}
{soul_1_equipment_stack}

VS 

{soul_uuid_2}: <hint=hint_skill_combat>навык боя</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Дуэль закончилась!
{soul_uuid_target} был убит.

$ Отношения с {soul_uuid_king} : <red>{rel_de_duel_provocation}</red>
$ Отношения с Матриархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Дуэль закончилась!
Ваш лорд был убит!

$ Отношения с {soul_uuid_king} : <red>{rel_de_duel_provocation}</red>
$ Отношения с Матриархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"You have fallen out of favor!
Your recent actions have greatly disappointed the Matriarch, and her attitude towards you has fallen below <red>-25</red>.

$ Hoping for your change of heart, the Church has imposed a complete embargo - henceforth, <red>the Holy Caravan will no longer visit your province.</red>
$ Improve your <hint=hint_relations_matriarch>relationship with the Matriarch</hint> to lift the embargo.
$ If relations fall below <red>-50</red>, you will be officially cursed, and the bishop will leave your province."
hint_unavailable_low_match,"Низкий интерес
Цель испытывает к этому лорду слишком низкий интерес.

Интерес {soul_uuid_target} к {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Не готов к взаимодействию
{soul_uuid_performer} уже взаимодействовал с {soul_uuid_target} совсем недавно, и тот хочет заняться другими делами. 

$ Повторить действие можно будет через {remain_time} ч."
hint_unavailable_low_loyalty,"Низкая лояльность
У исполнителя слишком низкая <hint=hint_loyalty>лояльность</hint>. Для назначения на это задание, она должна быть как минимум {loyalty_threshold}, а сейчас она всего {loyalty}"
hint_loyal_conflict,"~
Когда <hint=hint_loyalty>лояльность</hint> персонажа падает ниже 25, лорд вступает в конфликт с королем.

$ Если это наследник и он не дружен с королем, он может поднять <hint=hint_nt_heir_rebellion>восстание</hint>
$ Если это обычный лорд или дружественный королю наследник, он предпочтет уйти в соседнюю провинцию, что ухудшит отношения между королями.

<b>В результате:</b>, население, экономика и, как следствие, <b>армия этого короля сократится</b>. "
hint_unavailable_trade_moving,"Не готов
Караванщик будет готов торговать, как только достигнет центра поселения."
hint_unavailable_madness,"Безумен
Этот лорд не может заниматься этим сейчас."
hint_unavailable_to_madness,"Безумен
Сейчас нельзя назначить это взаимодействие."
hint_go_home,"Вернуться домой
Лорд отправится в свой город."
action_is_unavaible_by_captive,"Заложник
Не может выполнить это действие потому что находится в заточении."
hint_action_task_confession,"Исповедь
Исповедаться Епископу за небольшое подношение.

<b>Стоимость:</b> <hint=hint_resource_rune>{conf_price}</hint>

Следующие <hint=hint_sin>грехи</hint> будут отпущены:
{sins}
"
hint_action_task_confession_unavailable,"Исповедь не доступна
За последнее время лорд не грешил"
hint_action_task_canonization,"Благословление
На {days} дней церковь дарует вашему королю отпущение от всех грехов.

$ Ваш правитель не будет страдать грехов
$ <hint=hint_persons_fanatic>Фанатики</hint> из числа ваших крестьян будут рады присоединиться к вашему войску
$ Отношения всех лордов к правителю сильно улучшится, а подданые будут более счастливыми

<b>Стоимость:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Недостаточно хорошие отношения
Для получения <hint=hint_saint>благословления</hint> требуется <hint=hint_relations_matriarch>отношение Матриарха</hint> к вашему королю больше <green>{threshold}</green>"
hint_canonized_already,"Недоступно
Этот персонаж уже получил <hint=hint_saint>благословление</hint>"
hint_action_task_divorce,"Развод
Аннулировать брак {soul_uuid_target} и {soul_uuid_spouce}

В результате персонажи смогут заключить новые браки.

<b>Стоимость:</b> <hint=hint_resource_rune>{price}</hint> "
hint_consolation,"Утешить
Епископ утешит персонажа, который переживает о потери близкого, нужными словами и облегчит его боль

Результат: Мысли о потери близкого сильно ослабнет."
hint_action_task_begging,"Молить о прощении
Милостью Святой Софии, Епископ готов выслушать и простить прегрешения персонажа... если тот докажет свою искренность жертвой.

В результате: отношение Епископа к {soul_uuid_target} улучшится на <green>{rel_plus}</green>

<b>Стоимость:</b> <hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"Недоступно
Епископ не считает врагом {soul_uuid_target}, поэтому {soul_uuid_target} не нуждается в прощении."
hint_action_task_consolation_unavailable_by_cynic,"Недоступно
Персонажа с чертой циник нельзя утешить"
hint_action_task_consolation_unavailable_dont_need,"Недоступно
Этому персонажу не нужно утешение в данный момент"
hint_action_task_consolation_unavailable_already_dont_need,"Недоступно
Этот персонаж уже получил утешение"
hint_action_task_consolation_unavailable_by_opinion,"Недоступно
Епископ недостаточно хорошо относится к этому персонажу и не будет выполнять это действие"
hint_action_task_unavailable_bad_opinion,"Недоступно
{soul_uuid_1} недостаточно хорошо относится к {soul_uuid_2}. Сейчас отношения между ними {current_opinion} , а нужно как минимум {required_opinion}"
hint_action_task_unavailable_no_titles,"Недоступно
Нет свободных <hint=hint_title>титулов</hint> лорда."
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"Принуждение к сексу
$ Принужденный персонаж может родить <hint=hint_persons_bastard>ребенка-бастарда</hint>.
$ Король благородной семьи, к которой принадлежит пленник, сочтет это за пытки.
$ Это действие - <hint=hint_sin>грех</hint>."
hint_forced_sex_captive_context,"Принуждение к сексу
$ {soul_uuid_1} восполнит {number}% <hint=hint_need_sex>потребности в сексе</hint>
$ {soul_uuid_1} получит негативную мысль ""Стыд за грехи"" <red>{number1}</red>
$ {soul_uuid_2} получит негативную мысль ""Был использован"" <red>{number2}</red>
$ {soul_uuid_3} ухудшит свое отношение к вашем королю на <red>{number3}</red>"
hint_buy_sex,"Подкупить ради секса
$ Лорд подарит крестьянину <hint=hint_resource_rune>{runes}</hint> и тот будет рад исполнить его личную просьбу.
$ Крестьянин может родить ребенка, который будет <hint=hint_persons_bastard>бастардом</hint>
$ Это действие - <hint=hint_sin>грех</hint>."
hint_buy_sex_context,"Подкупить ради секса
$ {soul_uuid_1} восполнит потребности в сексе
$ {soul_uuid_1} получит <hint=hint_sin>грех</hint> силой <red>{number2}</red>
$ {soul_uuid_2} получит негативную мысль <red>{number3}</red>"
hint_not_enought_rings,"Не достаточно колец
Для выполнения этого действия необходимо <hint=hint_resource_rune>{count}</hint>"
hint_not_enought_gold,"Не достаточно золота
Для выполнения этого действия необходимо <hint=hint_resource_gold>{count}</hint>"
hint_set_free_captive,"Освобождение заложника
Король своей милостью дарует заложнику свободу.

<b>Последствия:</b> 
$ Заложник возвращается домой, а его король {soul_uuid_king} будет признателен вам за милосердие. "
