Key,Spanish
hint_fleshwolf,"Lobo devorador
Un formidable depredador, representativo de la escasa fauna de Norland.

Se considera que el lobo devorador es equivalente a un guerrero con una habilidad Combate de {wolf_level}, armado con una <hint=hint_resource_wooden_spear>lanza</hint>.

$ Habitan en los bosques y evitan los espacios abiertos. Pueden atacar a los humanos. Usa <hint=hint_bld_patrol_sign_day>patrullas diurnas</hint> para proteger a los campesinos.
$ Los señores los cazan tradicionalmente en pareja, usando solo armas cuerpo a cuerpo, para honrar a estas criaturas.
$ También es posible atacarlos con escuadras de guerreros.
$ El cadáver de un lobo devorador contiene algo de <hint=hint_resource_meat>carne</hint> comestible."
hint_action_task_reward,"Recompensa
El personaje recibirá una recompensa del monarca por servir fielmente.

Monarca: {skill_name} nivel {skill_level}

<b>Como resultado:</b>
$ Pensamiento <green>recompensado: {mind_modify}</green>
$ Lealtad: <green>{loyalty_modify}</green>

<b>Precio</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Efecto secundario:</b>
Relación con el monarca: <green>{relations_modify}</green>"
hint_action_task_threat,"Amenaza
El monarca amenaza con represalias si el personaje considera traicionarlo.

Monarca: {skill_name} nivel {skill_level}

<b>Como resultado:</b>
$ Lealtad: <green>{loyalty_modify}</green>

<b>Efectos secundarios</b>:
$ Pensamiento negativo: <red>Objetivo de amenazas: {threat_moral_modify}</red>
$ Hay una probabilidad de que el personaje ataque al monarca."
hint_action_task_donate,"Solicitud de donación
El gobernante pide una donación de varios <hint=hint_resource_rune>anillos sagrados</hint> como ayuda.

Gobernante: {skill_name} nivel {skill_level}

<b>Como resultado:</b>
$ Pensamiento <red>Obligado a donar: {mind_modify}</red>
$ Lealtad: <red>{loyalty_modify}</red>

<b>El gobernante recibe</b>:
$ {rings_rew_number} <hint=hint_resource_rune>anillos sagrados</hint>"
hint_action_new_heir,"Nombrar como heredero
El monarca declarará a este personaje como su heredero.

<b>Como resultado:</b>
$ {soul_uuid_1} se convertirá en heredero.
$ El anterior heredero, {soul_uuid_2}, se sentirá desautorizado y mostrará resentimiento hacia el monarca y {soul_uuid_1}."
hint_action_new_king,"Ceder la corona
El monarca le cederá la corona a este personaje.

<b>Consecuencias:</b>
$ {soul_uuid_1} se convertirá en monarca. 
$ Las relaciones entre tu monarca y el <hint=hint_bishop>obispo</hint>, la matriarca y tus vecinos empezarán de cero. 
$ El antiguo monarca {soul_uuid_2} sufrirá depresión y odiará a {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Otorgar un título a un señor libre
El monarca otorgará un <hint=hint_title>título</hint> a {soul_uuid_1}, lo que lo convierte en miembro de la familia de pleno derecho.

Será necesario pagar un impuesto a la Familia Feliz para asegurar los derechos de {soul_uuid_1} a su linaje.

<b>Consecuencias:</b>
$ {soul_uuid_1} recibirá un título y se unirá a: {faction_uuid}.
$ Se gastará <hint=hint_resource_gold>{give_title_cost}</hint> en concepto de impuesto a la Familia Feliz.
$ El número de títulos disponibles se reducirá en 1."
hint_action_give_title_to_soldier,"Otorgar un título a un guerrero
El monarca otorga un <hint=hint_title>título</hint> al guerrero sin tierras {soul_uuid_1}, lo que lo convierte en miembro de la familia de pleno derecho. Las habilidades de este señor serán relativamente bajas.

Será necesario pagar un impuesto a la Familia Feliz para documentar el linaje de {soul_uuid_1}.

Otros señores tendrán una actitud negativa hacia él, debido a su baja cuna.

<b>Consecuencias:</b>
$ {soul_uuid_1} recibirá un título y se convertirá en un señor de pleno derecho en {faction_uuid}.
$ Actitud inicial de otros señores: <red>{mind_modify}</red>.
$ Se gastará <hint=hint_resource_gold>{give_title_cost}</hint> en concepto de impuesto a la Familia Feliz.
$ El número de títulos disponibles se reducirá en 1."
hint_action_take_title,"Despojar a un señor de su título
El monarca despojará al señor {soul_uuid_1} de su <hint=hint_title>título</hint>, y este se convertirá en un <hint=hint_untitled_lord>señor menor</hint>.

<b>Consecuencias:</b>
$ El señor destituido recordará esta humillación y desarrollará pensamientos negativos hacia el monarca con una fuerza de <red>{der_thought}</red>.
$ Los amigos de este señor se enfadarán y pensarán peor de su monarca.
$ El número de títulos disponibles se reducirá en 1."
hint_action_task_dice,"Jugar a los dados
Jugar a los dados con otro señor.

El resultado del juego es bastante aleatorio, pero se ve muy influenciado por la diferencia entre la habilidad <hint=hint_skill_knowledge>Inteligencia</hint> de los jugadores.

La apuesta será de <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Jugar a los dados
Jugar a los dados con otro señor.

La apuesta será de <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Inteligencia {number1}
$ {soul_uuid_2}: Inteligencia {number2}.

La probabilidad de que gane {soul_uuid_1} es del {ver} %."
hint_action_make_enemy,"Declarar como enemigo
Declara a {soul_uuid_target} enemigo de tu monarca.

$ El personaje intentará huir del reino tan rápido como sea posible.
$ Tus señores y guerreros intentarán atacar y matar a este personaje (suponiendo que vaya armado).
$ También puedes atacarlo con una <hint=hint_army>escuadra de batalla</hint> (clic derecho en el objetivo).
{additional_info_stack}"
hint_action_task_hunt,"Cacería
Los personajes están cazando juntos un <hint=hint_fleshwolf>lobo devorador</hint>.

Se considera que el lobo devorador tiene una fuerza equivalente a un guerrero con una habilidad Combate de {wolf_level}, armado con una <hint=hint_resource_wooden_spear>lanza</hint>.

$ Si tienen éxito, si ambos cazadores han derrotado al lobo devorador y siguen en pie, reciben un <hint=hint_thought_social>pensamiento social</hint> duradero de tipo ""Cacería conjunta"" <green>{hunt_improve}</green>.
$ Además, si la cacería ha tenido éxito, los participantes recibirán {exp_points} puntos en las habilidades <hint=hint_skill_combat>Combate</hint> y <hint=hint_skill_command>Mando</hint>.
$ Si alguno de los cazadores pierde el combate, ambos reciben un pensamiento social negativo de tipo ""Mal cazador"" <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Cacería
{soul_uuid_1}: <hint=hint_skill_combat>habilidad Combate</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>habilidad Combate</hint>: {skill_2}
{soul_2_equipment_stack}

El lobo devorador tiene una fuerza equivalente a un guerrero con una habilidad Combate de {wolf_level}, armado con una <hint=hint_resource_wooden_spear>lanza</hint>."
hint_action_task_together,"Pasar tiempo juntos
Los personajes pasan tiempo juntos caminando, rezando, tocando música y demás.

En ese tiempo, tendrán lugar 2 <hint=hint_conversation>conversaciones profundas</hint>, aunque no necesariamente agradables.

La probabilidad de una buena conversación depende del <hint=hint_mood>humor</hint> de los personajes, y la fuerza de los pensamientos que resulten de esta conversación depende de la habilidad <hint=hint_skill_manners>Modales</hint>."
hint_action_task_hunt_unavailable,"No disponible
El obispo no está disponible para cazar."
hint_action_task_hunt_by_no_wolf,"No disponible
No hay lobos devoradores disponibles en el bosque para darles caza."
hint_action_task_together_new_context,"Pasar tiempo juntos
$ {soul_uuid_1}: humor {mood_stack_1}, <hint=hint_skill_manners>Modales:</hint> {skill_level_1} 
$ {soul_uuid_2}: humor {mood_stack_2}, <hint=hint_skill_manners>Modales:</hint> {skill_level_2}

<b>Como resultado:</b>
{soul_uuid_1} pensará sobre ${soul_uuid_2}:
{deep_social_stack_1}
Humor: {moral_change_1}

{soul_uuid_2} pensará sobre ${soul_uuid_1}:
{deep_social_stack_2}
Humor: {moral_change_2}"
hint_child_sub_context,"~
Este personaje es un progenitor, de modo que esta interacción también satisfará la necesidad de <hint=hint_need_care>cariño</hint> del infante."
hint_marriage_local,"Casarse
Sin ánimo de oponerse a la voluntad de su gobernante, dos señores contraerán <hint=hint_marriage>matrimonio</hint> legítimamente.

Los matrimonios entre hijos y padres, o entre hermanos y hermanas, están prohibidos."
hint_marriage_local_context,"Casarse
{soul_uuid_1} será cónyuge de {soul_uuid_2}."
hint_action_task_lesson,"~
$ Un infante que ha llegado a la mayoría de edad y ha aprendido a leer también adquirirá el <hint=hint_idea>conocimiento</hint> del maestro.
$ El estudiante obtiene más experiencia en la habilidad para la que tiene <hint=hint_talant>talento</hint>.
$ La acción tendrá lugar a diario."
hint_action_task_lesson_context,"Aprender
Este maestro podrá desarrollar las habilidades del estudiante:
$ {skill_name} hasta nivel {skill_level_cup}
$ {skill_name_2} hasta nivel {skill_level_cup_2}

Eficiencia de la enseñanza:
$ El maestro tiene la habilidad <hint=hint_skill_teaching>Entrenamiento</hint>: {skill_level_3}
$ Y puede pasar{exp} puntos de experiencia por lección

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Formación general
El maestro formará al estudiante en todas las habilidades, centrándose primero en los talentos del estudiante hasta su límite de habilidad, y procediendo después en orden con el resto de habilidades."
hint_action_task_lesson_guest,"~
Este personaje es tu invitado, así que la lección cuesta <hint=hint_resource_rune>{price}</hint>.

El pago se sustraerá del bolsillo del monarca."
hint_action_task_lesson_change_culture,"~
Este personaje pertenece a una cultura {culture}, así que hay probabilidades de que el estudiante pueda cambiar su cultura."
hint_action_task_lesson_guest_no_money,"Faltan anillos
Este personaje es tu invitado, así que la lección cuesta <hint=hint_resource_rune>{price}</hint>.

No tienes suficientes anillos sagrados para pagar la lección."
hint_action_task_lesson_bishop_low_opinion,"Mala relación
Mala relación con tu monarca.

Mejora la relación con tu monarca a <green>{option_req}</green>."
hint_duel,"Duelo
Los personajes intentarán determinar su relación mediante un duelo oficial

$ Elimina el <hint=hint_desire>deseo</hint> de venganza o muerte del enemigo, si está presente en los duelistas.
$ El duelo continúa hasta que uno de los participantes pierda la consciencia, pero puede darse un resultado fatal.
$ Cuanto más dolor inflija un duelista a su oponente, más fácil le será resolver su deseo.
$ Un duelo se considera un modo honorable de resolver disputas, así que, aunque mates al <hint=hint_bishop>obispo</hint> en duelo, no recaerá sobre ti la ira de la matriarca."
hint_duel_provoke,"Provocación
Un invitado de una provincia vecina ha provocado a tu señor para que participe en un duelo. Tendrá lugar esta noche.

Si no las tienes todas contigo, puedes expulsar al invitado de tu provincia antes de que llegue el momento. Tu señor evitará el peligro, pero esto empeorará la actitud del monarca del invitado (y la suya propia) hacia tu gobernante."
hint_duel_context,"Duelo
{soul_uuid_1}: habilidad <hint=hint_skill_combat>Combate</hint>: {skill_1}
{soul_1_equipment_stack}

contra

{soul_uuid_2}: habilidad <hint=hint_skill_combat>Combate</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Agente incompatible
El señor debe ser <hint=hint_enemy>enemigo</hint> de {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Erudito
No es posible formar a los eruditos."
hint_action_invite,"Invitar
El señor aceptará la invitación de visitar tu asentamiento durante unos días.

$ El señor aceptará, si la relación entre vuestros monarcas es de <green>{opinion_threshold}</green> o más."
hint_action_shadow,"Actos perversos
Puedes contratar a criminales de esta ciudad para que lleven a cabo actos perversos, como robos o secuestros, en el <b>menú Acción de la ciudad</b>.

El coste de sus servicios depende de la habilidad <hint=hint_skill_speech>Persuasión</hint> de tu monarca."
hint_action_task_hire_free_lord,"Contratar
Contratar a un señor libre durante 10 días

Podrás asignarle las mismas tareas que a tus propios señores: inspeccionar edificios, liderar escuadras y demás.

El coste depende del nivel de la habilidad <hint=hint_skill_speech>Persuasión</hint> del señor que negocie con él."
hint_action_task_hire_free_lord_context,"Contratar a un señor
{skill_name} a nivel {skill_level}
Nivel de {skill_name} del señor disponible: {free_lord_skill_level}

Coste total por 10 días: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Consejo: el señor recibirá su pago una vez el contrato haya terminado y, hasta entonces, se guardará en la iglesia como garantía de buen comportamiento de ambas partes."
hint_action_task_seduce,"Seducir
$ Si <hint=hint_interest>el interés del señor</hint> en el agente es <green>alto</green> (superior a {interest_high}), pasarán tiempo en la cama.
$ El objetivo <green>mejorará mucho su relación</green> con tu gobernante (gracias al seductor), convirtiéndolo potencialmente en tu <hint=hint_encyclopedia_puppets>marioneta</hint>.

El efecto depende de la habilidad <hint=hint_skill_manners>Modales</hint> del agente y del <hint=hint_skill_knowledge>Intelecto</hint> del objetivo.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Seducir
{skill_name} a nivel {skill_level}
{target_skill_name} del objetivo: nivel {target_skill_level}

<b>Como resultado</b>
$ Relación con tu gobernante ({soul_uuid_king}): <green>{rel_plus}</green>
$ Pensamiento de {soul_uuid_performer}: <red>{being_used}</red>

Interés de {soul_uuid_target} en {soul_uuid_performer}: {interest_stack}"
hint_action_task_seduce_local,"Seducir
$ Si <hint=hint_interest>el interés del señor</hint> en el agente es <green>alto</green> (superior a {interest_high}), pasarán tiempo en la cama.
$ Como resultado, el objetivo <green>mejorará su relación</green> con tu gobernante, convirtiéndolo potencialmente en tu <hint=hint_encyclopedia_puppets>marioneta</hint>."
hint_action_task_seduce_local_context,"Seducir
{skill_name} a nivel {skill_level}
{target_skill_name} del objetivo: nivel {target_skill_level}

<b>Como resultado</b>
$ Pensamiento de {soul_uuid_performer}: <red>{being_used}</red>
$ Relación con tu gobernante ({soul_uuid_king}): <green>{rel_plus}</green>

Interés de {soul_uuid_target} en {soul_uuid_performer}: {interest_stack}"
hint_poison,"Envenenar
Si el envenenamiento tiene éxito, el objetivo morirá dolorosamente, pero las sospechas recaerán en el autor, a quien se le prohibirá visitar la provincia.

En caso de fallo, la <hint=hint_relations>relación</hint> entre vuestros <hint=hint_persons_king>monarcas</hint> se deteriorará en gran medida, y el objetivo iniciará un combate a muerte. El envenenador ya no podrá visitar esta provincia.

$ La probabilidad de éxito depende de la diferencia entre las habilidades <hint=hint_skill_knowledge>Inteligencia</hint> de los personajes que interactúan.
$ Debes disponer de un personaje con el rasgo <hint=hint_trait_poisoner>Envenenamiento</hint> y una lealtad elevada hacia tu monarca."
hint_poison_context,"Envenenar
{soul_uuid_performer}
{skill_name_2} a nivel {skill_level_2}

{soul_uuid_target}
{skill_name_1} a nivel {skill_level_1}

<b>Probabilidad de éxito:</b> {assain_chance} %

En caso de fallo, la <hint=hint_relations>relación</hint> entre vuestros <hint=hint_persons_king>monarcas</hint> se deteriorará en gran medida, y el objetivo iniciará un combate a muerte."
hint_action_task_bribe,"Sobornar
$ El señor le dará al personaje <hint=hint_resource_rune>{rings_rew_number}</hint> y tratará de infundirle insatisfacción con su propio monarca.
$ Como resultado, la <hint=hint_loyalty>lealtad</hint> del señor hacia su monarca disminuirá.
$ La reducción de lealtad en el objetivo depende de la habilidad <hint=hint_skill_speech>Persuasión</hint> del agente.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Soborno
{skill_name} a nivel {skill_level}
Nivel de{skill_name} del objetivo: {lord_skill_level}

<b>Como resultado</b>
$ <hint=hint_loyalty>Lealtad</hint> hacia su propio monarca: <red>{loyalty_modify}</red>
$ Relación con tu gobernante ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Precio</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"No disponible
Este señor es leal a su monarca."
hint_action_task_bribe_gm,"~
Esta tarea puede realizarse con la ayuda de un enviado. En ese caso, el soborno se llevará a cabo en el nombre de tu monarca, y su eficacia dependerá de las habilidades del enviado."
hint_action_task_go,"Expulsar
Pedirle al invitado que abandone la provincia.

La actitud del gobernante del invitado, y del invitado en sí, hacia tu monarca se deteriorará.

Además, el invitado tendrá prohibido visitar tu provincia en el futuro."
hint_action_task_go_context,"Expulsar
Pedirle al invitado que abandone la provincia. 

La habilidad Modales del agente influye en la reducción de los pensamientos negativos de esta acción.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ Actitud de {soul_uuid_target} hacia {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Actitud de {soul_uuid_king} hacia {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Este personaje no podrá volver a visitarte."
hint_kidnap,"Secuestrar a un personaje
Intentar capturar al personaje elegido mientras duerme.

$ Si el personaje no se despierta (probabilidad: {wake_k} %), se convierte en <hint=hint_trait_captive>rehén</hint>.
$ Si el objetivo se despierta, tendrá lugar un combate con el agente, tras el cual el objetivo intentará escapar del asentamiento. No obstante, aún tendrás ocasión de capturarlo, si el agente o los guardias son capaces de incapacitarlo.

En cualquier caso, habrás infringido la sagrada ley de la hospitalidad, y tu <hint=hint_relations>relación</hint> con todos los <hint=hint_persons_king>monarcas</hint> vecinos se deteriorará en gran medida.

La <hint=hint_loyalty>lealtad</hint> del agente debe ser superior a {loyalty_action} para que pueda realizar la tarea."
hint_kidnap_context,"Secuestrar a un personaje
Probabilidad de que la víctima se despierte: {wake} %

{soul_uuid_performer}:
{skill_name_1} a nivel {skill_level_1}

{soul_uuid_target}:
{skill_name_2} a nivel {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Reconciliación
El personaje puede persuadir a un monarca hostil para que ponga fin a una guerra peligrosa y sin sentido, y haga borrón y cuenta nueva.

$ La relación con el monarca enemigo pasa a ser <red>-10</red>, sin tener en cuenta el nivel actual de enemistad.
$ Debes disponer de un personaje con el rasgo <hint=hint_trait_diplomat>Diplomacia</hint>.
$ Además, la <hint=hint_loyalty>lealtad</hint> del agente debe ser superior a {loyalty_action} para que pueda realizar la tarea.

<b>Precio</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Reconciliación
La relación con el monarca enemigo pasa a ser <red>-10</red>, sin tener en cuenta el nivel actual de enemistad.

<b>Precio</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Intento de asesinato
Intentar asesinar a este personaje atacándolo mientras duerme por la noche.

En caso de éxito, la <hint=hint_relations>relación</hint> entre vuestros <hint=hint_persons_king>monarcas</hint> se deteriorará en gran medida.

La <hint=hint_loyalty>lealtad</hint> del agente debe ser alta para poder realizar la tarea."
hint_assasin_context,"Intento de asesinato
Probabilidad de que la víctima se despierte: {wake} %

{soul_uuid_performer}:
{skill_name_1} a nivel {skill_level_1}

{soul_uuid_target}:
{skill_name_2} a nivel {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Intento de asesinato
Intentar asesinar a este personaje atacándolo mientras duerme por la noche.

En cualquier caso, la <hint=hint_relations>relación</hint> entre vuestros <hint=hint_persons_king>monarcas</hint> se deteriorará en gran medida.

La probabilidad de éxito dependerá de la habilidad <hint=hint_skill_combat>Combate</hint> tanto del agente como del objetivo.

La <hint=hint_loyalty>lealtad</hint> del agente debe ser alta para poder realizar la tarea."
hint_assasin_context_gm,"Intento de asesinato
{skill_name} a nivel {skill_level}

En cualquier caso, la <hint=hint_relations>relación</hint> entre vuestros <hint=hint_persons_king>monarcas</hint> se deteriorará en gran medida."
hint_action_task_provoke_duel,"Duelo provocado
Tu señor insultará deliberadamente a este señor para crear un motivo para un duelo.

Como resultado del duelo, uno de los señores puede morir.

Además, el obispo local se enterará de esto e informará sobre tus actos a la matriarca.

En cualquier caso:
$ Relación con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relación con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Duelo provocado
{soul_uuid_1}: habilidad <hint=hint_skill_combat>Combate</hint>: {skill_1}
{soul_1_equipment_stack}

contra

{soul_uuid_2}: habilidad <hint=hint_skill_combat>Combate</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"¡El duelo ha terminado!
{soul_uuid_target} ha muerto.

$ Relación con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relación con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"¡El duelo ha terminado!
Tu señor ha muerto.

$ Relación con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relación con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"¡El duelo ha finalizado!
Los combatientes siguen con vida.

$ Relación con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relación con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Bajo interés
El objetivo tiene un interés muy bajo en este señor.

Interés de {soul_uuid_target} hacia {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"No quiere interactuar
{soul_uuid_performer} ha interactuado hace poco con {soul_uuid_target}, y quiere centrarse en otras tareas.

$ Puedes repetir la acción dentro de {remain_time} h."
hint_unavailable_low_loyalty,"Lealtad baja
El agente tiene una <hint=hint_loyalty>lealtad</hint> muy baja. Para poder asignarle esta tarea, el valor de lealtad debe ser de al menos {loyalty_threshold}, y ahora mismo es de {loyalty}."
hint_loyal_conflict,"~
Cuando la <hint=hint_loyalty>lealtad</hint> de un personaje baja de 25, el señor entra en conflicto con su monarca.

$ Si es un heredero, y no está en buenos términos con el monarca, puede incitar una <hint=hint_nt_heir_rebellion>rebelión</hint>.
$ Si es un señor normal o un heredero con buena relación con el monarca, preferirá irse a una provincia vecina, lo que empeorará la relación entre monarcas, pero no incitará una rebelión.

<b>Como resultado</b>, la población, la economía y, por tanto, el <b>ejército de este monarca disminuirán</b>."
hint_unavailable_trade_moving,"Sin preparar
El comerciante de la caravana estará listo para comerciar tan pronto como llegue al centro del asentamiento."
hint_unavailable_madness,"Loco
Este señor no puede encargarse de esto ahora."
hint_unavailable_to_madness,"Loco
No es posible asignar esta interacción ahora mismo."
hint_go_home,"Regreso a casa
El señor vuelve a su ciudad."
action_is_unavaible_by_captive,"Rehén
No puede realizar esta acción, porque está retenido."
hint_action_task_confession,"Confesión
Confesarse con el obispo a cambio de una pequeña ofrenda.

<b>Coste:</b> <hint=hint_resource_rune>{conf_price}</hint>

Se absolverán los siguientes <hint=hint_sin>pecados</hint>:
{sins}"
hint_action_task_confession_unavailable,"La confesión no está disponible
El señor no ha pecado recientemente."
hint_action_task_canonization,"Bendición
Durante {days} días, la Iglesia le concede a tu monarca el perdón de todos sus pecados.

$ Tu gobernante no sufrirá al cometer pecados.
$ Los <hint=hint_persons_fanatic>fanáticos</hint> entre tus campesinos estarán deseando unirse a tu ejército.
$ Las relaciones de todos tus señores con su gobernante mejorarán en gran medida, y los súbditos serán más felices.

<b>Coste:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Mala relación
Para recibir la <hint=hint_saint>bendición</hint>, la <hint=hint_relations_matriarch>opinión de la matriarca</hint> de tu monarca debe ser superior a <green>{threshold}</green>."
hint_canonized_already,"No disponible
Este personaje ya ha recibido una bendición."
hint_action_task_divorce,"Divorcio
Anular el matrimonio entre {soul_uuid_target} y {soul_uuid_spouce}.

Como resultado, los personajes podrían contraer nuevos matrimonios.

<b>Coste:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Consolar
El obispo usará las palabras adecuadas para consolar a un personaje afligido por la pérdida de un ser querido, lo que aliviará su dolor.

Resultado: los pensamientos sobre la pérdida del ser querido se debilitarán."
hint_action_task_begging,"Pedir perdón
Por la gracia de la Madre Sophia, el obispo está dispuesto a escuchar y a perdonar los pecados del personaje... si demuestra su sinceridad mediante el sacrificio.

Como resultado, la actitud del obispo hacia {soul_uuid_target} mejorará en <green>{rel_plus}</green>.

<b>Coste:</b> <hint=hint_resource_rune>{price}</hint>

"
hint_action_task_begging_unavailable_no_need,"No disponible
El obispo no considera que {soul_uuid_target} sea un enemigo, así que {soul_uuid_target} no necesita perdón."
hint_action_task_consolation_unavailable_by_cynic,"No disponible
No se puede consolar a un personaje con el rasgo Cinismo."
hint_action_task_consolation_unavailable_dont_need,"No disponible
Este personaje no necesita consuelo ahora mismo."
hint_action_task_consolation_unavailable_already_dont_need,"No disponible
Este personaje ya ha recibido consuelo."
hint_action_task_consolation_unavailable_by_opinion,"No disponible
El obispo no tiene una relación lo bastante buena con este personaje, así que no realizará esta acción."
hint_action_task_unavailable_bad_opinion,"No disponible
{soul_uuid_1} no tiene una relación lo bastante buena con {soul_uuid_2}. Ahora mismo, la relación entre ellos es de {current_opinion}, y se necesita al menos {required_opinion}."
hint_action_task_unavailable_no_titles,"No disponible
No hay <hint=hint_title>títulos</hint> disponibles para el señor."
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"Sexo forzado
$ El personaje forzado puede concebir un <hint=hint_persons_bastard>hijo bastardo</hint>.
$ El monarca de la familia noble a la que pertenece el personaje cautivo lo considerará tortura.
$ Esta acción se considera un <hint=hint_sin>pecado</hint>."
hint_forced_sex_captive_context,"Sexo forzado
$ {soul_uuid_1} tendrá un {number} % de sus <hint=hint_need_sex>necesidades sexuales</hint> satisfechas.
$ {soul_uuid_1} tendrá un pensamiento negativo de ""Vergüenza por pecar"" <red>{number1}</red>.
$ {soul_uuid_2} tendrá un pensamiento negativo de ""Me han utilizado"" <red>{number2}</red>.
$ {soul_uuid_3} empeorará su relación con tu monarca en <red>{number3}</red>."
