Key,Italiana
hint_action_task_together_new_context,"Trascorri del tempo con qualcuno:
$ {soul_uuid_1}: Morale {mood_stack_1}, <hint=hint_skill_manners>Maniere:</hint> {skill_level_1}
$ {soul_uuid_2}: Morale {mood_stack_2}, <hint=hint_skill_manners>Maniere:</hint> {skill_level_2}

<b>Risultato:</b>
{soul_uuid_1} penserà a $ {soul_uuid_2}:
{deep_social_stack_1}
Morale: {moral_change_1}

{soul_uuid_2} penserà a $ {soul_uuid_1}:
{deep_social_stack_2}
Morale: {moral_change_2}"
hint_child_sub_context,"~
Questo personaggio è un genitore, quindi questa interazione dimostrerà anche cura e soddisferà il bisogno di <hint=hint_need_care>attenzioni</hint> del bambino."
hint_marriage_local,"Matrimonio
Senza osare opporsi alla volontà del loro sovrano, due nobili contrarranno un <hint=hint_marriage>matrimonio</hint> legittimo.

Sono vietati i matrimoni tra figli e genitori o tra fratelli e sorelle."
hint_marriage_local_context,"Matrimonio
{soul_uuid_1} diventerà coniuge di {soul_uuid_2}."
hint_action_task_lesson,"~
$ Se l'allievo ha un <hint=hint_talant>talento</hint> per questa abilità, guadagnerà più esperienza.
$ L'azione sarà eseguita quotidianamente finché sarà possibile o finché non la annullerai.
$ Questa azione scatena un bisogno di <hint=hint_need_fun>riposo</hint> sia nell'insegnante che nell'allievo."
hint_action_task_lesson_context,"Studio
Questo insegnante sarà in grado di sviluppare le abilità dell'allievo:
$ {skill_name} fino al livello {skill_level_cup}
$ {skill_name_2} fino al livello {skill_level_cup_2}

Efficacia dell'insegnamento:
$ L'insegnante ha l'abilità <hint=hint_skill_teaching>Formazione</hint>: {skill_level_3}
$ Ed è in grado di trasmettere {exp} punti esperienza per lezione

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Addestramento generale
L'insegnante addestrerà l'allievo in tutte le abilità, concentrandosi prima sui talenti dell'allievo fino al suo limite di abilità e poi sulle altre abilità a turno."
hint_action_task_lesson_guest,"~
Questo personaggio è tuo ospite, quindi la lezione costa <hint=hint_resource_rune>{price}</hint>.

Il pagamento sarà prelevato dalle tasche del monarca."
hint_action_task_lesson_change_culture,"~
Questo personaggio appartiene alla cultura {culture}, quindi c'è la possibilità che lo studente possa cambiare la sua cultura."
hint_action_task_lesson_guest_no_money,"Anelli insufficienti
Questo personaggio è tuo ospite, quindi la lezione costa <hint=hint_resource_rune>{price}</hint>.

Non hai abbastanza anelli sacri per pagare la lezione."
hint_action_task_lesson_bishop_low_opinion,"Scarso rapporto
Rapporto scarso con il tuo monarca.

Migliora il rapporto con il tuo monarca a <green>{option_req}</green>."
hint_duel,"Duello
I personaggi cercheranno di determinare il loro rapporto attraverso un duello ufficiale.

$ Rimuove il <hint=hint_desire>desiderio</hint> di vendetta o di morte dal nemico, se presente nei duellanti.
$ Il duello continua finché uno dei partecipanti non perde conoscenza, ma è possibile un esito letale.
$ Più dolore infligge il duellante all'avversario, più facile diventa per lui appagare il suo desiderio.
$ Un duello è riconosciuto come un modo onorevole di risolvere le controversie, quindi anche se uccidi il <hint=hint_bishop>vescovo</hint> in un duello, non incorrerai nell'ira della Matriarca."
hint_duel_provoke,"Provocazione
Un ospite di una provincia vicina ha sfidato il tuo nobile a duello. Il duello si svolgerà questa sera.

Se ritieni incerto l'esito del duello, puoi espellere l'ospite dalla tua provincia prima di quel momento. Il tuo nobile eviterà il pericolo, ma peggiorerà l'atteggiamento dell'ospite e del suo monarca verso il tuo sovrano."
hint_duel_context,"Duello:
{soul_uuid_1}: <hint=hint_skill_combat>abilità Combattimento</hint>: {skill_1}
{soul_1_equipment_stack}

vs

{soul_uuid_2}: <hint=hint_skill_combat>abilità Combattimento</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Agente incompatibile
Il nobile deve essere <hint=hint_enemy>nemico</hint> di {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Saggezza
I saggi non possono essere addestrati."
hint_action_invite,"Invita come ospite
Il nobile accetterà l'invito a visitare il tuo insediamento per qualche giorno.

$ Il nobile accetterà se il rapporto tra i tuoi monarchi non è inferiore a <green>{opinion_threshold}</green>."
hint_action_shadow,"Azioni maligne
Puoi assoldare i malviventi di questa città per compiere azioni maligne come furti e rapimenti nel <b>menu delle azioni della città</b>.

Il costo dei loro servizi dipende dall'abilità <hint=hint_skill_speech>Persuasione</hint> del tuo monarca."
hint_action_task_hire_free_lord,"Assumi
Assumi un nobile libero per 10 giorni.

Potrai assegnargli gli stessi compiti dei tuoi nobili: ispezionare edifici, guidare squadre e altro ancora.

Il costo dipende dal livello dell'abilità <hint=hint_skill_speech>Persuasione</hint> del nobile che negozierà con loro."
hint_action_task_hire_free_lord_context,"Assumi un nobile
{skill_name} livello {skill_level}
Livello {skill_name} del nobile disponibile: {free_lord_skill_level}

Costo totale per 10 giorni: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Suggerimento: il nobile riceverà il suo pagamento solo dopo la scadenza del contratto, e fino ad allora sarà conservato dalla Chiesa come garanzia di buona condotta da entrambe le parti."
hint_action_task_seduce,"Seduzione
$ Se <hint=hint_interest>l'interesse del nobile</hint> per l'agente è <green>elevato</green> (superiore a {interest_high}), i due trascorreranno del tempo a letto.
$ Il bersaglio <green>migliorerà significativamente il suo rapporto</green> con il tuo monarca (grazie alla seduzione), diventando potenzialmente un suo <hint=hint_encyclopedia_puppets>fantoccio</hint>.

L'effetto dipende dall'abilità <hint=hint_skill_manners>Maniere</hint> di chi ha eseguito l'azione e dall'<hint=hint_skill_knowledge>Intelligenza</hint> del bersaglio.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Seduzione
{skill_name} livello {skill_level}
{target_skill_name} del bersaglio: livello {target_skill_level}

<b>Risultato</b>:
$ Rapporto con il tuo monarca ({soul_uuid_king}): <green>{rel_plus}</green>
$ Pensiero di {soul_uuid_performer}: <red>{being_used}</red>

Interesse di {soul_uuid_target} per {soul_uuid_performer}: {interest_stack}"
hint_action_task_seduce_local,"Seduzione
$ Se l'<hint=hint_interest>interesse</hint> del nobile verso l'agente è <green>elevato</green> (superiore a {interest_high}), i due trascorreranno del tempo a letto.
$ Come risultato, il bersaglio <green>migliorerà il suo rapporto</green> con il tuo monarca, diventando potenzialmente un suo <hint=hint_encyclopedia_puppets>fantoccio</hint>."
hint_action_task_seduce_local_context,"Seduzione
{skill_name} livello {skill_level}
{target_skill_name} del bersaglio: livello {target_skill_level}

<b>Risultato</b>:
$ Pensiero di: {soul_uuid_performer}: <red>{being_used}</red>
$ Rapporto con il tuo monarca ({soul_uuid_king}): <green>{rel_plus}</green>

Interesse di {soul_uuid_target} per {soul_uuid_performer}: {interest_stack}"
hint_poison,"Avvelena
In caso di successo, il bersaglio morirà agonizzante, ma i sospetti ricadranno sul colpevole, a cui verrà impedito di visitare la provincia.

In caso di fallimento, il <hint=hint_relations>rapporto</hint> tra i tuoi <hint=hint_persons_king>monarchi</hint> si deteriorerà notevolmente e il bersaglio ingaggerà una lotta all'ultimo sangue. Il colpevole non potrà più visitare la provincia.

$ La probabilità di successo dipende dalla differenza dell'abilità <hint=hint_skill_knowledge>Intelligenza</hint> tra i personaggi che interagiscono.
$ Devi avere un personaggio con il tratto <hint=hint_trait_poisoner>Passione per i veleni</hint> e con alta lealtà nei confronti del monarca."
hint_poison_context,"Avvelena
{soul_uuid_performer}
{skill_name_2} livello {skill_level_2}

{soul_uuid_target}
{skill_name_1} livello {skill_level_1}

<b>Probabilità di successo:</b> {assain_chance}%

In caso di fallimento, il <hint=hint_relations>rapporto</hint> tra i tuoi <hint=hint_persons_king>monarchi</hint> si deteriorerà notevolmente e il bersaglio ingaggerà una lotta all'ultimo sangue."
hint_action_task_bribe,"Corrompi
$ Il nobile darà al personaggio <hint=hint_resource_rune>{rings_rew_number}</hint> e cercherà di alimentare l'insoddisfazione verso il proprio monarca.
$ Come risultato, la <hint=hint_loyalty>lealtà</hint> del nobile verso il proprio monarca diminuirà.
$ L'entità della diminuzione della lealtà nel bersaglio dipende dall'abilità <hint=hint_skill_speech>Persuasione</hint> dell'agente.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Corruzione
{skill_name} livello {skill_level}
Livello {skill_name} del bersaglio: {lord_skill_level}

<b>Risultato</b>:
$ <hint=hint_loyalty>Lealtà</hint> verso il proprio monarca: <red>{loyalty_modify}</red>
$ Rapporto con il tuo monarca ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Prezzo:</b>
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Non disponibile
Questo nobile è fedele al proprio monarca."
hint_action_task_bribe_gm,"~
Questo compito può essere svolto con l'aiuto di un emissario. In questo caso, la tangente sarà fatta a nome del tuo monarca e la sua efficacia dipenderà dalle abilità dell'emissario."
hint_action_task_go,"Espelli
Chiedi all'ospite di lasciare la provincia.

L'atteggiamento del sovrano dell'ospite e dello stesso ospite nei confronti del tuo monarca si deterioreranno.

Inoltre, a questo ospite sarà vietato visitare la tua provincia in futuro."
hint_action_task_go_context,"Espelli
Chiedi all'ospite di lasciare la provincia. 

L'abilità Maniere di chi ha eseguito l'azione ha effetto sulla riduzione dei pensieri negativi da questa azione.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}.

$ Atteggiamento di {soul_uuid_target} nei confronti di {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Atteggiamento di {soul_uuid_king} nei confronti di {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Questo personaggio non sarà più in grado di farti visita."
hint_kidnap,"Rapisci un personaggio
Tenta di catturare il personaggio scelto mentre dorme.

$ Se il bersaglio non si sveglia (probabilità - {wake_k}), diventerà un <hint=hint_trait_captive>ostaggio</hint>.
$ Se il bersaglio si sveglia, si scatenerà un combattimento con l'agente, dopo il quale il bersaglio cercherà di fuggire dall'insediamento. Tuttavia, hai ancora la possibilità di catturarlo se l'agente o le guardie riescono a bloccarlo.

In ogni caso, avrai violato la sacra legge dell'ospitalità, e i <hint=hint_relations>rapporti</hint> del tuo monarca con tutti i <hint=hint_persons_king>monarchi</hint> vicini si deterioreranno notevolmente.

La <hint=hint_loyalty>lealtà</hint> dell'agente deve essere superiore a {loyalty_action} perché possa accettare il compito."
hint_kidnap_context,"Rapisci un personaggio
Probabilità che la vittima si svegli: {wake}%

{soul_uuid_performer}:
{skill_name_1} livello {skill_level_1}

{soul_uuid_target}:
{skill_name_2} livello {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Riconciliati
Il personaggio può convincere un monarca ostile a porre fine a una guerra inutile e pericolosa e a ricominciare da capo.

$ Il rapporto con il monarca nemico diventa <red>-10</red>, indipendentemente dal livello attuale di inimicizia.
$ Devi avere un personaggio con il tratto <hint=hint_trait_diplomat>Diplomazia</hint>.
$ Inoltre, la <hint=hint_loyalty>lealtà</hint> dell'agente deve essere superiore a {loyalty_action} perché possa accettare il compito.

<b>Prezzo</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Riconciliati
Il rapporto con il monarca nemico diventa <red>-10</red>, indipendentemente dal livello attuale di inimicizia.

<b>Prezzo</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Tenta di uccidere
Tenta di assassinare questo personaggio attaccandolo mentre dorme di notte.

In caso di successo, il <hint=hint_relations>rapporto</hint> tra i tuoi <hint=hint_persons_king>monarchi</hint> si deteriorerà notevolmente.

La <hint=hint_loyalty>lealtà</hint> dell'agente deve essere alta perché accetti il compito."
hint_assasin_context,"Tenta di uccidere
Probabilità che la vittima si svegli: {wake}%

{soul_uuid_performer}:
{skill_name_1} livello {skill_level_1}

{soul_uuid_target}:
{skill_name_2} livello {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Tenta di uccidere
Tenta di assassinare questo personaggio attaccandolo mentre dorme di notte.

In ogni caso, il <hint=hint_relations>rapporto</hint> tra i tuoi <hint=hint_persons_king>monarchi</hint> si deteriorerà notevolmente.

La percentuale di successo dipende dall'<hint=hint_skill_combat>abilità Combattimento</hint> sia dell'agente che del bersaglio.

La <hint=hint_loyalty>lealtà</hint> dell'agente deve essere alta perché accetti il compito."
hint_assasin_context_gm,"Tenta di uccidere
{skill_name} livello {skill_level}

In ogni caso, il <hint=hint_relations>rapporto</hint> tra i tuoi <hint=hint_persons_king>monarchi</hint> si deteriorerà notevolmente."
hint_action_task_provoke_duel,"Provoca a un duello
Il tuo nobile insulterà deliberatamente questo nobile, creando un motivo per un duello.

Come risultato del duello, uno dei nobili potrebbe morire.

Inoltre, il vescovo locale ne verrà a conoscenza e riferirà le tue azioni alla Matriarca.

In ogni caso:
$ Rapporto con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Rapporto con la Matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Provoca a un duello
{soul_uuid_1}: <hint=hint_skill_combat>abilità Combattimento</hint>: {skill_1}
{soul_1_equipment_stack}

vs

{soul_uuid_2}: <hint=hint_skill_combat>abilità Combattimento</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Il duello è terminato!
{soul_uuid_target} ha perso la vita.

$ Rapporto con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Rapporto con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Il duello è terminato!
Il tuo nobile ha perso la vita.

$ Rapporto con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Rapporto con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Il duello è terminato!
I combattenti sono ancora vivi.

$ Rapporto con {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Rapporto con la matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Interesse basso
L'obiettivo ha un interesse molto basso per questo nobile.

Interesse di {soul_uuid_target} verso {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Non incline a interagire
{soul_uuid_performer} ha già interagito con {soul_uuid_target} di recente e vuole concentrarsi su altri compiti.

$ Può ripetere l'azione tra {remain_time} h."
hint_unavailable_low_loyalty,"Lealtà bassa
L'agente ha una <hint=hint_loyalty>lealtà</hint> molto bassa. Per essere assegnato a questo compito, la lealtà deve essere almeno {loyalty_threshold}, ma attualmente è solo {loyalty}."
hint_loyal_conflict,"~
Quando la <hint=hint_loyalty>lealtà</hint> di un personaggio scende al di sotto di 25, il nobile entra in conflitto con il proprio monarca.

$ Se si tratta di un erede che non è amico del monarca, può sollevare una <hint=hint_nt_heir_rebellion>rivolta</hint>.
$ Se si tratta di un monarca regolare o di un erede amico del monarca, preferiranno partire per una provincia vicina, il che peggiorerà i rapporti tra i monarchi ma non scatenerà una rivolta.

<b>Come risultato</b>, la popolazione, l'economia e, di conseguenza, l'<b>esercito di questo monarca diminuiranno</b>."
hint_unavailable_trade_moving,"Non pronto
Il commerciante della carovana sarà pronto a commerciare non appena avrà raggiunto il centro dell'insediamento."
hint_unavailable_madness,"Folle
Questo nobile non può occuparsene ora."
hint_unavailable_to_madness,"Folle
Questa interazione non può essere assegnata in questo momento."
hint_go_home,"Torna a casa
Il nobile torna nella sua città."
action_is_unavaible_by_captive,"Ostaggio
Non può compiere questa azione perché è in prigione."
hint_action_task_confession,"Confessione
Confessati al vescovo in cambio di una piccola offerta.

<b>Costo:</b> <hint=hint_resource_rune>{conf_price}</hint>

I seguenti <hint=hint_sin>peccati</hint> saranno assolti:
{sins}"
hint_action_task_confession_unavailable,"La confessione non è disponibile.
Il nobile non ha commesso peccati di recente."
hint_action_task_canonization,"Benedizione
Per {days} giorni, la Chiesa concede al tuo monarca il perdono per tutti i suoi peccati.

$ Il tuo monarca non soffrirà quando commetterà peccati.
$ I <hint=hint_persons_fanatic>fanatici</hint> tra i tuoi popolani saranno desiderosi di unirsi al tuo esercito.
$ I rapporti di tutti i tuoi nobili con il loro monarca miglioreranno notevolmente e i sudditi saranno più felici.

<b>Costo:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Rapporto scarso
Per ricevere la <hint=hint_saint>benedizione</hint>, l'<hint=hint_relations_matriarch>opinione della Matriarca</hint> nei confronti del tuo monarca dev'essere al di sopra di <green>{threshold}</green>."
hint_canonized_already,"Non disponibile
Questo personaggio ha già ricevuto una benedizione."
hint_action_task_divorce,"Divorzia
Annulla il matrimonio tra {soul_uuid_target} e {soul_uuid_spouce}.

Come risultato, i personaggi potranno contrarre nuovi matrimoni.

<b>Costo:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Conforta
Il vescovo conforta con le parole giuste un personaggio in lutto per la perdita di una persona cara e ne allevia il dolore.

Risultato: i pensieri della perdita di una persona cara diminuiscono notevolmente."
hint_action_task_begging,"Chiedi perdono
Per grazia di Madre Sofia, il vescovo è disposto ad ascoltare e a perdonare le trasgressioni del personaggio... se dimostrerà la sua sincerità attraverso il sacrificio.

Come risultato, il rapporto del vescovo con {soul_uuid_target} migliorerà di <green>{rel_plus}</green>.

<b>Costo:</b> <hint=hint_resource_rune>{price}</hint>"
hint_action_task_begging_unavailable_no_need,"Non disponibile
Il vescovo non considera {soul_uuid_target} un nemico, quindi {soul_uuid_target} non ha bisogno di perdono."
hint_action_task_consolation_unavailable_by_cynic,"Non disponibile
Un personaggio con il tratto Cinismo non può essere consolato."
