Key,Turkish
hint_action_make_enemy,"Düşman İlan Et
{soul_uuid_target} hedefini, hükümdarının düşmanı ilan edersin.

$ Karakter krallıktan en kısa sürede kaçmaya çalışır.
$ Asilzadelerin ve savaşçıların, silahlılarsa bu karaktere saldırıp onu öldürmeye çalışırlar.
$ Karaktere sağ tıklayarak ona bir <hint=hint_army>savaş bölüğü</hint> ile de saldırabilirsin.
{additional_info_stack}"
hint_action_task_hunt,"Avlanma
Karakterler birlikte bir <hint=hint_fleshwolf>etbörü</hint> avlıyor.

Etbörülerin {wolf_level} Dövüş becerisine sahip, <hint=hint_resource_wooden_spear>Mızrak</hint> kuşanmış bir savaşçıya eşdeğer güçte olduğu düşünülür.

$ Başarılı olduklarında, etbörü alt edilirse ve her iki avcı da hayatta kalırsa uzun zaman boyunca geçerli kalan ""Beraber Avlanma"" <green>{hunt_improve}</green> <hint=hint_thought_social>sosyal düşüncesini</hint> kazanırlar.
$ Ayrıca, av başarılı olursa katılımcılar {exp_points} <hint=hint_skill_combat>Dövüş becerisi</hint> ve <hint=hint_skill_command>Komuta becerisi</hint> puanı kazanır.
$ Avcılardan herhangi biri dövüşü kaybederse her ikisi de olumsuz ""Kötü Avcı"" <red>{bad_hunter}</red> sosyal düşüncesini kazanır."
hint_action_task_hunt_context,"Avlanma
{soul_uuid_1}: <hint=hint_skill_combat>Dövüş becerisi</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Dövüş becerisi</hint>: {skill_2}
{soul_2_equipment_stack}

Etbörüler {wolf_level} Dövüş becerisine sahip, <hint=hint_resource_wooden_spear>Mızrak</hint> kuşanmış bir savaşçıyla eşdeğer güçtedir."
hint_action_task_together,"Beraber Zaman Geçir
Karakterler birlikte zaman geçirir. Beraber yürüyüşe çıkar, dua eder, müzik çalar ve diğer aktivitelerde bulunurlar.

Bu süre zarfında 2 adet <hint=hint_conversation>anlamlı sohbet</hint> gerçekleştirirler ancak bu sohbetler olumlu olmayabilir.

Olumlu bir anlamlı sohbet gerçekleştirme olasılığı karakterlerin <hint=hint_mood>ruh hâline</hint> bağlıdır ve bu sohbetten kaynaklı düşüncelerin kuvveti <hint=hint_skill_manners>Terbiye</hint> becerisine bağlıdır."
hint_action_task_hunt_unavailable,"Gerçekleştirilemez
Piskopos av için müsait değil."
hint_action_task_hunt_by_no_wolf,"Gerçekleştirilemez
Ormanda avlamak için etbörü yok."
hint_action_task_together_new_context,"Beraber Zaman Geçir
$ {soul_uuid_1}: Ruh hâli {mood_stack_1}, <hint=hint_skill_manners>Terbiye:</hint> {skill_level_1} 
$ {soul_uuid_2}: Ruh hâli {mood_stack_2}, <hint=hint_skill_manners>Terbiye:</hint> {skill_level_2}

<b>Sonuç olarak:</b>
{soul_uuid_1}, $ {soul_uuid_2} hakkında düşünür:
{deep_social_stack_1}
Ruh hâli: {moral_change_1}

{soul_uuid_2}, $ {soul_uuid_1} hakkında düşünür:
{deep_social_stack_2}
Ruh hâli: {moral_change_2}"
hint_child_sub_context,"~
Bu karakter bir ebeveyn olduğu için bu etkileşimle ilgisini de gösterir ve çocuğun <hint=hint_need_care>ilgi</hint> ihtiyacını da giderir."
hint_marriage_local,"Evlilik
İki asilzade, hükümdarın isteğine karşı gelmeye cüret edemeden <hint=hint_marriage>meşru</hint> bir evlilik yapar.

Çocuk ile ebeveyninin veya kardeşlerin birbiriyle evlenmesi yasaktır."
hint_marriage_local_context,"Evlilik
{soul_uuid_1} ve {soul_uuid_2} evlenir."
hint_action_task_lesson,"~
$ Öğrenci, bu beceride <hint=hint_talant>yetenekliyse</hint> daha fazla tecrübe kazanır.
$ Bu eylem mümkün oldukça ve sen iptal etmedikçe günlük olarak tekrarlanır.
$ Bu eylem öğretmende ve öğrencide <hint=hint_need_fun>dinlenme</hint> ihtiyacını tetikler."
hint_action_task_lesson_context,"Öğrenme
Bu öğretmen, öğrencisinin becerilerini şu seviyelere kadar geliştirebilir:
$ {skill_name} becerisini {skill_level_cup}. seviyeye kadar
$ {skill_name_2} becerisini {skill_level_cup_2}. seviyeye kadar.

Eğitim verimliliği:
$ Öğretmenin <hint=hint_skill_teaching>Eğitme</hint> becerisi: {skill_level_3}. seviye
$ Ders başı {exp} tecrübe puanı verebilir.

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Genel Eğitim
Öğretmen, öğrencisini tüm becerilerde eğitir. Önce öğrencinin yetenekli olduğu becerilere ve ardından diğer becerilere odaklanır."
hint_action_task_lesson_guest,"~
Bu karakter senin misafirin olduğundan ders ücreti olarak {price}<hint=hint_resource_rune></hint> alınır.

Ödemeyi hükümdar yapar."
hint_action_task_lesson_change_culture,"~
Karakter {culture} kültürünün bir üyesi olduğundan öğrencinin kültürünü değiştirme olasılığı vardır."
hint_action_task_lesson_guest_no_money,"Yeterince Yüzük Yok
Bu karakter senin misafirin olduğundan ders ücreti olarak <hint=hint_resource_rune>{price}</hint> alınır.

Dersin ücretini ödemek için yeterli kutsal yüzüğün yok."
hint_action_task_lesson_bishop_low_opinion,"Kötü İlişkiler
Hükümdarınla kötü ilişkiler.

Hükümdarınla ilişkini artırarak <green>{option_req}</green> yap."
hint_duel,"Düello
Karakterler ilişkilerini resmî bir düello ile belirler.

$ Düellocular düşmanı öldürme <hint=hint_desire>arzusuna</hint> sahipse bu arzuyu ortadan kaldırır.
$ Düello, katılımcılardan biri bayılana kadar devam eder fakat katılımcılardan birinin ölmesi de mümkündür.
$ Düellocu rakibine ne kadar acı çektirirse arzusu da o kadar kolay giderilir.
$ Düello anlaşmazlıkları çözmede onurlu bir yöntem olarak görüldüğünden düelloda bir <hint=hint_bishop>piskoposu</hint> öldürsen bile Maderşah'ın gazabına uğramazsın."
hint_duel_provoke,"Kışkırtma
Komşu vilayetten bir misafir, asilzadeni düelloya kışkırttı. Düello bu akşam gerçekleştirilecek.

Düelloda başarılı olacağından emin değilsen düellodan önce misafiri vilayetinden attırabilirsin. Asilzade tehlikeden korunmuş olur ancak misafirinin ve misafirin hükümdarının, senin hükümdarına tavrı karşı kötüleşir."
hint_duel_context,"Düello
{soul_uuid_1}: <hint=hint_skill_combat>Dövüş becerisi</hint>: {skill_1}
{soul_1_equipment_stack}

-

{soul_uuid_2}: <hint=hint_skill_combat>Dövüş becerisi</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Uyumsuz Karakter
Asilzadenin, {soul_uuid_target} adlı karakterin <hint=hint_enemy>düşmanı</hint> olması gerekir."
hint_action_task_savant_study_unavalable,"Âlim
Âlimler eğitilemez."
hint_action_invite,"Misafir Olarak Davet Et
Asilzade, yerleşkeni birkaç günlüğüne ziyaret etme teklifini kabul eder.

$ Asilzade, hükümdarınla ilişkisi <green>{opinion_threshold}</green> altında değilse bu teklifi kabul eder."
hint_action_shadow,"Karanlık İşler
Hırsızlık ve kaçırma gibi karanlık işlerini <b>bu şehrin eylem menüsünden</b> eşkıya kiralayarak yaptırabilirsin.

Hizmetlerinin bedeli hükümdarının <hint=hint_skill_speech>İkna</hint> becerisine bağlıdır."
hint_action_task_hire_free_lord,"İşe Al
Özgür bir asilzadeyi 10 günlüğüne işe alırsın.

Bu asilzadeyi de kendi asilzadelerinin yaptığı bina teftişi ve bölük yönetimi gibi işlere atayabilirsin.

Bu işlemin maliyeti, asilzadeyle pazarlık yapan asilzadenin <hint=hint_skill_speech>İkna</hint> becerilerine bağlıdır."
hint_action_task_hire_free_lord_context,"Bir Asilzade İşe Al
{skill_level}. seviye {skill_name}
Müsait asilzadenin {skill_name} seviyesi: {free_lord_skill_level}

10 günlük toplam bedel: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

İpucu: Asilzade ödemesini sözleşme bittikten sonra alır. Ödeme, vakti gelene kadar iki tarafında iyi tutum sergilemesini garantilemek için Kilise tarafından saklanır."
hint_action_task_seduce,"Ayartma
$ Eğer <hint=hint_interest>asilzadenin bu karaktere olan ilgisi</hint> <green>en az</green> {interest_high} ise birlikte yatakta vakit geçirirler.
$ Hedef, (ayartıcı sayesinde) hükümdarınla olan ilişkisini <green>önemli ölçüde iyileştirir</green> ve onu <hint=hint_encyclopedia_puppets>kuklan</hint> hâline getirebilir.

Etkisi, eylemi gerçekleştiren karakterin <hint=hint_skill_manners>Terbiye</hint> becerisi ile hedefin <hint=hint_skill_knowledge>Zekâ</hint> becerisine bağlıdır.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Ayartma
{skill_level}. seviye {skill_name}
Hedefin {target_skill_name} becerisi: {target_skill_level}. seviye

<b>Sonuç</b>
$ Hükümdarınla olan ilişki ({soul_uuid_king}): <green>{rel_plus}</green>
$ {soul_uuid_performer} düşüncesi: <red>{being_used}</red>

{soul_uuid_target} hedefinin {soul_uuid_performer} adlı karaktere ilgisi: {interest_stack}"
hint_action_task_seduce_local,"Ayartma
$ Eğer <hint=hint_interest>asilzadenin bu karaktere olan ilgisi</hint> <green>en az</green> {interest_high} ise birlikte yatakta vakit geçirirler.
$ Sonuç olarak hedef, hükümdarınla olan ilişkisini <green>önemli ölçüde iyileştirir</green> ve onu <hint=hint_encyclopedia_puppets>kuklan</hint> hâline getirebilir."
hint_action_task_seduce_local_context,"Ayartma
{skill_level}. seviye {skill_name}
Hedefin {target_skill_name} becerisi: {target_skill_level}. seviye

<b>Sonuç</b>
$ {soul_uuid_performer} düşüncesi: <red>{being_used}</red>
$ Hükümdarınla olan ilişki ({soul_uuid_king}): <green>{rel_plus}</green>

{soul_uuid_target} hedefinin {soul_uuid_performer} adlı karaktere ilgisi: {interest_stack}"
hint_poison,"Zehir
Zehirleme başarılı olursa hedef acı çekerek ölür ama failden şüphelenilir ve failin vilayeti ziyaret etmesi yasaklanır.

Başarısızlık durumunda <hint=hint_persons_king>hükümdarlar</hint> arasındaki <hint=hint_relations>ilişki</hint> kötüleşir ve hedef, ölümüne bir kavgaya girer. Mahkûm artık bu vilayeti ziyaret edemez.

$ Başarı olasılığı, etkileşimdeki karakterlerin <hint=hint_skill_knowledge>Zekâ</hint> becerilerine bağlıdır.
$ <hint=hint_trait_poisoner>Zehirleyici</hint> özelliğine sahip bir karakterinin olması ve hükümdarına sadakatinin yüksek olması gerekir."
hint_poison_context,"Zehir
{soul_uuid_performer}
{skill_level_2}. seviye {skill_name_2}

{soul_uuid_target}
{skill_level_1}. seviye {skill_name_1}

<b>Başarı oranı:</b> %{assain_chance}

Başarısızlık durumunda <hint=hint_persons_king>hükümdarlar</hint> arasındaki <hint=hint_relations>ilişki</hint> önemli ölçüde kötüleşir ve hedef, ölümüne bir kavgaya girer."
hint_action_task_bribe,"Rüşvet
$ Asilzade, karaktere <hint=hint_resource_rune>{rings_rew_number}</hint> verir ve karakterin hükümdarına karşı memnuniyetsizlik duymasını sağlamaya çalışır.
$ Sonuç olarak bu asilzadenin hükümdarına olan <hint=hint_loyalty>sadakati</hint> düşer.
$ Hedefin kaybettiği sadakat değeri, eylemi gerçekleştiren karakterin <hint=hint_skill_speech>İkna</hint> becerisine bağlıdır.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Rüşvet
{skill_level}. seviye {skill_name}
Hedefin {skill_name} seviyesi: {lord_skill_level}

<b>Sonuç</b>
$ Kendi hükümdarına olan <hint=hint_loyalty>sadakati</hint>: <red>{loyalty_modify}</red>
$ Hükümdarınla olan ilişki ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Bedel</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Mevcut değil
Bu asilzade, hükümdarına sadık."
hint_action_task_bribe_gm,"~
Bu görev bir elçinin yardımıyla yapılabilir. Bu durumda rüşvet, hükümdarın adına verilir ve etkisi elçinin becerilerine bağlı olur."
hint_action_task_go,"Kovma
Misafire vilayetten ayrılmasını söylersin.

Misafirinin ve onun hükümdarının, senin hükümdarına yönelik tavrı kötüleşir.

Bu misafirin gelecekte vilayetine girmesi de yasaklanır."
hint_action_task_go_context,"Kovma
Misafire vilayetten ayrılmasını söylersin. 

Eylemi gerçekleştirenin Terbiye becerisi, bu eylemden kaynaklanan olumsuz düşüncelerin azalmasını sağlar.

{soul_uuid_performer}:
{skill_level_2}. seviye {skill_name_2}

$ {soul_uuid_target} adlı karakterin {soul_uuid_performer_king} adlı karaktere olan tavrı: <red>{relations_modify_target}</red>
$ {soul_uuid_king} adlı karakterin {soul_uuid_performer_king} adlı karaktere olan tavrı: <red>{relations_modify_king}</red>
$ Bu karakter artık seni ziyaret edemez."
hint_kidnap,"Karakter kaçırma
Seçilen karakteri uyurken kaçırmaya çalışırsın.

$ Karakter uyanmazsa (uyanma olasılığı: %{wake_k}) <hint=hint_trait_captive>esir</hint> düşer.
$ Hedef karakter uyanırsa bir dövüş başlar ve hedef, yerleşkeyi terk etmeye çalışır ancak oyuncu veya muhafızlar karakteri etkisiz hâle getirmeyi başarırsa onu yakalama şansın olur.

Her durumda misafirperverliğin kutsal yasasını çiğnemiş olursun ve hükümdarının tüm komşu <hint=hint_persons_king>hükümdarlar</hint> ile <hint=hint_relations>ilişkisi</hint> büyük ölçüde kötüleşir.

Eylemi gerçekleştirmesi istenen karakterin bu görevi yapabilmesi için <hint=hint_loyalty>sadakatinin</hint> en az {loyalty_action} olması gerekir."
hint_kidnap_context,"Karakter kaçırma
Kurbanın uyanma olasılığı: %{wake}

{soul_uuid_performer}:
{skill_level_1}. seviye {skill_name_1}

{soul_uuid_target}:
{skill_level_2}. seviye {skill_name_2} 
{optional_wake_info}"
hint_diplomacy,"Uzlaşma
Karakter, düşman hükümdarı anlamsız ve tehlikeli bir savaşı bitirmeye ve yeni bir başlangıç yapmaya ikna edebilir.

$ Mevcut husumet seviyesi ne olursa olsun düşman hükümdarla olan ilişki <red>10</red> azalır.
$ <hint=hint_trait_diplomat>Diplomat</hint> özelliğine sahip bir karakterin olması gerekir.
$ Ayrıca eylemi gerçekleştirecek karakterin bu görevi yapabilmesi için <hint=hint_loyalty>sadakat</hint> seviyesinin en az {loyalty_action} olması gerekir.

<b>Bedel</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Uzlaşma
Düşman hükümdarla olan güncel husumet seviyesi ne olursa olsun ilişki değeri <red>10</red> azalır.

<b>Bedel</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Öldürmeye Teşebbüs
Bu karaktere uyurken saldırarak suikast düzenlemeyi denersin.

Başarı durumunda <hint=hint_persons_king>hükümdarlar</hint> arasındaki <hint=hint_relations>ilişki</hint> büyük ölçüde kötüleşir.

Bu görevi yapabilmesi için eylemi gerçekleştirecek karakterin <hint=hint_loyalty>sadakati</hint> yüksek olmalıdır."
hint_assasin_context,"Öldürmeye Teşebbüs
Kurbanın uyanma olasılığı: %{wake}

{soul_uuid_performer}:
{skill_level_1}. seviye {skill_name_1}

{soul_uuid_target}:
{skill_level_2}. seviye {skill_name_2} 
{optional_wake_info}"
hint_assasin_gm,"Öldürmeye Teşebbüs
Bu karaktere uyurken saldırarak suikast düzenlemeyi dene.

Başarı durumunda <hint=hint_persons_king>hükümdarlar</hint> arasındaki <hint=hint_relations>ilişki</hint> büyük ölçüde kötüleşir.

Başarı oranı eylemi gerçekleştiren karakterin ve hedefin <hint=hint_skill_combat>Dövüş becerilerine</hint> bağlıdır.

Bu görevi yapabilmesi için eylemi gerçekleştirecek karakterin <hint=hint_loyalty>sadakati</hint> yüksek olmalıdır."
hint_assasin_context_gm,"Öldürmeye Teşebbüs
{skill_level}. seviye {skill_name}

Başarı durumunda <hint=hint_persons_king>hükümdarlar</hint> arasındaki <hint=hint_relations>ilişki</hint> büyük ölçüde kötüleşir."
hint_action_task_provoke_duel,"Düello İçin Kışkırt
Asilzadenin bu asilzadeye bilerek hakaret ederek düello için sebep yaratır.

Düellonun sonucunda asilzadelerden biri ölebilir.

Yerel piskoposun düellodan haberi olur ve eylemlerini Maderşah'a bildirir.

Sonuç:
$ {soul_uuid_king} ile ilişki: <red>{rel_de_duel_provocation}</red>
$ Maderşah ile ilişki: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Düello İçin Kışkırt
{soul_uuid_1}: <hint=hint_skill_combat>Dövüş becerisi</hint>: {skill_1}
{soul_1_equipment_stack}

-

{soul_uuid_2}: <hint=hint_skill_combat>Dövüş becerisi</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Düello sona erdi!
{soul_uuid_target} öldü.

$ {soul_uuid_king} ile ilişki: <red>{rel_de_duel_provocation}</red>
$ Maderşah ile ilişki: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Düello sona erdi!
Asilzaden öldü.

$ {soul_uuid_king} ile ilişki: <red>{rel_de_duel_provocation}</red>
$ Maderşah ile ilişki: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Düello sona erdi!
Katılımcılar hâlâ hayatta.

$ {soul_uuid_king} ile ilişki: <red>{rel_de_duel_provocation}</red>
$ Maderşah ile ilişki: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Düşük İlgi
Hedefin bu asilzadeye olan ilgisi düşük.

{soul_uuid_target} tarafından {soul_uuid_performer} adlı karaktere duyulan ilgi: {interest_stack}"
hint_unavailable_social_cooldown,"Etkileşim için hazır değil.
{soul_uuid_performer} zaten yakın zamanda {soul_uuid_target} ile etkileşime girdi ve artık diğer görevlerine odaklanmak istiyor.

$ {remain_time} saat sonra eylemi yeniden gerçekleştirebilirsin."
hint_unavailable_low_loyalty,"Düşük Sadakat
Eylemi gerçekleştirecek oyuncunun <hint=hint_loyalty>sadakati</hint> çok düşük. Bu göreve atanabilmesi için sadakatinin en az {loyalty_threshold} olması gerekir. Güncel sadakat değeri: {loyalty}."
hint_loyal_conflict,"~
Bir karakterin <hint=hint_loyalty>sadakat</hint> seviyesi 25'in altına düştüğünde asilzade, hükümdarla anlaşmazlık yaşar.

$ Eğer karakter vârisse ve hükümdarla ilişkisi iyi değilse <hint=hint_nt_heir_rebellion>isyan</hint> başlatabilir.
$ Eğer hükümdarla iyi ilişkisi olan sıradan bir asilzade veya vârisse komşu vilayete gitmeyi tercih ederler. Bu durumda hükümdarların arası bozulur ancak isyan çıkmaz.

<b>Sonuç olarak</b> bu hükümdarın nüfusu, ekonomisi ve dolayısıyla <b>ordusu azalır</b>."
hint_unavailable_trade_moving,"Hazır değil
Kervan tüccarı yerleşkenin merkezine geldiğinde ticaret yapmaya hazır olur."
hint_unavailable_madness,"Kızgın
Bu asilzade şu an bununla uğraşamaz."
hint_unavailable_to_madness,"Kızgın
Bu etkileşim şu an atanamaz."
hint_go_home,"Eve dön
Asilzade kasabasına geri dönüyor."
action_is_unavaible_by_captive,"Esir
Esir düştüğü için bu eylemi gerçekleştiremez."
hint_action_task_confession,"Günah çıkarma
Ufak bir adak karşılığında piskoposa günah çıkar.

<b>Bedel:</b> <hint=hint_resource_rune>{conf_price}</hint>

Şu <hint=hint_sin>günahlar</hint> affedilir:
{sins}"
