Key,Hungarian
hint_fleshwolf,"Húsfarkas
Erős ragadozó. Norland gyér állatvilágának mintapéldánya.

Úgy tartják, hogy a húsfarkas ereje vetekedik egy <hint=hint_resource_wooden_spear>lándzsával</hint> felfegyverzett, {wolf_level} Harc képességgel rendelkező harcoséval.

$ Az erdőkben lakik, a nyílt terepet kerüli. Esetenként emberre is támad. <hint=hint_bld_patrol_sign_day>Nappali őrjárattal</hint> védheted meg a parasztokat.
$ A nemesek hagyományosan párban vadásznak rájuk, csak közelharci fegyverekkel, egyfajta tiszteletként a teremtények iránt.
$ Harcos osztagokkal is támadhatók.
$ Minden elejtett húsfarkastetemből nyerhető némi ehető <hint=hint_resource_meat>hús</hint>."
hint_action_task_reward,"Jutalom
A karakter hűséges szolgálatáért jutalmat kap az uralkodótól.

Uralkodó: {skill_name} {skill_level}. szint

<b>Következmény:</b>
$ Gondolat <green>Megjutalmazva: {mind_modify}</green>
$ Hűség: <green>{loyalty_modify}</green>

<b>Ár</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Mellékhatás:</b>
Kapcsolat az uralkodóval: <green>{relations_modify}</green>"
hint_action_task_threat,"Fenyegetés
Az uralkodó következményeket helyezett kilátásba, ha a karakter árulásra gondolna.

Uralkodó: {skill_name} {skill_level}. szint

<b>Következmény:</b>
$ Hűség: <green>{loyalty_modify}</green>

<b>Mellékhatások</b>:
$ Negatív gondolat: <red>Fenyegetéseknek kitéve: {threat_moral_modify}</red>
$ Van esély rá, hogy a karakter az uralkodóra támad."
hint_action_task_donate,"Adománykérés
Az uralkodó néhány <hint=hint_resource_rune>Szent Gyűrű</hint> adományt kért támogatásul.

Uralkodó: {skill_name} {skill_level}. szint

<b>Következmény:</b>
$ Gondolat <red>Kényszeradomány: {mind_modify}</red>
$ Hűség: <red>{loyalty_modify}</red>

<b>Az uralkodó részére</b>:
$ {rings_rew_number} <hint=hint_resource_rune>Szent Gyűrű</hint>"
hint_action_new_heir,"Kijelölt örökös
Az uralkodó az örököséül fogja jelölni ezt a karaktert.

<b>Következmény:</b>
$ {soul_uuid_1} lesz az örökös.
$ A régi örökös, {soul_uuid_2} becsapva érzi magát, és haragot táplál majd az uralkodó és {soul_uuid_1} iránt."
hint_action_new_king,"Trónutódlás
Az uralkodó átadja a trónt ennek a karakternek.

<b>Következmény:</b>
$ {soul_uuid_1} lesz az uralkodó. 
$ Az uralkodód és a <hint=hint_bishop>püspök</hint>, a Mátriárka és a szomszédok közti kapcsolatok tiszta lappal indulnak. 
$ Az öreg uralkodó, {soul_uuid_2} depressziós lesz, és gyűlölni fogja {soul_uuid_1} személyét."
hint_action_give_title_to_hired_free_lord,"Cím adományozása szabad nemesnek
Az uralkodó <hint=hint_title>címet</hint> adományoz {soul_uuid_1} nemesnek, aki így a család teljes jogú tagjává válik.

Adót kell fizetni a Szerető Család számára, ezzel biztosítva {soul_uuid_1} a családhoz fűződő jogait.

<b>Következmények</b>
$ {soul_uuid_1} megkapja a címet, és a(z) {faction_uuid} tagjává válik.
$ <hint=hint_resource_gold>{give_title_cost}</hint> adó illeti a Szerető Családot.
$ Az elérhető címek száma eggyel csökken."
hint_action_give_title_to_soldier,"Cím adományozása harcosnak
Az uralkodó <hint=hint_title>címet</hint> adományoz {soul_uuid_1} föld nélküli harcosnak, aki így a család teljes jogú tagjává válik. Az ilyen nemesek képességei viszonylag alacsonyak.

Adót kell fizetni a Szerető Család számára {soul_uuid_1} származásának dokumentálásához.

A többi nemes alacsony származása miatt negatívan viszonyul majd hozzá.

<b>Következmények:</b>
$ {soul_uuid_1} címet kap, és {faction_uuid} teljes jogú nemesévé válik.
$ Más nemesek kezdeti hozzáállása: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> adó illeti a Szerető Családot.
$ Az elérhető címek száma eggyel csökken."
hint_action_take_title,"Nemes megfosztása a címétől
Az uralkodó megfosztja {soul_uuid_1} nemest a <hint=hint_title>címétől</hint>, és <hint=hint_untitled_lord>kisnemessé válik</hint>.

<b>Következmények:</b>
$ A kitagadott nemes nem felejti a megaláztatást, és negatív gondolatai lesznek az uralkodó iránt <red>{der_thought}</red> erősségben.
$ A nemes barátai feldúltak lesznek, és negatívan gondolnak a királyra.
$ Az elérhető címek száma eggyel nő"
hint_action_task_dice,"Kockajáték
Kockázol egy másik nemessel.

A játék kimenetele meglehetősen véletlenszerű, de nagymértékben befolyásolja a játékosok <hint=hint_skill_knowledge>Intellektus</hint> képességeinek különbsége.

A tét <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Kockajáték
Kockázol egy másik nemessel.

A tét <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Intellektus {number1}
$ {soul_uuid_2}: Intellektus {number2}

Az esélye, hogy {soul_uuid_1} nyer, {ver}%."
hint_action_make_enemy,"Ellenségnek nyilvánítás
{soul_uuid_target} nemest az uralkodód ellenségének kiáltod ki.

$ A karakter a lehető leggyorsabban próbálja majd elhagyni a királyságot.
$ A nemeseid és a harcosai megpróbálják majd megtámadni és megölni ezt a karaktert (feltéve, hogy van fegyverük).
$ Megtámadhatod egy <hint=hint_army>harci osztaggal</hint> is (jobb gombbal a célpontra kattintva).
{additional_info_stack}"
hint_action_task_hunt,"Vadászat
A karakterek együtt vadásznak <hint=hint_fleshwolf>húsfarkasra</hint>.

Úgy tartják, hogy a húsfarkas ereje vetekedik egy <hint=hint_resource_wooden_spear>lándzsával</hint> felfegyverzett, {wolf_level} Harc képességgel rendelkező harcoséval.

$ Siker esetén, ha a húsfarkast legyőzik, és mindkét vadász talpon marad, hosszú ideig tartó, „Együtt vadásztunk” <hint=hint_thought_social>szociális gondolatot</hint> kapnak<green>{hunt_improve}</green>.
$ Ezen kívül sikeres vadászat esetén a résztvevők {exp_points}pontokat kapnak a <hint=hint_skill_combat>Harc képességükhöz</hint> és a <hint=hint_skill_command>Parancsnoklás képességükhöz</hint>.
$ Ha bármelyik vadász veszít a harcban, mindketten „Rossz vadász” negatív társadalmi gondolatot kapnak<red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Vadászat
{soul_uuid_1}: <hint=hint_skill_combat>Harc képesség</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Harc képesség</hint>: {skill_2}
{soul_2_equipment_stack}

A húsfarkas egy <hint=hint_resource_wooden_spear>lándzsával</hint> felfegyverzett, {wolf_level} Harc képességgel rendelkező harcosnak felel meg."
hint_action_task_together,"Közös időtöltés
A karakterek időt töltenek együtt: sétálnak, imádkoznak, zenélnek és hasonlók.

Eközben biztosan lesz 2 <hint=hint_conversation>tartalmas beszélgetés</hint> köztük – nem feltétlenül kellemes beszélgetések.

A kellemes beszélgetés valószínűsége a karakterek <hint=hint_mood>hangulatától</hint>, a beszélgetés eredményeképp támadó gondolataik erőssége a <hint=hint_skill_manners>Modor</hint> képességtől függ."
hint_action_task_hunt_unavailable,"Nem elérhető
A püspök nem elérhető vadászatra."
hint_action_task_hunt_by_no_wolf,"Nem elérhető
Nincsenek húsfarkasok az erdőben a vadászathoz."
hint_action_task_together_new_context,"Közös időtöltés
$ {soul_uuid_1}: Hangulat {mood_stack_1}, <hint=hint_skill_manners>Modor: </hint> {skill_level_1} 
$ {soul_uuid_2}: Hangulat {mood_stack_2}, <hint=hint_skill_manners> Modor:</hint> {skill_level_2}

<b>Eredménye: </b>
{soul_uuid_1} véleménye ${soul_uuid_2} személyéről:
{deep_social_stack_1}
Hangulat: {moral_change_1}

{soul_uuid_2} véleménye ${soul_uuid_1} személyéről:
{deep_social_stack_2}
Hangulat: {moral_change_2}"
hint_child_sub_context,"~
Ez a karakter szülő, és ez az interakció a gondoskodását is mutatja, a gyermek <hint=hint_need_care>gondoskodás</hint> iránti szükségleteinek kielégítését."
hint_marriage_local,"Házasság
Két nemes, nem mervén szembeszállni uralkodójuk akaratával, törvényes <hint=hint_marriage>házasságra</hint> lép.

A gyermek és szülője, illetve a testvérek közötti házasság tiltott."
hint_marriage_local_context,"Házasság
{soul_uuid_1} {soul_uuid_2} házastársa lesz."
hint_action_task_lesson,"~
$ A gyermek, aki felnőtt és tanult olvasni, a <hint=hint_idea>tanár</hint> tudását is elsajátítja.
$ A tanuló több tapasztalatot szerez abban a készségben, amelyhez <hint=hint_talant>tehetsége van</hint>.
$ A tevékenység naponta megtörténik majd."
hint_action_task_lesson_context,"Tanulás
Ez a tanító a tanuló következő képességeit tudja fejleszteni:
$ {skill_name} legfeljebb {skill_level_cup}. szintig
$ {skill_name_2} legfeljebb {skill_level_cup_2}. szintig

Oktatás hatékonysága:
$ A tanító <hint=hint_skill_teaching>Oktatás</hint> képessége: {skill_level_3}
$ Óránként {exp} tapasztalati pont szerezhető

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Általános oktatás
A tanár minden képességre megtanítja a tanulót, először a tanuló tehetségeinek megfelelőekre a képességkorlátjáig, majd sorra a fennmaradókra."
hint_action_task_lesson_guest,"~
Ez a karakter a vendéged, ezért a lecke ára <hint=hint_resource_rune>{price}</hint>.

A költséget az uralkodó állja."
hint_action_task_lesson_change_culture,"~
Ez a karakter a {culture} kultúra tagja, így van esély rá, hogy a tanuló kultúrát váltson."
hint_action_task_lesson_guest_no_money,"Nincs elég Gyűrű
Ez a karakter a vendéged, ezért a lecke ára <hint=hint_resource_rune>{price}</hint>.

Nincs elég Szent Gyűrűd, hogy megfizesd az oktatást."
hint_action_task_lesson_bishop_low_opinion,"Rossz kapcsolat
Rossz a kapcsolat az uralkodóddal

Javítsd a kapcsolatot az uralkodóval <green>{option_req}</green> szintre."
hint_duel,"Párbaj
A karakterek megpróbálják egy hivatalos párbajjal rendezni a kapcsolatukat.

$ Ha a párbajozók így éreznének is, a párbaj törli az ellenfél bosszú vagy halál iránti <hint=hint_desire>vágyát</hint>.
$ A párbaj addig tart, amíg valamelyik résztvevő el nem veszíti az eszméletét, de a halálos kimenetel is lehetséges.
$ Minél több fájdalmat okoz a párbajozó az ellenfélnek, annál könnyebben oldja fel ezt a vágyát.
$ A párbaj a viták megoldásának becsületes módjaként elfogadott, így még ha a <hint=hint_bishop>püspököt</hint> ölöd is meg párbajban, nem vonod magadra a Mátriárka haragját."
hint_duel_provoke,"Provokáció
Egy vendég valamelyik szomszédos tartományból párbajba provokálta a nemesedet. A párbajra ma este kerül sor.

Ha nem bízol a kimenetelében, még ezelőtt kiutasíthatod a vendéget a tartományból. A nemesed elkerüli a veszélyt, azonban ez rontja a vendég uralkodó (és az övéi) hozzáállását az uralkodódhoz."
hint_duel_context,"Párbaj
{soul_uuid_1}: <hint=hint_skill_combat>Harc képesség</hint>: {skill_1}
{soul_1_equipment_stack}

kontra

{soul_uuid_2}: <hint=hint_skill_combat>Harc képesség</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Nem megfelelő karakter
A nemesnek {soul_uuid_target} <hint=hint_enemy>ellenségének</hint> kell lennie."
hint_action_task_savant_study_unavalable,"Tudós
A tudósokat nem lehet oktatni."
hint_action_invite,"Meghívás vendégségbe
A nemes elfogadja a meghívást, hogy néhány napra ellátogasson településedre.

$ A nemes akkor egyezik bele, ha az uralkodóitok között a kapcsolat legalább <green>{opinion_threshold}</green>."
hint_action_shadow,"Sötét tettek
<b>A város beavatkozás menüjében</b> felfogadhatsz brigantikat különféle sötét tettekre, mint a lopás és az emberrablás.

A szolgálataik ára az uralkodód <hint=hint_skill_speech>Meggyőzés</hint> képességétől függ."
hint_action_task_hire_free_lord,"Felfogadás
Felfogadhatsz egy szabad nemest 10 napra.

Ugyanazokat a feladatokat oszthatod ki neki, mint a saját nemeseidnek – épületek felügyeletét, osztagok vezetését és a többi.

Ennek az ára a velük tárgyaló nemesed <hint=hint_skill_speech>Meggyőzés</hint> képességétől függ."
hint_action_task_hire_free_lord_context,"Nemes felfogadása
{skill_name} {skill_level}. szint
 Az elérhető nemes {skill_name}-szintje: {free_lord_skill_level}

Teljes költség 10 napra: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Tipp: A nemes a bérét csak a szerződés lejárta után kapja meg, addig az Egyház őrzi a felek tisztességes eljárásának garanciájaként."
hint_action_task_seduce,"Csábítás
$ Ha a <hint=hint_interest>nemes érdeklődése</hint> az aktív karakter iránt <green>magas</green> ({interest_high} felett), az ágyban kötnek ki.
$ A célpontnak <green>jelentősen javul a kapcsolata</green> az uralkodóddal (a csábítónak köszönhetően), így akár a <hint=hint_encyclopedia_puppets>bábod</hint> is lehet belőle.

A hatás a csábító <hint=hint_skill_manners>Modor</hint> és a célpont <hint=hint_skill_knowledge>Intellektus</hint> képességétől függ.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Csábítás
{skill_name} {skill_level}. szint
Célpont {target_skill_name} képessége: {target_skill_level}. szint

<b>Következmény:</b>
$ Kapcsolat az uralkodóddal ({soul_uuid_king}): <green>{rel_plus}</green>
$ {soul_uuid_performer} gondolata: <red>{being_used}</red>

 {soul_uuid_target} érdeklődése {soul_uuid_performer} iránt: {interest_stack}"
hint_action_task_seduce_local,"Csábítás
$ Ha a nemes <hint=hint_interest>érdeklődése</hint> az aktív karakter iránt <green>magas</green> ({interest_high} felett), az ágyban kötnek ki.
$ Következményképp a célpont <green>kapcsolata javul</green> az uralkodóddal,így akár a <hint=hint_encyclopedia_puppets>bábod</hint> is lehet belőle."
hint_action_task_seduce_local_context,"Csábítás
{skill_name} {skill_level}. szint
Célpont {target_skill_name} képessége: {target_skill_level}. szint

<b>Következmény:</b>
$ {soul_uuid_performer} gondolata: <red>{being_used}</red>
$ Kapcsolat az uralkodóddal ({soul_uuid_king}): <green>{rel_plus}</green>

 {soul_uuid_target} érdeklődése {soul_uuid_performer} iránt: {interest_stack}"
hint_poison,"Méreg
Ha a mérgezés sikerül, a célpont kínok között hal meg, de a gyanú az elkövetőre terelődik, és kitiltják a tartományból.

Kudarc esetén a <hint=hint_relations>kapcsolat</hint> nagymértékben megromlik az <hint=hint_persons_king>uralkodóitok</hint> között, és a célpont halálig tartó harcba kezd. A méregkeverő többé nem teheti be a lábát ebbe a tartományba.

$ A siker valószínűsége a két karakter <hint=hint_skill_knowledge>Intellektus</hint> képességének különbségétől függ.
$ Kell, hogy legyen olyan karaktered, aki rendelkezik a <hint=hint_trait_poisoner>Méregkeverő</hint> jellemvonással és rendkívül hű az uralkodóhoz."
hint_poison_context,"Méreg
{soul_uuid_performer}
{skill_name_2} {skill_level_2}. szint

{soul_uuid_target}
{skill_name_1} {skill_level_1}. szint

<b>Siker esélye:</b> {assain_chance}%

Kudarc esetén a <hint=hint_relations>kapcsolat</hint> nagymértékben megromlik az <hint=hint_persons_king>uralkodóitok</hint> között, és a célpont halálig tartó harcba kezd."
hint_action_task_bribe,"Megvesztegetés
$ A nemes <hint=hint_resource_rune>{rings_rew_number}</hint> ajándékot ad a karakternek, és megpróbál elégedetlenséget szítani annak uralkodója iránt.
$ Ennek következtében a nemes az uralkodója iránti <hint=hint_loyalty>hűsége</hint> csökkenni fog.
$ A hűség csökkenésének mértéke az aktív karakter <hint=hint_skill_speech>Meggyőzés</hint> képességétől függ.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Megvesztegetés
{skill_name} {skill_level}. szint
A célpont {skill_name}-szintje: {lord_skill_level}

<b>Következmény:</b>
$ <hint=hint_loyalty>Hűség</hint> a saját uralkodója iránt: <red>{loyalty_modify}</red>
$ Kapcsolat az uralkodóddal ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Ár</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Nem elérhető
Ez a nemes hű az uralkodójához."
hint_action_task_bribe_gm,"~
Ez a feladat küldött útján is elvégezhető. Ebben az esetben a megvesztegetés az uralkodód nevében történik, és a hatékonysága a küldött képességeitől függ."
hint_action_task_go,"Kiutasítás
Felszólítod a vendéget, hogy hagyja el a tartományt.

A vendének magának és az uralkodójának az uralkodódhoz való hozzáállása megromlik.

Emellett a vendég a jövőben nem látogathat majd a tartományodba."
hint_action_task_go_context,"Kiutasítás
Felszólítod a vendéget, hogy hagyja el a tartományt. 

Az előadó Modor képességétől függően csökkennek a cselekedetből származó negatív gondolatok.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ {soul_uuid_target} {soul_uuid_performer_king} iránt való viszonya: <red>{relations_modify_target}</red>
$ {soul_uuid_king} {soul_uuid_performer_king} iránt való viszonya: <red>{relations_modify_king}</red>
$ Ez a karakter többé nem látogathat majd el hozzád."
hint_kidnap,"Karakter elrablása
Megkísérelheted foglyul ejteni a kiválasztott karaktert, miközben alszik.

$ Ha nem ébred fel (valószínűség: {wake_k}%), <hint=hint_trait_captive>túszul</hint> ejted.
$ Ha felébred, harcba bocsátkozik az aktív karakterrel, majd megpróbál a településről elmenekülni. Azonban még mindig van esélyed foglyul ejteni, ha az aktív karakternek vagy az őröknek sikerül kiütniük.

Minden esetben megsérted azonban a szent vendégjogot, és uralkodód <hint=hint_relations>kapcsolata</hint> minden szomszédos <hint=hint_persons_king>uralkodóval</hint> nagymértékben romlik.

Az aktív karakter <hint=hint_loyalty>hűsége</hint> {loyalty_action} felett kell legyen, hogy elvállalja a feladatot."
hint_kidnap_context,"Karakter elrablása
Az esélye, hogy az áldozat felébred: {wake}%

{soul_uuid_performer}:
{skill_name_1} {skill_level_1}. szint

{soul_uuid_target}:
{skill_name_2} {skill_level_2}. szint
{optional_wake_info}"
hint_diplomacy,"Békülés
A karakter meggyőzhet egy ellenséges uralkodót, hogy vessenek véget az értelmetlen és veszélyes háborúzásnak, és induljanak újra, tiszta lappal.

$ Az ellenséges uralkodóval <red>-10</red> lesz a kapcsolat, az ellenségesség aktuális szintjétől függetlenül.
$ Kell legyen egy, a <hint=hint_trait_diplomat>Diplomata</hint> jellemvonással rendelkező karaktered.
$ Emellett az aktív karakter <hint=hint_loyalty>hűsége</hint> {loyalty_action} felett kell legyen, hogy elvállalja a feladatot.

<b>Ár</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Békülés
Az ellenséges uralkodóval <red>-10</red> lesz a kapcsolat, az ellenségesség aktuális szintjétől függetlenül.

<b>Ár</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Gyilkossági kísérlet
Megkísérled meggyilkolni ezt a karaktert, és megtámadod éjszaka, miközben alszik.

Siker esetén a <hint=hint_relations>kapcsolat</hint> nagymértékben megromlik az <hint=hint_persons_king>uralkodóitok</hint> között.

Az aktív karakter <hint=hint_loyalty>hűsége</hint> magas kell legyen, hogy elvállalja a feladatot."
hint_assasin_context,"Gyilkossági kísérlet
Esély, hogy az áldozat felébred: {wake}%

{soul_uuid_performer}:
{skill_name_1} {skill_level_1}. szint

{soul_uuid_target}:
{skill_name_2} {skill_level_2}. szint
{optional_wake_info}"
hint_assasin_gm,"Gyilkossági kísérlet
Megkísérled meggyilkolni ezt a karaktert, és megtámadod éjszaka, miközben alszik.

Minden esetben, a <hint=hint_relations>kapcsolat</hint> nagymértékben megromlik az <hint=hint_persons_king>uralkodóitok</hint> között.

A siker esélye az aktív karakter és a célpont <hint=hint_skill_combat>Harc képességének</hint> függvénye.

Az aktív karakter <hint=hint_loyalty>hűsége</hint> magas kell legyen, hogy elvállalja a feladatot."
hint_assasin_context_gm,"Gyilkossági kísérlet
{skill_name} {skill_level}. szint

Minden esetben, a <hint=hint_relations>kapcsolat</hint> nagymértékben megromlik az <hint=hint_persons_king>uralkodóitok</hint> között."
hint_action_task_provoke_duel,"Párbaj kiprovokálása
A nemesed szándékosan megsérti ezt a nemest, és ezzel okot teremt a párbajra.

A párbaj következtében az egyik nemes meghalhat.

Emellett a helyi püspök tudomást szerezhet erről, és jelentheti a dolgot a Mátriárkának.

Minden esetben:
$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de_duel_provocation}</red>
$ Kapcsolat a Mátriárkával: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Párbaj kiprovokálása
{soul_uuid_1}: <hint=hint_skill_combat>harc képesség</hint>: {skill_1}
{soul_1_equipment_stack}

kontra

{soul_uuid_2}: <hint=hint_skill_combat>harc képesség</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"A párbaj véget ért!
{soul_uuid_target} meghalt.

$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de_duel_provocation}</red>
$ Kapcsolat a Mátriárkával: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"A párbaj véget ért!
A nemesed meghalt.

$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de_duel_provocation}</red>
$ Kapcsolat a Mátriárkával: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"A párbajnak vége!
Mindkét párbajozó életben maradt.

$ Kapcsolat {soul_uuid_king} uralkodóval: <red>{rel_de_duel_provocation}</red>
$ Kapcsolat a Mátriárkával: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Alacsony érdeklődés
A célszemély nagyon csekély érdeklődést mutat a nemes iránt.

{soul_uuid_target} érdeklődése {soul_uuid_performer} iránt: {interest_stack}"
hint_unavailable_social_cooldown,"Nem áll készen az interakcióra
{soul_uuid_performer} már megkörnyékezte {soul_uuid_target} nemest a közelmúltban, ő azonban egyéb feladataira kíván összpontosítani.

$ A tevékenységet {remain_time} óra múlva újra megkísérelheted."
hint_unavailable_low_loyalty,"Alacsony hűség
Az aktív karakter <hint=hint_loyalty>hűsége</hint> nagyon alacsony. Hogy a feladatot kioszthasd neki, a hűsége legalább {loyalty_threshold} kell legyen, jelenleg azonban csak {loyalty}."
hint_loyal_conflict,"~
Ha a <hint=hint_loyalty>hűsége</hint> 25 alá csökken, a nemes viszályba keveredik az uralkodójával.

$ Ha ő az örökös, és nem baráti a viszonya az uralkodóval, <hint=hint_nt_heir_rebellion>lázadást</hint> szíthat.
$ Ha csak egy közönséges nemes, vagy olyan örökös, akinek nem baráti a viszonya az uralkodóval, akkor inkább eltávozik egy szomszédos tartományba, ami ugyan rontja az uralkodók közti kapcsolatot, de nem okoz lázadást.

<b>Ennek következményeképp</b> a lakosság, a gazdaság és ebből következően <b>az uralkodó hadserege is csökkenni fog</b>."
hint_unavailable_trade_moving,"Nem áll készen
A karavánkereskedő akkor lesz kész kereskedni, ha elérte a település központját."
hint_unavailable_madness,"Őrültség
Ez a nemes most nem tud ezzel foglalkozni."
hint_unavailable_to_madness,"Őrültség
Ez az interakció jelenleg nem osztható ki."
hint_go_home,"Hazatérés
A nemes visszatér a városába."
action_is_unavaible_by_captive,"Túsz
Nem tudja végrehajtani a feladatot, mert fogoly."
hint_action_task_confession,"Gyónás
Gyón a püspöknek egy kis ajándékért cserébe.

<b>Költség:</b> <hint=hint_resource_rune>{conf_price}</hint>

A következő <hint=hint_sin>vétkek</hint> alól felmentést kap:
{sins}"
hint_action_task_confession_unavailable,"Nem lehet gyónni.
A nemes mostanában nem vétkezett"
hint_action_task_canonization,"Áldás
Az Egyház {days} napra felmentést ad az uralkodódnak minden bűne alól.

$ Az uralkodód nem fog szenvedni, ha vétkezne.
$ A <hint=hint_persons_fanatic>fanatikus</hint> parasztok szívesen beállnak a seregedbe.
$Az összes nemes kapcsolata az uralkodóval nagymértékben javulni fog, és az alattvalók is elégedettebbek lesznek.

<b>Költség:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Rossz kapcsolat
Ahhoz, hogy <hint=hint_saint>áldást</hint> kapj, a <hint=hint_relations_matriarch>Mátriárka véleménye</hint> az uralkodódról jobb kell, hogy legyen, mint <green>{threshold}</green>."
hint_canonized_already,"Nem elérhető
A karakter már kapott áldást."
hint_action_task_divorce,"Válás
{soul_uuid_target} és {soul_uuid_spouce} házassága törölve lesz.

A karakterek így új házasságokat köthetnek.

<b>Költség:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Vigasztalás
A püspök a megfelelő igékkel megvigasztalja a szerette elvesztése miatt gyászoló karaktert, és enyhíti a fájdalmát.

 Következmény: A szeretett személy elvesztésével kapcsolatos gondolatok jelentősen gyengülnek."
hint_action_task_begging,"Bocsánatért esedezés
Szófia Anya kegyelméből a püspök hajlandó meghallgatni és megbocsátani a karakter vétkeit… már ha valamilyen áldozattal bizonyítja őszinteségét.

Ennek következményeképp a püspök hozzáállása {soul_uuid_target} iránt <green>{rel_plus}</green> ponttal javulni fog.

<b>Költség:</b> <hint=hint_resource_rune>{price}</hint>

"
