Key,Ukrainian
hint_action_new_king,"Передати корону
Монарх віддасть корону цьому персонажу.

<b>Наслідки:</b>
$ {soul_uuid_1} стане монархом. 
$ Взаємини між вашим монархом і <hint=hint_bishop>єпископом</hint>, Матріархом та вашими сусідами будуватимуться заново. 
$ Попередній монарх, {soul_uuid_2}, буде пригнічений і зненавидить: {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Присвоїти титул вільному вельможі
{soul_uuid_1} отримає <hint=hint_title>титул</hint> від монарха й стане повноправним членом родини.

{soul_uuid_1} має сплатити податок Люблячій сім'ї, щоб закріпити своє право на родовід.

<b>Наслідки</b>
$ {soul_uuid_1} отримає титул і {faction_uuid} прийме його.
$ Любляча сім'я отримає <hint=hint_resource_gold>{give_title_cost}</hint>, як податок.
$ Кількість доступних титулів зменшиться на 1."
hint_action_give_title_to_soldier,"Присвоїти титул воїну
Безземельний воїн, {soul_uuid_1}, отримає <hint=hint_title>титул</hint> від монарха, і стане повноправним членом родини. Рівні навичок такого вельможі будуть відносно низькими.

{soul_uuid_1} має сплатити податок Люблячій сім'ї, щоб та внесла його до родоводу.

Інші вельможі будуть негативно ставитися до нього через низьке походження.

<b>Наслідки</b>
$ {soul_uuid_1} отримає титул, а {faction_uuid} прийме його, як повноправного вельможу.
$ Початкове ставлення інших вельмож: <red>{mind_modify}</red>
$ Любляча сім'я отримає <hint=hint_resource_gold>{give_title_cost}</hint>, як податок.
$ Кількість доступних титулів зменшиться на 1."
hint_action_take_title,"Позбавити титулу вельможі
Через наказ монарха {soul_uuid_1} позбавиться <hint=hint_title>титулу</hint> і стане <hint=hint_untitled_lord>меншим вельможею</hint>.

<b>Наслідки:</b>
$ вельможа, якого позбавили титулу, пам'ятатиме це приниження й матиме негативну думку про монарха: <red>{der_thought}</red>.
$ Друзі вельможі будуть засмучені й будуть гірше думати про монарха.
$ Кількість доступних титулів збільшиться на 1."
hint_action_task_dice,"Грати в кості
Зіграйте в кості з іншим вельможею.

Результат гри випадковий, але значною мірою залежить від різниці у рівні навички <hint=hint_skill_knowledge>«Кмітливість»</hint> у гравців.

Ставка складе <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Грати в кості
Зіграйте в кості з іншим вельможею.

Ставка складе <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Кмітливість {number1}
$ {soul_uuid_2}: Кмітливість {number2}

Ймовірність виграшу {soul_uuid_1} становить {ver}%."
hint_action_make_enemy,"Оголосити ворогом
Оголосити ворогом вашого монарха: {soul_uuid_target}.

$ Персонаж намагатиметься якнайшвидше втекти з королівства.
$ Ваші вельможі й воїни спробують напасти на нього, щоб вбити (за умови, що вони озброєні).
$ Ви також можете кинути за ним <hint=hint_army>бойовий загін</hint> (натиснувши правою кнопкою миші на ціль).
{additional_info_stack}"
hint_action_task_hunt,"Полювання
Персонажі полюють на <hint=hint_fleshwolf>плотожера</hint> разом.

Уважається, що силою плотожери не поступаються воїну із навичкою ведення бою {wolf_level}, озброєному <hint=hint_resource_wooden_spear>списом</hint>.

$ Якщо плотожера вбито й обидва мисливця живі, вони отримують довготривалу <hint=hint_thought_social>думку соціальної взаємодії</hint> «Полювали разом»<green>{hunt_improve}</green>.
$ Також у разі успішного полювання учасники отримують {exp_points} од. навичок <hint=hint_skill_combat>ведення бою</hint> та <hint=hint_skill_command>командування</hint>.
$ Якщо будь-хто з мисливців програє бій, обидва отримають негативну думку соціальної взаємодії «Поганий мисливець» <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Полювання
{soul_uuid_1}: <hint=hint_skill_combat>навичка ведення бою</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>навичка ведення бою</hint>: {skill_2}
{soul_2_equipment_stack}

Плотожер не поступається силою воїну із навичкою ведення бою {wolf_level}, озброєному <hint=hint_resource_wooden_spear>списом</hint>."
hint_action_task_together,"Проведення часу разом
Персонажі проводять час разом: гуляють, моляться, грають музику тощо.

За цей час неодмінно відбудеться 2 <hint=hint_conversation>щирі розмови</hint> – і необов'язково приємні.

Ймовірність приємної розмови залежить від <hint=hint_mood>настрою</hint> персонажів, а сила думок, що з'являться в наслідок розмови, – від навички <hint=hint_skill_manners>«Манери»</hint>."
hint_action_task_hunt_unavailable,"Недоступно
Єпископ недоступний для полювання."
hint_action_task_hunt_by_no_wolf,"Недоступно
У лісі немає плотожерів, на яких можна полювати."
hint_action_task_together_new_context,"Проведення часу разом
$ {soul_uuid_1}: настрій {mood_stack_1}, <hint=hint_skill_manners>манери:</hint> {skill_level_1} 
$ {soul_uuid_2}: настрій {mood_stack_2}, <hint=hint_skill_manners>манери:</hint> {skill_level_2}

<b>Як наслідок:</b>
{soul_uuid_1} подумає про ${soul_uuid_2}:
{deep_social_stack_1}
Настрій: {moral_change_1}

{soul_uuid_2} подумає про ${soul_uuid_1}:
{deep_social_stack_2}
Настрій: {moral_change_2}"
hint_child_sub_context,"~
Цей персонаж є одним із батьків, тому ця взаємодія також задовольнятиме потребу дитини у <hint=hint_need_care>турботі</hint>."
hint_marriage_local,"Укласти шлюб
Не наважуючись виступити проти волі свого правителя, двоє вельмож укладуть законний <hint=hint_marriage>шлюб</hint>.

Заборонено укладати шлюб між дітьми й батьками або між братами й сестрами."
hint_marriage_local_context,"Укласти шлюб
{soul_uuid_1} побереться із {soul_uuid_2}."
hint_action_task_lesson,"~
$ Дитина, яка виросла й навчилася читати, також отримає <hint=hint_idea>знання</hint> від учителя.
$ Учень набуває більше досвіду в тій навичці, до якої має <hint=hint_talant>талант</hint>.
$ Дія відбуватиметься щодня."
hint_action_task_lesson_context,"Вивчити
Цей вчитель зможе поліпшити навички учня:
$ «{skill_name}» – до рівня {skill_level_cup}
$ «{skill_name_2}» – до рівня {skill_level_cup_2}

Ефективність навчання:
$ Навичка <hint=hint_skill_teaching>«Викладання»</hint> учителя: {skill_level_3}
$ Може передавати {exp} од. досвіду за урок

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Загальний вишкіл
Вчитель допомагає учню опанувати всі навички, спершу зосередившись на досягненні максимального рівня талантів, а вже потім по черзі на решті навичок."
hint_action_task_lesson_guest,"~
Цей персонаж є вашим гостем, тож урок коштує <hint=hint_resource_rune>{price}</hint>.

Плату буде стягнуто з монарха."
hint_action_task_lesson_change_culture,"~
Цей персонаж належить до культури «{culture}», тож є ймовірність, що учень змінить свою культуру."
hint_action_task_lesson_guest_no_money,"Недостатньо перснів
Цей персонаж є вашим гостем, тож урок коштує <hint=hint_resource_rune>{price}</hint>.

У вас недостатньо священних перснів, щоб оплатити урок."
hint_action_task_lesson_bishop_low_opinion,"Погані взаємини
Погані взаємини з вашим монархом.

Підвищте взаємини з монархом до: <green>{option_req}</green>."
hint_duel,"Двобій
Персонажі намагатимуться вирішувати суперечки за допомогою офіційного двобою.

$ Прибирає з ворога <hint=hint_desire>бажання</hint> помсти чи смерті, якщо таке присутнє в учасників.
$ Двобій триває, допоки один з учасників не втратить свідомість, проте можливий і летальний кінець.
$ Що більше болю учасник двобою заподіє суперникові, то легше йому буде задовольнити своє бажання.
$ Це вважається почесним способом вирішення конфліктів, тому навіть вбивши в двобої <hint=hint_bishop>єпископа</hint>, ви не накличете на себе гнів Матріарха."
hint_duel_provoke,"Провокація
Гість із сусідньої провінції викликав вашого вельможу на двобій, який має відбутися сьогодні ввечері.

Якщо ви не впевнені в його результаті, можете вигнати гостя зі своїх володінь до цього часу. Вельможа уникне небезпеки, зате це погіршить ставлення монарха гостя (і самого гостя) до вашого правителя."
hint_duel_context,"Двобій
{soul_uuid_1}: <hint=hint_skill_combat>навичка ведення бою</hint>: {skill_1}
{soul_1_equipment_stack}

і

{soul_uuid_2}: <hint=hint_skill_combat>навичка ведення бою</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Непідхожий діяч
Вельможа має бути <hint=hint_enemy>ворогом</hint> для: {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Ученість
Мудреців не можна навчати."
hint_action_invite,"Запросити як гостя
Вельможа прийме запрошення відвідати ваше поселення на кілька днів.

$ Вельможа погодиться, якщо взаємини між вашими монархами не нижчі, ніж <green>{opinion_threshold}</green>."
hint_action_shadow,"Темні справи
Ви можете найняти головорізів із цього міста для темних справ, як-от крадіжки й викрадення, в <b>меню дій міста</b>.

Вартість їхніх послуг залежить від рівня навички <hint=hint_skill_speech>«Переконування»</hint> вашого монарха."
hint_action_task_hire_free_lord,"Найняти
Найміть вільного вельможу на 10 днів.

Ви зможете доручати їм ті ж завдання, що і власним вельможам: наглядати за будівлями, очолювати загони тощо.

Вартість залежить від рівня навички <hint=hint_skill_speech>«Переконування»</hint> вельможі, що домовлятиметься з ними."
hint_action_task_hire_free_lord_context,"Найняти вельможу
«{skill_name}» рівня {skill_level}
У доступного вельможі «{skill_name}» рівня {free_lord_skill_level}

Загальна платня за 10 днів: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Підказка: вельможа отримає платню тільки після закінчення терміну дії договору, а до того часу вона зберігатиметься в Церкві, як запорука добросовісної поведінки обох сторін."
hint_action_task_seduce,"Спокусити
$ Якщо <hint=hint_interest>зацікавленість вельможі</hint> в діячеві є <green>високою</green> (вище {interest_high}), вони проведуть час у ліжку.
$ Ціль <green>значно покращить взаємини</green> з вашим правителем (завдяки спокуснику), через що може стати вашою <hint=hint_encyclopedia_puppets>маріонеткою</hint>.

Цей ефект залежить від навички <hint=hint_skill_manners>«Манери»</hint> виконавця й навички <hint=hint_skill_knowledge>«Кмітливість»</hint> цілі.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Спокусити
«{skill_name}» рівня {skill_level}
«{target_skill_name}» цілі рівня {target_skill_level}

<b>Як наслідок:</b>
$ Взаємини з вашим правителем ({soul_uuid_king}): <green>{rel_plus}</green>
$ {soul_uuid_performer} думає: <red>{being_used}</red>

Зацікавленість {soul_uuid_target} ({soul_uuid_performer}): {interest_stack}"
hint_action_task_seduce_local,"Спокусити
$ Якщо <hint=hint_interest>зацікавленість</hint> вельможі в діячеві є <green>високою</green> (вище {interest_high}), вони проведуть час у ліжку.
$ Як наслідок, ціль <green>покращить взаємини з вашим правителем</green>, через що може стати вашою <hint=hint_encyclopedia_puppets>маріонеткою</hint>."
hint_action_task_seduce_local_context,"Спокусити
«{skill_name}» рівня {skill_level}
«{target_skill_name}» цілі рівня {target_skill_level}

<b>Як наслідок:</b>
$ {soul_uuid_performer}думає: <red>{being_used}</red>
$ Взаємини з вашим правителем ({soul_uuid_king}): <green>{rel_plus}</green>

Зацікавленість {soul_uuid_target} ({soul_uuid_performer}): {interest_stack}"
hint_poison,"Отруїти
Якщо отруєння вдасться, ціль помре в агонії, але підозри ляжуть на виконавця, і йому заборонять відвідувати провінцію.

У разі невдачі <hint=hint_relations>взаємини</hint> між вашими <hint=hint_persons_king>монархами</hint> істотно погіршаться, і ціль почне бій на смерть. Отруйник більше не зможе відвідувати провінцію.

$ Ймовірність успіху залежить від різниці у рівні навички <hint=hint_skill_knowledge>«Кмітливість»</hint> у персонажів, які взаємодіють.
$ У вас повинен бути персонаж із рисою <hint=hint_trait_poisoner>«Отруйник»</hint> і високим рівнем вірності своєму монарху."
hint_poison_context,"Отруїти
{soul_uuid_performer}
«{skill_name_2}» рівня {skill_level_2}

{soul_uuid_target}
«{skill_name_1}» рівня {skill_level_1}

<b>Імовірність успіху:</b> {assain_chance}%

У разі невдачі <hint=hint_relations>взаємини</hint> між вашими <hint=hint_persons_king>монархами</hint> істотно погіршаться, і ціль почне бій на смерть."
hint_action_task_bribe,"Підкупити
$ Вельможа дасть персонажу <hint=hint_resource_rune>{rings_rew_number}</hint> і спробує посіяти в ньому невдоволення власним монархом.
$ Як наслідок, <hint=hint_loyalty>вірність</hint> вельможі до свого монарха знизиться.
$ Ступінь зниження вірності цілі залежить від навички <hint=hint_skill_speech>«Переконування»</hint> діяча.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Підкупити
«{skill_name}» рівня {skill_level}
Рівень «{skill_name}» цілі: {lord_skill_level}

<b>Як наслідок:</b>
$ <hint=hint_loyalty>Вірність</hint> до свого монарха: <red>{loyalty_modify}</red>
$ Взаємини з вашим правителем ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Ціна</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Недоступно
Цей вельможа вірний своєму монархові."
hint_action_task_bribe_gm,"~
Це завдання можна виконати за допомогою посланника. У цьому разі підкуп буде від імені вашого монарха, і ефективність залежатиме від навичок посланника."
hint_action_task_go,"Вислати
Попросіть гостя покинути провінцію.

Ставлення гостя і його правителя до вашого монарха погіршиться.

До того ж цьому гостю буде заборонено й надалі відвідувати вашу провінцію."
hint_action_task_go_context,"Вислати
Попросіть гостя покинути провінцію. 

Навичка виконавця «Манери» впливає на зменшення негативних думок, пов’язаних із цією дією.

{soul_uuid_performer}:
«{skill_name_2}» рівня {skill_level_2}.

$ Ставлення {soul_uuid_target} до {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Ставлення {soul_uuid_king} до {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Цей персонаж більше не зможе відвідувати вас."
hint_kidnap,"Викрадення персонажа
Спроба схопити обраного персонажа, поки той спить.

$ Якщо персонаж не прокинеться (ймовірність – {wake_k}%), то стане <hint=hint_trait_captive>заручником</hint>.
$ Якщо ціль прокинеться, почнеться бій із діячем, після чого ціль спробує втекти з поселення. Однак у вас все ще є можливість схопити її, якщо діячеві або вартовим вдасться її знешкодити.

У будь-якому разі, ви порушите священний закон гостинності, тож <hint=hint_relations>взаємини</hint> зі всіма сусідніми <hint=hint_persons_king>монархами</hint> значно погіршаться.

<hint=hint_loyalty>Вірність</hint> діяча має бути вищою за {loyalty_action}, щоб він взявся за таке завдання."
hint_kidnap_context,"Викрадення персонажа
Ймовірність того, що жертва прокинеться: {wake}%

{soul_uuid_performer}:
«{skill_name_1}» рівня {skill_level_1}

{soul_uuid_target}:
«{skill_name_2}» рівня {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Примирення
Персонаж може переконати недружнього монарха припинити безглузду й небезпечну війну, і почати все з білого аркуша.

$ Взаємини з недружнім монархом стають <red>-10</red>, незалежно від поточного рівня ворожнечі.
$ У вас має бути персонаж із рисою <hint=hint_trait_diplomat>«Дипломат»</hint>.
$ До того ж <hint=hint_loyalty>вірність</hint> діяча має бути вищою за {loyalty_action}, щоб він взявся за таке завдання.

<b>Ціна</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Примирення
Взаємини з недружнім монархом стають <red>-10</red>, незалежно від поточного рівня ворожнечі.

<b>Ціна</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Спроба вбивства
Спробувати вбити цього персонажа, напавши на нього вночі, коли той спить.

У разі успіху, <hint=hint_relations>взаємини</hint> між вашими <hint=hint_persons_king>монархами</hint> значно погіршаться.

<hint=hint_loyalty>Вірність</hint> діяча має бути високою, щоб він взявся за таке завдання."
hint_assasin_context,"Спроба вбивства
Ймовірність того, що жертва прокинеться: {wake}%

{soul_uuid_performer}:
«{skill_name_1}» рівня {skill_level_1}

{soul_uuid_target}:
«{skill_name_2}» рівня {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Спроба вбивства
Спробувати вбити цього персонажа, напавши на нього вночі, коли той спить.

У будь-якому разі, <hint=hint_relations>взаємини</hint> між вашими <hint=hint_persons_king>монархами</hint> значно погіршаться.

Ймовірність успіху залежить від <hint=hint_skill_combat>навички ведення бою</hint> як діяча, так і цілі.

<hint=hint_loyalty>Вірність</hint> діяча має бути високою, щоб він взявся за таке завдання."
hint_assasin_context_gm,"Спроба вбивства
«{skill_name}» рівня {skill_level}

У будь-якому разі, <hint=hint_relations>взаємини</hint> між вашими <hint=hint_persons_king>монархами</hint> значно погіршаться."
hint_action_task_provoke_duel,"Провокація на двобій
Ваш вельможа навмисно образить цього вельможу, створивши привід для двобою.

У двобої якийсь вельможа може загинути.

Крім того, про це стане відомо місцевому єпископу, який доповість про ваші дії Матріархові.

У будь-якому разі:
$ взаємини з монархом {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Взаємини з Матріархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Провокація на двобій
{soul_uuid_1}: <hint=hint_skill_combat>навичка ведення бою</hint>: {skill_1}
{soul_1_equipment_stack}

і

{soul_uuid_2}: <hint=hint_skill_combat>навичка ведення бою</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"Двобій завершився!
{soul_uuid_target} помирає.

$ Взаємини з монархом {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Взаємини з Матріархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"Двобій завершився!
Вашого вельможу було вбито.

$ Взаємини з монархом {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Взаємини з Матріархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"Двобій завершився!
Бійці лишилися живими.

$ Взаємини з монархом {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Взаємини з Матріархом: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Низька зацікавленість
Ціль має дуже низьку зацікавленість у цьому вельможі.

{soul_uuid_target} має таку зацікавленість до {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Неготовність до взаємодії
{soul_uuid_performer}, після недавньої взаємодії ({soul_uuid_target}), хоче зосередитися на інших завданнях.

$ Повторити дію можна через {remain_time} год."
hint_unavailable_low_loyalty,"Низька вірність
Діяч має занизьку <hint=hint_loyalty>вірність</hint>. Щоб виконати це завдання, вірність має бути не нижче {loyalty_threshold}, а наразі складає лише {loyalty}."
hint_loyal_conflict,"~
Коли <hint=hint_loyalty>вірність</hint> персонажа падає нижче 25, то він вступає у конфлікт зі своїм монархом.

$ Якщо персонаж є спадкоємцем і в нього немає доброзичливих стосунків із монархом, то він може підняти <hint=hint_nt_heir_rebellion>заколот</hint>.
$ Якщо це звичайний вельможа або спадкоємець, який доброзичливо ставиться до монарха, то він вважатиме за краще перейти в сусідню провінцію, що погіршить взаємини між монархами, але не призведе до заколоту.

<b>Як наслідок</b>, населення, економіка, а отже, й <b>військо цього монарха скоротиться</b>."
hint_unavailable_trade_moving,"Не готовий
Купець каравану зможе почати торгівлю, як тільки дістанеться до центру поселення."
hint_unavailable_madness,"У шаленстві
Цей вельможа не може зараз цим займатися."
hint_unavailable_to_madness,"У шаленстві
Цю взаємодію зараз не призначити."
hint_go_home,"Повернення додому
Вельможа повертається до свого міста."
action_is_unavaible_by_captive,"Заручник
Не може виконати цю дію, бо знаходиться в заручниках."
hint_action_task_confession,"Сповідь
Сповідуйтеся перед єпископом в обмін на невелику пожертву.

<b>Вартість:</b> <hint=hint_resource_rune>{conf_price}</hint>

Будуть відпущені такі <hint=hint_sin>гріхи</hint>:
{sins}"
hint_action_task_confession_unavailable,"Сповідь недоступна.
Останнім часом цей вельможа не грішив"
hint_action_task_canonization,"Благословення
Церква прощає вашому монарху всі його гріхи на {days} д.

$ Вашого правителя не буде покарано за скоєння гріхів.
$ <hint=hint_persons_fanatic>Фанатики</hint> серед ваших селян охоче ставатимуть до лав вашого війська.
$ Взаємини правителя зі всіма вашими вельможами значно поліпшаться, а піддані стануть щасливішими.

<b>Вартість:</b> <hint=hint_resource_gold>{price}</hint>"
hint_action_task_canonization_unavailable_by_opinion,"Погані взаємини
Щоб отримати <hint=hint_saint>благословення</hint>, <hint=hint_relations_matriarch>думка Матріарха</hint> про вашого правителя має бути краще ніж <green>{threshold}</green>."
hint_canonized_already,"Недоступно
Цей персонаж уже отримав благословення."
hint_action_task_divorce,"Розлучення
Розірвіть шлюб: {soul_uuid_target} і {soul_uuid_spouce}.

Як наслідок, персонажі зможуть вступати в нові шлюби.

<b>Вартість:</b> <hint=hint_resource_rune>{price}</hint>"
hint_consolation,"Розрада
Єпископ знайде правильні слова, щоб втішити персонажа, який сумує через втрату близької людини, і полегшити його біль.

Наслідок: думок про втрату близької людини стане значно менше."
hint_action_task_begging,"Благати пробачення
З ласки Матері Софії єпископ готовий вислухати й пробачити проступки персонажа… якщо той доведе свою щирість через самопожертву.

Як наслідок, {soul_uuid_target} змінить ставлення єпископа до себе на <green>{rel_plus}</green>.

<b>Вартість:</b> <hint=hint_resource_rune>{price}</hint>

"
hint_action_task_begging_unavailable_no_need,"Недоступно
Єпископ не вважає, що {soul_uuid_target} – ворог, тож {soul_uuid_target} не потребує прощення."
hint_action_task_consolation_unavailable_by_cynic,"Недоступно
Персонажа з рисою «Цинік» неможливо втішити."
hint_action_task_consolation_unavailable_dont_need,"Недоступно
Цей персонаж наразі не потребує розради."
hint_action_task_consolation_unavailable_already_dont_need,"Недоступно
Цей персонаж вже отримав розраду."
hint_action_task_consolation_unavailable_by_opinion,"Недоступно
Взаємини єпископа з цим персонажем недостатньо хороші, тож він не виконає цю дію."
hint_action_task_unavailable_bad_opinion,"Недоступно
Взаємини {soul_uuid_1} і {soul_uuid_2} не надто хороші. Наразі вони – {current_opinion}, а потрібно щонайменше – {required_opinion}."
hint_action_task_unavailable_no_titles,"Недоступно
Жодних доступних <hint=hint_title>титулів</hint> для цього вельможі."
hint_forced_sex_slave,
hint_forced_sex_slave_context,
hint_forced_sex_captive,"Примушення до сексу
$ Персонаж, якого примусили, може зачати дитину, яка вважатиметься <hint=hint_persons_bastard>байстрюком</hint>.
$ Монарх шляхетної родини, з якої походить полонений, розцінить це як тортури.
$ Ця дія вважається <hint=hint_sin>гріхом</hint>."
hint_forced_sex_captive_context,"Примушення до сексу
$ {soul_uuid_1} задовільнить {number}% своїх <hint=hint_need_sex>сексуальних потреб</hint>.
$ {soul_uuid_1} матиме негативну думку «Сором за гріхи» <red>{number1}</red>.
$ {soul_uuid_2} матиме негативну думку: мене «Використано» <red>{number2}</red>.
$ {soul_uuid_3} погіршить свої взаємини з вашим монархом на <red>{number3}</red>."
hint_buy_sex,"Секс за підкуп
$ Вельможа дасть селянці <hint=hint_resource_rune>1</hint>, і та залюбки виконає особисте прохання вельможі.
$ Селянка може народити дитину, яка буде <hint=hint_persons_bastard>байстрюком</hint>.
$ Ця дія вважається <hint=hint_sin>гріхом</hint>."
hint_buy_sex_context,"Секс за підкуп
$ {soul_uuid_1} задовільнить сексуальні потреби.  
$ {soul_uuid_1} зануриться у <hint=hint_sin>гріх</hint> з силою <red>{number2}</red>.  
$ {soul_uuid_2} матиме негативну думку <red>{number3}</red>."
hint_not_enought_rings,"Бракує перснів
Щоб виконати цю дію, потрібно <hint=hint_resource_rune>{count}</hint>."
hint_not_enought_gold,"Бракує золота
Щоб виконати цю дію, потрібно <hint=hint_resource_gold>{count}</hint>."
