Key,Russian,English,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Indonesia
m_name.gwelts.22,Брандульф,Brandulf,,Brandulf,,,,,,,,,,,,Брандульф,Adhi
m_name.gwelts.23,Бруно,Bruno,,Bruno,,,,,,,,,,,,Бруно,Adhit
m_name.gwelts.24,Буркхард,Burkhard,,Burkhard,,,,,,,,,,,,Бурхард,Adi
m_name.gwelts.25,Цедрик,Cedric,,Cedric,,,,,,,,,,,,Седрік,Adi Setia Pramono
m_name.gwelts.26,Конрад,Conrad,,Conrad,,,,,,,,,,,,Конрад,Adimas
m_name.gwelts.27,Корбиниан,Corbinian,,Corbinian,,,,,,,,,,,,Корбініан,Aditya
m_name.gwelts.28,Дитмар,Dietmar,,Dietmar,,,,,,,,,,,,Дітмар,Aditya Dwi Suryana
m_name.gwelts.29,Дирк,Dirk,,Dirk,,,,,,,,,,,,Дірк,Aditya Eka
m_name.gwelts.30,Эадфрит,Eadfrith,,Eadfrith,,,,,,,,,,,,Едфріт,Adji Aidil Adsa
m_name.gwelts.31,Эадгер,Eadger,,Eadger,,,,,,,,,,,,Едґер,Adji Chandra Mulia Hakim
m_name.gwelts.32,Эадгит,Eadgyth,,Eadgyth,,,,,,,,,,,,Едґіт,Adkhan
m_name.gwelts.33,Эадрик,Eadric,,Eadric,,,,,,,,,,,,Едрік,Adnan
m_name.gwelts.34,Эадульф,Eadwulf,,Eadwulf,,,,,,,,,,,,Еадвульф,Adonis
m_name.gwelts.35,Эгберт,Egbert,,Egbert,,,,,,,,,,,,Еґберт,Adrian
m_name.gwelts.36,Эгил,Egil,,Egil,,,,,,,,,,,,Еґіл,Adriansyah
m_name.gwelts.37,Энгельберт,Engelbert,,Engelbert,,,,,,,,,,,,Енґельберт,Afandi
m_name.gwelts.38,Эвальд,Ewald,,Ewald,,,,,,,,,,,,Евальд,Afif
m_name.gwelts.39,Фарамунд,Faramund,,Faramund,,,,,,,,,,,,Фарамунд,Afrian
m_name.gwelts.40,Фоско,Fosco,,Fosco,,,,,,,,,,,,Фоско,Afrisal Nur Riskian
m_name.gwelts.41,Фридульф,Fridulf,,Fridulf,,,,,,,,,,,,Фрідульф,Agas Prasojo
m_name.gwelts.42,Фрисо,Friso,,Friso,,,,,,,,,,,,Фрізо,Agung
m_name.gwelts.43,Фульберт,Fulbert,,Fulbert,,,,,,,,,,,,Фульберт,Agung Pahlevi
m_name.gwelts.44,Гарульф,Garulf,,Garulf,,,,,,,,,,,,Гарульф,Agus
m_name.gwelts.45,Гаусберт,Gausbert,,Gausbert,,,,,,,,,,,,Гасберт,Agustinus Derita
m_name.gwelts.46,Гебхард,Gebhard,,Gebhard,,,,,,,,,,,,Гебхард,Ahmad
m_name.gwelts.47,Гейло,Geilo,,Geilo,,,,,,,,,,,,Ґейло,Ahmad Al Farisi
m_name.gwelts.48,Герберт,Gerbert,,Gerbert,,,,,,,,,,,,Герберт,Ahmad Hasan
m_name.gwelts.49,Геро,Gero,,Gero,,,,,,,,,,,,Геро,Ahmad Humaedi Hudori
m_name.gwelts.50,Гизельберт,Giselbert,,Giselbert,,,,,,,,,,,,Ґізельберт,Ahmad Nasri
m_name.gwelts.51,Годафрид,Godafrid,,Godafrid,,,,,,,,,,,,Годафрід,Ahmad Nawawi
m_name.gwelts.52,Годвульф,Godwulf,,Godwulf,,,,,,,,,,,,Ґодвульф,Ahmad Nur Latif
m_name.gwelts.53,Гримберт,Grimbert,,Grimbert,,,,,,,,,,,,Ґрімберт,Ahmad Rah Yusuf
m_name.gwelts.54,Гримольд,Grimold,,Grimold,,,,,,,,,,,,Ґрімольд,Ahmad Rasid
m_name.gwelts.55,Гунтер,Gunther,,Gunther,,,,,,,,,,,,Гюнтер,Ahmad Ripai
m_name.gwelts.56,Хадульф,Hadulf,,Hadulf,,,,,,,,,,,,Ґадульф,Ahmad Ripani
m_name.gwelts.57,Хамо,Hamo,,Hamo,,,,,,,,,,,,Ґамо,Ahmad Rizki Indrajid
m_name.gwelts.58,Харман,Harman,,Harman,,,,,,,,,,,,Гарман,Ahmad Sauki
m_name.gwelts.59,Хартвиг,Hartwig,,Hartwig,,,,,,,,,,,,Гартвіг,Ahmad Soim
m_name.gwelts.60,Хелмер,Helmer,,Helmer,,,,,,,,,,,,Гельмер,Aji
m_name.gwelts.61,Херлуин,Herluin,,Herluin,,,,,,,,,,,,Герлун,Aji Pangestu
m_name.gwelts.62,Магнус,Herwald,,Herwald,,,,,,,,,,,,Гервальд,Akbar
m_name.gwelts.63,Иммо,Magnus,,Magnus,,,,,,,,,,,,Маґнус,Akhmad
m_name.gwelts.64,Иммо,Magnus,,Magnus,,,,,,,,,,,,Маґнус,Akhmad Jordi
m_name.gwelts.65,Иммо,Hildemar,,Hildemar,,,,,,,,,,,,Гільдемар,Akhmad Riscal Topani
m_name.gwelts.66,Хильдерик,Hilderic,,Hilderic,,,,,,,,,,,,Ґільдерік,Akmal
m_name.gwelts.67,Магнус,Hildulf,,Hildulf,,,,,,,,,,,,Ґільдульф,Al Imrani
m_name.gwelts.68,Хродгер,Hrodger,,Hrodger,,,,,,,,,,,,Ґродґер,Alamsyah
m_name.gwelts.69,Хротгар,Hrothgar,,Hrothgar,,,,,,,,,,,,Ґротґар,Albert Putra
m_name.gwelts.70,Иммо,Immo,,Immo,,,,,,,,,,,,Іммо,Albertus Tangkin
m_name.gwelts.71,Ингемар,Ingemar,,Ingemar,,,,,,,,,,,,Інґемар,Aldi Wijaya
m_name.gwelts.72,Ингольф,Ingolf,,Ingolf,,,,,,,,,,,,Інґольф,Alfian
m_name.gwelts.73,Инго,Ingo,,Ingo,,,,,,,,,,,,Інґо,Alfian Ersar Anggara
m_name.gwelts.74,Ирмин,Irmin,,Irmin,,,,,,,,,,,,Ірмін,Alias
m_name.gwelts.75,Изенберт,Isenbert,,Isenbert,,,,,,,,,,,,Ізенберт,Alif
m_name.gwelts.76,Ярл,Jarl,,Jarl,,,,,,,,,,,,Йарл,Alvin
m_name.gwelts.77,Йост,Jost,,Jost,,,,,,,,,,,,Йост,Alwan
m_name.gwelts.78,Куно,Kuno,,Kuno,,,,,,,,,,,,Куно,Alwi
m_name.gwelts.79,Лейф,Leif,,Leif,,,,,,,,,,,,Лейф,Amar
m_name.gwelts.80,Людо,Ludo,,Ludo,,,,,,,,,,,,Лудо,Ambiya Mursalin
m_name.gwelts.81,Магнус,Magnus,,Magnus,,,,,,,,,,,,Маґнус,Amin
m_name.gwelts.82,Манфред,Manfred,,Manfred,,,,,,,,,,,,Манфред,Amri
m_name.gwelts.83,Марквард,Markward,,Markward,,,,,,,,,,,,Марквард,Ananda
m_name.gwelts.84,Мервин,Merwin,,Merwin,,,,,,,,,,,,Мервін,Andi
m_name.gwelts.85,Нанно,Nanno,,Nanno,,,,,,,,,,,,Нанно,Andi Darmansyah
m_name.gwelts.86,Нильс,Nils,,Nils,,,,,,,,,,,,Нільс,Andi Wijaya
m_name.gwelts.87,Одгар,Odgar,,Odgar,,,,,,,,,,,,Одґар,Andika
m_name.gwelts.88,Одило,Odilo,,Odilo,,,,,,,,,,,,Оділо,Andika Prestanto
m_name.gwelts.89,Одо,Odo,,Odo,,,,,,,,,,,,Одо,Andra
m_name.gwelts.90,Орвал,Orval,,Orval,,,,,,,,,,,,Орвал,Andri
m_name.gwelts.91,Осберт,Osbert,,Osbert,,,,,,,,,,,,Озберт,Andri Faisal
m_name.gwelts.92,Осфрид,Osfrid,,Osfrid,,,,,,,,,,,,Озфрід,Andri Kurniawan
m_name.gwelts.93,Осмонд,Osmond,,Osmond,,,,,,,,,,,,Озмонд,Andri Purwanto
m_name.gwelts.94,Осрик,Osric,,Osric,,,,,,,,,,,,Озрік,Andrian
m_name.gwelts.95,Освин,Oswin,,Oswin,,,,,,,,,,,,Освін,Andriya Dwi Santoso
m_name.gwelts.96,Радберт,Radbert,,Radbert,,,,,,,,,,,,Радберт,Andy Setiawan
m_name.gwelts.97,Радульф,Radulf,,Radulf,,,,,,,,,,,,Радульф,Angga
m_name.gwelts.98,Ральф,Ralph,,Ralph,,,,,,,,,,,,Ральф,Angga Yudi Darmansyah
m_name.gwelts.99,Рейнхольд,Reinhold,,Reinhold,,,,,,,,,,,,Рейнольд,Angkasa
m_name.gwelts.100,Рикард,Rikard,,Rikard,,,,,,,,,,,,Рікард,Anton
m_name.gwelts.101,Риттер,Ritter,,Ritter,,,,,,,,,,,,Ріттер,Anugerah
m_name.gwelts.102,Рольфе,Rolfe,,Rolfe,,,,,,,,,,,,Рольфе,Anugrah
m_name.gwelts.103,Сандер,Sander,,Sander,,,,,,,,,,,,Сандер,Anwar
m_name.gwelts.104,Зигберт,Siegbert,,Siegbert,,,,,,,,,,,,Зіґбер,Aprianto
m_name.gwelts.105,Зигхард,Sieghard,,Sieghard,,,,,,,,,,,,Зіґхард,Apriyanto
m_name.gwelts.106,Зигмунд,Siegmund,,Siegmund,,,,,,,,,,,,Зіґмунд,Arafat Saputra
m_name.gwelts.107,Зигфрид,Sigfrid,,Sigfrid,,,,,,,,,,,,Зіґфрід,Ardan
m_name.gwelts.108,Зигмар,Sigmar,,Sigmar,,,,,,,,,,,,Зіґмар,Ardhika
m_name.gwelts.109,Зигульф,Sigulf,,Sigulf,,,,,,,,,,,,Зіґульф,Ardi
m_name.gwelts.110,Свен,Sven,,Sven,,,,,,,,,,,,Свен,Ardiansyah
m_name.gwelts.111,Теодор,Teodor,,Teodor,,,,,,,,,,,,Теодор,Arfan Maulana H
m_name.gwelts.112,Танкмар,Thancmar,,Thancmar,,,,,,,,,,,,Танкмар,Arga Yoga Priandana
m_name.gwelts.113,Торгил,Thorgil,,Thorgil,,,,,,,,,,,,Торґіл,Argo
m_name.gwelts.114,Торкил,Thorkil,,Thorkil,,,,,,,,,,,,Торкіл,Ari
m_name.gwelts.115,Торстен,Thorsten,,Thorsten,,,,,,,,,,,,Торстен,Ari Duwi Setiawan
m_name.gwelts.116,Турстан,Thurstan,,Thurstan,,,,,,,,,,,,Турстан,Ari Wahyudi
m_name.gwelts.117,Удо,Udo,,Udo,,,,,,,,,,,,Удо,Arie Saputra Pratama
m_name.gwelts.118,Ульрих,Ulrich,,Ulrich,,,,,,,,,,,,Ульріх,Arif
m_name.gwelts.119,Фолькер,Volker,,Volker,,,,,,,,,,,,Волькер,Arif Dwi Hermono
m_name.gwelts.120,Вальдо,Waldo,,Waldo,,,,,,,,,,,,Валдо,Arif Faturahman
m_name.gwelts.121,Вальфрид,Walfrid,,Walfrid,,,,,,,,,,,,Вольфрід,Arifin
m_name.gwelts.122,Вальдемар,Waldemar,,Waldemar,,,,,,,,,,,,Вальдемар,Aripin
m_name.gwelts.123,Вальдо,Waldo,,Waldo,,,,,,,,,,,,Вальдо,Aris
m_name.gwelts.124,Вендел,Wendel,,Wendel,,,,,,,,,,,,Вендел,Arista Lutfidianto
m_name.gwelts.125,Вернер,Werner,,Werner,,,,,,,,,,,,Вернер,Arka
m_name.gwelts.126,Вигберт,Wigbert,,Wigbert,,,,,,,,,,,,Віґберт,Arohman Nurcahyo
m_name.gwelts.127,Вигмар,Wigmar,,Wigmar,,,,,,,,,,,,Віґмар,Arsyil Majid Dwi Prasetia
m_name.gwelts.128,Вигульф,Wigulf,,Wigulf,,,,,,,,,,,,Віґульф,Ary Prasetiyo
m_name.gwelts.129,Вильгельм,Wilhelm,,Wilhelm,,,,,,,,,,,,Вільгельм,Arya
m_name.gwelts.130,Вилфрид,Wilfrid,,Wilfrid,,,,,,,,,,,,Вільфрід,Arya Tri Prasetyo
m_name.gwelts.131,Виллибальд,Willibald,,Willibald,,,,,,,,,,,,Віллібальд,Aryo
m_name.gwelts.132,Вильмот,Wilmot,,Wilmot,,,,,,,,,,,,Вільмот,Avid
m_name.gwelts.133,Вимонд,Wymond,,Wymond,,,,,,,,,,,,Вімонд,Awang Daliansyah
m_name.gwelts.134,Винфрид,Wynfrid,,Wynfrid,,,,,,,,,,,,Вінфрід,Awendra Pranata
m_name.gwelts.135,Винстан,Wynstan,,Wynstan,,,,,,,,,,,,Вінстан,Aziz Bikahan
m_name.gwelts.136,Иво,Yvo,,Yvo,,,,,,,,,,,,Іво,Bachtiar
m_name.gwelts.137,Захария,Zacharias,,Zacharias,,,,,,,,,,,,Закарі,Bagas
m_name.gwelts.138,Зено,Zeno,,Zeno,,,,,,,,,,,,Зено,Bagaskara
m_name.gwelts.139,Золтан,Zoltan,,Zoltan,,,,,,,,,,,,Зольтан,Bagus
m_name.gwelts.140,Зоран,Zoran,,Zoran,,,,,,,,,,,,Зоран,Bagus Risdhani
m_name.gwelts.141,Зигмунд,Zsigmond,,Zsigmond,,,,,,,,,,,,Зіґмонд,Bakri
m_name.gwelts.142,Звонимир,Zvonimir,,Zvonimir,,,,,,,,,,,,Звонімір,Bakti
m_name.gwelts.143,Зигфрид,Zygfryd,,Zygfryd,,,,,,,,,,,,Зигфрід,Bambang
m_name.gwelts.144,Зигмунт,Zygmunt,,Zygmunt,,,,,,,,,,,,Зигмунт,Barata
m_name.gwelts.145,Алдан,Aldan,,Aldan,,,,,,,,,,,,Альдан,Baskara
m_name.gwelts.146,Альфрик,Alfric,,Alfric,,,,,,,,,,,,Альфрек,Baskoro
m_name.gwelts.147,Элин,Alyn,,Alyn,,,,,,,,,,,,Алін,Basuki
m_name.gwelts.148,Андрас,Andras,,Andras,,,,,,,,,,,,Андрас,Bayu
m_name.gwelts.149,Арильд,Arild,,Arild,,,,,,,,,,,,Арільд,Bayu Aji Pamungkas
m_name.gwelts.150,Арнульф,Arnulf,,Arnulf,,,,,,,,,,,,Арнульф,Bayuaji
m_name.gwelts.151,Олдин,Auldin,,Auldin,,,,,,,,,,,,Олдін,Beni
m_name.gwelts.152,Бальтазар,Balthasar,,Balthasar,,,,,,,,,,,,Бальтазар,Billa Gandi
m_name.gwelts.153,Болдуин,Baldwin,,Baldwin,,,,,,,,,,,,Болдвін,Bima
m_name.gwelts.154,Бартрам,Bartram,,Bartram,,,,,,,,,,,,Бартрам,Bimas Yudhystira Prasetyo
m_name.gwelts.155,Бельфред,Belfred,,Belfred,,,,,,,,,,,,Бельфред,Bintang
m_name.gwelts.156,Беровальд,Berowald,,Berowald,,,,,,,,,,,,Беровальд,Bobby
m_name.gwelts.157,Бертвин,Bertwin,,Bertwin,,,,,,,,,,,,Бертвін,Boerhan Prianto
m_name.gwelts.158,Бевен,Beven,,Beven,,,,,,,,,,,,Бевен,Bram
m_name.gwelts.159,Билфред,Bilfred,,Bilfred,,,,,,,,,,,,Більфред,Bram Sukoco
m_name.gwelts.160,Бран,Bran,,Bran,,,,,,,,,,,,Бранн,Brata
m_name.gwelts.161,Бритхельм,Brithelm,,Brithelm,,,,,,,,,,,,Брітельм,Bravian Arifadipta
m_name.gwelts.162,Бродерик,Broderick,,Broderick,,,,,,,,,,,,Бродерік,Brian Pradana Putra
m_name.gwelts.163,Биртноут,Byrhtnoth,,Byrhtnoth,,,,,,,,,,,,Бірнот,Budi
m_name.gwelts.164,Кэдуоллер,Cadwaller,,Cadwaller,,,,,,,,,,,,Кадвалер,Budi Sulistiyo
m_name.gwelts.165,Кэлан,Caelan,,Caelan,,,,,,,,,,,,Кейлан,Buyung Chandra
m_name.gwelts.166,Коули,Cawley,,Cawley,,,,,,,,,,,,Коулі,Cahyo
m_name.gwelts.167,Седрик,Cedric,,Cedric,,,,,,,,,,,,Седрік,Cahyo Musyafani
m_name.gwelts.168,Чэдвик,Chadwick,,Chadwick,,,,,,,,,,,,Чадвік,Cahyono
m_name.gwelts.169,Колвин,Colwyn,,Colwyn,,,,,,,,,,,,Колвін,Candara Widiyanto
m_name.gwelts.170,Кинвульф,Cynwulf,,Cynwulf,,,,,,,,,,,,Кінвульф,Candra
m_name.gwelts.171,Даган,Dagan,,Dagan,,,,,,,,,,,,Даґан,Catur
m_name.gwelts.172,Дэвид,Dafydd,,Dafydd,,,,,,,,,,,,Дафід,Catur Sandy Nasution
m_name.gwelts.173,Дагоберт,Dagobert,,Dagobert,,,,,,,,,,,,Даґберт,Chairul
m_name.gwelts.174,Дэнфорт,Danforth,,Danforth,,,,,,,,,,,,Данфорт,Chandra
m_name.gwelts.175,Дариан,Darian,,Darian,,,,,,,,,,,,Даріан,Choirul Mubin
m_name.gwelts.176,Дарнелл,Darnell,,Darnell,,,,,,,,,,,,Дарнел,Dadi
m_name.gwelts.177,Дэвен,Daven,,Daven,,,,,,,,,,,,Дейвен,Daffa
m_name.gwelts.178,Дедрик,Dedrick,,Dedrick,,,,,,,,,,,,Дедрік,Damar
m_name.gwelts.179,Дерик,Deryck,,Deryck,,,,,,,,,,,,Дерик,Danang
m_name.gwelts.180,Доменик,Domenic,,Domenic,,,,,,,,,,,,Доменік,Danang Eka Setyawan
m_name.gwelts.181,Дугалд,Dugald,,Dugald,,,,,,,,,,,,Дугальд,Dandi
m_name.gwelts.182,Дурвин,Durwin,,Durwin,,,,,,,,,,,,Дарвін,Dani
m_name.gwelts.183,Эдгар,Eadgar,,Eadgar,,,,,,,,,,,,Едгар,Danu
m_name.gwelts.184,Эдрик,Eadric,,Eadric,,,,,,,,,,,,Едрік,Darmawan
m_name.gwelts.185,Эдуард,Eadweard,,Eadweard,,,,,,,,,,,,Едверд,Darrel
m_name.gwelts.186,Эдвулф,Eadwulf,,Eadwulf,,,,,,,,,,,,Едвульф,Daryono
m_name.gwelts.187,Элстан,Ealhstan,,Ealhstan,,,,,,,,,,,,Ельхстан,David
m_name.gwelts.188,Элрик,Ealric,,Ealric,,,,,,,,,,,,Ельрік,Deby
m_name.gwelts.189,Эдберт,Edbert,,Edbert,,,,,,,,,,,,Едберт,Dede
m_name.gwelts.190,Эдлин,Edlin,,Edlin,,,,,,,,,,,,Едлін,Deden
m_name.gwelts.191,Эдвин,Edwyn,,Edwyn,,,,,,,,,,,,Едвін,Dedi
m_name.gwelts.192,Эльдрик,Eldric,,Eldric,,,,,,,,,,,,Ельдрік,Dedi Iskandar
m_name.gwelts.193,Эльфред,Elfred,,Elfred,,,,,,,,,,,,Ельфред,Dedi Iswanto
m_name.gwelts.194,Элмер,Elmer,,Elmer,,,,,,,,,,,,Ельмер,Dedi Wahyuda
m_name.gwelts.195,Эофор,Eofor,,Eofor,,,,,,,,,,,,Еофор,Dedy Ari Anggara
m_name.gwelts.196,Эомер,Eomer,,Eomer,,,,,,,,,,,,Еомер,Dedy Nurdin
m_name.gwelts.197,Эсмунд,Esmund,,Esmund,,,,,,,,,,,,Езмунд,Dedy Prima
m_name.gwelts.198,Эйстейн,Eystein,,Eystein,,,,,,,,,,,,Ейштейн,Dendi Dwi Pujianto
m_name.gwelts.199,Фаран,Faran,,Faran,,,,,,,,,,,,Фаран,Deni
m_name.gwelts.200,Фаррелл,Farrell,,Farrell,,,,,,,,,,,,Фарелл,Deni Nurdiansyah
m_name.gwelts.201,Фенрис,Fenris,,Fenris,,,,,,,,,,,,Фенріс,Denis Irfiansyah
m_name.gwelts.202,Финньян,Finnian,,Finnian,,,,,,,,,,,,Фініан,Depri
m_name.gwelts.203,Фрэйзер,Frasier,,Frasier,,,,,,,,,,,,Фрейзер,Dermawan
m_name.gwelts.204,Гармунд,Garmund,,Garmund,,,,,,,,,,,,Ґармунд,Derry Wahyudi
m_name.gwelts.205,Гаррик,Garrick,,Garrick,,,,,,,,,,,,Ґарік,Dharma
m_name.gwelts.206,Герольд,Gerold,,Gerold,,,,,,,,,,,,Ґерольд,Dhimas
m_name.gwelts.207,Гиффард,Giffard,,Giffard,,,,,,,,,,,,Гіфард,Dian Esa Mahendra
m_name.gwelts.208,Гилберт,Gilbert,,Gilbert,,,,,,,,,,,,Гільберт,Didi
m_name.gwelts.209,Годфри,Godfrey,,Godfrey,,,,,,,,,,,,Ґодфрей,Didik
m_name.gwelts.210,Годрик,Godric,,Godric,,,,,,,,,,,,Годрік,Didik Irawan
m_name.gwelts.211,Госберт,Gosbert,,Gosbert,,,,,,,,,,,,Гозберт,Didik Winarko
m_name.gwelts.212,Госвин,Goswin,,Goswin,,,,,,,,,,,,Гозвін,Dika
m_name.gwelts.213,Грейнджер,Granger,,Granger,,,,,,,,,,,,Ґрейнджер,Diki Saputra
m_name.gwelts.214,Гриффит,Griffith,,Griffith,,,,,,,,,,,,Ґріффіт,Diko
m_name.gwelts.215,Гримболд,Grimbold,,Grimbold,,,,,,,,,,,,Грімбольд,Dimas
m_name.gwelts.216,Гриндан,Grindan,,Grindan,,,,,,,,,,,,Гріндан,Dimas Fajar Sunjaya
m_name.gwelts.217,Ганн,Gunne,,Gunne,,,,,,,,,,,,Гюнне,Dimas Prawito
m_name.gwelts.218,Гурт,Gurth,,Gurth,,,,,,,,,,,,Гюрт,Dimas Prima Asih
m_name.gwelts.219,Гатри,Guthrie,,Guthrie,,,,,,,,,,,,Гютрі,Doddy
m_name.gwelts.220,Хедвин,Hadwin,,Hadwin,,,,,,,,,,,,Ґадвін,Dodi
m_name.gwelts.221,Хальфдан,Halfdan,,Halfdan,,,,,,,,,,,,Ґалфдан,Dodi Setiawan
m_name.gwelts.222,Халиан,Halian,,Halian,,,,,,,,,,,,Галіан,Dodo
m_name.gwelts.223,Халфрид,Hallfrid,,Hallfrid,,,,,,,,,,,,Гальфрід,Doni
m_name.gwelts.224,Хальстейн,Halstein,,Halstein,,,,,,,,,,,,Гальштейн,Doni Nurdiansyah
m_name.gwelts.225,Хамелин,Hamelin,,Hamelin,,,,,,,,,,,,Гамлін,Donny
m_name.gwelts.226,Хамфаст,Hamfast,,Hamfast,,,,,,,,,,,,Гамфаст,"Dowi Setio Prayogi,S.M"
m_name.gwelts.227,Хамон,Hamon,,Hamon,,,,,,,,,,,,Ґамон,Duri Ario Jatmiko
m_name.gwelts.228,Хардвин,Hardwin,,Hardwin,,,,,,,,,,,,Гардвін,Duta
m_name.gwelts.229,Харланд,Harland,,Harland,,,,,,,,,,,,Гарланд,Dwi
m_name.gwelts.230,Харман,Harman,,Harman,,,,,,,,,,,,Гарманн,Dwi Ari Irawan
m_name.gwelts.231,Харсен,Harsen,,Harsen,,,,,,,,,,,,Гарсен,Dwi Irwanto
m_name.gwelts.232,Харвин,Harwin,,Harwin,,,,,,,,,,,,Гарвін,Dwi Yuli Hermanto
m_name.gwelts.233,Хавард,Havard,,Havard,,,,,,,,,,,,Гавард,Edi
m_name.gwelts.234,Хавилланд,Havilland,,Havilland,,,,,,,,,,,,Гавіланд,Edi Kurniawan
m_name.gwelts.235,Хэлфдэн,Healfdene,,Healfdene,,,,,,,,,,,,Гельфден,Edo Irawan
m_name.gwelts.236,Хитон,Heaton,,Heaton,,,,,,,,,,,,Гітон,Edy Susanto
m_name.gwelts.237,Хедли,Hedley,,Hedley,,,,,,,,,,,,Ґедлі,Eka
m_name.gwelts.238,Херик,Heiric,,Heiric,,,,,,,,,,,,Генрік,Eka Candra Ajisaputra
m_name.gwelts.239,Хелмар,Helmar,,Helmar,,,,,,,,,,,,Гельмар,Eka Dandi Saputra
m_name.gwelts.240,Хелмфрид,Helmfried,,Helmfried,,,,,,,,,,,,Гельмфрід,Eka Ngardianto
m_name.gwelts.241,Хендрик,Hendrick,,Hendrick,,,,,,,,,,,,Гендрік,Eko
m_name.gwelts.242,Хеннинг,Henning,,Henning,,,,,,,,,,,,Геннін,Eko Azes Saputro
m_name.gwelts.243,Хереман,Hereman,,Hereman,,,,,,,,,,,,Герман,Eko Ramadhani
m_name.gwelts.244,Херлейф,Herleif,,Herleif,,,,,,,,,,,,Герлейф,Eko Susilo
m_name.gwelts.245,Хэйвард,Heward,,Heward,,,,,,,,,,,,Гевард,Eko Wahyudi
m_name.gwelts.246,Хейвард,Heyward,,Heyward,,,,,,,,,,,,Гезвард,Elvan Hasbifillah Ibrahim
m_name.gwelts.247,Хьяльмар,Hjalmar,,Hjalmar,,,,,,,,,,,,Ґьялмар,Endang
m_name.gwelts.248,Хольгер,Holger,,Holger,,,,,,,,,,,,Гольґер,Era Ananta
m_name.gwelts.249,Хротгар,Hrothgar,,Hrothgar,,,,,,,,,,,,Ґротґар,Erwin
m_name.gwelts.250,Хульберт,Hulbert,,Hulbert,,,,,,,,,,,,Гульберт,Erwin Saputra
m_name.gwelts.251,Хульдрик,Huldrick,,Huldrick,,,,,,,,,,,,Гульдрік,Esa Cahya Kartika
m_name.gwelts.252,Хульмер,Hulmer,,Hulmer,,,,,,,,,,,,Гульмер,Fadli
m_name.gwelts.253,Хумберт,Humbert,,Humbert,,,,,,,,,,,,Гумберт,Fahmi Hidayat
m_name.gwelts.254,Херли,Hurley,,Hurley,,,,,,,,,,,,Ґурлі,Fahri A.Mingkala
m_name.gwelts.255,Ингберт,Ingbert,,Ingbert,,,,,,,,,,,,Інґберт,Fahrul
m_name.gwelts.256,Ингемар,Ingemar,,Ingemar,,,,,,,,,,,,Інґемар,Faisal
m_name.gwelts.257,Ингоальд,Ingoald,,Ingoald,,,,,,,,,,,,Інґольд,Fajar
m_name.gwelts.258,Ингвард,Ingvard,,Ingvard,,,,,,,,,,,,Інґвард,Fajar Dwi Atmiko
m_name.gwelts.259,Ира,Ira,,Ira,,,,,,,,,,,,Ір,Fajar Heru Kurniawan
m_name.gwelts.260,Исенбард,Isenbard,,Isenbard,,,,,,,,,,,,Ізенбард,Falanas Farhan Muhammad
