Key,Russian,English,Comments,Timestamp,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
options_menu.graphics.screen_mode,РЕЖИМ ЭКРАНА,SCREEN MODE,,,SCREEN MODE,REŽIM OBRAZOVKY,MODO DE TELA,MODO DE VISUALIZACIÓN,TRYB WYŚWIETLANIA,屏幕模式,顯示模式,スクリーンモード,화면 모드,ANZEIGEMODUS,MODE D'AFFICHAGE,MODALITÀ SCHERMO,EKRAN MODU,KÉPERNYŐMÓD,РЕЖИМ ЕКРАНУ
options_menu.graphics.global_map_blur,Размытие глобальной карты,Global Map Blur,,,Global Map Blur,Rozmazání globální mapy,Desfoque do mapa global,Difuminar mapa del mundo,Globalne rozmycie mapy,世界地图模糊,世界地圖模糊化,グローバルマップ・ブラー,세계 지도 블러,Weltkarten-Unschärfe,Flou de la carte du monde,Sfocatura mappa globale,Dünya Haritası Bulanıklığı,Világtérkép elmosódottsága,Розмиття глобальної мапи
options_menu.graphics,Графика,Graphics,,,Graphics,Grafika,Gráficos,Gráficos,Grafika,图形,畫質,グラフィック,그래픽,Grafik,Graphismes,Grafica,Görüntü,Grafika,Графіка
options_menu.game.secs,сек.,sec,,,sec,sek.,seg,s,s,秒,秒,秒,초,Sek.,s,sec,saniye,mp,с.
options_menu.game.hint_lock_delay,ВРЕМЯ ЗАКРЕПЛЕНИЯ ПОДСКАЗКИ,HINT DURATION,,,HINT DURATION,DÉLKA NÁPOVĚDY,DURAÇÃO DA DICA,DURACIÓN DE LOS CONSEJOS,CZAS WYŚWIETLANIA PODPOWIEDZI,提示停留时间,提示時長,ヒント表示時間,힌트 지속 시간,HINWEIS-ANZEIGEDAUER,DURÉE D’AFFICHAGE DES ASTUCES,DURATA SUGGERIMENTI,İPUCU SÜRESİ,TIPPEK IDŐTARTAMA,ТРИВАЛІСТЬ ПІДКАЗОК
options_menu.game.encyclopedia_events,ОБУЧЕНИЕ,In-game Tutorial,,,In-game Tutorial,Výuka ve hře,Tutoriais no jogo,Tutorial en el juego,Samouczek w grze,游戏内教程,遊戲內教學,ゲーム内チュートリアル,게임 내 튜토리얼,Spiel-Tutorial,DIDACTICIEL EN JEU,TUTORIAL DI GIOCO,OYUN İÇİ EĞİTİCİ,Oktatójáték,Ігрове навчання
options_menu.game.language,ЯЗЫК,LANGUAGE,,,LANGUAGE,JAZYK,IDIOMA,IDIOMA,JĘZYK,语言,語言,言語,언어,SPRACHE,LANGUE,LINGUA,DİL,NYELV,МОВА
options_menu.game,Игра,Game,,,Game,Hra,Jogo,Juego,Gra,游戏,遊戲,ゲーム,게임,Spiel,Jeu,Gioco,Oyun,Játék,Гра
options_menu.title,Настройки игры,Game Settings,,,Game Settings,Nastavení hry,Configurações de jogo,Configuración del juego,Ustawienia gry,游戏设置,遊戲設定,ゲーム設定,게임 설정,Spieleinstellungen,Paramètres de partie,Impostazioni del gioco,Oyun Ayarları,Játékbeállítások,Настройки гри
options_menu.cancel,Отменить,Cancel,,,Cancel,Zrušit,Cancelar,Cancelar,Anuluj,取消,取消,キャンセル,취소,Abbrechen,Annuler,Annulla,İptal Et,Mégse,Скасувати
options_menu.ok,ОК,OK,,,OK,OK,OK,Aceptar,OK,确定,確定,OK,확인,OK,OK,Ok,Tamam,OK,ОК
options_menu.accept,Принять,Accept,,,Accept,Přijmout,Aceitar,Aceptar,Akceptuj,接受,確定,承諾,수락,Annehmen,Accepter,Accetta,Kabul Et,Elfogad,Прийняти
statistics_menu.title,Статистика,Statistics,,,Statistics,Statistika,Estatísticas,Estadísticas,Statystyki,统计,統計,ステータス,통계,Statistik,Statistiques,Statistiche,İstatistikler,Statisztikák,Статистика
statistics_menu.crafting,Крафтинг,Crafting,,,Crafting,Výroba,Criação,Creación,Wytwarzanie,制作,生產品,クラフト,제작,Herstellung,Artisanat,Creazione,Zanaatkârlık,Tárgykészítés,Виготовлення
statistics_menu.consumable,Потребляемое,Consumable,,,Consumable,Spotřební,Consumíveis,Consumibles,Konsumpcyjne,消耗品,消耗品,消耗品,소모품,Verbrauchsgegenstand,Consommable,Consumabili,Tüketilebilirler,Fogyóeszköz,Витратне
main_menu.new_game.family.random,Случайно,Random,,,Random,Náhodné,Aleatório,Al azar,Losowe,随机,隨機,ランダム,무작위,Zufällig,Aléatoire,Casuale,Rastgele,Véletlenszerű,Випадкова
main_menu.new_game.family.talents,Таланты:,Talents:,,,Talents:,Talenty,Talentos:,Talentos:,Talenty:,天赋：,天賦：,タレント：,재능:,Talente:,Talents :,Talenti:,Yetenekler:,Tehetségek:,Таланти:
main_menu.new_game.family.unlimited,Без ограничений,Unlimited,,,Unlimited,Bez limitu,Ilimitado,Ilimitado,Bez ograniczeń,obsolete,無限制,無制限,무제한,Unbegrenzt,Illimité,Senza limiti,Sınırsız,Korlátlan,Необмежено
main_menu.new_game.family.banner.back_color,Цвет фона,Background Color,Background Color не влезает,,Background Color,Barva pozadí,Cor de pano de fundo,Color de fondo,Kolor tła,背景颜色,背景顏色,背景色,배경 색상,Hintergrundfarbe,Couleur de fond,Colore sfondo,Arka Plan Rengi,Háttérszín,Колір тла
main_menu.new_game.family.banner.pattern_color,Цвет деталей,Pattern Color,,,Pattern Color,Barva vzoru,Cor padrão,Patrón de color,Kolor wzoru,图案颜色,樣式顏色,パターン色,패턴 색상,Musterfarbe,Couleur du motif,Colore motivo,Örüntü Rengi,Minta színe,Колір візерунку
main_menu.new_game.province.game_params.beginning_scenario,Начальный сценарий,Start Scenario,,,Start Scenario,Zahájit scénář,Cenário inicial,Empezar escenario,Scenariusz początkowy,初始场景,起始劇本,シナリオを開始,시나리오 시작,Szenario starten,Scénarios de départ,Scenario di partenza,Başlangıç Senaryoları,Forgatókönyv indítása,Початковий сценарій
crisis.no_crisis,Без кризиса,No crisis,,,No crisis,Žádná krize,Sem crise,Sin crisis,Bez kryzysu,无危机,無危機,危機の発生なし,위기 없음,Keine Krise,Aucune crise,Nessuna crisi,Kriz yok,Nincs válság,Без кризи
crisis.horde,Нечестивая Орда,Unholy Horde,,,Unholy Horde,Nesvatá horda,Horda Profana,Horda Impía,Horda Przeklętych,邪恶部族,孽惡部族,罪深き軍団,불경한 군단,Unheilige Horde,Horde impie,Orda profana,Habis Sürü,Szentségtelen Horda,Нечиста орда
scenario.no_scenario,Без сценария,No scenario,,,No scenario,Bez scénáře,Sem cenário,Sin escenario,Bez scenariusza,无场景,無劇本,シナリオなし,시나리오 없음,Kein Szenario,Aucun scénario,Nessuno scenario,Senaryo yok,Nincs forgatókönyv,Без сценарію
scenario.nectar_slaves,Дети нектара,Nectar's Children,,,Nectar's Children,Nektarové děti,Crianças do néctar,Hijos del néctar,Dzieci nektaru,蜜酿之子,痛「癮」蜜露,ネクタルの子供,넥타의 아이들,Kinder des Nektars,Les enfants du nectar,Figli del nettare,Nektarın Çocukları,A nektár gyermekei,Діти нектару
scenario.path_of_sword,Путь меча,The Sword's Path,,,The Sword's Path,Cesta meče,O caminho da espada,La senda de la espada,Ścieżka miecza,剑之道,劈荊斬棘,剣の道,검의 길,Der Pfad des Schwerts,La voie de l'acier,La disciplina della spada,Kılıcın Yolu,A kard útja,Шлях меча
scenario.deserters,Дезертиры,Deserters,,,Deserters,Zběhové,Desertores,Desertores,Dezerterzy,逃兵流寇,逃兵流寇,脱走兵,탈영병,Deserteure,Désertion,Disertori,Firariler,Dezertőrök,Дезертири
scenario.juice_of_life,Сок жизни,Juice of Life,,,Juice of Life,Životní šťáva,Suco da vida,El fluido vital,Sok życia,生命琼浆,生命瓊漿,生命のジュース,생명의 주스,Saft des Lebens,L'essence de la vie,Linfa vitale,Can Suyu,Éltető nedű,Сік життя
scenario.to_the_touch,Наощупь,By Touch,,,By Touch,Na dotek,Pelo toque,Por el tacto,Na wyczucie,触摸探索,瞎子摸象,手探り,눈 대신 손으로,Nach Gefühl,Du bout des doigts,Tatto,Bir Dokunuş,Érintéssel,На дотик
scenario.path_of_hammer,Путь молота,The Hammer's Way,,,The Hammer's Way,Cesta kladiva,O caminho do martelo,La senda del martillo,Droga młota,匠人精神,匠人精神,ハンマーの道,망치의 길,Der Weg des Hammers,La voie du marteau,La via del martello,Çekicin Yolu,A kalapács útja,Шлях молота
scenario.captured_wife,Пленник,Prisoner,,,Prisoner,Vězeň,Prisioneiro,Prisionero,Jeniec,囚犯,囚犯,囚人,수감자,Sklave,Prise d'otage,Ostaggio,Mahkûm,Fogoly,Ув'язнена
scenario.surrounded_by_enemies,В окружении врагов,Surrounded by Enemies,,,Surrounded by Enemies,V obklopení nepřátel,Cercado por inimigos,Rodeado de enemigos,W otoczeniu wrogów,腹背受敌,腹背受敵,敵の包囲網,적의 포위,Vom Feind umzingelt,À la merci des ennemis,Nemici ovunque,Düşmanlarla Sarılı,Ellenségektől körülvéve,У ворожій облозі
scenario.peacepul_dolina,Мирная долина,Peaceful Valley,,,Peaceful Valley,Poklidné údolí,Vilarejo pacífico,Valle pacífico,Pokojowa dolina,和平谷,和平之鄉,平穏なる渓谷,평화로운 계곡,Friedliches Tal,Vallée de la paix,Valle pacifica,Barış Vadisi,Békés völgy,Мирна долина
scenario.everything_is_lost,Все пропало,Everything is Lost,,,Everything is Lost,Všechno je ztraceno,Tudo está perdido,Todo está perdido,Wszystko stracone,全盘皆输,滿盤皆輸,すべてが失われた,완전한 상실,Alles ist verloren,Tout est perdu,Tutto è perduto,Büyük Kayıp,Minden oda,Все пропало
scenario.slave_owner,Хозяева,Prison Owners,,,Prison Owners,Majitelé vězení,Donos da prisão,Propietarios de prisiones,Handlarze jeńców,监狱之主,囚徒領主,牢獄の管理人,감옥 주인,Kerkermeister,Esclavagisme,Carcerieri,Hapishane Sahipleri,Börtöngazdák,Господарі в'язниці
main_menu.new_game.province.game_params.crisis,Кризис,Crisis,,,Crisis,Krize,Crise,Crisis,Kryzys,危机,危機,危機,위기,Krise,Crises,Crisi,Kriz,Válság,Криза
main_menu.new_game.province.game_params.crisis.no_crisis,Нет кризиса,No crisis,,,No crisis,Žádná krize,Sem crise,Sin crisis,Bez kryzysu,无危机,無危機,危機の発生なし,위기 없음,Keine Krise,Aucune crise,Nessuna crisi,Kriz yok,Nincs válság,Без кризи
main_menu.new_game.province.game_params.crisis.unholy_horde,Нечестивая орда,Unholy Horde,,,Unholy Horde,Nesvatá horda,Horda Profana,Horda Impía,Horda Przeklętych,邪恶部族,孽惡部族,罪深き軍団,불경한 군단,Unheilige Horde,Horde impie,Orda profana,Habis Sürü,Szentségtelen Horda,Нечиста орда
main_menu.new_game.province.game_params.crisis.pandemic,Пандемия,Pandemic,,,Pandemic,Pandemie,Pandemia,Pandemia,Pandemia,流行病,瘟疫爆發,パンデミック,대역병,Seuche,Pandémie,Pandemia,Salgın,Világjárvány,Пандемія
main_menu.new_game.province.game_params.crisis.religious_war,Религиозная война,Religious War,,,Religious War,Náboženská válka,Guerra santa,Guerra religiosa,Wojna religijna,宗教战争,宗教戰爭,宗教戦争,종교 전쟁,Religionskrieg,Guerre religieuse,Guerra di religione,Dinî Savaş,Vallási háború,Релігійна війна
main_menu.new_game.province.game_params.crisis.long_winter,Долгая зима,Long Winter,,,Long Winter,Dlouhá zima,Inverno longo,Largo invierno,Długa zima,长冬,漫長凜冬,長い冬,긴 겨울,Langer Winter,Hiver interminable,Lungo inverno,Uzun Kış,Hosszú tél,Довга зима
main_menu.new_game.province.game_params.mutators,Модификаторы,Modifiers,,,Modifiers,Modifikátory,Modificadores,Modificadores,Modyfikatory,变故,變數,変更遺伝子,변수 보정,Modifikatoren,Modificateurs,Modificatori,Dönüştürücüler,Módosítók,Модифікатори
mutator.wave_fanatism,Волна фанатизма,Wave of Fanaticism,,,Wave of Fanaticism,Vlna fanatismu,Onda de fanatismo,Oleada de fanatismo,Fala fanatyzmu,狂热浪潮,狂信浪潮,狂信の波,광신주의 물결,Welle des Fanatismus,Vague fanatique,Ondata di fanatismo,Fanatizm Dalgası,A fanatizmus hulláma,Хвиля фанатизму
mutator.after_war,После войны,After War,,,After War,Dozvuky války,Após a guerra,Posguerra,Powojnie,战后余波,戰後餘波,戦争後,전쟁 후,Nach dem Krieg,Après-guerre,Dopoguerra,Savaş Sonrası,A háború után,Після війни
mutator.decline_of_trade,Упадок торговли,Trade Decline,,,Trade Decline,Pokles obchodu,Redução do comércio,Disminución del comercio,Załamanie handlu,贸易衰退,貿易衰退,貿易の落ち込み,무역 감소,Schwindender Handel,Commerce en déclin,Declino del commercio,Ticari Gerileme,Hanyatló kereskedelem,Занепад торгівлі
mutator.power_of_crowd,Сила толпы,Strength in Numbers,,,Strength in Numbers,Početní převaha,Força nos números,La unión hace la fuerza,Przewaga liczebna,人多势众,人多勢眾,数こそが力,머릿수의 힘,Zahlenmäßige Überlegenheit,L'union fait la force,Superiorità numerica,Birlikten Kuvvet Doğar,Egységben az erő,Разом – сила
mutator.fast_metabolism,Быстрый метаболизм,Fast Metabolism,,,Fast Metabolism,Rychlý metabolismus,Metabolismo rápido,Metabolismo rápido,Szybki metabolizm,疾速代谢,疾速代謝,人生早送り,빠른 신진대사,Schneller Stoffwechsel,Métabolisme rapide,Metabolismo veloce,Hızlı Metabolizma,Gyors anyagcsere,Швидкий метаболізм
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Настроить,Set up,,,Set up,Nastavit,Equipamento,Ajustes,Ustaw,设置,設定,設営,설정,Einrichten,Configuration,Configura,Ayarla,Beállítás,Призначити
main_menu.new_game.family_editor.erethic,Еретик,Heretic,,,Heretic,Kacíř,Herege,Hereje,Heretyk,异教徒,異教徒,異端者,이단,Ketzer,Hérétique,Eretico,Kâfir,Eretnek,Єретик
main_menu.new_game.province.game_params.adv_neighbours_settings,Расширенная настройка соседей,Advanced neighbors settings,,,Advanced neighbors settings,Pokročilé nastavení sousedů,Configurações avançadas de vizinhança,Configuración avanzada de los vecinos,Zaaw. ustawienia sąsiadów,高级邻邦设置,鄰近勢力進階設定,高度な隣人設定,고급 이웃 설정,Erweiterte Nachbar-Einstellungen,Paramètres avancés des voisins,Impostazioni avanzate vicini,Gelişmiş komşu ayarları,Haladó szomszédsági beállítások,Розширені настройки сусідів
main_menu.new_game.province.game_params.header,Параметры игры,Game parameters,,,Game parameters,Parametry hry,Parâmetros do jogo,Parámetros del juego,Parametry gry,游戏参数,遊戲參數,ゲームパラメーター,게임 매개변수,Spielparameter,Paramètres de la partie,Parametri di gioco,Oyun parametreleri,Játékparaméterek,Ігрові параметри
main_menu.new_game.province.header,Выберите стартовую провинцию,Choose your starting province,,,Choose your starting province,Vyber si počáteční provincii.,Escolha uma província para iniciar,Elige tu provincia inicial,Wybierz prowincję początkową,选择你的起始省邦,選擇起始省邦,開始する王国を選ぶ,시작 영지를 선택하세요,Startprovinz wählen,Sélectionnez une province de départ,Scegli la provincia di partenza,Başlangıç vilayetini seç,Kezdő tartomány kiválasztása,Вибрати стартову провінцію
main_menu.new_game.province.header.back_to_select_mode,Настройте свои и другие провинции,Set up your and other provinces,,,Set up your and other provinces,Nastav si svou i ostatní provincie.,Equipe a sua e outras províncias,Configura tu provincia y las demás,Wybierz ustawienia prowincji,设置你的省邦和其他省邦,設定自己和鄰近省邦,自分および他人の王国を設定,자신의 영지와 다른 영지를 설정하세요,Deine und andere Provinzen einrichten,Configurez votre province et les autres,Configura le province,Kendi vilayetini ve diğer vilayetleri ayarla,A saját és a többi tartomány beállítása,Призначити провінції собі й іншим
main_menu.new_game.province.header.next,Дальше,Next,,,Next,Další,Próximo,Siguiente,Dalej,下一步,下一步,次へ,다음,Weiter,Suivant,Avanti,Sonraki,Tovább,Далі
main_menu.new_game.province.banner,Герб королевства,Banner,,,Banner,Prapor,Estandarte,Estandarte,Sztandar,旗帜,旗幟,旗,깃발,Banner,Bannière,Stendardo,Sancak,Lobogó,Стяг
main_menu.new_game.province.difficulty,Сложность,Difficulty,,,Difficulty,Obtížnost,Dificuldade,Dificultad,Poziom trudności,难度,難度,難易度,난이도,Schwierigkeitsgrad,Difficulté,Difficoltà,Zorluk,Nehézség,Складність
main_menu.new_game.province.difficulty.peaceful,Мирный режим,Peaceful mode,,,Peaceful mode,Mírumilovný režim,Modo pacífico,Modo Pacífico,Tryb pokojowy,和平模式,和平模式,平和モード,평화 모드,Friedlicher Modus,Mode paisible,Modalità pacifica,Barışçıl Mod,Békés mód,Мирний режим
main_menu.new_game.province.difficulty.normal,Нормально,Normal,,,Normal,Normální,Normal,Normal,Normalny,普通,正常,ノーマル,일반 모드,Normal,Normal,Normale,Normal,Normál,Звичайний
main_menu.new_game.hardcore_start,Хардкор,Hardcore,,,Hardcore,Hardcore,Difícil,Extrema,Ekstremalny,硬核模式,硬核,ハードコア,하드코어,Hardcore,Extrême,Ardua,Zor,Veterán,Суворий
main_menu.new_game.province.difficulty.ironman,Железная воля,Iron will,,,Iron will,Železná vůle,Determinação de ferro,Voluntad de hierro,Żelazna wola,钢铁意志,鋼鐵意志,アイアンウィル,철의 의지,Eiserner Wille,Volonté de fer,Volontà ferrea,Demir İrade,Vasakarat,Залізна воля
main_menu.new_game.province.neighbours.caution.careful,Осторожный,Careful,,,Careful,Opatrní,Cuidadoso,Cuidadoso,Ostrożny,谨慎,謹慎行事,慎重,주의,Vorsichtig,Prudent,Prudente,Dikkatli,Óvatos,Обережний
main_menu.new_game.province.neighbours.caution.risky,Рискованный,Risky,,,Risky,Riskantní,Arriscado,Arriesgado,Ryzykowny,冒险,不畏風險,危険,위험,Risikofreudig,Risqué,Pericoloso,Riskli,Kockázatos,Ризикований
main_menu.new_game.province.neighbours.caution.balanced,Сбалансированный,Balanced,,,Balanced,Vyvážené,Equilibrado,Equilibrado,Zrównoważony,平衡,平衡,調和,균형,Ausgewogen,Équilibré,Bilanciato,Dengeli,Kiegyensúlyozott,Урівноважений
main_menu.new_game.province.neighbours.pacifism.default,Обычный,Normal,,,Normal,Normální,Normal,Normal,Normalny,普通,正常,ノーマル,보통,Normal,Normal,Normale,Normal,Normál,Звичайний
main_menu.new_game.province.neighbours.pacifism.peaceful,Мирный,Peaceful,,,Peaceful,Mírumilovní,Pacífico,Pacífico,Pokojowy,和平,和平,平和,평화,Friedlich,Pacifique,Pacifico,Barışçıl,Békés,Мирний
